Contract Name,Status,Total Gas Used,Min Gas Cost for a Facet,Max Gas Cost for a Facet,Average Facet Gas Cost,Facet Gas Cost Stdev
ACHI,Success,8163733,265957,2916383,736826,974891.0656726388
ADOM,Failed,NA,NA,NA,NA,NA
AEVOAI,Failed,NA,NA,NA,NA,NA
AFFI,Success,6585899,181537,965480,355390.25,240174.0002033682
AIMIX,Success,9149055,367631,3751702,1081255.6,1335679.740664745
AINET,Failed,NA,NA,NA,NA,NA
AINN,Success,6544721,169661,959613,350243,239406.70053227415
AIPIG,Success,3742777,0,0,0,0
AIPilot,Success,8622493,411118,2732159,813286,858268.8768406631
AIRAI,Failed,NA,NA,NA,NA,NA
AIRGPU,Failed,NA,NA,NA,NA,NA
AITECH,Success,7521726,437893,2325086,944737.25,797458.2781865065
AKIRA,Success,8069944,265945,2822666,721194.5,939976.3288352443
ALERTAI,Success,8749035,399532,3272616,1001254,1135882.9509894054
ALICE_STAKING,Success,6732884,207435,1835055,996706.3333333334,665378.6664175186
ALIENX,Success,6544721,169661,959613,350243,239406.70053227415
ALLY,Success,6585875,181525,965480,355387.25,240176.15030678525
ANIMAI,Success,8050620,265957,2803390,717975.8333333334,932796.5544244569
APRS,Success,6341875,205802,1951044,649774.5,751314.3425961932
ARBYSToken,Failed,NA,NA,NA,NA,NA
ARC,Success,6585875,181537,965480,355387.25,240174.4484685819
ARPA,Success,7617151,265945,2615621,774874.8,921348.4475175285
ASTR,Success,8068792,265957,2821598,721002.5,939584.627119124
ATA,Success,8210745,265957,2988597,744661.3333333334,1003640.8526403036
ATH,Success,7242662,265957,2634276,874971.25,1015829.1799538382
ATOMA,Failed,NA,NA,NA,NA,NA
ATOS,Success,7696701,265957,2751673,790784.8,980699.9023492151
AZHM,Failed,NA,NA,NA,NA,NA
AZHMstake,Failed,NA,NA,NA,NA,NA
AaceAI,Success,7487193,265957,2878915,936104,1121767.4015171328
Accountant,Failed,NA,NA,NA,NA,NA
ActiveSolarCoin,Success,3742777,0,0,0,0
AdamToken,Failed,NA,NA,NA,NA,NA
AdoptionAI,Success,8163589,265957,2916323,736802,974875.0238201476
Adsie,Success,7573623,265957,2645659,766169.2,939903.7752441256
Aetheria_Protocol,Success,8690794,422152,3007596,989603.4,1011007.996567505
Aethir,Success,6585467,181537,965480,355336.25,241559.0309410673
AevoToken,Success,7998401,4255624,4255624,4255624,0
Aevo,Success,6585887,181537,965468,355390.25,240169.12566915737
AgathAI,Success,7487169,265957,2878879,936098,1121750.1125243981
AgoraDex,Success,6585695,181537,965480,355366.25,241558.60010189557
AiDAO,Success,5266033,311640,660372,507756,145654.13246454767
AiLabsContract,Failed,NA,NA,NA,NA,NA
Aierify,Success,7357688,265957,2749434,903730.75,1065706.653222024
Airpuff,Success,6760509,243313,967316,377216.5,226739.3487972478
Albemarle,Success,7242638,265957,2634276,874965.25,1015832.5753275919
AlphCoinPresale,Failed,NA,NA,NA,NA,NA
AlphaTao,Success,7309660,265957,2390728,713376.6,838810.4411104096
AlphieAI,Success,7487193,265957,2878903,936104,1121760.5042024346
AltVM,Failed,NA,NA,NA,NA,NA
AmecaAI,Failed,NA,NA,NA,NA,NA
AmmGovernanceService,Success,7504328,3761551,3761551,3761551,0
AmmPoolsServiceWeEth,Success,3742765,0,0,0,0
AmmStorageBaseV1,Failed,NA,NA,NA,NA,NA
Andywifhat,Success,7243486,265957,2635100,875177.25,1016185.947640828
AppleHead,Failed,NA,NA,NA,NA,NA
AquaStake,Failed,NA,NA,NA,NA,NA
ArabianHorses,Success,6741528,265957,2133166,749687.75,798871.124743652
ArbTHUSDBTC,Success,3742765,0,0,0,0
ArgonAI,Success,7405694,265957,2797416,915729.25,1086480.0585260126
ArtBlocks,Success,3742765,0,0,0,0
ArtenaNetwork,Failed,NA,NA,NA,NA,NA
ArteraAiStaking,Failed,NA,NA,NA,NA,NA
ArtificialProtocol,Success,3742777,0,0,0,0
Artifinance,Success,3742777,0,0,0,0
AssemblyCoin,Success,3742777,0,0,0,0
AssemblyGassless,Success,4722126,232777,479213,326449.6666666667,108938.68516841125
AssetHolder,Success,5177217,168797,460513,286888,103788.81731670325
AstonAI,Success,7647876,414120,2595085,976277.75,934720.8582981806
AthenasAI,Success,7356500,265945,2748210,903430.75,1065173.3853911706
Atom,Failed,NA,NA,NA,NA,NA
Automak,Success,7477895,265957,2869629,933779.5,1117748.4528811704
AxionAI,Success,7487145,265957,2878891,936098,1121757.010127639
AxiswapAI,Failed,NA,NA,NA,NA,NA
AzureSaga,Success,7728966,265957,2801410,797237.8,1002232.9179507925
BAI,Success,7727920,265945,2800388,797031,1001825.4504788746
BBL,Failed,NA,NA,NA,NA,NA
BETA,Success,7442798,265957,2834556,925005.25,1102565.974659425
BIDENOPOLOUS,Success,8294114,265957,3049536,758560.1666666666,1024703.0250091028
BIDEN,Success,8068888,265957,2821598,721018.5,939577.454237054
BILL,Success,8069932,265957,2822666,721194.5,939976.2156643026
BIP,Success,7371987,265957,2763673,907302.5,1071865.0059080434
BITBRAWL,Success,6585887,181537,965480,355388.75,240172.7627567029
BITTENSORCAPITAL,Success,3742777,0,0,0,0
BLOCKAI,Success,8068828,265945,2821598,721008.5,939581.9677881134
BLOCKCREDIT,Success,7371987,265945,2763673,907302.5,1071865.1007697983
BMP,Success,8556656,243309,3461880,802315.1666666666,1189618.2776430734
BOBA,Success,8294018,265957,3049548,758542.1666666666,1024716.4499122701
BOBO,Success,7242230,265957,2633916,874863.25,1015683.4994956291
BOET,Failed,NA,NA,NA,NA,NA
BOMEAII,Failed,NA,NA,NA,NA,NA
BOMECAT,Failed,NA,NA,NA,NA,NA
BOME,Failed,NA,NA,NA,NA,NA
BOMO,Failed,NA,NA,NA,NA,NA
BONKYOFFICIAL,Failed,NA,NA,NA,NA,NA
BOOK,Success,8171900,265945,2924586,738187.1666666666,977950.4306123116
BOOMY,Failed,NA,NA,NA,NA,NA
BOOM,Success,8070040,265957,2822666,721212.5,939968.2312507074
BOSH,Success,7894013,265957,2834998,830247.2,1004416.9414798617
BOTR,Failed,NA,NA,NA,NA,NA
BOTTO,Success,7521726,437893,2325086,944737.25,797458.2781865065
BOYS,Success,5413165,1670400,1670400,1670400,0
BRATT,Success,7224175,265957,2615921,870352.5,1007898.9553245157
