timestamp,grafana--4a7fb116f8d042eaba5b9cd119b844fc,prometheus--f0f8aa0f3ec3483cbe302398c3397fc4,dora--14f727919f1f480297705c17aa5368ac,beacon-metrics-gazer--d098b9a5a3df49e597061a8423a5afe4,el-forkmon--f1d0fb82e28d4572b526a5db8243ee44,vc-5-geth-prysm--720b6bab17a349d8981f7621e39d1d81,ethereum-metrics-exporter-5-prysm-geth--bfc6794ad1da4980a249d41163e2914d,vc-4-geth-prysm--1ad382aeb0d4476b93e19c95f62fee35,ethereum-metrics-exporter-4-prysm-geth--c9fe452ab41a4111a59e3a66a0110e5d,vc-3-geth-prysm--0071e4888be848879cc2ee6e07013b55,ethereum-metrics-exporter-3-prysm-geth--be8e0c7171474487a57db092fc2661cc,vc-2-geth-prysm--2196dc99b7c9448aa1d0aa721cb9e4cd,ethereum-metrics-exporter-2-prysm-geth--780db6ad5bd74eec9106fe26278e7c57,vc-1-geth-prysm--f7fd9a0b38d74a9ea44345e6b831795c,ethereum-metrics-exporter-1-prysm-geth--3eadc116bd5d44f797ad443dffe008ff,cl-5-prysm-geth--a75415a252294946a995b39ff491349a,cl-4-prysm-geth--4ddda96eb8894391a3aeba43cc247c66,cl-3-prysm-geth--39a9c3e15a054bf5ab3e15d3ff7b522c,cl-2-prysm-geth--e83556b380d54a31a3f1e14d29181eee,cl-1-prysm-geth--d86346f0db5a4a9d92deda81ef69f018,el-5-geth-prysm--b60d5b9e27464f47b56b2d488a8790d6,el-4-geth-prysm--da4e9b625eb54bedbf6a086f9995bce7,el-3-geth-prysm--ccac2e137e514fe3bf32ae48eb4a9c08,el-2-geth-prysm--a784861abd5b4a7da48ec4f09197c102,el-1-geth-prysm--ebf4e3fdc2d3454aaa67d14875baa1d6,validator-key-generation-cl-validator-keystore--eff29244b0454b30b0f8ec469fbdf592,kurtosis-api--7706dcf246e945399c9e32bc40606696,kurtosis-logs-collector--7706dcf246e945399c9e32bc40606696,kurtosis-engine--2c9bfaa44e304f48a474e5c502558513,kurtosis-reverse-proxy--2c9bfaa44e304f48a474e5c502558513,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1717047396,42000.0,13000.0,6000.0,3390.0,10400.0,49.2,36.9,61.4,0.0,573.0,0.0,53.2,152.0,9150.0,3250.0,193.0,184.0,537.0,319.0,12400.0,115.0,20.5,246.0,20.5,13400.0,1950.0,24000.0,9240.0,15600.0,31300.0,11400.0,577000.0,473000.0,260000.0,151000.0
1717047411,42000.0,13000.0,6070.0,3390.0,10400.0,49.2,36.9,61.4,0.0,573.0,0.0,53.2,152.0,9150.0,3250.0,197.0,188.0,541.0,324.0,12400.0,115.0,20.5,246.0,20.5,13400.0,1950.0,24000.0,9240.0,15600.0,31300.0,11400.0,577000.0,473000.0,260000.0,151000.0
1717047426,42000.0,13000.0,6830.0,3590.0,10400.0,49.2,36.9,61.4,0.0,573.0,0.0,53.2,152.0,9150.0,3250.0,197.0,188.0,541.0,324.0,12400.0,115.0,20.5,246.0,20.5,13400.0,1950.0,24000.0,9240.0,15600.0,31300.0,11400.0,577000.0,473000.0,260000.0,151000.0
1717047441,42000.0,13000.0,7320.0,3590.0,10400.0,57.3,36.9,69.6,0.0,578.0,0.0,61.4,152.0,9210.0,3250.0,197.0,188.0,541.0,324.0,12400.0,115.0,20.5,246.0,20.5,13400.0,1950.0,24000.0,9240.0,15600.0,31300.0,11400.0,577000.0,473000.0,260000.0,151000.0
1717047456,42000.0,13000.0,7320.0,3590.0,10400.0,57.3,36.9,73.7,0.0,582.0,0.0,65.5,152.0,9210.0,3250.0,221.0,221.0,545.0,356.0,12400.0,115.0,20.5,246.0,20.5,13400.0,1950.0,24000.0,9240.0,15700.0,31300.0,11400.0,577000.0,473000.0,260000.0,151000.0
1717047471,42000.0,13000.0,7420.0,3590.0,10400.0,238.0,86.0,131.0,0.0,635.0,0.0,131.0,152.0,9250.0,3250.0,250.0,242.0,549.0,377.0,12500.0,119.0,123.0,254.0,24.6,13400.0,1950.0,24000.0,9240.0,15700.0,31300.0,11400.0,577000.0,473000.0,260000.0,151000.0
1717047486,42000.0,13000.0,7420.0,3590.0,10400.0,242.0,86.0,135.0,0.0,647.0,0.0,135.0,152.0,9250.0,3250.0,258.0,250.0,549.0,414.0,12600.0,119.0,123.0,254.0,24.6,13400.0,1950.0,24000.0,9240.0,15700.0,31300.0,11400.0,577000.0,473000.0,260000.0,151000.0
1717047501,42000.0,13000.0,7500.0,3590.0,10400.0,250.0,86.0,139.0,0.0,647.0,0.0,143.0,152.0,9260.0,3250.0,262.0,254.0,553.0,418.0,12600.0,119.0,123.0,254.0,24.6,13400.0,1950.0,24000.0,9240.0,15700.0,31300.0,11400.0,577000.0,473000.0,260000.0,151000.0
1717047516,42000.0,13000.0,7500.0,3590.0,10400.0,258.0,86.0,152.0,0.0,655.0,0.0,143.0,152.0,9260.0,3250.0,262.0,254.0,553.0,418.0,12600.0,119.0,123.0,254.0,24.6,13400.0,1950.0,24000.0,9240.0,18000.0,38600.0,11400.0,577000.0,473000.0,260000.0,151000.0
1717047531,42000.0,13000.0,7500.0,3590.0,10400.0,389.0,86.0,172.0,41.0,664.0,0.0,160.0,152.0,9270.0,3250.0,307.0,299.0,594.0,418.0,12600.0,127.0,250.0,356.0,28.7,13500.0,1950.0,25400.0,9240.0,18000.0,38600.0,11400.0,577000.0,473000.0,261000.0,151000.0
