timestamp,beacon-metrics-gazer--d098b9a5a3df49e597061a8423a5afe4,cadvisor,cl-1-prysm-geth--d86346f0db5a4a9d92deda81ef69f018,cl-2-prysm-geth--e83556b380d54a31a3f1e14d29181eee,cl-3-prysm-geth--39a9c3e15a054bf5ab3e15d3ff7b522c,cl-4-prysm-geth--4ddda96eb8894391a3aeba43cc247c66,cl-5-prysm-geth--a75415a252294946a995b39ff491349a,dora--14f727919f1f480297705c17aa5368ac,el-1-geth-prysm--ebf4e3fdc2d3454aaa67d14875baa1d6,el-2-geth-prysm--a784861abd5b4a7da48ec4f09197c102,el-3-geth-prysm--ccac2e137e514fe3bf32ae48eb4a9c08,el-4-geth-prysm--da4e9b625eb54bedbf6a086f9995bce7,el-5-geth-prysm--b60d5b9e27464f47b56b2d488a8790d6,el-forkmon--f1d0fb82e28d4572b526a5db8243ee44,ethereum-metrics-exporter-1-prysm-geth--3eadc116bd5d44f797ad443dffe008ff,ethereum-metrics-exporter-2-prysm-geth--780db6ad5bd74eec9106fe26278e7c57,ethereum-metrics-exporter-3-prysm-geth--be8e0c7171474487a57db092fc2661cc,ethereum-metrics-exporter-4-prysm-geth--c9fe452ab41a4111a59e3a66a0110e5d,ethereum-metrics-exporter-5-prysm-geth--bfc6794ad1da4980a249d41163e2914d,grafana--4a7fb116f8d042eaba5b9cd119b844fc,helpers-grafana-1,kurtosis-api--7706dcf246e945399c9e32bc40606696,kurtosis-engine--2c9bfaa44e304f48a474e5c502558513,kurtosis-logs-aggregator,kurtosis-logs-collector--7706dcf246e945399c9e32bc40606696,kurtosis-reverse-proxy--2c9bfaa44e304f48a474e5c502558513,portainer,prometheus,prometheus--f0f8aa0f3ec3483cbe302398c3397fc4,validator-key-generation-cl-validator-keystore--eff29244b0454b30b0f8ec469fbdf592,vc-1-geth-prysm--f7fd9a0b38d74a9ea44345e6b831795c,vc-2-geth-prysm--2196dc99b7c9448aa1d0aa721cb9e4cd,vc-3-geth-prysm--0071e4888be848879cc2ee6e07013b55,vc-4-geth-prysm--1ad382aeb0d4476b93e19c95f62fee35,vc-5-geth-prysm--720b6bab17a349d8981f7621e39d1d81
1717047396,5914624.0,234127360.0,223293440.0,195555328.0,202547200.0,211206144.0,185905152.0,28553216.0,56463360.0,43307008.0,41844736.0,38674432.0,38195200.0,29880320.0,12423168.0,8310784.0,8916992.0,8241152.0,8196096.0,106254336.0,39047168.0,47915008.0,28409856.0,24031232.0,14495744.0,58343424.0,14561280.0,661463040.0,74461184.0,9109504.0,33980416.0,25272320.0,25341952.0,26284032.0,24690688.0
1717047411,5914624.0,233062400.0,235737088.0,198795264.0,202690560.0,213794816.0,192397312.0,28561408.0,57794560.0,43655168.0,41807872.0,39104512.0,39038976.0,30699520.0,12173312.0,8642560.0,8400896.0,8626176.0,8237056.0,106266624.0,39043072.0,47915008.0,28409856.0,23400448.0,14155776.0,58343424.0,17252352.0,663515136.0,75165696.0,9109504.0,34029568.0,25452544.0,25350144.0,26300416.0,25747456.0
1717047426,5914624.0,231428096.0,235810816.0,198881280.0,206290944.0,223313920.0,195969024.0,28639232.0,57376768.0,43724800.0,42688512.0,39440384.0,39464960.0,30789632.0,11776000.0,9195520.0,8548352.0,8470528.0,8810496.0,106856448.0,39043072.0,45854720.0,28651520.0,23838720.0,14180352.0,58343424.0,17252352.0,664268800.0,75177984.0,9109504.0,34070528.0,26042368.0,25378816.0,24883200.0,25776128.0
1717047441,5914624.0,230977536.0,238145536.0,217968640.0,224735232.0,241106944.0,200437760.0,28655616.0,57487360.0,43954176.0,43446272.0,39804928.0,40120320.0,30560256.0,12345344.0,8646656.0,8572928.0,8740864.0,8740864.0,107089920.0,39043072.0,45854720.0,28651520.0,23830528.0,14135296.0,58343424.0,17252352.0,664350720.0,75198464.0,9109504.0,34082816.0,25800704.0,25382912.0,24883200.0,25841664.0
1717047456,6844416.0,230547456.0,253702144.0,229502976.0,229941248.0,253227008.0,204795904.0,40964096.0,57749504.0,45056000.0,43909120.0,40112128.0,40140800.0,30597120.0,11988992.0,9326592.0,8679424.0,8900608.0,8790016.0,108683264.0,39043072.0,45854720.0,28651520.0,23638016.0,14139392.0,58343424.0,17252352.0,664522752.0,75202560.0,9109504.0,34115584.0,25825280.0,25899008.0,24920064.0,25612288.0
1717047471,6844416.0,230662144.0,253792256.0,229564416.0,232693760.0,287322112.0,220876800.0,40992768.0,58384384.0,44609536.0,44003328.0,40419328.0,40808448.0,31440896.0,11890688.0,8761344.0,8740864.0,8708096.0,8728576.0,108892160.0,39043072.0,45854720.0,28651520.0,23977984.0,14139392.0,58343424.0,17252352.0,664526848.0,75202560.0,9109504.0,34201600.0,26148864.0,25915392.0,25772032.0,25632768.0
1717047486,6176768.0,241041408.0,253816832.0,243396608.0,249950208.0,287481856.0,253722624.0,35016704.0,45961216.0,44695552.0,45076480.0,40632320.0,40370176.0,20017152.0,9502720.0,8974336.0,8146944.0,8339456.0,8441856.0,79642624.0,42639360.0,45842432.0,13766656.0,12345344.0,5091328.0,27877376.0,16683008.0,659099648.0,62705664.0,9097216.0,25194496.0,26394624.0,24702976.0,25952256.0,25767936.0
1717047501,6176768.0,241483776.0,273231872.0,272318464.0,259997696.0,287555584.0,255954944.0,35233792.0,46702592.0,45436928.0,45469696.0,41512960.0,41566208.0,19501056.0,8945664.0,9326592.0,8347648.0,8544256.0,8339456.0,79646720.0,42639360.0,45748224.0,13766656.0,12201984.0,5091328.0,23027712.0,16683008.0,659341312.0,62709760.0,9097216.0,26222592.0,26427392.0,24719360.0,25919488.0,25788416.0
1717047516,6172672.0,239611904.0,277680128.0,272502784.0,265445376.0,288350208.0,263974912.0,35250176.0,46866432.0,45973504.0,45604864.0,41955328.0,40992768.0,19521536.0,8962048.0,8470528.0,8376320.0,8843264.0,8200192.0,79667200.0,42639360.0,45748224.0,13766656.0,12234752.0,5095424.0,23027712.0,16683008.0,708767744.0,62738432.0,9097216.0,26238976.0,25133056.0,25939968.0,25923584.0,25485312.0
1717047531,6172672.0,239046656.0,280014848.0,272572416.0,272261120.0,323989504.0,265175040.0,35352576.0,47783936.0,45969408.0,46100480.0,41902080.0,41881600.0,20201472.0,8577024.0,8318976.0,9396224.0,8765440.0,8343552.0,79679488.0,42639360.0,45748224.0,13766656.0,13312000.0,5296128.0,23027712.0,13848576.0,708767744.0,62746624.0,9097216.0,26812416.0,25931776.0,25968640.0,25968640.0,25489408.0
