timestamp,beacon-metrics-gazer--d098b9a5a3df49e597061a8423a5afe4,cadvisor,cl-1-prysm-geth--d86346f0db5a4a9d92deda81ef69f018,cl-2-prysm-geth--e83556b380d54a31a3f1e14d29181eee,cl-3-prysm-geth--39a9c3e15a054bf5ab3e15d3ff7b522c,cl-4-prysm-geth--4ddda96eb8894391a3aeba43cc247c66,cl-5-prysm-geth--a75415a252294946a995b39ff491349a,dora--14f727919f1f480297705c17aa5368ac,el-1-geth-prysm--ebf4e3fdc2d3454aaa67d14875baa1d6,el-2-geth-prysm--a784861abd5b4a7da48ec4f09197c102,el-3-geth-prysm--ccac2e137e514fe3bf32ae48eb4a9c08,el-4-geth-prysm--da4e9b625eb54bedbf6a086f9995bce7,el-5-geth-prysm--b60d5b9e27464f47b56b2d488a8790d6,el-forkmon--f1d0fb82e28d4572b526a5db8243ee44,ethereum-metrics-exporter-1-prysm-geth--3eadc116bd5d44f797ad443dffe008ff,ethereum-metrics-exporter-2-prysm-geth--780db6ad5bd74eec9106fe26278e7c57,ethereum-metrics-exporter-3-prysm-geth--be8e0c7171474487a57db092fc2661cc,ethereum-metrics-exporter-4-prysm-geth--c9fe452ab41a4111a59e3a66a0110e5d,ethereum-metrics-exporter-5-prysm-geth--bfc6794ad1da4980a249d41163e2914d,grafana--4a7fb116f8d042eaba5b9cd119b844fc,helpers-grafana-1,kurtosis-api--7706dcf246e945399c9e32bc40606696,kurtosis-engine--2c9bfaa44e304f48a474e5c502558513,kurtosis-logs-aggregator,kurtosis-logs-collector--7706dcf246e945399c9e32bc40606696,kurtosis-reverse-proxy--2c9bfaa44e304f48a474e5c502558513,portainer,prometheus,prometheus--f0f8aa0f3ec3483cbe302398c3397fc4,validator-key-generation-cl-validator-keystore--eff29244b0454b30b0f8ec469fbdf592,vc-1-geth-prysm--f7fd9a0b38d74a9ea44345e6b831795c,vc-2-geth-prysm--2196dc99b7c9448aa1d0aa721cb9e4cd,vc-3-geth-prysm--0071e4888be848879cc2ee6e07013b55,vc-4-geth-prysm--1ad382aeb0d4476b93e19c95f62fee35,vc-5-geth-prysm--720b6bab17a349d8981f7621e39d1d81
1717047396,5926912.0,264556544.0,229396480.0,195637248.0,202678272.0,211283968.0,185999360.0,29118464.0,57266176.0,43384832.0,42086400.0,38727680.0,38264832.0,30277632.0,12427264.0,8310784.0,8916992.0,8241152.0,8196096.0,111525888.0,63397888.0,63508480.0,29446144.0,32112640.0,14532608.0,58388480.0,18923520.0,675848192.0,76042240.0,11141120.0,34258944.0,25399296.0,25853952.0,26411008.0,24838144.0
1717047411,5926912.0,264298496.0,241840128.0,198881280.0,202825728.0,213880832.0,192495616.0,29126656.0,58626048.0,43741184.0,42061824.0,39182336.0,39120896.0,31105024.0,12177408.0,8642560.0,8400896.0,8626176.0,8237056.0,111538176.0,63393792.0,63508480.0,29446144.0,31956992.0,14192640.0,58388480.0,21798912.0,677953536.0,76857344.0,11141120.0,34316288.0,25591808.0,25878528.0,26435584.0,25919488.0
1717047426,5926912.0,264577024.0,241913856.0,198975488.0,206434304.0,223408128.0,196075520.0,29204480.0,58216448.0,43835392.0,42958848.0,39522304.0,39567360.0,31199232.0,11780096.0,9195520.0,8548352.0,8470528.0,8810496.0,112128000.0,63393792.0,61448192.0,29691904.0,32837632.0,14217216.0,58388480.0,21798912.0,678760448.0,76967936.0,11141120.0,34361344.0,26198016.0,25907200.0,25042944.0,25956352.0
1717047441,5926912.0,264585216.0,244248576.0,218066944.0,224882688.0,241213440.0,200548352.0,29220864.0,58351616.0,44072960.0,43724800.0,39907328.0,40226816.0,30982144.0,12349440.0,8646656.0,8572928.0,8740864.0,8740864.0,112361472.0,63393792.0,61448192.0,29691904.0,33202176.0,14172160.0,58388480.0,21798912.0,678895616.0,77099008.0,11141120.0,34381824.0,25964544.0,25915392.0,25051136.0,26034176.0
1717047456,7057408.0,264314880.0,259805184.0,229605376.0,230092800.0,253333504.0,204910592.0,41529344.0,58626048.0,45199360.0,44212224.0,40226816.0,40275968.0,31027200.0,11993088.0,9326592.0,8679424.0,8900608.0,8790016.0,113954816.0,63393792.0,61448192.0,29691904.0,33468416.0,14176256.0,58388480.0,21798912.0,679120896.0,77205504.0,11141120.0,34414592.0,26001408.0,26435584.0,25092096.0,25825280.0
1717047471,7057408.0,264462336.0,259895296.0,229666816.0,232845312.0,287428608.0,220991488.0,41558016.0,59285504.0,44761088.0,44314624.0,40558592.0,40947712.0,31875072.0,11894784.0,8761344.0,8740864.0,8708096.0,8728576.0,114163712.0,63393792.0,61448192.0,29691904.0,34332672.0,14176256.0,58388480.0,21798912.0,679178240.0,77312000.0,11141120.0,34500608.0,26341376.0,26456064.0,25956352.0,25853952.0
1717047486,7057408.0,262508544.0,257564672.0,243535872.0,250368000.0,287531008.0,253755392.0,41025536.0,58675200.0,44707840.0,45076480.0,40632320.0,40501248.0,30302208.0,12746752.0,9125888.0,8146944.0,8339456.0,8478720.0,112939008.0,55197696.0,60125184.0,29802496.0,29437952.0,14143488.0,58343424.0,17616896.0,679366656.0,76791808.0,10604544.0,34385920.0,26472448.0,25305088.0,25952256.0,25849856.0
1717047501,7057408.0,263069696.0,276013056.0,272494592.0,260427776.0,287641600.0,256053248.0,41242624.0,59453440.0,45461504.0,45469696.0,41582592.0,41709568.0,29794304.0,12189696.0,9478144.0,8347648.0,8544256.0,8376320.0,112943104.0,55197696.0,56623104.0,29802496.0,29659136.0,14143488.0,53493760.0,17616896.0,679661568.0,76902400.0,10604544.0,35467264.0,26529792.0,25329664.0,26046464.0,25886720.0
1717047516,7053312.0,262582272.0,280469504.0,272687104.0,265875456.0,288444416.0,264081408.0,41259008.0,59625472.0,46026752.0,45604864.0,42033152.0,41160704.0,29822976.0,12206080.0,8622080.0,8376320.0,8843264.0,8237056.0,112963584.0,55197696.0,56623104.0,29802496.0,30060544.0,14155776.0,53493760.0,17616896.0,729141248.0,77041664.0,10604544.0,35491840.0,25239552.0,26562560.0,26054656.0,25587712.0
1717047531,7053312.0,263417856.0,282808320.0,272760832.0,272695296.0,324087808.0,265285632.0,41361408.0,60571648.0,46030848.0,46100480.0,42004480.0,42053632.0,30515200.0,11821056.0,8470528.0,9396224.0,8765440.0,8380416.0,112975872.0,55197696.0,56623104.0,29802496.0,31637504.0,14356480.0,53493760.0,14782464.0,729190400.0,77160448.0,10604544.0,36073472.0,26066944.0,26599424.0,26103808.0,25600000.0
