timestamp,beacon-metrics-gazer--d098b9a5a3df49e597061a8423a5afe4,cadvisor,cl-1-prysm-geth--d86346f0db5a4a9d92deda81ef69f018,cl-2-prysm-geth--e83556b380d54a31a3f1e14d29181eee,cl-3-prysm-geth--39a9c3e15a054bf5ab3e15d3ff7b522c,cl-4-prysm-geth--4ddda96eb8894391a3aeba43cc247c66,cl-5-prysm-geth--a75415a252294946a995b39ff491349a,dora--14f727919f1f480297705c17aa5368ac,el-1-geth-prysm--ebf4e3fdc2d3454aaa67d14875baa1d6,el-2-geth-prysm--a784861abd5b4a7da48ec4f09197c102,el-3-geth-prysm--ccac2e137e514fe3bf32ae48eb4a9c08,el-4-geth-prysm--da4e9b625eb54bedbf6a086f9995bce7,el-5-geth-prysm--b60d5b9e27464f47b56b2d488a8790d6,el-forkmon--f1d0fb82e28d4572b526a5db8243ee44,ethereum-metrics-exporter-1-prysm-geth--3eadc116bd5d44f797ad443dffe008ff,ethereum-metrics-exporter-2-prysm-geth--780db6ad5bd74eec9106fe26278e7c57,ethereum-metrics-exporter-3-prysm-geth--be8e0c7171474487a57db092fc2661cc,ethereum-metrics-exporter-4-prysm-geth--c9fe452ab41a4111a59e3a66a0110e5d,ethereum-metrics-exporter-5-prysm-geth--bfc6794ad1da4980a249d41163e2914d,grafana--4a7fb116f8d042eaba5b9cd119b844fc,helpers-grafana-1,kurtosis-api--7706dcf246e945399c9e32bc40606696,kurtosis-engine--2c9bfaa44e304f48a474e5c502558513,kurtosis-logs-aggregator,kurtosis-logs-collector--7706dcf246e945399c9e32bc40606696,kurtosis-reverse-proxy--2c9bfaa44e304f48a474e5c502558513,portainer,prometheus,prometheus--f0f8aa0f3ec3483cbe302398c3397fc4,validator-key-generation-cl-validator-keystore--eff29244b0454b30b0f8ec469fbdf592,vc-1-geth-prysm--f7fd9a0b38d74a9ea44345e6b831795c,vc-2-geth-prysm--2196dc99b7c9448aa1d0aa721cb9e4cd,vc-3-geth-prysm--0071e4888be848879cc2ee6e07013b55,vc-4-geth-prysm--1ad382aeb0d4476b93e19c95f62fee35,vc-5-geth-prysm--720b6bab17a349d8981f7621e39d1d81
1717047396,12.312549329123915,53090.200846618034,57254.40007147325,57018.201308219024,61092.81134726858,58256.950239360536,60731.98431655324,155.21650939236264,19258.245553445,18065.637580907052,15378.798696952119,17623.550442315624,16928.964211665014,3453.982830904373,851.5216859702554,856.416326888509,804.7267966650589,862.0358800428419,854.3285982310373,21.5473735024356,5.384013621094289,0.0,0.0,467.9542872418633,21148.04966588823,0.0,0.0,705.9616032334119,864.4699533522363,0.0,5130.691418658616,5327.27677082175,5231.6806984720915,5020.0204754862925,5394.258547348787
1717047411,12.277388019427955,53034.29432400827,67580.18458445653,70654.91055614596,73076.43128926643,69844.5105285024,67665.819374742,156.20146438872865,20153.09272626319,17571.633617453514,16047.944752112613,16839.14328245462,16169.881510057867,2990.34415555654,843.8298056529454,878.7012639006745,894.3247666651922,884.813512856227,849.5874715211571,16.555560460906804,12.529156947684104,0.0,0.0,478.51685393258424,24692.09374528363,0.0,0.0,725.946798917944,883.9421779074326,0.0,5245.449770490305,5710.590725673084,5598.616526777256,5448.6015338749685,5444.3622920517555
1717047426,12.349588347055098,52567.6519103027,67971.24401380999,69537.23094822571,69518.35838765465,66555.30579542418,65604.40454975468,151.06364654207215,19824.495510712062,17872.681300485558,16934.280833917306,17735.91302826144,16372.38256932654,3083.981067349863,817.2310218899237,853.5179556456152,883.1587608690818,819.6696304044631,817.9192677670895,14.851153974802097,12.349733955199369,0.0,0.0,476.29055562853017,24233.303079273017,1.5933353060341884,0.0,726.5802305462553,884.8071431808911,0.0,5457.2458056525165,5629.600159140641,5507.091478951048,5139.299907941711,5352.81534793556
1717047441,11.870081307882952,52052.50264830509,70806.7045206377,69249.9605704887,71078.32696259307,67560.29684601113,67919.41591225627,129.08287292817678,18974.48852436731,19301.052956888365,18020.378816815333,18436.006899525655,17837.53953539099,3248.3409789337734,858.5088931099982,859.3180841195503,931.978912176932,843.7292487493914,829.057010311545,0.0,8.065915004336514,0.0,0.0,458.64247814887386,24682.28564082787,1.586510131000408,0.0,741.4429720240117,897.6635713980058,0.0,5224.243089074156,5145.056323106528,5214.296797074144,5174.393613754989,5264.730546850863
1717047456,110.8151305274374,52530.178173719374,124966.90302170829,57752.27872524451,60548.44598806661,123443.69831218873,61262.83385944881,241.00184292914716,18016.64657858231,18720.924574209246,17904.93997244637,19276.131148994657,18203.206562266965,3558.1607051666333,881.5988103553163,834.2466353952041,955.9889313480038,853.0414379316451,869.4394618834081,0.0,0.0,0.0,0.0,509.99133121429685,23414.22040962668,1.483207966945651,0.0,704.5704482470417,869.0537774678933,0.0,6180.438261178771,5775.988286969254,5769.995626855708,6463.327485129872,5656.050815420459
1717047471,158.76766784452298,52367.32383109098,134613.2861445121,67214.52210314068,70785.52477740803,133708.55415980695,64558.22500510447,247.59852769548436,16739.232643906227,16731.21747253236,17448.104877054746,17677.797159232494,18027.498501897597,3788.6490807354126,897.530324303174,855.1502618031416,866.3024984328825,878.3275916066395,870.6846758786154,0.0,0.0,0.0,1.563197856185797,529.783916239697,27386.02307386288,0.0,0.0,705.2035899022945,883.3359538195458,0.0,6475.2620685050415,6245.863939806649,5860.475744847549,6357.037135219916,6096.563732945403
1717047486,210.86448598130843,52274.986146514464,135361.01877536048,68379.86595055263,66377.62967899589,131073.55775695908,69834.34583553442,239.65315106067644,17740.644421915636,16806.797653828144,16683.13221058215,18296.656973467685,18205.087055926837,4074.62887383953,859.55847815876,866.6523880916684,774.520573023937,858.3057115154795,858.9781621522944,1.5466878783861415,0.0,0.0,1.3673539156707908,501.32602545968876,26787.120581418898,0.0,0.0,684.1536199290719,865.1542360937466,0.0,6247.027355076536,6185.610340308221,5837.973148938081,6245.002366410493,5983.9473684210525
1717047501,157.99260620282027,52119.30336383326,72451.96963895584,71776.21290308042,68236.3360990386,68710.9475173542,70457.65994390276,129.55602727970734,18115.978756693625,16852.292020373516,17482.64977114383,17223.049926412317,16566.808641433214,4120.245725311037,889.3506378061247,893.4740665077744,864.4862944842839,846.1994597325016,839.5584055000992,1.5442311934701083,0.0,1.53169514890265,1.4372831242428599,448.2381558099574,25146.918358570427,0.0,0.0,716.4077713871656,881.2593569146203,1.5895363095508426,5283.948460362525,5360.468501556446,5112.153352982939,5265.780656689747,5241.630049294047
1717047516,156.9226710054748,52933.42013109455,61226.694301441916,62429.17216543271,59154.59526608842,59614.295731440085,66172.89121329832,150.8576972262645,19439.25508564705,18391.81470654374,17039.260767698,18019.45019604388,17633.288643706455,4273.400375732125,891.8472784959376,890.5587146854409,781.5499829796892,873.8787226408325,865.5027335928182,1.5481587968594492,0.0,3.087645009042389,0.0,452.5711208830656,21608.50366458779,1.472103636095981,0.0,698.1272751195122,866.0786060355878,1.5424617689832976,5167.838158414971,5226.502617569747,5374.747272767669,5350.310473929321,5239.65451995637
1717047531,161.16794255131768,52846.40207964503,67950.81713096239,69772.57569109258,71207.11241927689,61139.971732093196,70523.48031746753,153.48603180853624,19367.44410557957,17724.563229335046,17119.367676321028,16771.500492503008,16921.187565810556,4727.037459426265,905.4546257257012,845.323904075434,970.5746316322711,870.8819225823614,846.20537643703,0.0,0.0,3.015356781322019,0.0,501.84959574703737,22495.307472291737,1.448885514667937,0.0,723.7327658418419,876.3649864593344,1.567082316595402,5643.520585871215,5582.968853545394,5935.67134713072,5575.336175795343,5605.299954894001
