timestamp,grafana--b00abafe65184f5caa6721a800c6d010,prometheus--b1fe3fc0b5dc477ab6385a2500d7c92a,dora--2013dff356474be4a223e18bf39604d3,beacon-metrics-gazer--41187cc62289490d96fa8e943fdd9c80,el-forkmon--6f9431cb54ee47a7a1992238557683ef,vc-5-geth-prysm--37cd0b0864644d9d85d3573c71fd0537,ethereum-metrics-exporter-5-prysm-geth--186affe656734e5795966d0af83c6d96,vc-4-geth-prysm--b073613778674434ab8d5ba9136e4eb6,ethereum-metrics-exporter-4-prysm-geth--c35216f8f4ad46799cd97aa5ff833c4f,vc-3-geth-prysm--d250afe00edc4f7e85d4e85cfcd659f2,ethereum-metrics-exporter-3-prysm-geth--3aa770c39dc84aa38ecae4d357b1ff78,vc-2-geth-prysm--ea63ae36cf064ae38c79fc09b0bdbfc0,ethereum-metrics-exporter-2-prysm-geth--64fa870b863343e4b976cefefbbe217a,vc-1-geth-prysm--002232e17da6491eaab9374c1095bdb4,ethereum-metrics-exporter-1-prysm-geth--d52fdae9fb2e4ecdb438ea1ab139b096,cl-5-prysm-geth--30d3adb3ae1945a6bdaa08037a4ea45d,cl-4-prysm-geth--74ce62db53534923a5a0c50033b1e287,cl-3-prysm-geth--f37998bfa5fb4219ba4d93002004bcf7,cl-2-prysm-geth--a453f7b4bb0d41ab95ec6d8bfc3163e0,cl-1-prysm-geth--aa389c42a32547d2ab12fe67ba63476f,el-5-geth-prysm--f94a5d18b5684cdca5e8a5e9fa994ec3,el-4-geth-prysm--f1754fd0761f40bb9acbcb9e9302bd8e,el-3-geth-prysm--606626f9ee9c49ee9eb04ef20bb2929d,el-2-geth-prysm--a00d33a98893482499b530884747e193,el-1-geth-prysm--6930da1eaad9437bb3862dcabd2a5a9b,validator-key-generation-cl-validator-keystore--720f0f410e5e4ddebe256ae3833b60ba,kurtosis-api--f4c77b295d9f42719bdaaaa6536797d0,kurtosis-logs-collector--f4c77b295d9f42719bdaaaa6536797d0,kurtosis-engine--3de9051e1dbb465ba4e1ab813b9681bf,kurtosis-reverse-proxy--3de9051e1dbb465ba4e1ab813b9681bf,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1717054122,106000.0,42300.0,7810.0,9880.0,16100.000000000002,94.2,0.0,81.9,81.9,201.0,254.0,270.0,0.0,24300.0,6440.0,123.0,193.0,81.9,98.3,21900.0,8.19,193.0,98.3,311.0,19300.0,9090.0,38400.0,15400.0,22200.0,67900.0,27300.0,656000.0,694000.0,332000.0,185000.0
1717054137,106000.0,42300.0,7810.0,9880.0,16100.000000000002,94.2,0.0,90.1,81.9,209.0,254.0,270.0,0.0,24300.0,6440.0,135.0,197.0,94.2,111.0,21900.0,8.19,193.0,98.3,311.0,19300.0,9090.0,38400.0,15400.0,22700.0,67900.0,27300.0,656000.0,694000.0,332000.0,185000.0
1717054152,106000.0,42300.0,7810.0,9880.0,16100.000000000002,106.0,0.0,106.0,81.9,209.0,254.0,283.0,0.0,24300.0,6440.0,172.0,205.0,180.0,111.0,21900.0,8.19,193.0,98.3,311.0,19300.0,9090.0,38400.0,15400.0,22700.0,67900.0,27300.0,656000.0,694000.0,332000.0,185000.0
1717054167,106000.0,42300.0,7810.0,9880.0,16100.000000000002,160.0,0.0,160.0,81.9,254.0,254.0,307.0,0.0,24300.0,6470.0,274.0,250.0,229.0,160.0,22000.0,12.3,201.0,102.0,315.0,19300.0,9090.0,38400.0,15400.0,22700.0,67900.0,27300.0,656000.0,694000.0,332000.0,185000.0
1717054182,106000.0,42300.0,7860.0,9880.0,16100.000000000002,201.0,24.6,172.0,81.9,262.0,254.0,328.0,0.0,24300.0,6470.0,274.0,303.0,229.0,274.0,22000.0,12.3,201.0,102.0,315.0,19300.0,9090.0,38400.0,15400.0,32100.0,74300.0,27300.0,656000.0,694000.0,332000.0,185000.0
1717054197,106000.0,42300.0,7860.0,9880.0,16100.000000000002,209.0,24.6,176.0,147.0,274.0,254.0,336.0,0.0,24300.0,6590.0,283.0,311.0,238.0,283.0,22000.0,12.3,201.0,102.0,315.0,19300.0,9090.0,41000.0,15400.0,32100.0,74300.0,27300.0,656000.0,695000.0,332000.0,185000.0
1717054212,106000.0,42300.0,7860.0,9880.0,16100.000000000002,213.0,24.6,180.0,221.0,287.0,254.0,365.0,0.0,24400.0,6590.0,287.0,315.0,287.0,287.0,22000.0,12.3,201.0,102.0,315.0,19300.0,9090.0,41600.0,15400.0,32100.0,74300.0,27300.0,656000.0,695000.0,332000.0,185000.0
1717054227,106000.0,42300.0,7860.0,9880.0,16100.000000000002,217.0,24.6,193.0,221.0,287.0,287.0,365.0,0.0,24400.0,6590.0,295.0,360.0,295.0,295.0,22000.0,12.3,201.0,102.0,315.0,19300.0,9090.0,41600.0,15400.0,32100.0,74300.0,27300.0,656000.0,695000.0,332000.0,185000.0
1717054242,106000.0,42400.0,7860.0,9880.0,16100.000000000002,225.0,24.6,209.0,221.0,307.0,287.0,385.0,0.0,24400.0,6590.0,295.0,360.0,295.0,295.0,22000.0,12.3,201.0,102.0,315.0,19300.0,9090.0,41600.0,15400.0,32100.0,74300.0,27300.0,656000.0,695000.0,332000.0,185000.0
1717054257,106000.0,42400.0,8200.0,9880.0,16100.000000000002,233.0,24.6,217.0,221.0,307.0,287.0,393.0,0.0,24500.0,6590.0,299.0,365.0,299.0,299.0,22000.0,12.3,201.0,102.0,315.0,19300.0,9090.0,41600.0,15400.0,32100.0,74300.0,27300.0,656000.0,695000.0,332000.0,185000.0
