timestamp,beacon-metrics-gazer--41187cc62289490d96fa8e943fdd9c80,cadvisor,cl-1-prysm-geth--aa389c42a32547d2ab12fe67ba63476f,cl-2-prysm-geth--a453f7b4bb0d41ab95ec6d8bfc3163e0,cl-3-prysm-geth--f37998bfa5fb4219ba4d93002004bcf7,cl-4-prysm-geth--74ce62db53534923a5a0c50033b1e287,cl-5-prysm-geth--30d3adb3ae1945a6bdaa08037a4ea45d,dora--2013dff356474be4a223e18bf39604d3,el-1-geth-prysm--6930da1eaad9437bb3862dcabd2a5a9b,el-2-geth-prysm--a00d33a98893482499b530884747e193,el-3-geth-prysm--606626f9ee9c49ee9eb04ef20bb2929d,el-4-geth-prysm--f1754fd0761f40bb9acbcb9e9302bd8e,el-5-geth-prysm--f94a5d18b5684cdca5e8a5e9fa994ec3,el-forkmon--6f9431cb54ee47a7a1992238557683ef,ethereum-metrics-exporter-1-prysm-geth--d52fdae9fb2e4ecdb438ea1ab139b096,ethereum-metrics-exporter-2-prysm-geth--64fa870b863343e4b976cefefbbe217a,ethereum-metrics-exporter-3-prysm-geth--3aa770c39dc84aa38ecae4d357b1ff78,ethereum-metrics-exporter-4-prysm-geth--c35216f8f4ad46799cd97aa5ff833c4f,ethereum-metrics-exporter-5-prysm-geth--186affe656734e5795966d0af83c6d96,grafana--b00abafe65184f5caa6721a800c6d010,helpers-grafana-1,kurtosis-api--f4c77b295d9f42719bdaaaa6536797d0,kurtosis-engine--3de9051e1dbb465ba4e1ab813b9681bf,kurtosis-logs-aggregator,kurtosis-logs-collector--f4c77b295d9f42719bdaaaa6536797d0,kurtosis-reverse-proxy--3de9051e1dbb465ba4e1ab813b9681bf,portainer,prometheus,prometheus--b1fe3fc0b5dc477ab6385a2500d7c92a,validator-key-generation-cl-validator-keystore--720f0f410e5e4ddebe256ae3833b60ba,vc-1-geth-prysm--002232e17da6491eaab9374c1095bdb4,vc-2-geth-prysm--ea63ae36cf064ae38c79fc09b0bdbfc0,vc-3-geth-prysm--d250afe00edc4f7e85d4e85cfcd659f2,vc-4-geth-prysm--b073613778674434ab8d5ba9136e4eb6,vc-5-geth-prysm--37cd0b0864644d9d85d3573c71fd0537
1717054122,12808192.0,117018624.0,288710656.0,242429952.0,245379072.0,222916608.0,229588992.0,42283008.0,62951424.0,43728896.0,42704896.0,43892736.0,43819008.0,36950016.0,14876672.0,8839168.0,8994816.0,8335360.0,9134080.0,175292416.0,65253376.0,58765312.0,35942400.0,39268352.0,19824640.0,97374208.0,18997248.0,915353600.0,105549824.0,16154624.0,48918528.0,25165824.0,25899008.0,26087424.0,25710592.0
1717054137,12808192.0,116756480.0,288776192.0,253714432.0,262283264.0,228020224.0,241213440.0,42344448.0,63844352.0,44830720.0,42725376.0,44118016.0,44519424.0,34807808.0,15872000.0,8151040.0,8933376.0,8892416.0,8138752.0,175239168.0,65257472.0,58765312.0,35942400.0,39596032.0,19808256.0,97374208.0,18997248.0,761917440.0,105717760.0,16154624.0,48939008.0,26030080.0,25493504.0,26107904.0,25735168.0
1717054152,12808192.0,116760576.0,304877568.0,255922176.0,287367168.0,247853056.0,247070720.0,42352640.0,63967232.0,45129728.0,43253760.0,44056576.0,44371968.0,36540416.0,14901248.0,9019392.0,8216576.0,9244672.0,8196096.0,175378432.0,65257472.0,58765312.0,35745792.0,39309312.0,19808256.0,97374208.0,18997248.0,762863616.0,105725952.0,16154624.0,48963584.0,26066944.0,25518080.0,26140672.0,25759744.0
1717054167,12804096.0,116658176.0,304988160.0,258408448.0,287637504.0,264105984.0,255229952.0,42356736.0,64405504.0,45510656.0,42848256.0,44486656.0,45346816.0,36413440.0,15806464.0,9060352.0,8716288.0,8552448.0,8101888.0,175546368.0,65257472.0,58765312.0,35745792.0,39493632.0,19812352.0,97374208.0,18997248.0,763138048.0,105820160.0,16154624.0,48984064.0,25378816.0,25890816.0,26148864.0,25788416.0
1717054182,3751936.0,166187008.0,284332032.0,260120576.0,289329152.0,263835648.0,273330176.0,34951168.0,45367296.0,45326336.0,43806720.0,44888064.0,45608960.0,20856832.0,8974336.0,8728576.0,9498624.0,8306688.0,8155136.0,87134208.0,66031616.0,21630976.0,13570048.0,12484608.0,5009408.0,29863936.0,17424384.0,766816256.0,63856640.0,15978496.0,24768512.0,25174016.0,25976832.0,26247168.0,25780224.0
1717054197,3751936.0,165998592.0,285351936.0,271859712.0,293781504.0,272523264.0,273321984.0,35045376.0,46247936.0,45342720.0,44060672.0,45621248.0,45715456.0,22462464.0,8925184.0,9474048.0,8994816.0,8503296.0,8495104.0,87138304.0,66031616.0,21630976.0,13570048.0,12341248.0,5017600.0,26824704.0,17424384.0,766902272.0,63860736.0,15978496.0,24522752.0,25882624.0,26030080.0,26296320.0,25825280.0
1717054212,3751936.0,166952960.0,285442048.0,282341376.0,296341504.0,287383552.0,273428480.0,35049472.0,46723072.0,46542848.0,44359680.0,46215168.0,46034944.0,19701760.0,8630272.0,8933376.0,9072640.0,8302592.0,9216000.0,87150592.0,66031616.0,21630976.0,13570048.0,13393920.0,5017600.0,34971648.0,17424384.0,767356928.0,63873024.0,15978496.0,25653248.0,25911296.0,26083328.0,26574848.0,26341376.0
1717054227,3751936.0,166764544.0,285499392.0,292904960.0,298577920.0,287547392.0,296501248.0,18714624.0,46706688.0,46174208.0,44527616.0,46223360.0,46145536.0,21569536.0,8704000.0,8839168.0,8351744.0,8695808.0,8835072.0,87150592.0,66039808.0,24825856.0,23683072.0,13664256.0,5021696.0,34971648.0,17424384.0,768823296.0,63877120.0,15978496.0,26042368.0,24887296.0,26107904.0,26611712.0,26378240.0
1717054242,3751936.0,165777408.0,289927168.0,293027840.0,300875776.0,296198144.0,332992512.0,18718720.0,46792704.0,46198784.0,45105152.0,46247936.0,46673920.0,22069248.0,9007104.0,8933376.0,9150464.0,9224192.0,8892416.0,87257088.0,66056192.0,24858624.0,23683072.0,12853248.0,5017600.0,34967552.0,17162240.0,769875968.0,63885312.0,15978496.0,26226688.0,24911872.0,26128384.0,27824128.0,27447296.0
1717054257,3751936.0,165474304.0,292106240.0,293126144.0,305229824.0,320032768.0,333135872.0,18731008.0,47640576.0,46780416.0,45268992.0,47439872.0,47095808.0,20525056.0,8515584.0,9371648.0,8720384.0,8941568.0,8802304.0,87351296.0,66056192.0,24858624.0,23379968.0,12701696.0,5017600.0,34967552.0,17162240.0,764686336.0,63926272.0,15978496.0,27287552.0,25948160.0,27172864.0,28205056.0,27512832.0
