timestamp,beacon-metrics-gazer--41187cc62289490d96fa8e943fdd9c80,cadvisor,cl-1-prysm-geth--aa389c42a32547d2ab12fe67ba63476f,cl-2-prysm-geth--a453f7b4bb0d41ab95ec6d8bfc3163e0,cl-3-prysm-geth--f37998bfa5fb4219ba4d93002004bcf7,cl-4-prysm-geth--74ce62db53534923a5a0c50033b1e287,cl-5-prysm-geth--30d3adb3ae1945a6bdaa08037a4ea45d,dora--2013dff356474be4a223e18bf39604d3,el-1-geth-prysm--6930da1eaad9437bb3862dcabd2a5a9b,el-2-geth-prysm--a00d33a98893482499b530884747e193,el-3-geth-prysm--606626f9ee9c49ee9eb04ef20bb2929d,el-4-geth-prysm--f1754fd0761f40bb9acbcb9e9302bd8e,el-5-geth-prysm--f94a5d18b5684cdca5e8a5e9fa994ec3,el-forkmon--6f9431cb54ee47a7a1992238557683ef,ethereum-metrics-exporter-1-prysm-geth--d52fdae9fb2e4ecdb438ea1ab139b096,ethereum-metrics-exporter-2-prysm-geth--64fa870b863343e4b976cefefbbe217a,ethereum-metrics-exporter-3-prysm-geth--3aa770c39dc84aa38ecae4d357b1ff78,ethereum-metrics-exporter-4-prysm-geth--c35216f8f4ad46799cd97aa5ff833c4f,ethereum-metrics-exporter-5-prysm-geth--186affe656734e5795966d0af83c6d96,grafana--b00abafe65184f5caa6721a800c6d010,helpers-grafana-1,kurtosis-api--f4c77b295d9f42719bdaaaa6536797d0,kurtosis-engine--3de9051e1dbb465ba4e1ab813b9681bf,kurtosis-logs-aggregator,kurtosis-logs-collector--f4c77b295d9f42719bdaaaa6536797d0,kurtosis-reverse-proxy--3de9051e1dbb465ba4e1ab813b9681bf,portainer,prometheus,prometheus--b1fe3fc0b5dc477ab6385a2500d7c92a,validator-key-generation-cl-validator-keystore--720f0f410e5e4ddebe256ae3833b60ba,vc-1-geth-prysm--002232e17da6491eaab9374c1095bdb4,vc-2-geth-prysm--ea63ae36cf064ae38c79fc09b0bdbfc0,vc-3-geth-prysm--d250afe00edc4f7e85d4e85cfcd659f2,vc-4-geth-prysm--b073613778674434ab8d5ba9136e4eb6,vc-5-geth-prysm--37cd0b0864644d9d85d3573c71fd0537
1717054122,13438976.0,272711680.0,294871040.0,246767616.0,250179584.0,228487168.0,233963520.0,43261952.0,63823872.0,43737088.0,43323392.0,43950080.0,43819008.0,37560320.0,14888960.0,8839168.0,8994816.0,8335360.0,9134080.0,182636544.0,70434816.0,74559488.0,35979264.0,49491968.0,20467712.0,97644544.0,24072192.0,922595328.0,107454464.0,24530944.0,49209344.0,25243648.0,25899008.0,26173440.0,25784320.0
1717054137,13438976.0,272449536.0,294936576.0,258064384.0,267149312.0,232886272.0,245653504.0,43323392.0,64745472.0,44883968.0,43040768.0,44187648.0,44519424.0,35426304.0,15884288.0,8151040.0,8933376.0,8892416.0,8138752.0,182689792.0,70438912.0,74559488.0,35979264.0,50159616.0,20451328.0,97644544.0,24072192.0,769212416.0,107728896.0,24530944.0,49229824.0,26132480.0,25612288.0,26193920.0,25841664.0
1717054152,13438976.0,272453632.0,311037952.0,260284416.0,292245504.0,252731392.0,251518976.0,43331584.0,64872448.0,45207552.0,43577344.0,44150784.0,44371968.0,37163008.0,14913536.0,9019392.0,8216576.0,9244672.0,8196096.0,182829056.0,70438912.0,74559488.0,36569088.0,50384896.0,20451328.0,97644544.0,24072192.0,770211840.0,107839488.0,24530944.0,49291264.0,26169344.0,25645056.0,26267648.0,25866240.0
1717054167,13434880.0,272445440.0,311148544.0,262246400.0,291729408.0,268197888.0,259215360.0,43335680.0,65335296.0,45613056.0,42938368.0,44605440.0,45432832.0,37048320.0,15818752.0,9060352.0,8716288.0,8552448.0,8101888.0,182996992.0,70438912.0,74559488.0,36569088.0,50917376.0,20455424.0,97644544.0,24072192.0,770539520.0,108044288.0,24530944.0,49315840.0,25501696.0,26017792.0,26284032.0,25907200.0
1717054182,13139968.0,269553664.0,305020928.0,260255744.0,289533952.0,264060928.0,273432576.0,42377216.0,64557056.0,45686784.0,43806720.0,44888064.0,45641728.0,36564992.0,15405056.0,8728576.0,9752576.0,8388608.0,8155136.0,180166656.0,70729728.0,65187840.0,36532224.0,41910272.0,19976192.0,97423360.0,23306240.0,770719744.0,106663936.0,18063360.0,49131520.0,25456640.0,25976832.0,26247168.0,25899008.0
1717054197,13139968.0,269606912.0,306049024.0,272003072.0,293994496.0,272760832.0,273432576.0,42471424.0,65462272.0,45711360.0,44060672.0,45621248.0,45760512.0,38182912.0,15355904.0,9474048.0,9248768.0,8585216.0,8495104.0,180170752.0,70729728.0,65187840.0,36532224.0,42094592.0,19984384.0,94388224.0,23306240.0,770859008.0,106774528.0,18063360.0,48889856.0,26193920.0,26030080.0,26296320.0,25944064.0
1717054212,13139968.0,271589376.0,306151424.0,282497024.0,296566784.0,287633408.0,273551360.0,42475520.0,65945600.0,46940160.0,44359680.0,46215168.0,46104576.0,35430400.0,15060992.0,8933376.0,9326592.0,8384512.0,9216000.0,180183040.0,70733824.0,65187840.0,36532224.0,43700224.0,19984384.0,103903232.0,23306240.0,771366912.0,106889216.0,18063360.0,50057216.0,26238976.0,26083328.0,26574848.0,26480640.0
1717054227,13139968.0,271962112.0,306208768.0,293060608.0,298803200.0,287797248.0,296628224.0,26140672.0,65957888.0,46579712.0,44527616.0,46223360.0,46223360.0,37306368.0,15134720.0,8839168.0,8605696.0,8777728.0,8835072.0,180183040.0,70754304.0,68382720.0,47128576.0,44310528.0,19988480.0,103903232.0,23306240.0,772915200.0,107003904.0,18063360.0,50475008.0,25231360.0,26107904.0,26611712.0,26525696.0
1717054242,13139968.0,272216064.0,310644736.0,293191680.0,301109248.0,296456192.0,333123584.0,26144768.0,66052096.0,46637056.0,45105152.0,46247936.0,46780416.0,37810176.0,15437824.0,8933376.0,9404416.0,9306112.0,8892416.0,180301824.0,70778880.0,68415488.0,47128576.0,43864064.0,19984384.0,103899136.0,23044096.0,774021120.0,107118592.0,18063360.0,50663424.0,25268224.0,26128384.0,27824128.0,27594752.0
1717054257,13139968.0,271953920.0,312836096.0,293302272.0,305475584.0,320303104.0,333279232.0,26157056.0,66924544.0,47222784.0,45268992.0,47439872.0,47210496.0,36274176.0,14946304.0,9371648.0,8974336.0,9023488.0,8802304.0,180396032.0,70778880.0,68415488.0,46825472.0,44052480.0,19988480.0,103899136.0,23044096.0,768884736.0,107245568.0,18063360.0,51728384.0,26304512.0,27172864.0,28205056.0,27676672.0
