timestamp,beacon-metrics-gazer--41187cc62289490d96fa8e943fdd9c80,cadvisor,cl-1-prysm-geth--aa389c42a32547d2ab12fe67ba63476f,cl-2-prysm-geth--a453f7b4bb0d41ab95ec6d8bfc3163e0,cl-3-prysm-geth--f37998bfa5fb4219ba4d93002004bcf7,cl-4-prysm-geth--74ce62db53534923a5a0c50033b1e287,cl-5-prysm-geth--30d3adb3ae1945a6bdaa08037a4ea45d,dora--2013dff356474be4a223e18bf39604d3,el-1-geth-prysm--6930da1eaad9437bb3862dcabd2a5a9b,el-2-geth-prysm--a00d33a98893482499b530884747e193,el-3-geth-prysm--606626f9ee9c49ee9eb04ef20bb2929d,el-4-geth-prysm--f1754fd0761f40bb9acbcb9e9302bd8e,el-5-geth-prysm--f94a5d18b5684cdca5e8a5e9fa994ec3,el-forkmon--6f9431cb54ee47a7a1992238557683ef,ethereum-metrics-exporter-1-prysm-geth--d52fdae9fb2e4ecdb438ea1ab139b096,ethereum-metrics-exporter-2-prysm-geth--64fa870b863343e4b976cefefbbe217a,ethereum-metrics-exporter-3-prysm-geth--3aa770c39dc84aa38ecae4d357b1ff78,ethereum-metrics-exporter-4-prysm-geth--c35216f8f4ad46799cd97aa5ff833c4f,ethereum-metrics-exporter-5-prysm-geth--186affe656734e5795966d0af83c6d96,grafana--b00abafe65184f5caa6721a800c6d010,helpers-grafana-1,kurtosis-api--f4c77b295d9f42719bdaaaa6536797d0,kurtosis-engine--3de9051e1dbb465ba4e1ab813b9681bf,kurtosis-logs-aggregator,kurtosis-logs-collector--f4c77b295d9f42719bdaaaa6536797d0,kurtosis-reverse-proxy--3de9051e1dbb465ba4e1ab813b9681bf,portainer,prometheus,prometheus--b1fe3fc0b5dc477ab6385a2500d7c92a,validator-key-generation-cl-validator-keystore--720f0f410e5e4ddebe256ae3833b60ba,vc-1-geth-prysm--002232e17da6491eaab9374c1095bdb4,vc-2-geth-prysm--ea63ae36cf064ae38c79fc09b0bdbfc0,vc-3-geth-prysm--d250afe00edc4f7e85d4e85cfcd659f2,vc-4-geth-prysm--b073613778674434ab8d5ba9136e4eb6,vc-5-geth-prysm--37cd0b0864644d9d85d3573c71fd0537
1717054122,50108.10802976496,670.1484082927382,76646.26448789285,73742.3812514891,73801.05448154658,77336.17291222983,74706.79377602454,63602.92158677835,10009.66204412621,7871.7670984570495,7877.0630880765075,8515.055640410212,8842.428222081333,9754.11801269813,6218.815143568017,5531.183503345399,5443.990584325672,5510.288897874826,5955.5168875206355,25.896892809572677,0.0,24.262047858774476,6.407715682388691,24176.237156524163,27623.859603283472,34.223368210198814,1.5204500532157519,54980.573584566664,33753.82581176573,24.408746095493083,3052.563875088715,2746.268994723373,2834.7513454366804,2788.2873950690723,3106.6212485528536
1717054137,49969.723669580475,672.4688200276149,66080.70341776151,63404.94837241863,60940.21069025935,63729.27068570806,61747.2835535466,63068.34186582012,9963.887611414057,8769.85058820821,8173.297966401415,8859.57961923627,8763.40425531915,10239.919128383692,5925.439789626405,5616.841777223756,4672.754643465941,5235.422331078804,6008.510072468585,25.82287688670667,0.0,34.786059123073876,5.621193498159856,23049.48936077154,24366.242395671987,31.521282940513796,1.5560742469712125,54190.39189219092,34497.53253559263,25.28377476073893,3077.1122279502165,2839.6217899535136,2852.446636014304,2820.676767904181,3022.6347798253237
1717054152,51.50588287825679,667.0746906436392,75115.0547175392,71234.03493058665,69860.4836743289,74228.66971438918,71331.49035781962,416.1796166824728,10050.054382307624,8993.153644944841,7689.850490680366,9006.837032055593,8425.024914184476,10802.63506941374,4597.413638804367,3815.533330356745,2894.438138479001,3296.9248752416484,4888.476092191262,17.86302091334021,0.0,29.245699161887956,2.947306372497421,22490.1714669954,25411.552891457155,26.718511949428112,3.0949486017464354,52482.51403591479,34190.94423694385,22.676979032010692,2697.416484027363,2419.3057385614975,2420.6857367627454,2324.1647206754087,2535.263742728283
1717054167,44.567202940334965,660.3139013452916,74300.70067878257,75765.98639455783,73849.5068901801,75071.85071331153,75753.13957660568,406.37380436448,8669.687677455991,8747.91459232216,7637.386880374589,9095.855569433405,8549.434166836078,11321.954156261148,5963.789088851653,5260.628465804066,4109.402604200746,3140.8137102759597,6548.532181234075,10.161662817551964,0.0,25.27108570391543,3.356670183178287,22975.737942595657,26053.485233225816,12.382459733730567,4.737412019491066,55752.58928774669,33990.891874830915,16.738912970990327,2661.321895963928,2510.6927875670353,2404.2764683793157,2468.3302621939038,2266.226203807391
1717054182,40.833056386396365,655.382605856101,74584.3351231495,75113.82665761483,76538.4281074157,78778.54804109744,76924.23272195033,320.03358077059033,9401.75117084097,8771.438984649687,7416.911345808317,8762.53723654445,8917.078207775881,11551.604183284588,5657.865904745537,4963.471667272067,6200.169752024408,4204.818475996276,5886.321007502679,9.543632780496447,0.0,9.513885742762653,0.0,23259.49652621131,25215.786386251548,8.898606732431608,3.3366700033366703,54365.16641872239,33463.49854615675,12.641693234148068,2308.1413624320808,2092.5451574438016,2167.020183245501,2468.931701813764,2378.395818545525
1717054197,34.51189682010229,663.7887026967041,63944.33632624176,63711.120986557034,65454.831694830784,65404.89761915201,64632.160940941394,401.82321923317545,10571.089630931458,8489.053974097691,7632.220226864587,8196.612383719621,9581.997726310157,12966.321989238979,5205.2184763475125,5348.815311172426,6671.280982373466,4068.4099370767926,4817.817031948534,9.998144195972907,0.0,11.272141706924316,0.0,19410.73819512631,22274.201608140644,23.346477863416382,3.403014098201264,55042.15472470155,33469.77448892208,6.297087596986393,2248.385176693635,2253.8692287627164,2295.799076472576,2260.7398169387347,2220.0751476113796
1717054212,33.29588856436756,658.0717243192323,73688.1244807688,72023.99115533444,74714.03695244125,76119.88642816582,73441.9309545566,405.7210751675746,11244.70715152605,9060.620269274566,7952.22740022528,8191.645365263017,9957.584644678382,12923.845081192927,4412.533351576931,4930.30376994253,5982.902969948004,4743.94184168013,3901.125166294618,9.780783370398947,0.0,9.5284095898832,0.0,23400.827173530444,25889.68887159197,1510.6155648916429,1.8324607329842932,53466.02026554856,33370.52356831604,3.1698591676855497,2388.2285613664376,2489.7931348033644,2378.3814451706608,2267.8547708656183,2225.106307583274
1717054227,33.133607583616524,663.6561334990236,74018.81410038716,76242.18107453265,73127.54228811487,76421.38185953938,74968.4473045492,407.05012621709335,10146.602891618653,9683.760683760682,7885.207415118159,8652.912405513562,9344.685335067146,13185.667534896145,4515.667873365768,6603.886756238004,5774.030716356997,5326.9044046252975,5358.6171654557975,6.157635467980295,0.0,165.97180861623983,167.8784183123036,22986.758267955436,26082.360718519194,1583.6381979608357,2.6983617089624152,54277.77531477213,33559.007316151125,3.181456652653108,2514.930516953863,2603.8368326878212,2417.9642825723586,2138.869021010282,2125.3255500673554
1717054242,34.51112939449868,673.535136586348,75022.45909549503,76192.0719430898,73984.35821697098,77878.9317244133,78010.88494611952,323.9286845558623,8986.100248050237,9187.324633679242,8143.889275766017,8814.123235140318,8914.518709448052,12081.736288969354,6400.656707330332,6921.707708779443,6135.596598458677,6198.078477148244,6420.662251655629,7.530930607853684,0.0,167.10123568756376,155.67525806382383,23502.51256281407,25910.309642652057,1645.4640547000506,0.9479528732000181,54383.25228166011,33558.98370640408,4.635966267826394,2315.474300231366,2591.2476516742176,2254.842707133074,2155.8874158860745,2120.6377991065506
1717054257,31.512229958935905,663.936063936064,65577.6472658484,66366.43079793407,61458.98471807483,66236.65035104427,65457.63491750477,392.2268447558572,8606.408116369314,9317.236486186865,7994.858670048921,9304.963762562675,8930.694600985658,14172.260798189764,5950.145355143837,6506.309776833157,5883.47548214326,5767.237152917056,5714.822091246452,4.633613556629378,0.0,159.31367198585426,9.848570290578781,19092.020224225103,22282.93426802622,12.527269864831434,0.9193792001400959,54138.43262960097,33794.367836676225,3.1390134529147984,2416.7331383497294,2304.7362731905314,2152.475076604376,2358.216543613776,2331.2062857661913
