timestamp,beacon-metrics-gazer--41187cc62289490d96fa8e943fdd9c80,cadvisor,cl-1-prysm-geth--aa389c42a32547d2ab12fe67ba63476f,cl-2-prysm-geth--a453f7b4bb0d41ab95ec6d8bfc3163e0,cl-3-prysm-geth--f37998bfa5fb4219ba4d93002004bcf7,cl-4-prysm-geth--74ce62db53534923a5a0c50033b1e287,cl-5-prysm-geth--30d3adb3ae1945a6bdaa08037a4ea45d,dora--2013dff356474be4a223e18bf39604d3,el-1-geth-prysm--6930da1eaad9437bb3862dcabd2a5a9b,el-2-geth-prysm--a00d33a98893482499b530884747e193,el-3-geth-prysm--606626f9ee9c49ee9eb04ef20bb2929d,el-4-geth-prysm--f1754fd0761f40bb9acbcb9e9302bd8e,el-5-geth-prysm--f94a5d18b5684cdca5e8a5e9fa994ec3,el-forkmon--6f9431cb54ee47a7a1992238557683ef,ethereum-metrics-exporter-1-prysm-geth--d52fdae9fb2e4ecdb438ea1ab139b096,ethereum-metrics-exporter-2-prysm-geth--64fa870b863343e4b976cefefbbe217a,ethereum-metrics-exporter-3-prysm-geth--3aa770c39dc84aa38ecae4d357b1ff78,ethereum-metrics-exporter-4-prysm-geth--c35216f8f4ad46799cd97aa5ff833c4f,ethereum-metrics-exporter-5-prysm-geth--186affe656734e5795966d0af83c6d96,grafana--b00abafe65184f5caa6721a800c6d010,helpers-grafana-1,kurtosis-api--f4c77b295d9f42719bdaaaa6536797d0,kurtosis-engine--3de9051e1dbb465ba4e1ab813b9681bf,kurtosis-logs-aggregator,kurtosis-logs-collector--f4c77b295d9f42719bdaaaa6536797d0,kurtosis-reverse-proxy--3de9051e1dbb465ba4e1ab813b9681bf,portainer,prometheus,prometheus--b1fe3fc0b5dc477ab6385a2500d7c92a,validator-key-generation-cl-validator-keystore--720f0f410e5e4ddebe256ae3833b60ba,vc-1-geth-prysm--002232e17da6491eaab9374c1095bdb4,vc-2-geth-prysm--ea63ae36cf064ae38c79fc09b0bdbfc0,vc-3-geth-prysm--d250afe00edc4f7e85d4e85cfcd659f2,vc-4-geth-prysm--b073613778674434ab8d5ba9136e4eb6,vc-5-geth-prysm--37cd0b0864644d9d85d3573c71fd0537
1717054122,192.90643914859402,53981.37532570522,194074.73223514925,67725.42181983583,67616.01493848857,69909.66967239114,69094.49923296076,223.1830394436793,19141.6956024759,16440.27145320306,16165.950507921818,17800.4145756055,17962.45811067838,3299.7380455534344,883.2851411023692,851.8811012394428,873.2114834302594,868.7828548321876,889.327622362022,12.184204205515645,0.0,0.0,0.0,463.3304017675197,26193.110806279532,0.0,0.0,707.0092303546162,863.6580396237049,0.0,5951.4061391057485,5571.800620513169,5312.811236908509,5704.893471698944,6140.4621960993845
1717054137,237.10533182569364,53927.13732768963,186845.0042891327,57265.90392019602,54345.410889268634,56612.602202114904,58343.09805285119,252.62122465404306,19433.918051814384,17319.7043994751,16885.87363123172,18668.581490040717,18286.393889798146,3479.6360777266095,876.3148349655422,890.5262220639303,861.2162670740078,865.4248028222817,881.5903197925669,0.0,0.0,1.5431078191477638,0.0,498.34889671310174,23157.878196062586,0.0,0.0,725.7418512535681,904.9698663638746,0.0,5750.954466038264,5609.288261046171,5530.9300104395725,5612.400657405949,5926.585577758471
1717054152,160.90285994954343,53025.327161043344,68765.27199508566,63866.23376623376,60443.486356482616,62560.33585298511,66298.20532828,164.3986678723451,19661.515453639084,16994.586602979638,16154.053876045577,19274.221026675634,17814.06267301517,3778.6276417012996,841.1267227492393,841.8538197079968,825.7995593242972,833.9477588454793,871.1844971906891,0.0,0.0,1.5438906043228937,0.0,470.91785274010977,24213.441718055976,0.0,0.0,711.2887326961813,894.5241683594347,0.0,5729.91521108676,5530.941887409696,5352.177618496099,5316.9346146937305,5631.588121227966
1717054167,158.61522547703413,52372.8567660248,70796.9564265382,68344.99832719973,67211.00202586879,63744.16037061891,72059.22587011123,162.62831877777046,18039.15956842703,17788.450049784267,16091.238575480616,19198.478483024865,18331.752162815388,4071.1291473421334,859.8785715840098,882.7374780217302,859.1027067111607,845.9618109439309,883.5271961892101,1.5396458814472673,0.0,1.5879497300485457,0.0,490.3608726185352,24849.770091277194,0.0,0.0,760.0783046140539,902.3131030751196,0.0,5805.652699879028,5603.655466783408,5855.072783901394,5527.895566458717,5373.639417693169
1717054182,158.12562313060818,51862.50136061827,69384.4699028282,68969.83480425435,71179.30829406652,66341.96680591624,71485.75218405525,137.3497702368328,18804.656213941493,19317.74719149301,16119.965817958717,18449.100723452866,18568.196103079823,4114.286980413011,837.0963930481857,823.5107155830003,874.6817149542358,833.0599760627687,857.6053947838514,1.550009964349771,0.0,0.0,1.6962360229676638,467.96896147252545,24048.99298237991,1.7797213464863215,0.0,727.4019139818372,871.9730095665105,0.0,5293.255197808614,5001.545731572672,5181.474273468763,5476.503514709711,5394.786087629864
1717054197,158.70580386924615,52870.44723116192,57497.92118183024,58813.687368070205,62104.154396774335,54329.35063796203,57676.937399241615,163.68755027258916,20276.142355008786,19582.166414656058,16247.800686504059,17488.2311867919,19853.881991038987,4744.591811881407,848.3477795851067,843.4064730871984,887.8290815170602,815.2147880424134,812.757605495584,1.6238285237078967,0.0,0.0,1.755221784809809,490.8506650004464,21260.800436105936,16.960924896934937,0.0,732.0758110569033,878.658790979557,0.0,4999.118185225193,5036.431614642206,5343.642302061043,5087.455181168297,5042.181069958848
1717054212,160.34598966524376,52186.54018884045,66239.66589577206,67639.69043670536,68013.29745132182,65544.30437251562,63616.39439256503,165.3103772950434,21362.83543848609,19286.24377609574,16842.039004350994,17482.01713081304,20356.043859841102,4739.327965453645,857.0386080135003,850.134244569197,856.9225345906407,824.629961140462,820.4469097386639,0.0,0.0,0.0,1.7470442540071187,512.0116156282999,24604.48422736806,125.22646570738368,0.0,713.9675052410901,871.3530491716251,1.5849295838427748,5406.981863004049,5666.787906342351,5240.740740740741,5263.8255479300415,5172.572643515237
1717054227,159.5644786263638,52867.743653470614,66881.8175643551,72900.28230377665,66111.56060370312,67829.35631329149,64317.219265626045,162.18896501983411,20395.08642243722,19329.128387951914,16784.655932316007,18376.278345931525,19400.51117637827,4959.460361984906,860.4302612465125,899.188623276915,860.2942755880141,854.0471356695207,860.9611411051122,0.0,0.0,66.57401892660975,63.60523476710916,490.0957912530882,24747.287316494938,126.05491745914124,0.0,721.8035112608619,876.0034690564611,1.590728326326554,5670.372429127292,5938.665035899526,5925.376088677752,5109.834599910594,5099.169286035025
1717054242,158.70227479931512,53311.385551603016,70453.59038469975,73354.14522840141,70190.87898317221,70682.93332150303,69428.93218678568,137.17815285759536,19094.884801895016,19525.631318754735,17466.70438718663,18727.95014816106,18607.323793440588,4524.419323500839,854.197925500685,868.3529621698787,852.3784214722297,864.9771033491963,857.6821192052979,0.0,0.0,68.42761591656274,60.26139021825439,439.6872253644906,24597.442466540037,133.18443634653812,0.0,727.4665245486643,873.2522728788317,1.5453220892754647,5455.314612348592,5853.530776881423,5610.757223297172,5137.913303972637,5094.166040072538
1717054257,159.27959292983397,52897.5246975247,58934.49474286216,62516.64353484562,58001.536975232746,58813.75827777901,58072.24084664432,160.3240639369389,18518.372390470206,19902.66507028513,17014.63127378148,19924.81005452037,18767.92857300714,5190.3187878518975,837.440881676574,873.2066950053136,859.2614262889035,858.1583990729597,846.6710325256494,0.0,0.0,68.89475867187669,6.424913801303087,446.3398549131677,21207.620174799707,5.127859118817894,0.0,719.8408312147673,880.3501074498569,0.0,5261.898431268279,5208.4666122521,5270.467394588063,5214.001503161059,5241.756744481787
