timestamp,grafana--78fd287ba7d444aabad34683bb8dfa79,prometheus--7942f9d58b9b4d26b17efd602fe8743d,dora--748bc68702d847f4a2594999df938d5c,beacon-metrics-gazer--bb1ab8fca3f3426a93d5110d0129518a,el-forkmon--34faff3b3e59494b862e9f92d93dd6d1,vc-5-geth-prysm--3f7f2a5fe5e34f71901833f590ae60be,ethereum-metrics-exporter-5-prysm-geth--0f179a79c51e43b3a50acb18be514f28,vc-4-geth-prysm--bc0ef5640d9c4900811cbbdc35631e02,ethereum-metrics-exporter-4-prysm-geth--a7e26a9ba4d8439ca25f9d4b8aeba1ad,vc-3-geth-prysm--b55bdf61212f4efd9180729367e46dbb,ethereum-metrics-exporter-3-prysm-geth--dbfd4a578ae945e4909e2b7a374b7cb6,vc-2-geth-prysm--183b1baab7e44677ae718fcd696df30f,ethereum-metrics-exporter-2-prysm-geth--9909725f10e04408b771a71d0cb86c4d,vc-1-geth-prysm--fad3ba2d1e804e25b1ad9bfddae4c3df,ethereum-metrics-exporter-1-prysm-geth--9613eda2293c43568fd7ab7d148246ca,cl-5-prysm-geth--c68fcdeae8a6420c9985243a57a3aee0,cl-4-prysm-geth--9e8584b8430e4d95b55621781afd3f7a,cl-3-prysm-geth--88a8ded51981464883c191f8ac461e80,cl-2-prysm-geth--b5d526f408a446f99096eb724a8f5814,cl-1-prysm-geth--4e294659452c4095b103003cb258afe7,el-5-geth-prysm--a7faac33e68345279792d89eca414d6d,el-4-geth-prysm--dd94bea36e0a4dc09bc99b71a56c4d32,el-3-geth-prysm--c6c4206b94b94285a5caef2c59082ba6,el-2-geth-prysm--0be07b1c07a74c17978f36529275b9f1,el-1-geth-prysm--832feabe10934c36aae822b8785927cb,validator-key-generation-cl-validator-keystore--6a4490986a8646029f70150b83f74001,kurtosis-api--157ca42856aa41779de8d188e0b90a4c,kurtosis-logs-collector--157ca42856aa41779de8d188e0b90a4c,kurtosis-engine--6fdc57d17383499788d1f083430c337f,kurtosis-reverse-proxy--6fdc57d17383499788d1f083430c337f,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1716643309,15500.0,6040.0,3290.0,1250.0,2210.0,24.6,28.7,160.0,0.0,106.0,49.2,81.9,0.0,2650.0,684.0,49.2,111.0,0.0,135.0,6270.0,24.6,4.1,0.0,188.0,5670.0,12.3,1190.0,13400.0,40400.0,93900.0,32600.0,1110000.0,784000.0,594000.0,314000.0
1716643324,15500.0,6040.0,3290.0,1250.0,2210.0,69.6,28.7,176.0,0.0,106.0,49.2,127.0,0.0,2650.0,684.0,94.2,164.0,53.2,172.0,6270.0,24.6,4.1,0.0,188.0,5670.0,12.3,1190.0,13400.0,40400.0,93900.0,32600.0,1110000.0,784000.0,594000.0,314000.0
1716643339,15500.0,6040.0,3290.0,1670.0,2210.0,69.6,28.7,176.0,0.0,119.0,49.2,139.0,0.0,2650.0,684.0,94.2,164.0,53.2,172.0,6270.0,24.6,4.1,0.0,188.0,5670.0,12.3,1190.0,13400.0,40400.0,93900.0,32600.0,1110000.0,784000.0,594000.0,314000.0
1716643354,15500.0,6040.0,3290.0,1670.0,2210.0,69.6,28.7,188.0,0.0,119.0,49.2,147.0,0.0,2650.0,684.0,98.3,164.0,53.2,172.0,6270.0,24.6,8.19,4.1,188.0,5670.0,12.3,1190.0,13400.0,40400.0,93900.0,32600.0,1110000.0,784000.0,594000.0,314000.0
1716643369,15500.0,6040.0,3290.0,1670.0,2210.0,81.9,28.7,205.0,0.0,127.0,49.2,156.0,0.0,2650.0,684.0,102.0,168.0,57.3,287.0,6270.0,24.6,8.19,4.1,188.0,5670.0,12.3,1190.0,13400.0,40400.0,93900.0,32800.0,1110000.0,784000.0,594000.0,314000.0
1716643384,15600.0,6040.0,3290.0,1670.0,2210.0,90.1,28.7,217.0,0.0,131.0,49.2,156.0,0.0,2650.0,684.0,106.0,172.0,61.4,291.0,6270.0,24.6,8.19,4.1,188.0,5670.0,12.3,1190.0,13400.0,40400.0,93900.0,32800.0,1110000.0,784000.0,594000.0,314000.0
1716643399,15600.0,6040.0,3290.0,1670.0,2210.0,98.3,28.7,229.0,0.0,135.0,49.2,172.0,0.0,2650.0,684.0,111.0,176.0,65.5,295.0,6270.0,24.6,8.19,4.1,188.0,5670.0,12.3,1190.0,13400.0,40400.0,93900.0,32800.0,1110000.0,784000.0,594000.0,314000.0
1716643414,15600.0,6050.0,3290.0,1670.0,2210.0,106.0,28.7,233.0,0.0,139.0,49.2,176.0,0.0,2650.0,684.0,233.0,176.0,65.5,295.0,6270.0,24.6,8.19,4.1,188.0,5670.0,12.3,1190.0,13400.0,40400.0,93900.0,32800.0,1110000.0,784000.0,594000.0,314000.0
1716643429,15600.0,6050.0,3290.0,1670.0,2210.0,119.0,28.7,250.0,0.0,143.0,49.2,180.0,0.0,2650.0,684.0,233.0,176.0,65.5,295.0,6270.0,24.6,8.19,4.1,188.0,5670.0,12.3,1190.0,13400.0,40400.0,93900.0,32800.0,1110000.0,784000.0,594000.0,314000.0
1716643444,15600.0,6050.0,3290.0,1670.0,2210.0,123.0,28.7,262.0,0.0,152.0,49.2,180.0,0.0,2650.0,684.0,233.0,176.0,65.5,295.0,6270.0,24.6,8.19,4.1,188.0,5670.0,12.3,1190.0,13400.0,40400.0,93900.0,32800.0,1110000.0,784000.0,594000.0,314000.0
