timestamp,beacon-metrics-gazer--bb1ab8fca3f3426a93d5110d0129518a,cadvisor,cl-1-prysm-geth--4e294659452c4095b103003cb258afe7,cl-2-prysm-geth--b5d526f408a446f99096eb724a8f5814,cl-3-prysm-geth--88a8ded51981464883c191f8ac461e80,cl-4-prysm-geth--9e8584b8430e4d95b55621781afd3f7a,cl-5-prysm-geth--c68fcdeae8a6420c9985243a57a3aee0,dora--748bc68702d847f4a2594999df938d5c,el-1-geth-prysm--832feabe10934c36aae822b8785927cb,el-2-geth-prysm--0be07b1c07a74c17978f36529275b9f1,el-3-geth-prysm--c6c4206b94b94285a5caef2c59082ba6,el-4-geth-prysm--dd94bea36e0a4dc09bc99b71a56c4d32,el-5-geth-prysm--a7faac33e68345279792d89eca414d6d,el-forkmon--34faff3b3e59494b862e9f92d93dd6d1,ethereum-metrics-exporter-1-prysm-geth--9613eda2293c43568fd7ab7d148246ca,ethereum-metrics-exporter-2-prysm-geth--9909725f10e04408b771a71d0cb86c4d,ethereum-metrics-exporter-3-prysm-geth--dbfd4a578ae945e4909e2b7a374b7cb6,ethereum-metrics-exporter-4-prysm-geth--a7e26a9ba4d8439ca25f9d4b8aeba1ad,ethereum-metrics-exporter-5-prysm-geth--0f179a79c51e43b3a50acb18be514f28,grafana--78fd287ba7d444aabad34683bb8dfa79,helpers-grafana-1,kurtosis-api--157ca42856aa41779de8d188e0b90a4c,kurtosis-engine--6fdc57d17383499788d1f083430c337f,kurtosis-logs-aggregator,kurtosis-logs-collector--157ca42856aa41779de8d188e0b90a4c,kurtosis-reverse-proxy--6fdc57d17383499788d1f083430c337f,portainer,prometheus,prometheus--7942f9d58b9b4d26b17efd602fe8743d,validator-key-generation-cl-validator-keystore--6a4490986a8646029f70150b83f74001,vc-1-geth-prysm--fad3ba2d1e804e25b1ad9bfddae4c3df,vc-2-geth-prysm--183b1baab7e44677ae718fcd696df30f,vc-3-geth-prysm--b55bdf61212f4efd9180729367e46dbb,vc-4-geth-prysm--bc0ef5640d9c4900811cbbdc35631e02,vc-5-geth-prysm--3f7f2a5fe5e34f71901833f590ae60be
1716643309,3772416.0,180965376.0,228814848.0,238096384.0,240029696.0,234807296.0,227356672.0,28508160.0,47661056.0,42635264.0,42459136.0,42532864.0,42426368.0,25550848.0,9826304.0,8544256.0,8888320.0,8212480.0,8908800.0,81522688.0,42799104.0,26673152.0,32264192.0,16846848.0,18259968.0,54571008.0,17092608.0,1015869440.0,66953216.0,7389184.0,28450816.0,27492352.0,25104384.0,26451968.0,25866240.0
1716643324,3772416.0,181493760.0,245796864.0,263000064.0,258600960.0,237150208.0,245125120.0,28536832.0,48001024.0,43302912.0,42590208.0,42663936.0,42479616.0,23998464.0,9113600.0,8720384.0,8704000.0,8507392.0,8814592.0,85028864.0,42967040.0,26673152.0,32100352.0,16678912.0,18259968.0,54575104.0,17092608.0,1015869440.0,67760128.0,7360512.0,28884992.0,25829376.0,25022464.0,26492928.0,25305088.0
1716643339,3772416.0,180879360.0,256864256.0,279363584.0,260771840.0,241496064.0,249708544.0,23015424.0,48267264.0,43442176.0,42807296.0,42733568.0,43196416.0,25808896.0,9420800.0,8380416.0,8556544.0,8122368.0,8278016.0,85237760.0,42967040.0,26673152.0,32161792.0,17059840.0,18624512.0,54575104.0,17133568.0,1015902208.0,67772416.0,7331840.0,28909568.0,25935872.0,25288704.0,26501120.0,25329664.0
1716643354,4923392.0,196120576.0,264073216.0,279408640.0,272408576.0,269717504.0,252235776.0,38825984.0,48594944.0,44322816.0,44355584.0,44056576.0,43372544.0,24600576.0,9936896.0,8769536.0,8560640.0,8835072.0,8347648.0,85266432.0,42921984.0,25149440.0,32161792.0,16908288.0,18259968.0,48611328.0,16789504.0,1015910400.0,67792896.0,7311360.0,30461952.0,24858624.0,26062848.0,25407488.0,25366528.0
1716643369,4923392.0,195592192.0,273686528.0,279502848.0,272719872.0,275111936.0,264310784.0,38830080.0,49188864.0,44228608.0,44236800.0,45273088.0,43741184.0,24449024.0,9715712.0,8933376.0,8798208.0,8286208.0,8888320.0,85491712.0,42921984.0,25149440.0,32161792.0,16891904.0,18259968.0,48611328.0,16789504.0,620441600.0,67878912.0,7311360.0,28286976.0,24887296.0,25522176.0,25423872.0,25382912.0
1716643384,4923392.0,194891776.0,273584128.0,292958208.0,272805888.0,277348352.0,274030592.0,38838272.0,49643520.0,44691456.0,44814336.0,45981696.0,44388352.0,24465408.0,10063872.0,9015296.0,8613888.0,9080832.0,8585216.0,85491712.0,42921984.0,25149440.0,32161792.0,16752640.0,18296832.0,48611328.0,13901824.0,621498368.0,67923968.0,7311360.0,28291072.0,24903680.0,25538560.0,25448448.0,25468928.0
1716643399,4923392.0,194592768.0,273977344.0,305156096.0,274874368.0,281714688.0,303898624.0,38862848.0,49303552.0,44687360.0,44855296.0,45477888.0,44511232.0,23740416.0,9605120.0,8593408.0,9179136.0,9539584.0,7888896.0,85594112.0,42921984.0,25149440.0,31866880.0,17858560.0,18321408.0,48611328.0,13901824.0,621596672.0,67940352.0,7311360.0,28315648.0,24944640.0,25559040.0,25464832.0,25505792.0
1716643414,4923392.0,194342912.0,310116352.0,305479680.0,303570944.0,285478912.0,303980544.0,38871040.0,50413568.0,44752896.0,44998656.0,45764608.0,45015040.0,23367680.0,10104832.0,8957952.0,8605696.0,9310208.0,8470528.0,85049344.0,43044864.0,25149440.0,31866880.0,18087936.0,18264064.0,48611328.0,13901824.0,622395392.0,67936256.0,7311360.0,29057024.0,24944640.0,25608192.0,26034176.0,25513984.0
1716643429,4923392.0,194203648.0,310276096.0,307531776.0,303755264.0,287760384.0,304173056.0,38883328.0,50782208.0,46452736.0,45457408.0,45604864.0,45182976.0,23822336.0,10268672.0,9469952.0,8515584.0,8396800.0,9564160.0,85049344.0,43044864.0,25149440.0,31866880.0,18038784.0,18264064.0,48611328.0,13901824.0,622403584.0,67944448.0,7311360.0,29093888.0,24567808.0,25640960.0,26054656.0,25526272.0
1716643444,4923392.0,193818624.0,315428864.0,311939072.0,306212864.0,289959936.0,346718208.0,38907904.0,50843648.0,46211072.0,45805568.0,47235072.0,46469120.0,24223744.0,9646080.0,9084928.0,9027584.0,8704000.0,8179712.0,85045248.0,43044864.0,25149440.0,31866880.0,17477632.0,18362368.0,48611328.0,13901824.0,623144960.0,67956736.0,7311360.0,28442624.0,24604672.0,25665536.0,26062848.0,25952256.0
1716643459,4923392.0,193888256.0,337494016.0,315633664.0,310300672.0,295702528.0,360488960.0,38916096.0,51568640.0,46850048.0,46563328.0,46567424.0,46288896.0,25931776.0,9089024.0,9052160.0,9031680.0,8704000.0,8978432.0,85061632.0,43270144.0,25149440.0,32272384.0,17162240.0,18632704.0,48611328.0,13901824.0,623161344.0,67960832.0,7311360.0,28450816.0,26132480.0,25718784.0,26087424.0,26005504.0
1716643474,4923392.0,193884160.0,340299776.0,317579264.0,320495616.0,309891072.0,360521728.0,38973440.0,51621888.0,46972928.0,46776320.0,46735360.0,46546944.0,24780800.0,9478144.0,9723904.0,9068544.0,8396800.0,8675328.0,85143552.0,43274240.0,25190400.0,32272384.0,17182720.0,18259968.0,48484352.0,13901824.0,683364352.0,67969024.0,7311360.0,28463104.0,26181632.0,24821760.0,26132480.0,26968064.0
1716643489,4923392.0,193646592.0,342474752.0,320319488.0,320667648.0,311795712.0,360812544.0,27885568.0,52396032.0,47099904.0,46825472.0,47063040.0,47136768.0,25763840.0,10092544.0,9506816.0,9224192.0,8880128.0,9129984.0,85938176.0,43274240.0,25190400.0,32272384.0,17289216.0,18264064.0,48484352.0,13901824.0,683540480.0,66777088.0,7311360.0,28483584.0,25133056.0,24834048.0,26136576.0,27062272.0
1716643504,4923392.0,193630208.0,344629248.0,325177344.0,324960256.0,321966080.0,364888064.0,27906048.0,52416512.0,47661056.0,47079424.0,47759360.0,47251456.0,25665536.0,9142272.0,9101312.0,9367552.0,8880128.0,9048064.0,85942272.0,43274240.0,25190400.0,32772096.0,17637376.0,18259968.0,48484352.0,13934592.0,684060672.0,66514944.0,7311360.0,28803072.0,25161728.0,24854528.0,26185728.0,24498176.0
1716643519,4923392.0,193892352.0,361123840.0,337723392.0,327127040.0,325464064.0,360439808.0,27934720.0,52563968.0,47722496.0,47194112.0,47419392.0,47374336.0,24383488.0,10285056.0,9490432.0,9207808.0,8318976.0,8658944.0,85962752.0,43274240.0,25190400.0,32772096.0,18198528.0,18259968.0,48484352.0,13934592.0,684232704.0,66514944.0,7311360.0,28811264.0,25174016.0,24879104.0,26198016.0,24514560.0
1716643534,4923392.0,194789376.0,379531264.0,337760256.0,349507584.0,338518016.0,360435712.0,27934720.0,53379072.0,48402432.0,47161344.0,47370240.0,47894528.0,24633344.0,9199616.0,8859648.0,10301440.0,8835072.0,8998912.0,85975040.0,42205184.0,25190400.0,32899072.0,17948672.0,18259968.0,48484352.0,13934592.0,685043712.0,66519040.0,7434240.0,28839936.0,25997312.0,24903680.0,26226688.0,24543232.0
