timestamp,beacon-metrics-gazer--bb1ab8fca3f3426a93d5110d0129518a,cadvisor,cl-1-prysm-geth--4e294659452c4095b103003cb258afe7,cl-2-prysm-geth--b5d526f408a446f99096eb724a8f5814,cl-3-prysm-geth--88a8ded51981464883c191f8ac461e80,cl-4-prysm-geth--9e8584b8430e4d95b55621781afd3f7a,cl-5-prysm-geth--c68fcdeae8a6420c9985243a57a3aee0,dora--748bc68702d847f4a2594999df938d5c,el-1-geth-prysm--832feabe10934c36aae822b8785927cb,el-2-geth-prysm--0be07b1c07a74c17978f36529275b9f1,el-3-geth-prysm--c6c4206b94b94285a5caef2c59082ba6,el-4-geth-prysm--dd94bea36e0a4dc09bc99b71a56c4d32,el-5-geth-prysm--a7faac33e68345279792d89eca414d6d,el-forkmon--34faff3b3e59494b862e9f92d93dd6d1,ethereum-metrics-exporter-1-prysm-geth--9613eda2293c43568fd7ab7d148246ca,ethereum-metrics-exporter-2-prysm-geth--9909725f10e04408b771a71d0cb86c4d,ethereum-metrics-exporter-3-prysm-geth--dbfd4a578ae945e4909e2b7a374b7cb6,ethereum-metrics-exporter-4-prysm-geth--a7e26a9ba4d8439ca25f9d4b8aeba1ad,ethereum-metrics-exporter-5-prysm-geth--0f179a79c51e43b3a50acb18be514f28,grafana--78fd287ba7d444aabad34683bb8dfa79,helpers-grafana-1,kurtosis-api--157ca42856aa41779de8d188e0b90a4c,kurtosis-engine--6fdc57d17383499788d1f083430c337f,kurtosis-logs-aggregator,kurtosis-logs-collector--157ca42856aa41779de8d188e0b90a4c,kurtosis-reverse-proxy--6fdc57d17383499788d1f083430c337f,portainer,prometheus,prometheus--7942f9d58b9b4d26b17efd602fe8743d,validator-key-generation-cl-validator-keystore--6a4490986a8646029f70150b83f74001,vc-1-geth-prysm--fad3ba2d1e804e25b1ad9bfddae4c3df,vc-2-geth-prysm--183b1baab7e44677ae718fcd696df30f,vc-3-geth-prysm--b55bdf61212f4efd9180729367e46dbb,vc-4-geth-prysm--bc0ef5640d9c4900811cbbdc35631e02,vc-5-geth-prysm--3f7f2a5fe5e34f71901833f590ae60be
1716643309,3784704.0,267894784.0,234909696.0,244191232.0,246124544.0,240902144.0,233467904.0,29077504.0,48418816.0,43393024.0,42901504.0,43241472.0,43143168.0,25980928.0,9834496.0,8544256.0,8888320.0,8212480.0,8908800.0,86540288.0,55488512.0,41844736.0,55812096.0,52432896.0,18309120.0,89743360.0,18276352.0,1020817408.0,68796416.0,15544320.0,28721152.0,27734016.0,25104384.0,26689536.0,26095616.0
1716643324,3784704.0,268423168.0,251891712.0,267599872.0,263987200.0,242536448.0,251236352.0,29073408.0,48758784.0,44072960.0,42782720.0,42835968.0,42934272.0,24424448.0,9121792.0,8720384.0,8704000.0,8507392.0,8814592.0,90042368.0,53850112.0,41844736.0,49377280.0,41562112.0,18309120.0,79785984.0,18276352.0,1020866560.0,69709824.0,14467072.0,29179904.0,25829376.0,25133056.0,26521600.0,25346048.0
1716643339,3784704.0,267739136.0,262959104.0,283975680.0,265383936.0,246108160.0,255102976.0,23552000.0,49037312.0,43958272.0,43003904.0,42921984.0,43659264.0,26238976.0,9428992.0,8380416.0,8556544.0,8122368.0,8278016.0,90251264.0,53850112.0,41844736.0,43933696.0,42295296.0,18673664.0,75067392.0,18182144.0,1020952576.0,69828608.0,13389824.0,29212672.0,25935872.0,25411584.0,26578944.0,25403392.0
1716643354,5136384.0,267063296.0,270168064.0,283234304.0,276234240.0,273543168.0,256847872.0,39362560.0,49369088.0,44560384.0,44355584.0,44056576.0,43569152.0,25038848.0,9945088.0,8769536.0,8560640.0,8835072.0,8347648.0,90279936.0,53805056.0,40321024.0,43933696.0,38072320.0,18309120.0,61501440.0,18182144.0,1021014016.0,69955584.0,12582912.0,30777344.0,24952832.0,26206208.0,25489408.0,25456640.0
1716643369,5136384.0,268001280.0,279781376.0,283328512.0,276545536.0,278937600.0,268926976.0,39366656.0,49975296.0,44466176.0,44236800.0,45273088.0,43945984.0,24895488.0,9723904.0,8933376.0,8798208.0,8286208.0,8888320.0,90505216.0,53805056.0,40321024.0,38952960.0,38440960.0,18309120.0,61501440.0,18182144.0,625594368.0,70156288.0,12582912.0,28602368.0,24989696.0,25669632.0,25526272.0,25473024.0
1716643384,5136384.0,267415552.0,279678976.0,296796160.0,276647936.0,281178112.0,278650880.0,39374848.0,50438144.0,44953600.0,44814336.0,45981696.0,44613632.0,24920064.0,10072064.0,9015296.0,8613888.0,9080832.0,8585216.0,90505216.0,53805056.0,40321024.0,38952960.0,38625280.0,18345984.0,61501440.0,15294464.0,626704384.0,70303744.0,12582912.0,28606464.0,25014272.0,25690112.0,25567232.0,25571328.0
1716643399,5136384.0,267173888.0,280072192.0,308998144.0,278720512.0,285556736.0,308531200.0,39399424.0,50110464.0,44953600.0,44855296.0,45477888.0,44740608.0,24207360.0,9613312.0,8593408.0,9179136.0,9539584.0,7888896.0,90607616.0,53805056.0,40321024.0,38658048.0,40087552.0,18370560.0,61501440.0,15294464.0,626855936.0,70426624.0,12582912.0,28635136.0,25059328.0,25722880.0,25583616.0,25632768.0
1716643414,5136384.0,267177984.0,316211200.0,309325824.0,307421184.0,289325056.0,308617216.0,39407616.0,51224576.0,45035520.0,44998656.0,45764608.0,45260800.0,23834624.0,10113024.0,8957952.0,8605696.0,9310208.0,8470528.0,90062848.0,53932032.0,40321024.0,38658048.0,40853504.0,18313216.0,61501440.0,15294464.0,627703808.0,70533120.0,12582912.0,29401088.0,25063424.0,25792512.0,26198016.0,25645056.0
1716643429,5136384.0,267689984.0,316370944.0,311386112.0,307609600.0,291614720.0,308817920.0,39419904.0,51609600.0,46739456.0,45457408.0,45604864.0,45436928.0,24293376.0,10276864.0,9469952.0,8515584.0,8396800.0,9564160.0,90062848.0,53932032.0,40321024.0,38658048.0,41193472.0,18313216.0,61501440.0,15294464.0,627765248.0,70647808.0,12582912.0,29437952.0,24715264.0,25833472.0,26222592.0,25661440.0
1716643444,5136384.0,267431936.0,321523712.0,315801600.0,310071296.0,293818368.0,351371264.0,39444480.0,51675136.0,46518272.0,45805568.0,47235072.0,46743552.0,24707072.0,9654272.0,9084928.0,9027584.0,8704000.0,8179712.0,90058752.0,53932032.0,40321024.0,38658048.0,40955904.0,18411520.0,61501440.0,15294464.0,628559872.0,70762496.0,12582912.0,28786688.0,24764416.0,25862144.0,26234880.0,26095616.0
1716643459,5136384.0,267509760.0,343588864.0,319496192.0,314171392.0,299565056.0,365142016.0,39452672.0,52416512.0,47161344.0,46563328.0,46567424.0,46563328.0,26419200.0,9097216.0,9052160.0,9031680.0,8704000.0,8978432.0,90075136.0,54157312.0,40321024.0,39063552.0,41000960.0,18681856.0,61501440.0,15294464.0,628625408.0,70873088.0,12582912.0,28815360.0,26296320.0,25915392.0,26271744.0,26161152.0
1716643474,5136384.0,268623872.0,346394624.0,321445888.0,324366336.0,313757696.0,365178880.0,39510016.0,52477952.0,47308800.0,46776320.0,46735360.0,46845952.0,25276416.0,9486336.0,9723904.0,9068544.0,8396800.0,8675328.0,90157056.0,54161408.0,40361984.0,39063552.0,41529344.0,18309120.0,61374464.0,15294464.0,688881664.0,70991872.0,12582912.0,28827648.0,26349568.0,25042944.0,26341376.0,27127808.0
1716643489,5136384.0,268627968.0,348569600.0,324190208.0,324538368.0,315666432.0,365473792.0,28422144.0,53264384.0,47439872.0,46825472.0,47063040.0,47439872.0,26267648.0,10100736.0,9506816.0,9224192.0,8880128.0,9129984.0,90951680.0,54161408.0,40361984.0,39063552.0,42045440.0,18317312.0,61374464.0,15294464.0,689111040.0,69902336.0,12582912.0,28848128.0,25325568.0,25059328.0,26357760.0,27226112.0
1716643504,5136384.0,268619776.0,350724096.0,329052160.0,328835072.0,325840896.0,369553408.0,28442624.0,53288960.0,48017408.0,47079424.0,47759360.0,47575040.0,26173440.0,9150464.0,9101312.0,9367552.0,8880128.0,9048064.0,90955776.0,54161408.0,40361984.0,39563264.0,42733568.0,18313216.0,61374464.0,15327232.0,689684480.0,69746688.0,12582912.0,29167616.0,25366528.0,25083904.0,26423296.0,24666112.0
1716643519,5136384.0,268881920.0,367218688.0,341598208.0,331001856.0,329338880.0,365109248.0,28471296.0,53456896.0,48087040.0,47194112.0,47419392.0,47702016.0,24899584.0,10293248.0,9490432.0,9207808.0,8318976.0,8658944.0,90976256.0,54161408.0,40361984.0,39563264.0,43614208.0,18313216.0,61374464.0,15327232.0,689905664.0,69853184.0,12582912.0,29175808.0,25378816.0,25116672.0,26439680.0,24690688.0
1716643534,5136384.0,264646656.0,385626112.0,341110784.0,352858112.0,341868544.0,364318720.0,28471296.0,54276096.0,48517120.0,47353856.0,47538176.0,47980544.0,25157632.0,9207808.0,8859648.0,10301440.0,8835072.0,8998912.0,90988544.0,54161408.0,40361984.0,39563264.0,39186432.0,18313216.0,54558720.0,15327232.0,690769920.0,69963776.0,11776000.0,29208576.0,26222592.0,25141248.0,26488832.0,24752128.0
1716643549,5136384.0,264544256.0,385638400.0,350502912.0,365150208.0,341901312.0,364343296.0,28471296.0,54214656.0,48504832.0,47976448.0,47669248.0,48402432.0,24616960.0,10084352.0,9281536.0,9023488.0,9318400.0,8851456.0,91000832.0,54161408.0,40361984.0,39563264.0,39718912.0,18313216.0,54558720.0,15327232.0,690819072.0,70078464.0,11776000.0,29220864.0,26521600.0,25165824.0,26492928.0,24756224.0
1716643564,5136384.0,264527872.0,385654784.0,355872768.0,365219840.0,342192128.0,364535808.0,28495872.0,54747136.0,48779264.0,48701440.0,47927296.0,48459776.0,24653824.0,9609216.0,9244672.0,8859648.0,8429568.0,9494528.0,89022464.0,54161408.0,40361984.0,39161856.0,39890944.0,18415616.0,54558720.0,18255872.0,690880512.0,70193152.0,11776000.0,30175232.0,25694208.0,24854528.0,26955776.0,25612288.0
1716643579,5136384.0,266850304.0,390770688.0,356208640.0,365518848.0,344358912.0,364544000.0,28508160.0,54800384.0,49299456.0,48656384.0,48525312.0,48996352.0,24932352.0,9080832.0,8912896.0,9359360.0,9457664.0,8790016.0,89038848.0,54161408.0,40361984.0,39161856.0,39993344.0,18313216.0,54558720.0,18255872.0,690950144.0,70311936.0,11776000.0,30216192.0,25739264.0,24866816.0,27041792.0,25903104.0
1716643594,5136384.0,265388032.0,390709248.0,355434496.0,364752896.0,357679104.0,364023808.0,24145920.0,55197696.0,49266688.0,48746496.0,48975872.0,49094656.0,24526848.0,9060352.0,8593408.0,8900608.0,9314304.0,8478720.0,89047040.0,54161408.0,40361984.0,39161856.0,36929536.0,18325504.0,51146752.0,18255872.0,691802112.0,70422528.0,10964992.0,30253056.0,25755648.0,25956352.0,27365376.0,25513984.0
1716643609,5136384.0,264859648.0,390975488.0,355520512.0,364908544.0,357732352.0,364036096.0,24166400.0,55328768.0,50196480.0,48803840.0,49348608.0,49299456.0,25022464.0,9388032.0,8851456.0,9981952.0,8429568.0,8634368.0,89047040.0,54161408.0,40361984.0,39161856.0,37146624.0,18313216.0,51146752.0,18255872.0,622055424.0,70533120.0,10964992.0,30261248.0,25780224.0,25964544.0,27553792.0,25550848.0
1716643624,5136384.0,265326592.0,390803456.0,355536896.0,364941312.0,357781504.0,360325120.0,24178688.0,56430592.0,50376704.0,50208768.0,49307648.0,50147328.0,25174016.0,9498624.0,9031680.0,8888320.0,8769536.0,9682944.0,89051136.0,54161408.0,40361984.0,39161856.0,37064704.0,18317312.0,51146752.0,18255872.0,622252032.0,70639616.0,10964992.0,29237248.0,26128384.0,26001408.0,27602944.0,25579520.0
1716643639,5136384.0,259874816.0,397680640.0,370184192.0,362094592.0,363483136.0,356921344.0,23638016.0,56569856.0,50454528.0,50425856.0,49176576.0,50319360.0,25436160.0,9965568.0,8404992.0,8757248.0,8892416.0,9191424.0,89341952.0,54161408.0,40361984.0,39116800.0,17039360.0,18681856.0,51146752.0,18255872.0,611635200.0,70754304.0,4059136.0,29241344.0,26136576.0,26021888.0,27631616.0,25636864.0
1716643654,5136384.0,259919872.0,397492224.0,371859456.0,364163072.0,365731840.0,356954112.0,23678976.0,56668160.0,50978816.0,50573312.0,50216960.0,50950144.0,25919488.0,10022912.0,8847360.0,8888320.0,9486336.0,8400896.0,89341952.0,54161408.0,40361984.0,39116800.0,17932288.0,18313216.0,51146752.0,18255872.0,615833600.0,70868992.0,4059136.0,29257728.0,25575424.0,26054656.0,27639808.0,26124288.0
1716643669,5136384.0,260960256.0,397500416.0,371900416.0,366383104.0,366006272.0,348164096.0,23695360.0,57307136.0,51613696.0,50720768.0,50438144.0,50528256.0,26431488.0,9691136.0,9330688.0,9355264.0,9732096.0,8794112.0,89346048.0,54161408.0,40361984.0,39116800.0,18046976.0,18313216.0,51146752.0,18255872.0,675479552.0,70983680.0,4059136.0,29270016.0,25595904.0,26054656.0,26746880.0,26132480.0
1716643684,5136384.0,260972544.0,397516800.0,371929088.0,366682112.0,365801472.0,348217344.0,23740416.0,57835520.0,52178944.0,51040256.0,50458624.0,50692096.0,26181632.0,9617408.0,8925184.0,9158656.0,10784768.0,9621504.0,89346048.0,54161408.0,40361984.0,39120896.0,17866752.0,18329600.0,51146752.0,15810560.0,736100352.0,71094272.0,4059136.0,29278208.0,25624576.0,26095616.0,26779648.0,26132480.0
1716643699,5124096.0,260300800.0,396013568.0,374091776.0,371011584.0,365813760.0,348282880.0,23760896.0,57688064.0,52191232.0,51380224.0,51392512.0,51441664.0,28053504.0,9240576.0,9117696.0,8732672.0,8560640.0,10035200.0,89350144.0,54161408.0,40361984.0,39120896.0,17100800.0,18366464.0,51146752.0,15810560.0,796135424.0,71204864.0,4059136.0,29286400.0,25366528.0,26161152.0,26796032.0,26574848.0
1716643714,5124096.0,260751360.0,396083200.0,373866496.0,373190656.0,366133248.0,348270592.0,23838720.0,58306560.0,52228096.0,52236288.0,51437568.0,51957760.0,24211456.0,10280960.0,10620928.0,8978432.0,8990720.0,10862592.0,89554944.0,54644736.0,40361984.0,39120896.0,17575936.0,18313216.0,51146752.0,15810560.0,796930048.0,71315456.0,4059136.0,29302784.0,26079232.0,26165248.0,26796032.0,26583040.0
1716643729,5124096.0,260501504.0,396095488.0,373907456.0,373002240.0,369688576.0,348336128.0,23875584.0,58945536.0,53334016.0,52658176.0,51478528.0,51761152.0,24985600.0,9854976.0,10768384.0,9736192.0,8605696.0,10371072.0,89550848.0,54644736.0,40361984.0,39120896.0,17731584.0,18317312.0,51146752.0,15810560.0,798121984.0,71462912.0,4059136.0,29360128.0,26083328.0,26177536.0,28110848.0,26669056.0
1716643744,9261056.0,260775936.0,398229504.0,376070144.0,378048512.0,369733632.0,348356608.0,41893888.0,59158528.0,53383168.0,52867072.0,52826112.0,52944896.0,25587712.0,10379264.0,11051008.0,8986624.0,8577024.0,8818688.0,89550848.0,54644736.0,40361984.0,39120896.0,18477056.0,18583552.0,51146752.0,15810560.0,798236672.0,71585792.0,4059136.0,29421568.0,26120192.0,26189824.0,28241920.0,26689536.0
1716643759,9261056.0,260775936.0,407367680.0,379850752.0,380219392.0,369745920.0,348372992.0,41902080.0,59842560.0,53694464.0,53743616.0,52940800.0,52948992.0,24498176.0,10174464.0,10481664.0,9224192.0,9687040.0,9035776.0,89550848.0,54644736.0,40361984.0,39235584.0,18464768.0,18685952.0,51146752.0,15810560.0,798326784.0,71798784.0,4059136.0,29425664.0,26144768.0,26206208.0,26099712.0,26697728.0
1716643774,9261056.0,260517888.0,407379968.0,379875328.0,382316544.0,369721344.0,350539776.0,41902080.0,59502592.0,53944320.0,53964800.0,53055488.0,53157888.0,24428544.0,9228288.0,9093120.0,8921088.0,8847360.0,8904704.0,94056448.0,49135616.0,39301120.0,34795520.0,19902464.0,18280448.0,51146752.0,15122432.0,798433280.0,69361664.0,4059136.0,29917184.0,26673152.0,26976256.0,25833472.0,26320896.0
1716643789,9261056.0,260521984.0,407412736.0,380170240.0,382439424.0,371363840.0,352628736.0,41906176.0,59990016.0,53780480.0,53846016.0,53788672.0,53628928.0,26214400.0,9674752.0,9121792.0,9068544.0,8548352.0,9682944.0,94056448.0,49135616.0,39301120.0,33312768.0,18472960.0,18268160.0,48484352.0,15110144.0,798756864.0,69521408.0,4059136.0,29753344.0,26693632.0,26951680.0,26923008.0,26464256.0
1716643804,9261056.0,260780032.0,407703552.0,379940864.0,382464000.0,374640640.0,352690176.0,41914368.0,59834368.0,54792192.0,54489088.0,54468608.0,53694464.0,25620480.0,10145792.0,9674752.0,9523200.0,8359936.0,9478144.0,94089216.0,49127424.0,39301120.0,33337344.0,18653184.0,18325504.0,48484352.0,15110144.0,798826496.0,69640192.0,4059136.0,29769728.0,26718208.0,27058176.0,27029504.0,26509312.0
1716643819,9261056.0,260780032.0,407498752.0,382369792.0,382570496.0,377053184.0,352702464.0,41914368.0,60702720.0,54599680.0,54898688.0,54714368.0,53727232.0,24989696.0,10207232.0,9814016.0,8704000.0,9228288.0,9179136.0,94117888.0,49127424.0,39301120.0,33337344.0,19419136.0,18632704.0,48484352.0,14848000.0,799408128.0,69763072.0,4059136.0,31731712.0,26468352.0,28672000.0,27258880.0,26517504.0
1716643834,9261056.0,260517888.0,407511040.0,382177280.0,382537728.0,384393216.0,352735232.0,41922560.0,60817408.0,55902208.0,55226368.0,55083008.0,54870016.0,27475968.0,9699328.0,9269248.0,8773632.0,8581120.0,8785920.0,94253056.0,49143808.0,39301120.0,33337344.0,20590592.0,18272256.0,48484352.0,14848000.0,799674368.0,69873664.0,4059136.0,31805440.0,26480640.0,28794880.0,28188672.0,27045888.0
