timestamp,beacon-metrics-gazer--9d316b6e9aa74b72999d2169c29fc931,cadvisor,cl-1-prysm-geth--41ea38c7ab484187aea4c001cfa85877,cl-2-prysm-geth--d4c7c550a22a4d72b6264e330cb9b544,cl-3-prysm-geth--5fa5e7027a8b48fe88a976b0d51f82cb,cl-4-prysm-geth--bf9b7cede1f74f37acb6b8f89ab25109,cl-5-prysm-geth--dadda985c88241988107c85787072a24,dora--ae41b9d83a724f4b8ced839ed55c3b18,el-1-geth-prysm--5edb3644f0d74ccb9237f94347013eb1,el-2-geth-prysm--28409563920c4702898404d9d502cf24,el-3-geth-prysm--34913541bf98469ea24f3b200a50eab9,el-4-geth-prysm--4d2adf113d5c415e8650d956a1d49669,el-5-geth-prysm--c69e01da5b54418399a3651466ef90e8,el-forkmon--d48c4eced8d1413ebd8bea77b2309ebe,ethereum-metrics-exporter-1-prysm-geth--332d8a1bb09d4d78a250774250625f9a,ethereum-metrics-exporter-2-prysm-geth--d752acdfa1164b5288105ff1762acec1,ethereum-metrics-exporter-3-prysm-geth--25c16c673a574df7a29e911e6a76a203,ethereum-metrics-exporter-4-prysm-geth--320445e439ac41529158d60cb2a9123d,ethereum-metrics-exporter-5-prysm-geth--c24ef082a93e4045af11f64e6d84592f,grafana--ad5738e121764c40a3c41014f1ef2631,helpers-grafana-1,kurtosis-api--5eb1669ce9fd4d51b8babb50c04e274a,kurtosis-engine--c86de4a013f447ea8b744e42a7ef18a6,kurtosis-logs-aggregator,kurtosis-logs-collector--5eb1669ce9fd4d51b8babb50c04e274a,kurtosis-reverse-proxy--c86de4a013f447ea8b744e42a7ef18a6,portainer,prometheus,prometheus--92c8439a09ae413a94601b6ded969af2,validator-key-generation-cl-validator-keystore--9c56e625a65248fcb655039c4474c6af,vc-1-geth-prysm--db6030ba0fa3465084a9062e7ddae2a5,vc-2-geth-prysm--da5a52f2c828426095c8ce10fe8fedfa,vc-3-geth-prysm--3543e76cba0d496d846503171238c578,vc-4-geth-prysm--d03e06aa07c249018118389ef402ba55,vc-5-geth-prysm--ad729c42abfd432cbccbae2b791e019d
1716903809,2584576.0,225558528.0,221564928.0,224907264.0,231276544.0,213573632.0,202649600.0,23195648.0,44552192.0,43143168.0,43683840.0,42680320.0,43585536.0,21635072.0,8495104.0,9302016.0,9588736.0,9519104.0,8462336.0,87822336.0,105545728.0,28348416.0,15589376.0,14053376.0,5038080.0,37466112.0,16801792.0,925507584.0,63754240.0,13717504.0,26275840.0,27910144.0,26365952.0,25145344.0,25649152.0
1716903824,2580480.0,220884992.0,235188224.0,233975808.0,231858176.0,218116096.0,235020288.0,25739264.0,47054848.0,43925504.0,44048384.0,44318720.0,43888640.0,21258240.0,9142272.0,9027584.0,8445952.0,8916992.0,9109504.0,90320896.0,52940800.0,28237824.0,15806464.0,13713408.0,5033984.0,37859328.0,17371136.0,974356480.0,64495616.0,7294976.0,27889664.0,28114944.0,25759744.0,25276416.0,25718784.0
1716903839,10133504.0,216383488.0,237281280.0,237006848.0,234340352.0,228745216.0,241254400.0,40701952.0,46944256.0,44015616.0,44322816.0,44191744.0,44052480.0,21581824.0,9699328.0,8826880.0,8929280.0,9854976.0,8818688.0,99983360.0,51212288.0,28164096.0,15802368.0,14438400.0,5046272.0,37859328.0,15093760.0,1018212352.0,64868352.0,7327744.0,28749824.0,25767936.0,25948160.0,25640960.0,26177536.0
1716903854,10301440.0,216768512.0,240525312.0,239939584.0,272318464.0,240041984.0,245637120.0,41844736.0,48250880.0,44761088.0,45613056.0,44838912.0,44359680.0,23482368.0,9420800.0,8798208.0,8970240.0,9404416.0,8568832.0,103268352.0,51027968.0,28164096.0,15802368.0,14209024.0,5062656.0,34021376.0,15122432.0,722186240.0,65798144.0,7348224.0,29810688.0,25792512.0,25964544.0,25661440.0,25960448.0
1716903869,10301440.0,216530944.0,247889920.0,242262016.0,282476544.0,253583360.0,251023360.0,41877504.0,48783360.0,44855296.0,45281280.0,45039616.0,45215744.0,21180416.0,9703424.0,8761344.0,9195520.0,9043968.0,8589312.0,103288832.0,51027968.0,28164096.0,16179200.0,15577088.0,5046272.0,34021376.0,15122432.0,722272256.0,65810432.0,7348224.0,29863936.0,25808896.0,25980928.0,26730496.0,26320896.0
1716903884,10301440.0,216100864.0,250753024.0,244822016.0,282685440.0,262246400.0,251203584.0,41902080.0,48730112.0,45322240.0,45793280.0,45473792.0,45572096.0,21737472.0,10153984.0,8716288.0,10317824.0,9940992.0,9183232.0,112668672.0,51027968.0,28164096.0,16179200.0,16015360.0,5238784.0,34021376.0,15122432.0,722276352.0,70057984.0,7348224.0,29880320.0,25817088.0,26849280.0,26783744.0,26738688.0
1716903899,10301440.0,215011328.0,250892288.0,267997184.0,287363072.0,264986624.0,253956096.0,41906176.0,49004544.0,45592576.0,46342144.0,45633536.0,46686208.0,22347776.0,9650176.0,8974336.0,8826880.0,9740288.0,8970240.0,112852992.0,51027968.0,28164096.0,16179200.0,15745024.0,5234688.0,34021376.0,15122432.0,781348864.0,101859328.0,7348224.0,29900800.0,26390528.0,27279360.0,27267072.0,26832896.0
1716903914,10301440.0,215154688.0,255246336.0,268386304.0,298127360.0,292503552.0,291438592.0,41947136.0,49086464.0,46325760.0,46915584.0,46313472.0,47042560.0,22417408.0,9564160.0,10031104.0,8617984.0,9125888.0,8650752.0,113045504.0,51048448.0,28164096.0,16179200.0,15749120.0,5226496.0,34099200.0,15122432.0,781348864.0,101888000.0,7348224.0,29904896.0,26415104.0,25698304.0,27291648.0,26857472.0
1716903929,10301440.0,215080960.0,268972032.0,270340096.0,297992192.0,303161344.0,291692544.0,41963520.0,49029120.0,46718976.0,46514176.0,46350336.0,47157248.0,22458368.0,9441280.0,8736768.0,9531392.0,8896512.0,9699328.0,116318208.0,51048448.0,28164096.0,24322048.0,15077376.0,5226496.0,55894016.0,15122432.0,782020608.0,101888000.0,7348224.0,30191616.0,27164672.0,25915392.0,28303360.0,27316224.0
1716903944,10301440.0,214552576.0,276574208.0,288604160.0,300875776.0,305496064.0,293949440.0,41996288.0,49631232.0,47480832.0,46665728.0,47157248.0,47271936.0,23379968.0,9850880.0,9203712.0,8491008.0,9228288.0,9527296.0,116576256.0,51052544.0,28164096.0,24322048.0,15290368.0,5222400.0,62951424.0,15122432.0,782020608.0,101912576.0,7348224.0,30195712.0,27336704.0,26214400.0,28643328.0,27361280.0
