timestamp,beacon-metrics-gazer--9d316b6e9aa74b72999d2169c29fc931,cadvisor,cl-1-prysm-geth--41ea38c7ab484187aea4c001cfa85877,cl-2-prysm-geth--d4c7c550a22a4d72b6264e330cb9b544,cl-3-prysm-geth--5fa5e7027a8b48fe88a976b0d51f82cb,cl-4-prysm-geth--bf9b7cede1f74f37acb6b8f89ab25109,cl-5-prysm-geth--dadda985c88241988107c85787072a24,dora--ae41b9d83a724f4b8ced839ed55c3b18,el-1-geth-prysm--5edb3644f0d74ccb9237f94347013eb1,el-2-geth-prysm--28409563920c4702898404d9d502cf24,el-3-geth-prysm--34913541bf98469ea24f3b200a50eab9,el-4-geth-prysm--4d2adf113d5c415e8650d956a1d49669,el-5-geth-prysm--c69e01da5b54418399a3651466ef90e8,el-forkmon--d48c4eced8d1413ebd8bea77b2309ebe,ethereum-metrics-exporter-1-prysm-geth--332d8a1bb09d4d78a250774250625f9a,ethereum-metrics-exporter-2-prysm-geth--d752acdfa1164b5288105ff1762acec1,ethereum-metrics-exporter-3-prysm-geth--25c16c673a574df7a29e911e6a76a203,ethereum-metrics-exporter-4-prysm-geth--320445e439ac41529158d60cb2a9123d,ethereum-metrics-exporter-5-prysm-geth--c24ef082a93e4045af11f64e6d84592f,grafana--ad5738e121764c40a3c41014f1ef2631,helpers-grafana-1,kurtosis-api--5eb1669ce9fd4d51b8babb50c04e274a,kurtosis-engine--c86de4a013f447ea8b744e42a7ef18a6,kurtosis-logs-aggregator,kurtosis-logs-collector--5eb1669ce9fd4d51b8babb50c04e274a,kurtosis-reverse-proxy--c86de4a013f447ea8b744e42a7ef18a6,portainer,prometheus,prometheus--92c8439a09ae413a94601b6ded969af2,validator-key-generation-cl-validator-keystore--9c56e625a65248fcb655039c4474c6af,vc-1-geth-prysm--db6030ba0fa3465084a9062e7ddae2a5,vc-2-geth-prysm--da5a52f2c828426095c8ce10fe8fedfa,vc-3-geth-prysm--3543e76cba0d496d846503171238c578,vc-4-geth-prysm--d03e06aa07c249018118389ef402ba55,vc-5-geth-prysm--ad729c42abfd432cbccbae2b791e019d
1716903809,7933952.0,252436480.0,244060160.0,225034240.0,231473152.0,213766144.0,202829824.0,34009088.0,62029824.0,43302912.0,43786240.0,42840064.0,43732992.0,35119104.0,13770752.0,9506816.0,9633792.0,9519104.0,8462336.0,174006272.0,123928576.0,69197824.0,37625856.0,44560384.0,19742720.0,93691904.0,18235392.0,1036582912.0,104808448.0,16326656.0,50130944.0,28344320.0,26714112.0,25292800.0,25788416.0
1716903824,7553024.0,252010496.0,256077824.0,234119168.0,232058880.0,218116096.0,235204608.0,35729408.0,61992960.0,44109824.0,44158976.0,44318720.0,43917312.0,32817152.0,13873152.0,9027584.0,8491008.0,8986624.0,9109504.0,171323392.0,111448064.0,65155072.0,37842944.0,41996288.0,18599936.0,88399872.0,18235392.0,1035513856.0,103186432.0,13377536.0,49410048.0,28504064.0,25862144.0,25276416.0,25862144.0
1716903839,15306752.0,252739584.0,256647168.0,237150208.0,234590208.0,228818944.0,241438720.0,49643520.0,61890560.0,44015616.0,44453888.0,44228608.0,44113920.0,32112640.0,14430208.0,8826880.0,8974336.0,9924608.0,8818688.0,175505408.0,105807872.0,61583360.0,35713024.0,43180032.0,17563648.0,78176256.0,15691776.0,1026306048.0,98922496.0,12853248.0,48517120.0,25886720.0,26165248.0,25669632.0,26320896.0
1716903854,15478784.0,250761216.0,258854912.0,240087040.0,272572416.0,240132096.0,245825536.0,50262016.0,62648320.0,44855296.0,45756416.0,44904448.0,44429312.0,33497088.0,13770752.0,8798208.0,9015296.0,9474048.0,8568832.0,177627136.0,104050688.0,60010496.0,34402304.0,41975808.0,17055744.0,71979008.0,15196160.0,730329088.0,98918400.0,12591104.0,48295936.0,25997312.0,26185728.0,25710592.0,26112000.0
1716903869,15478784.0,265654272.0,266223616.0,242413568.0,282734592.0,253677568.0,251215872.0,50294784.0,63184896.0,44953600.0,45449216.0,45109248.0,45309952.0,31207424.0,14053376.0,8761344.0,9240576.0,9113600.0,8589312.0,177647616.0,104050688.0,60010496.0,35024896.0,43925504.0,17039360.0,71979008.0,15196160.0,730468352.0,99037184.0,12591104.0,48357376.0,26034176.0,26238976.0,26824704.0,26476544.0
1716903884,15478784.0,265773056.0,269094912.0,244977664.0,282947584.0,262348800.0,251400192.0,50319360.0,63156224.0,45449216.0,45973504.0,45572096.0,45678592.0,31768576.0,14503936.0,8716288.0,10362880.0,10010624.0,9183232.0,196526080.0,104050688.0,60010496.0,35024896.0,44666880.0,17231872.0,71979008.0,15196160.0,730521600.0,103387136.0,12591104.0,48386048.0,26046464.0,27119616.0,26882048.0,26906624.0
1716903899,15478784.0,266035200.0,269238272.0,268156928.0,287633408.0,265093120.0,254156800.0,50323456.0,63438848.0,45727744.0,46546944.0,45740032.0,46817280.0,32387072.0,14000128.0,8974336.0,8871936.0,9809920.0,8970240.0,196915200.0,104050688.0,60010496.0,35024896.0,44793856.0,17227776.0,71979008.0,15196160.0,789647360.0,135294976.0,12591104.0,48410624.0,26619904.0,27553792.0,27369472.0,27013120.0
1716903914,15478784.0,266301440.0,273600512.0,268546048.0,298397696.0,292614144.0,291639296.0,50364416.0,63545344.0,46481408.0,47124480.0,46444544.0,47181824.0,32460800.0,13914112.0,10031104.0,8663040.0,9195520.0,8650752.0,197111808.0,104071168.0,60010496.0,35024896.0,45125632.0,17219584.0,72056832.0,15196160.0,789696512.0,135426048.0,12591104.0,48414720.0,26656768.0,25976832.0,27398144.0,27062272.0
1716903929,15478784.0,266338304.0,287330304.0,270503936.0,298266624.0,303276032.0,291897344.0,50380800.0,63496192.0,46886912.0,46755840.0,46489600.0,47325184.0,32509952.0,13791232.0,8736768.0,9576448.0,8966144.0,9699328.0,200384512.0,104071168.0,60010496.0,43601920.0,45023232.0,17219584.0,95252480.0,15196160.0,790421504.0,135528448.0,12591104.0,48713728.0,27430912.0,26206208.0,28434432.0,27541504.0
1716903944,15478784.0,266076160.0,294932480.0,288768000.0,301150208.0,305610752.0,294154240.0,50413568.0,64126976.0,47673344.0,46915584.0,47325184.0,47448064.0,33435648.0,14200832.0,9203712.0,8536064.0,9297920.0,9527296.0,200642560.0,104075264.0,60010496.0,43601920.0,45600768.0,17215488.0,102309888.0,15196160.0,790470656.0,135659520.0,12591104.0,48742400.0,27607040.0,26513408.0,28782592.0,27590656.0
