timestamp,grafana--59dd93c8cfba43acb6dea7c5eefa6b69,prometheus--e4a5aa36e27b4a0c84ef39c56de88dcb,dora--fea04be8155341049ae44a229caade91,beacon-metrics-gazer--e7d3d1b423014ee5a3d5f213061bd9b7,el-forkmon--934ad11f00614e9397c1cd5fccb88972,vc-5-geth-prysm--02383982044149879109c61bead94905,ethereum-metrics-exporter-5-prysm-geth--d67e275be273439fac04cf4ea8e735be,vc-4-geth-prysm--5ed42ae8a86e41e2884f11e25330b785,ethereum-metrics-exporter-4-prysm-geth--00231386c26a4dbcaf045147e3c3f2af,vc-3-geth-prysm--635c4c189aaa4a0cbfae01aa58960591,ethereum-metrics-exporter-3-prysm-geth--2640fbb79054430ba669eb445773a634,vc-2-geth-prysm--1577d5d38f0f4a0887cb1fb88044cb26,ethereum-metrics-exporter-2-prysm-geth--4545a585ec7049ab9d5f50c1e6afc307,vc-1-geth-prysm--5600c4c96a844bb4b9a2cc80c03f3569,ethereum-metrics-exporter-1-prysm-geth--536f809392594c2a9672509dedb9536a,cl-5-prysm-geth--1ad1d6068ae0453b87327c5c519e5799,cl-4-prysm-geth--41d076642b854b249a6c74a82cfbc88d,cl-3-prysm-geth--173228f84efa4936b86c0128b52f40c8,cl-2-prysm-geth--d9843c17ce45455cab1a10d84dc8b306,cl-1-prysm-geth--1602b089b3554faabfdd6b7e6678ac4c,el-5-geth-prysm--f14512f12774480297105e47431cf968,el-4-geth-prysm--9e704a36409e495aa99ffe36cb63eb55,el-3-geth-prysm--7500a0b6c80e4a68a56d5b97cc0b7411,el-2-geth-prysm--5540b55ba59c404a950fd9b1403c3f27,el-1-geth-prysm--367c9d704dff496d9814c0ab6cc507da,validator-key-generation-cl-validator-keystore--290d50834a8e4a5e8de7169613053c0b,kurtosis-api--12b76d53e3a3431880ce75ba5b5db142,kurtosis-logs-collector--12b76d53e3a3431880ce75ba5b5db142,kurtosis-engine--5c811456292d47799b9e2a915ff09c5c,kurtosis-reverse-proxy--5c811456292d47799b9e2a915ff09c5c,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1716975932,13400.0,1320.0,1930.0,463.0,410.0,160.0,45.1,274.0,0.0,381.0,98.3,377.0,0.0,213.0,0.0,242.0,319.0,266.0,131.0,172.0,24.6,127.0,4.1,270.0,28.7,918.0,0.0,131.0,1130.0,2200.0,0.0,111000.0,45000.0,29600.0,44700.0
1716975947,13400.0,1500.0,1930.0,463.0,410.0,184.0,45.1,295.0,0.0,393.0,98.3,389.0,0.0,233.0,0.0,283.0,319.0,266.0,168.0,172.0,24.6,131.0,8.19,270.0,32.8,918.0,0.0,131.0,1130.0,2200.0,0.0,126000.0,45100.0,31200.0,44700.0
1716975962,13500.0,1500.0,3100.0,463.0,737.0,188.0,45.1,299.0,0.0,410.0,303.0,401.0,0.0,295.0,246.0,291.0,328.0,274.0,180.0,180.0,24.6,131.0,8.19,270.0,32.8,918.0,0.0,131.0,1480.0,6140.0,0.0,126000.0,45100.0,31200.0,44700.0
1716975977,13500.0,1500.0,4480.0,463.0,1270.0,197.0,45.1,319.0,0.0,426.0,303.0,410.0,0.0,328.0,373.0,299.0,336.0,455.0,188.0,188.0,24.6,131.0,8.19,270.0,32.8,918.0,0.0,131.0,1480.0,6140.0,0.0,126000.0,45100.0,32200.000000000004,44700.0
1716975992,16400.0,1500.0,5200.0,463.0,1630.0,201.0,45.1,360.0,0.0,430.0,303.0,426.0,0.0,328.0,373.0,500.0,635.0,463.0,197.0,299.0,24.6,131.0,8.19,270.0,32.8,918.0,0.0,131.0,1480.0,6140.0,0.0,126000.0,45100.0,34500.0,44700.0
1716976007,16500.0,1500.0,5330.0,463.0,2050.0,209.0,45.1,373.0,262.0,434.0,385.0,446.0,0.0,328.0,373.0,508.0,643.0,471.0,279.0,369.0,24.6,131.0,8.19,270.0,32.8,918.0,0.0,131.0,1480.0,6140.0,0.0,126000.0,45100.0,34500.0,44800.0
1716976022,16600.0,1500.0,5540.0,463.0,2100.0,266.0,45.1,381.0,262.0,496.0,385.0,500.0,0.0,332.0,422.0,569.0,786.0,475.0,434.0,373.0,24.6,131.0,8.19,274.0,32.8,918.0,0.0,131.0,1480.0,6140.0,0.0,126000.0,45100.0,34500.0,44800.0
1716976037,16600.0,1500.0,5540.0,463.0,2350.0,434.0,184.0,393.0,262.0,541.0,385.0,532.0,0.0,348.0,422.0,578.0,922.0,483.0,500.0,381.0,24.6,250.0,139.0,274.0,69.6,918.0,0.0,131.0,1480.0,6140.0,0.0,126000.0,45100.0,34500.0,44800.0
1716976052,16900.0,1500.0,5840.0,463.0,3100.0,549.0,184.0,393.0,262.0,594.0,385.0,537.0,0.0,352.0,422.0,668.0,926.0,487.0,705.0,516.0,24.6,250.0,139.0,385.0,69.6,918.0,0.0,131.0,2200.0,6140.0,81.9,126000.0,45100.0,34500.0,44800.0
1716976067,16900.0,1500.0,5840.0,463.0,3100.0,557.0,184.0,520.0,262.0,844.0,385.0,737.0,0.0,426.0,422.0,705.0,1030.0,537.0,963.0,594.0,24.6,250.0,139.0,385.0,69.6,918.0,0.0,131.0,2200.0,6500.0,81.9,126000.0,45100.0,34500.0,44800.0
1716976082,16900.0,1510.0,5840.0,463.0,3340.0,795.0,213.0,664.0,262.0,881.0,385.0,741.0,0.0,459.0,512.0,705.0,1030.0,999.0,963.0,594.0,24.6,250.0,139.0,385.0,168.0,918.0,0.0,131.0,2200.0,6500.0,81.9,126000.0,45100.0,34500.0,44800.0
1716976097,16900.0,1510.0,9530.0,7220.0,3500.0,1810.0,270.0,1610.0,532.0,2130.0,479.0,1760.0,65.5,1420.0,578.0,1860.0,1610.0,1820.0,1710.0,2310.0,102.0,492.0,197.0,483.0,258.0,918.0,0.0,254.0,2200.0,6500.0,1150.0,126000.0,45100.0,34500.0,44800.0
1716976112,31000.0,1510.0,10600.0,7220.0,3590.0,1890.0,270.0,1610.0,643.0,2140.0,479.0,1770.0,65.5,1430.0,578.0,1860.0,1610.0,2009.9999999999998,1770.0,2310.0,217.0,1160.0,197.0,483.0,258.0,918.0,0.0,254.0,2620.0,6500.0,1170.0,126000.0,45100.0,34500.0,44800.0
1716976127,31000.0,1510.0,10600.0,7220.0,3690.0,2029.9999999999998,270.0,1620.0,643.0,2150.0,479.0,1780.0,65.5,1470.0,578.0,1930.0,1770.0,2090.0,1810.0,2310.0,217.0,1750.0,430.0,483.0,258.0,918.0,0.0,254.0,2620.0,6500.0,3080.0,126000.0,45100.0,34500.0,44800.0
1716976142,31000.0,1510.0,10600.0,7220.0,3690.0,2029.9999999999998,270.0,1630.0,668.0,2330.0,479.0,1790.0,65.5,1480.0,578.0,1940.0,2130.0,2150.0,1850.0,2310.0,618.0,1800.0,430.0,483.0,319.0,918.0,0.0,614.0,2620.0,6500.0,3210.0,126000.0,45100.0,34500.0,44800.0
1716976157,31000.0,1510.0,10600.0,7220.0,3690.0,2040.0,270.0,1650.0,668.0,2350.0,479.0,1790.0,65.5,1700.0,578.0,1940.0,2270.0,2150.0,1850.0,2430.0,618.0,1800.0,430.0,483.0,381.0,918.0,0.0,614.0,3190.0,6500.0,3240.0,126000.0,45100.0,34500.0,44800.0
1716976172,31100.0,1510.0,10600.0,7220.0,3690.0,2040.0,270.0,1660.0,668.0,2360.0,516.0,1810.0,65.5,1700.0,578.0,1940.0,2270.0,2170.0,1940.0,2430.0,618.0,1800.0,430.0,483.0,381.0,918.0,0.0,614.0,3190.0,6500.0,3240.0,126000.0,45100.0,34500.0,44800.0
1716976187,31100.0,1510.0,10600.0,7220.0,3690.0,2160.0,270.0,1670.0,758.0,2380.0,516.0,1930.0,65.5,1710.0,578.0,1950.0,2610.0,2180.0,1940.0,2430.0,618.0,2080.0,430.0,483.0,381.0,918.0,172.0,614.0,3190.0,6500.0,3320.0,126000.0,45100.0,34500.0,44800.0
1716976202,31100.0,1510.0,10600.0,7220.0,3760.0,2220.0,270.0,1680.0,758.0,2380.0,516.0,1930.0,65.5,1710.0,578.0,1950.0,2610.0,2180.0,1940.0,2510.0,688.0,2240.0,467.0,541.0,3980.0,918.0,172.0,635.0,3190.0,6500.0,3320.0,126000.0,45100.0,34500.0,44800.0
