timestamp,beacon-metrics-gazer--e7d3d1b423014ee5a3d5f213061bd9b7,cadvisor,cl-1-prysm-geth--1602b089b3554faabfdd6b7e6678ac4c,cl-2-prysm-geth--d9843c17ce45455cab1a10d84dc8b306,cl-3-prysm-geth--173228f84efa4936b86c0128b52f40c8,cl-4-prysm-geth--41d076642b854b249a6c74a82cfbc88d,cl-5-prysm-geth--1ad1d6068ae0453b87327c5c519e5799,dora--fea04be8155341049ae44a229caade91,el-1-geth-prysm--367c9d704dff496d9814c0ab6cc507da,el-2-geth-prysm--5540b55ba59c404a950fd9b1403c3f27,el-3-geth-prysm--7500a0b6c80e4a68a56d5b97cc0b7411,el-4-geth-prysm--9e704a36409e495aa99ffe36cb63eb55,el-5-geth-prysm--f14512f12774480297105e47431cf968,el-forkmon--934ad11f00614e9397c1cd5fccb88972,ethereum-metrics-exporter-1-prysm-geth--536f809392594c2a9672509dedb9536a,ethereum-metrics-exporter-2-prysm-geth--4545a585ec7049ab9d5f50c1e6afc307,ethereum-metrics-exporter-3-prysm-geth--2640fbb79054430ba669eb445773a634,ethereum-metrics-exporter-4-prysm-geth--00231386c26a4dbcaf045147e3c3f2af,ethereum-metrics-exporter-5-prysm-geth--d67e275be273439fac04cf4ea8e735be,grafana--59dd93c8cfba43acb6dea7c5eefa6b69,helpers-grafana-1,kurtosis-api--12b76d53e3a3431880ce75ba5b5db142,kurtosis-engine--5c811456292d47799b9e2a915ff09c5c,kurtosis-logs-aggregator,kurtosis-logs-collector--12b76d53e3a3431880ce75ba5b5db142,kurtosis-reverse-proxy--5c811456292d47799b9e2a915ff09c5c,portainer,prometheus,prometheus--e4a5aa36e27b4a0c84ef39c56de88dcb,validator-key-generation-cl-validator-keystore--290d50834a8e4a5e8de7169613053c0b,vc-1-geth-prysm--5600c4c96a844bb4b9a2cc80c03f3569,vc-2-geth-prysm--1577d5d38f0f4a0887cb1fb88044cb26,vc-3-geth-prysm--635c4c189aaa4a0cbfae01aa58960591,vc-4-geth-prysm--5ed42ae8a86e41e2884f11e25330b785,vc-5-geth-prysm--02383982044149879109c61bead94905
1716975917,3719168.0,49848320.0,352854016.0,295133184.0,369745920.0,349569024.0,327831552.0,25800704.0,47448064.0,47468544.0,47316992.0,47599616.0,46915584.0,19927040.0,8794112.0,9064448.0,8572928.0,8699904.0,8163328.0,72531968.0,176386048.0,22835200.0,14954496.0,13185024.0,4837376.0,32968704.0,15880192.0,94228480.0,98435072.0,6668288.0,25075712.0,27774976.0,26292224.0,25767936.0,25317376.0
1716975932,3719168.0,152231936.0,352915456.0,296755200.0,369508352.0,349589504.0,327839744.0,25817088.0,47599616.0,47468544.0,47357952.0,47661056.0,47046656.0,22589440.0,9093120.0,9211904.0,9297920.0,8867840.0,9129984.0,70995968.0,176386048.0,22835200.0,14954496.0,12734464.0,4866048.0,32403456.0,15880192.0,315531264.0,97259520.0,6594560.0,25112576.0,27783168.0,26304512.0,25833472.0,25432064.0
1716975947,3719168.0,137072640.0,356413440.0,309874688.0,369807360.0,349618176.0,329986048.0,27021312.0,48627712.0,47525888.0,47562752.0,48451584.0,47296512.0,22921216.0,9768960.0,8597504.0,9490432.0,9011200.0,8794112.0,71094272.0,176414720.0,22835200.0,14934016.0,12509184.0,4866048.0,37937152.0,15319040.0,315584512.0,97255424.0,6594560.0,25190400.0,25722880.0,26333184.0,25874432.0,25575424.0
1716975962,3719168.0,127164416.0,355659776.0,326070272.0,369602560.0,353902592.0,354832384.0,28401664.0,48558080.0,48357376.0,48738304.0,48246784.0,48119808.0,23003136.0,9465856.0,8499200.0,9969664.0,9969664.0,8597504.0,71090176.0,176414720.0,22835200.0,14934016.0,12525568.0,4988928.0,37933056.0,15319040.0,315674624.0,97263616.0,6594560.0,25317376.0,25739264.0,26861568.0,25890816.0,27631616.0
1716975977,3719168.0,127606784.0,355729408.0,326103040.0,372678656.0,354484224.0,355012608.0,25014272.0,48783360.0,48635904.0,48844800.0,48467968.0,47984640.0,25128960.0,9605120.0,9027584.0,8785920.0,9023488.0,8998912.0,73793536.0,176717824.0,22835200.0,14594048.0,12775424.0,4870144.0,37933056.0,15319040.0,308948992.0,97800192.0,6594560.0,25329664.0,25882624.0,26861568.0,26009600.0,28127232.0
1716975992,3719168.0,127373312.0,355872768.0,326164480.0,372711424.0,354512896.0,355102720.0,25411584.0,49872896.0,48508928.0,49115136.0,48857088.0,48324608.0,24121344.0,9314304.0,8568832.0,8691712.0,9416704.0,8884224.0,73789440.0,176721920.0,22835200.0,14594048.0,12812288.0,4870144.0,37933056.0,15319040.0,359579648.0,97329152.0,6594560.0,25341952.0,25899008.0,26873856.0,26062848.0,28131328.0
1716976007,3719168.0,138223616.0,370233344.0,335925248.0,373026816.0,360816640.0,357281792.0,25419776.0,49700864.0,48758784.0,49651712.0,49152000.0,49033216.0,24379392.0,9097216.0,8712192.0,9261056.0,9138176.0,9211904.0,74035200.0,176721920.0,22544384.0,14594048.0,12939264.0,4866048.0,37933056.0,18079744.0,359636992.0,97333248.0,6594560.0,26116096.0,25661440.0,26886144.0,26079232.0,25231360.0
1716976022,3719168.0,128102400.0,380243968.0,364253184.0,372752384.0,360980480.0,359546880.0,25665536.0,49684480.0,49700864.0,49922048.0,49397760.0,49049600.0,24862720.0,8704000.0,8556544.0,9408512.0,9539584.0,9388032.0,74031104.0,139886592.0,22515712.0,14946304.0,12660736.0,4829184.0,37933056.0,18075648.0,410083328.0,97349632.0,6594560.0,26140672.0,25686016.0,26890240.0,26144768.0,25354240.0
1716976037,3457024.0,127946752.0,380522496.0,363966464.0,373317632.0,361107456.0,359567360.0,25686016.0,49860608.0,49688576.0,49754112.0,49754112.0,49082368.0,27049984.0,9166848.0,8544256.0,10141696.0,9842688.0,8949760.0,74063872.0,139943936.0,22515712.0,14946304.0,12451840.0,4603904.0,37933056.0,18075648.0,460513280.0,105766912.0,6594560.0,25243648.0,26054656.0,26918912.0,25993216.0,25407488.0
1716976052,3457024.0,128942080.0,380809216.0,364204032.0,363376640.0,361140224.0,359641088.0,25993216.0,50900992.0,49868800.0,49790976.0,49864704.0,50188288.0,26607616.0,9371648.0,9113600.0,9576448.0,9166848.0,8916992.0,73371648.0,134995968.0,22515712.0,14946304.0,12730368.0,4608000.0,37933056.0,18075648.0,510939136.0,106049536.0,6610944.0,25157632.0,26066944.0,27017216.0,25997312.0,26615808.0
