timestamp,beacon-metrics-gazer--e7d3d1b423014ee5a3d5f213061bd9b7,cadvisor,cl-1-prysm-geth--1602b089b3554faabfdd6b7e6678ac4c,cl-2-prysm-geth--d9843c17ce45455cab1a10d84dc8b306,cl-3-prysm-geth--173228f84efa4936b86c0128b52f40c8,cl-4-prysm-geth--41d076642b854b249a6c74a82cfbc88d,cl-5-prysm-geth--1ad1d6068ae0453b87327c5c519e5799,dora--fea04be8155341049ae44a229caade91,el-1-geth-prysm--367c9d704dff496d9814c0ab6cc507da,el-2-geth-prysm--5540b55ba59c404a950fd9b1403c3f27,el-3-geth-prysm--7500a0b6c80e4a68a56d5b97cc0b7411,el-4-geth-prysm--9e704a36409e495aa99ffe36cb63eb55,el-5-geth-prysm--f14512f12774480297105e47431cf968,el-forkmon--934ad11f00614e9397c1cd5fccb88972,ethereum-metrics-exporter-1-prysm-geth--536f809392594c2a9672509dedb9536a,ethereum-metrics-exporter-2-prysm-geth--4545a585ec7049ab9d5f50c1e6afc307,ethereum-metrics-exporter-3-prysm-geth--2640fbb79054430ba669eb445773a634,ethereum-metrics-exporter-4-prysm-geth--00231386c26a4dbcaf045147e3c3f2af,ethereum-metrics-exporter-5-prysm-geth--d67e275be273439fac04cf4ea8e735be,grafana--59dd93c8cfba43acb6dea7c5eefa6b69,helpers-grafana-1,kurtosis-api--12b76d53e3a3431880ce75ba5b5db142,kurtosis-engine--5c811456292d47799b9e2a915ff09c5c,kurtosis-logs-aggregator,kurtosis-logs-collector--12b76d53e3a3431880ce75ba5b5db142,kurtosis-reverse-proxy--5c811456292d47799b9e2a915ff09c5c,portainer,prometheus,prometheus--e4a5aa36e27b4a0c84ef39c56de88dcb,validator-key-generation-cl-validator-keystore--290d50834a8e4a5e8de7169613053c0b,vc-1-geth-prysm--5600c4c96a844bb4b9a2cc80c03f3569,vc-2-geth-prysm--1577d5d38f0f4a0887cb1fb88044cb26,vc-3-geth-prysm--635c4c189aaa4a0cbfae01aa58960591,vc-4-geth-prysm--5ed42ae8a86e41e2884f11e25330b785,vc-5-geth-prysm--02383982044149879109c61bead94905
1716975917,3919872.0,55390208.0,352927744.0,295243776.0,369807360.0,349667328.0,327958528.0,27738112.0,47546368.0,47648768.0,47493120.0,47886336.0,46977024.0,20463616.0,8798208.0,9068544.0,8671232.0,8699904.0,8208384.0,72531968.0,181362688.0,29016064.0,16244736.0,18329600.0,4968448.0,34594816.0,56336384.0,110510080.0,100061184.0,9089024.0,25264128.0,28078080.0,26595328.0,25944064.0,25419776.0
1716975932,3919872.0,186105856.0,352989184.0,296824832.0,369569792.0,349687808.0,327913472.0,27492352.0,47599616.0,47652864.0,47394816.0,47714304.0,47112192.0,23027712.0,9097216.0,9216000.0,9396224.0,8867840.0,9129984.0,72548352.0,181362688.0,29016064.0,16244736.0,16961536.0,4866048.0,33665024.0,56336384.0,322301952.0,98566144.0,6619136.0,25112576.0,28094464.0,26611712.0,26017792.0,25559040.0
1716975947,3919872.0,187674624.0,356499456.0,309960704.0,369881088.0,349728768.0,330072064.0,28696576.0,48627712.0,47718400.0,47607808.0,48517120.0,47370240.0,23367680.0,9773056.0,8601600.0,9588736.0,9011200.0,8794112.0,72667136.0,181391360.0,29016064.0,16326656.0,17076224.0,4866048.0,39198720.0,55775232.0,322408448.0,98676736.0,6619136.0,25190400.0,26046464.0,26656768.0,26062848.0,25706496.0
1716975962,3919872.0,206495744.0,355758080.0,326168576.0,369688576.0,354025472.0,354930688.0,30076928.0,48558080.0,48553984.0,48795648.0,48316416.0,48197632.0,23556096.0,9469952.0,8503296.0,10067968.0,9969664.0,8597504.0,72663040.0,181391360.0,29016064.0,16326656.0,17571840.0,4988928.0,39194624.0,55775232.0,322551808.0,98791424.0,6619136.0,25317376.0,26071040.0,27201536.0,26103808.0,27770880.0
1716975977,3719168.0,210337792.0,355831808.0,326205440.0,372768768.0,354611200.0,355115008.0,26689536.0,48783360.0,48836608.0,48906240.0,48545792.0,48066560.0,25690112.0,9609216.0,9031680.0,8884224.0,9023488.0,8998912.0,75374592.0,181694464.0,29016064.0,16166912.0,18206720.0,4870144.0,39194624.0,55775232.0,322199552.0,99344384.0,6619136.0,25329664.0,26234880.0,27205632.0,26009600.0,28282880.0
1716975992,3719168.0,210104320.0,355979264.0,326270976.0,372805632.0,354648064.0,355209216.0,27086848.0,49872896.0,48713728.0,49192960.0,48943104.0,48414720.0,24686592.0,9318400.0,8572928.0,8790016.0,9416704.0,8884224.0,75370496.0,181698560.0,29016064.0,16166912.0,18599936.0,4870144.0,39194624.0,55775232.0,372883456.0,98992128.0,6619136.0,25341952.0,26300416.0,27217920.0,26062848.0,28295168.0
1716976007,3719168.0,226082816.0,370360320.0,336052224.0,373141504.0,360968192.0,357408768.0,27095040.0,49700864.0,48967680.0,49733632.0,49246208.0,49127424.0,24952832.0,9101312.0,8716288.0,9359360.0,9138176.0,9211904.0,75620352.0,181698560.0,28725248.0,16166912.0,19087360.0,4866048.0,39194624.0,58773504.0,372994048.0,99094528.0,6619136.0,26116096.0,26083328.0,27234304.0,26079232.0,25403392.0
1716976022,3719168.0,229142528.0,380379136.0,364388352.0,372895744.0,361140224.0,359682048.0,27340800.0,49778688.0,49700864.0,50016256.0,49496064.0,49152000.0,25448448.0,8708096.0,8560640.0,9506816.0,9539584.0,9388032.0,75620352.0,182054912.0,27648000.0,16519168.0,19210240.0,4829184.0,39194624.0,57548800.0,423493632.0,99225600.0,6619136.0,26140672.0,25968640.0,27111424.0,26144768.0,25354240.0
1716976037,3719168.0,229203968.0,380669952.0,364113920.0,373473280.0,361295872.0,359714816.0,27361280.0,49979392.0,49688576.0,49856512.0,49864704.0,49192960.0,27643904.0,9170944.0,8548352.0,10240000.0,9842688.0,8949760.0,75665408.0,182112256.0,27648000.0,16519168.0,19464192.0,4603904.0,39194624.0,57548800.0,473972736.0,107753472.0,6619136.0,25243648.0,26370048.0,26918912.0,26157056.0,25509888.0
1716976052,3719168.0,243081216.0,380960768.0,364355584.0,363540480.0,361332736.0,359792640.0,27668480.0,51027968.0,49868800.0,49905664.0,49979392.0,50307072.0,27361280.0,9375744.0,9117696.0,9674752.0,9166848.0,8916992.0,74973184.0,177164288.0,27648000.0,16519168.0,20123648.0,4608000.0,39194624.0,57548800.0,524451840.0,107606016.0,6610944.0,25272320.0,26398720.0,27017216.0,26161152.0,26730496.0
1716976067,3719168.0,243118080.0,382812160.0,364675072.0,363618304.0,361390080.0,364077056.0,27725824.0,51281920.0,50966528.0,50905088.0,51118080.0,50442240.0,26042368.0,9318400.0,9216000.0,8880128.0,9879552.0,9875456.0,74985472.0,177164288.0,27648000.0,17293312.0,20410368.0,4608000.0,30793728.0,57548800.0,524513280.0,107483136.0,6610944.0,27111424.0,26599424.0,27271168.0,25985024.0,27004928.0
1716976082,3719168.0,243224576.0,382955520.0,372506624.0,363700224.0,369618944.0,364195840.0,27815936.0,51621888.0,50950144.0,50941952.0,50843648.0,50700288.0,27258880.0,9633792.0,8396800.0,9826304.0,8638464.0,9166848.0,74989568.0,177164288.0,27648000.0,17293312.0,21291008.0,4427776.0,30793728.0,57548800.0,524570624.0,107352064.0,6610944.0,27226112.0,26628096.0,25448448.0,26112000.0,26734592.0
