timestamp,grafana--d1165000f08c4f6db2d22b9e023df1b0,prometheus--4bbe2a8ffb494cbba9e1452f6adb22db,dora--64988aa60c36407c90a25af1983c6282,beacon-metrics-gazer--adb8a3706cbb47fb82d9985aa3b8fb22,el-forkmon--dfae7caaa2884f02aa5e94bc2935d6b3,vc-5-geth-prysm--e30e4006f85949a1a8c647e72dddd18b,ethereum-metrics-exporter-5-prysm-geth--11187d13911140efb2c64a46648351ee,vc-4-geth-prysm--a4774913f9804976810ee21f0ca66f26,ethereum-metrics-exporter-4-prysm-geth--793030750ecb4752b815a886da385db3,vc-3-geth-prysm--3ee7cc80f32640c4b42490d6394928a0,ethereum-metrics-exporter-3-prysm-geth--1802f40095554dbbbfcd8d1666edfc56,vc-2-geth-prysm--8571b98c411042de8183e2898ddd55e9,ethereum-metrics-exporter-2-prysm-geth--261f426d7d08410c8e4c931b839d23a0,vc-1-geth-prysm--8f09d13b3cab471e90b7e3c145a3e090,ethereum-metrics-exporter-1-prysm-geth--705c8ba6cd00412e88c3a8d8515e4ebb,cl-5-prysm-geth--d28ac8a37cb6452c8a5cc25e1f30e477,cl-4-prysm-geth--e16333e3e0344b948c69cf2bf5cf1875,cl-3-prysm-geth--3876283c7cb344b8ac545b746e4d7052,cl-2-prysm-geth--e6c16ad2d5ec49e7995c5ee30e3dc7b7,cl-1-prysm-geth--27729cf71bb04432a94650b5b702ab7e,el-5-geth-prysm--173649707c65475d9880db527c5659eb,el-4-geth-prysm--c6f41dbce1874f5e90797b78a81c755f,el-3-geth-prysm--0703b0d4af9f4ab7a268ca908335d8ac,el-2-geth-prysm--30f4377f71764bcc81092d2a286547b5,el-1-geth-prysm--ae3b6681daa54b64aa809f227c29f71e,validator-key-generation-cl-validator-keystore--05cfb3e1f30e491dbb8b6921af40ad43,kurtosis-api--67d1f576dff84fd4937a040c1f54d2af,kurtosis-logs-collector--67d1f576dff84fd4937a040c1f54d2af,kurtosis-engine--7b584146a4904e41ad7870a9f16ce66d,kurtosis-reverse-proxy--7b584146a4904e41ad7870a9f16ce66d,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1716786627,134000.0,44200.0,14600.0,5700.0,17100.0,1260.0,324.0,709.0,102.0,541.0,401.0,1210.0,45.1,24200.0,7270.0,922.0,1120.0,1240.0,1440.0,25200.0,328.0,975.0,766.0,279.0,19300.0,9330.0,15000.0,782.0,8750.0,22800.0,750.0,1160000.0,1620000.0,619000.0,317000.0
1716786642,134000.0,44200.0,14600.0,5700.0,17100.0,1260.0,324.0,737.0,102.0,541.0,401.0,1230.0,45.1,24200.0,7270.0,938.0,1220.0,1310.0,1460.0,25400.0,328.0,975.0,766.0,279.0,19300.0,9330.0,15000.0,782.0,8750.0,22800.0,831.0,1160000.0,1620000.0,619000.0,317000.0
1716786657,134000.0,44200.0,14600.0,5700.0,17300.0,1300.0,324.0,750.0,102.0,553.0,401.0,1640.0,45.1,24200.0,7270.0,983.0,1230.0,1450.0,1470.0,25500.0,328.0,1040.0,766.0,279.0,19300.0,9330.0,15000.0,782.0,8750.0,22800.0,852.0,1160000.0,1620000.0,619000.0,317000.0
1716786672,134000.0,44200.0,14700.0,5700.0,17300.0,1300.0,324.0,754.0,102.0,561.0,401.0,1650.0,45.1,24200.0,7270.0,983.0,1230.0,1450.0,1500.0,25500.0,328.0,1080.0,766.0,864.0,19300.0,9330.0,15000.0,782.0,8750.0,22800.0,852.0,1160000.0,1620000.0,619000.0,317000.0
1716786687,134000.0,44200.0,14700.0,5700.0,17300.0,1310.0,324.0,766.0,102.0,582.0,401.0,1660.0,45.1,24200.0,7270.0,983.0,1230.0,1450.0,1500.0,25500.0,328.0,1080.0,766.0,864.0,19300.0,9330.0,15000.0,782.0,8750.0,22800.0,852.0,1160000.0,1620000.0,619000.0,317000.0
1716786702,134000.0,44200.0,14700.0,5700.0,17300.0,1320.0,324.0,778.0,102.0,586.0,401.0,1670.0,45.1,24200.0,7270.0,983.0,1230.0,1450.0,1500.0,25500.0,328.0,1080.0,827.0,864.0,19300.0,9330.0,15000.0,782.0,8750.0,22800.0,852.0,1160000.0,1620000.0,619000.0,317000.0
1716786717,134000.0,44200.0,14700.0,5700.0,17400.0,1330.0,324.0,782.0,102.0,614.0,406.0,1680.0,45.1,24200.0,7270.0,983.0,1230.0,1450.0,1500.0,25500.0,328.0,1080.0,827.0,864.0,19300.0,9330.0,15000.0,782.0,8750.0,22800.0,852.0,1160000.0,1620000.0,619000.0,317000.0
1716786732,134000.0,44200.0,14900.0,5700.0,18100.0,1340.0,324.0,823.0,102.0,623.0,406.0,1760.0,45.1,24200.0,7270.0,1060.0,1360.0,1460.0,1540.0,25700.0,328.0,1080.0,827.0,885.0,19300.0,9330.0,15000.0,782.0,8750.0,22800.0,852.0,1160000.0,1620000.0,619000.0,317000.0
1716786747,134000.0,44200.0,17800.0,12500.0,18100.0,1520.0,324.0,1180.0,123.0,1630.0,422.0,2170.0,61.4,24400.0,7270.0,1280.0,1520.0,1680.0,1820.0,26200.0,328.0,1080.0,897.0,885.0,19300.0,9330.0,15000.0,782.0,8750.0,22800.0,856.0,1160000.0,1620000.0,619000.0,317000.0
1716786762,134000.0,44200.0,17800.0,12500.0,18200.0,1520.0,324.0,1180.0,123.0,1630.0,422.0,2170.0,61.4,24400.0,7270.0,1280.0,1520.0,1680.0,1820.0,26200.0,565.0,1080.0,1010.0,885.0,19300.0,9330.0,15000.0,782.0,8750.0,22800.0,856.0,1160000.0,1620000.0,619000.0,317000.0
