timestamp,beacon-metrics-gazer--adb8a3706cbb47fb82d9985aa3b8fb22,cadvisor,cl-1-prysm-geth--27729cf71bb04432a94650b5b702ab7e,cl-2-prysm-geth--e6c16ad2d5ec49e7995c5ee30e3dc7b7,cl-3-prysm-geth--3876283c7cb344b8ac545b746e4d7052,cl-4-prysm-geth--e16333e3e0344b948c69cf2bf5cf1875,cl-5-prysm-geth--d28ac8a37cb6452c8a5cc25e1f30e477,dora--64988aa60c36407c90a25af1983c6282,el-1-geth-prysm--ae3b6681daa54b64aa809f227c29f71e,el-2-geth-prysm--30f4377f71764bcc81092d2a286547b5,el-3-geth-prysm--0703b0d4af9f4ab7a268ca908335d8ac,el-4-geth-prysm--c6f41dbce1874f5e90797b78a81c755f,el-5-geth-prysm--173649707c65475d9880db527c5659eb,el-forkmon--dfae7caaa2884f02aa5e94bc2935d6b3,ethereum-metrics-exporter-1-prysm-geth--705c8ba6cd00412e88c3a8d8515e4ebb,ethereum-metrics-exporter-2-prysm-geth--261f426d7d08410c8e4c931b839d23a0,ethereum-metrics-exporter-3-prysm-geth--1802f40095554dbbbfcd8d1666edfc56,ethereum-metrics-exporter-4-prysm-geth--793030750ecb4752b815a886da385db3,ethereum-metrics-exporter-5-prysm-geth--11187d13911140efb2c64a46648351ee,grafana--d1165000f08c4f6db2d22b9e023df1b0,helpers-grafana-1,kurtosis-api--67d1f576dff84fd4937a040c1f54d2af,kurtosis-engine--7b584146a4904e41ad7870a9f16ce66d,kurtosis-logs-aggregator,kurtosis-logs-collector--67d1f576dff84fd4937a040c1f54d2af,kurtosis-reverse-proxy--7b584146a4904e41ad7870a9f16ce66d,portainer,prometheus,prometheus--4bbe2a8ffb494cbba9e1452f6adb22db,validator-key-generation-cl-validator-keystore--05cfb3e1f30e491dbb8b6921af40ad43,vc-1-geth-prysm--8f09d13b3cab471e90b7e3c145a3e090,vc-2-geth-prysm--8571b98c411042de8183e2898ddd55e9,vc-3-geth-prysm--3ee7cc80f32640c4b42490d6394928a0,vc-4-geth-prysm--a4774913f9804976810ee21f0ca66f26,vc-5-geth-prysm--e30e4006f85949a1a8c647e72dddd18b
1716786627,3698688.0,217989120.0,376164352.0,324857856.0,330620928.0,322887680.0,343347200.0,25915392.0,54804480.0,44138496.0,48635904.0,48599040.0,47747072.0,23003136.0,12591104.0,9592832.0,9285632.0,8654848.0,9134080.0,89436160.0,58449920.0,34377728.0,22896640.0,12836864.0,4399104.0,49766400.0,10334208.0,799133696.0,64778240.0,9289728.0,37617664.0,28540928.0,25837568.0,26374144.0,26767360.0
1716786642,3698688.0,230559744.0,376295424.0,327380992.0,330813440.0,334872576.0,366927872.0,26038272.0,58621952.0,44298240.0,49537024.0,48807936.0,48549888.0,23678976.0,13508608.0,8818688.0,9596928.0,8560640.0,9744384.0,89448448.0,45166592.0,33869824.0,22896640.0,11485184.0,3936256.0,49766400.0,10334208.0,775077888.0,65290240.0,6610944.0,38330368.0,27824128.0,25956352.0,26382336.0,27070464.0
1716786657,3698688.0,230137856.0,378707968.0,327143424.0,351621120.0,334913536.0,366981120.0,19304448.0,58503168.0,44965888.0,49848320.0,48934912.0,48574464.0,21516288.0,12595200.0,8867840.0,9084928.0,9166848.0,8749056.0,89452544.0,45166592.0,33869824.0,22896640.0,11386880.0,3895296.0,49766400.0,13168640.0,774680576.0,65380352.0,6610944.0,38342656.0,27844608.0,25980928.0,27504640.0,26791936.0
1716786672,3698688.0,230637568.0,378970112.0,327172096.0,355319808.0,334962688.0,367296512.0,19464192.0,58630144.0,44699648.0,50274304.0,50470912.0,48521216.0,21630976.0,12972032.0,9080832.0,9502720.0,8331264.0,9773056.0,89452544.0,45166592.0,33869824.0,22896640.0,11939840.0,3678208.0,44683264.0,13168640.0,537092096.0,65400832.0,6610944.0,37695488.0,28315648.0,26202112.0,27521024.0,26288128.0
1716786687,3698688.0,228683776.0,378994688.0,329547776.0,355328000.0,341368832.0,369205248.0,19546112.0,59043840.0,45211648.0,50319360.0,49979392.0,49725440.0,24698880.0,12713984.0,9027584.0,9240576.0,8273920.0,8544256.0,90333184.0,45293568.0,33869824.0,22654976.0,11980800.0,3678208.0,44683264.0,13168640.0,537116672.0,65429504.0,6610944.0,37724160.0,28340224.0,26222592.0,25927680.0,26771456.0
1716786702,3698688.0,228622336.0,379068416.0,361111552.0,355602432.0,343916544.0,376795136.0,19550208.0,59326464.0,46080000.0,50634752.0,50159616.0,49762304.0,23728128.0,13512704.0,9453568.0,9302016.0,8904704.0,8683520.0,90333184.0,45293568.0,33869824.0,22654976.0,12058624.0,3678208.0,44683264.0,13168640.0,538853376.0,65437696.0,6610944.0,37728256.0,29376512.0,26243072.0,25939968.0,26783744.0
1716786717,3698688.0,228286464.0,379166720.0,362209280.0,355352576.0,343666688.0,376827904.0,19570688.0,59711488.0,46567424.0,50880512.0,50954240.0,50081792.0,22536192.0,12857344.0,9150464.0,9261056.0,8708096.0,8884224.0,90533888.0,45293568.0,33525760.0,22654976.0,11595776.0,3678208.0,44683264.0,13168640.0,598278144.0,65708032.0,6610944.0,37744640.0,29392896.0,26259456.0,26484736.0,27201536.0
1716786732,3698688.0,228343808.0,384872448.0,362225664.0,370896896.0,343699456.0,376840192.0,19578880.0,60084224.0,46608384.0,51040256.0,51130368.0,50905088.0,23617536.0,12849152.0,10248192.0,10006528.0,9609216.0,9089024.0,90542080.0,45293568.0,33525760.0,22654976.0,12177408.0,3682304.0,44683264.0,13168640.0,598462464.0,65449984.0,6610944.0,38166528.0,27385856.0,26263552.0,26509312.0,27201536.0
1716786747,3698688.0,227782656.0,384905216.0,362278912.0,375889920.0,343715840.0,376868864.0,19595264.0,60047360.0,46727168.0,51396608.0,51105792.0,51163136.0,26488832.0,13201408.0,8388608.0,10842112.0,8880128.0,9179136.0,90550272.0,45293568.0,33525760.0,22257664.0,12693504.0,3682304.0,44683264.0,13168640.0,598904832.0,65462272.0,6610944.0,38174720.0,27398144.0,26542080.0,27054080.0,27557888.0
1716786762,3698688.0,215220224.0,384933888.0,364453888.0,375894016.0,348102656.0,372625408.0,19804160.0,60719104.0,47566848.0,51421184.0,51961856.0,51040256.0,25452544.0,13160448.0,8683520.0,10964992.0,8249344.0,9875456.0,90648576.0,45293568.0,33525760.0,22257664.0,11919360.0,3682304.0,44683264.0,13168640.0,599171072.0,65462272.0,6610944.0,38854656.0,27918336.0,26558464.0,27058176.0,27713536.0
1716786777,14508032.0,209698816.0,395464704.0,364953600.0,376135680.0,363937792.0,372944896.0,20504576.0,60321792.0,47824896.0,51773440.0,52027392.0,51163136.0,23699456.0,12943360.0,9408512.0,9551872.0,8630272.0,8704000.0,90640384.0,45293568.0,33525760.0,22257664.0,12115968.0,3911680.0,44683264.0,13201408.0,599240704.0,65765376.0,6610944.0,39297024.0,28344320.0,28864512.0,26566656.0,27451392.0
1716786792,14508032.0,210132992.0,395739136.0,364957696.0,380784640.0,363974656.0,372957184.0,39297024.0,61358080.0,48115712.0,52891648.0,52514816.0,52252672.0,24547328.0,13598720.0,8896512.0,9605120.0,8720384.0,9388032.0,90644480.0,45293568.0,33525760.0,22257664.0,12222464.0,3682304.0,44683264.0,10645504.0,599605248.0,65474560.0,6610944.0,39305216.0,27607040.0,28618752.0,26320896.0,27463680.0
1716786807,14508032.0,208748544.0,395505664.0,364982272.0,380526592.0,364011520.0,372989952.0,39297024.0,61399040.0,49184768.0,52731904.0,52379648.0,52305920.0,25743360.0,12574720.0,9498624.0,9109504.0,8552448.0,9093120.0,90640384.0,45293568.0,33525760.0,22577152.0,12042240.0,3674112.0,44589056.0,10645504.0,599793664.0,65474560.0,6610944.0,39313408.0,27676672.0,28622848.0,26386432.0,27140096.0
