timestamp,beacon-metrics-gazer--adb8a3706cbb47fb82d9985aa3b8fb22,cadvisor,cl-1-prysm-geth--27729cf71bb04432a94650b5b702ab7e,cl-2-prysm-geth--e6c16ad2d5ec49e7995c5ee30e3dc7b7,cl-3-prysm-geth--3876283c7cb344b8ac545b746e4d7052,cl-4-prysm-geth--e16333e3e0344b948c69cf2bf5cf1875,cl-5-prysm-geth--d28ac8a37cb6452c8a5cc25e1f30e477,dora--64988aa60c36407c90a25af1983c6282,el-1-geth-prysm--ae3b6681daa54b64aa809f227c29f71e,el-2-geth-prysm--30f4377f71764bcc81092d2a286547b5,el-3-geth-prysm--0703b0d4af9f4ab7a268ca908335d8ac,el-4-geth-prysm--c6f41dbce1874f5e90797b78a81c755f,el-5-geth-prysm--173649707c65475d9880db527c5659eb,el-forkmon--dfae7caaa2884f02aa5e94bc2935d6b3,ethereum-metrics-exporter-1-prysm-geth--705c8ba6cd00412e88c3a8d8515e4ebb,ethereum-metrics-exporter-2-prysm-geth--261f426d7d08410c8e4c931b839d23a0,ethereum-metrics-exporter-3-prysm-geth--1802f40095554dbbbfcd8d1666edfc56,ethereum-metrics-exporter-4-prysm-geth--793030750ecb4752b815a886da385db3,ethereum-metrics-exporter-5-prysm-geth--11187d13911140efb2c64a46648351ee,grafana--d1165000f08c4f6db2d22b9e023df1b0,helpers-grafana-1,kurtosis-api--67d1f576dff84fd4937a040c1f54d2af,kurtosis-engine--7b584146a4904e41ad7870a9f16ce66d,kurtosis-logs-aggregator,kurtosis-logs-collector--67d1f576dff84fd4937a040c1f54d2af,kurtosis-reverse-proxy--7b584146a4904e41ad7870a9f16ce66d,portainer,prometheus,prometheus--4bbe2a8ffb494cbba9e1452f6adb22db,validator-key-generation-cl-validator-keystore--05cfb3e1f30e491dbb8b6921af40ad43,vc-1-geth-prysm--8f09d13b3cab471e90b7e3c145a3e090,vc-2-geth-prysm--8571b98c411042de8183e2898ddd55e9,vc-3-geth-prysm--3ee7cc80f32640c4b42490d6394928a0,vc-4-geth-prysm--a4774913f9804976810ee21f0ca66f26,vc-5-geth-prysm--e30e4006f85949a1a8c647e72dddd18b
1716786627,7286784.0,259223552.0,387158016.0,324988928.0,330883072.0,323059712.0,343580672.0,29274112.0,66301952.0,44204032.0,48988160.0,48709632.0,47853568.0,32931840.0,15876096.0,9637888.0,9338880.0,8654848.0,9134080.0,147529728.0,60223488.0,34377728.0,24064000.0,13541376.0,4399104.0,51458048.0,14553088.0,799133696.0,96079872.0,13205504.0,48447488.0,28770304.0,26050560.0,26501120.0,26918912.0
1716786642,6500352.0,258928640.0,387293184.0,327516160.0,331075584.0,335044608.0,367165440.0,27561984.0,67915776.0,44371968.0,49905664.0,48926720.0,48672768.0,31248384.0,16793600.0,8863744.0,9650176.0,8560640.0,9744384.0,136007680.0,60239872.0,33894400.0,24064000.0,11608064.0,3936256.0,51458048.0,14553088.0,775135232.0,91021312.0,12943360.0,49168384.0,28053504.0,26177536.0,26546176.0,27254784.0
1716786657,6238208.0,259284992.0,389726208.0,327299072.0,351903744.0,335097856.0,367239168.0,21823488.0,67809280.0,45047808.0,50221056.0,49065984.0,48701440.0,28319744.0,15880192.0,8912896.0,9138176.0,9166848.0,8749056.0,132608000.0,60239872.0,33894400.0,24064000.0,11857920.0,3895296.0,51458048.0,17629184.0,774791168.0,89366528.0,12943360.0,49184768.0,28082176.0,26202112.0,27680768.0,26980352.0
1716786672,5976064.0,263065600.0,389996544.0,327335936.0,355610624.0,335155200.0,367562752.0,21983232.0,67940352.0,44785664.0,50663424.0,50606080.0,48664576.0,27922432.0,16257024.0,9125888.0,9555968.0,8331264.0,9773056.0,129200128.0,60239872.0,33894400.0,24064000.0,12267520.0,3678208.0,46374912.0,17629184.0,537251840.0,87904256.0,12943360.0,48545792.0,28561408.0,26443776.0,27705344.0,26484736.0
1716786687,5976064.0,263139328.0,390021120.0,329711616.0,355618816.0,341565440.0,369471488.0,22065152.0,68374528.0,45330432.0,50716672.0,50135040.0,49876992.0,30998528.0,15998976.0,9072640.0,9293824.0,8273920.0,8544256.0,130080768.0,60366848.0,33894400.0,23822336.0,12869632.0,3678208.0,46374912.0,17629184.0,537329664.0,88072192.0,12943360.0,48599040.0,28602368.0,26468352.0,26140672.0,26988544.0
1716786702,5976064.0,263155712.0,390098944.0,361279488.0,355897344.0,344113152.0,377065472.0,22069248.0,68661248.0,46202880.0,51044352.0,50319360.0,49926144.0,30035968.0,16797696.0,9498624.0,9355264.0,8904704.0,8683520.0,130080768.0,60366848.0,33894400.0,23822336.0,13418496.0,3678208.0,46374912.0,17629184.0,539119616.0,88174592.0,12943360.0,48603136.0,29642752.0,26505216.0,26202112.0,27004928.0
1716786717,5976064.0,263192576.0,390205440.0,362389504.0,355659776.0,343871488.0,377110528.0,22089728.0,69058560.0,46702592.0,51294208.0,51130368.0,50249728.0,28856320.0,16142336.0,9195520.0,9314304.0,8708096.0,8884224.0,130285568.0,60366848.0,33550336.0,23822336.0,13266944.0,3678208.0,46374912.0,17629184.0,598593536.0,88567808.0,12943360.0,48623616.0,29667328.0,26525696.0,26750976.0,27471872.0
1716786732,5976064.0,263491584.0,395919360.0,362409984.0,371208192.0,343912448.0,377126912.0,22097920.0,69439488.0,46751744.0,51474432.0,51314688.0,51093504.0,29941760.0,16134144.0,10293248.0,10059776.0,9609216.0,9089024.0,130293760.0,60366848.0,33550336.0,23822336.0,14196736.0,3682304.0,46374912.0,17629184.0,598831104.0,88395776.0,12943360.0,49057792.0,27664384.0,26533888.0,26787840.0,27480064.0
1716786747,5976064.0,264278016.0,395956224.0,362467328.0,376205312.0,343932928.0,377159680.0,22114304.0,69419008.0,46874624.0,51834880.0,51306496.0,51355648.0,32845824.0,16486400.0,8433664.0,10895360.0,8880128.0,9179136.0,130301952.0,60366848.0,33550336.0,23425024.0,15241216.0,3682304.0,46374912.0,17629184.0,599326720.0,88535040.0,12943360.0,49070080.0,27684864.0,26857472.0,27336704.0,27844608.0
1716786762,5976064.0,264544256.0,395984896.0,364642304.0,376209408.0,348327936.0,372916224.0,22323200.0,70094848.0,47726592.0,51875840.0,52166656.0,51249152.0,31862784.0,16445440.0,8728576.0,11018240.0,8249344.0,9875456.0,130400256.0,60366848.0,33550336.0,23425024.0,14839808.0,3682304.0,46374912.0,17629184.0,599646208.0,88645632.0,12943360.0,49750016.0,28209152.0,26882048.0,27340800.0,28012544.0
1716786777,16986112.0,264024064.0,406523904.0,365146112.0,376455168.0,364171264.0,373239808.0,23023616.0,69709824.0,48001024.0,52236288.0,52248576.0,51376128.0,30117888.0,16228352.0,9453568.0,9605120.0,8630272.0,8704000.0,130392064.0,60366848.0,33550336.0,23425024.0,15499264.0,3911680.0,46374912.0,17661952.0,599764992.0,89059328.0,12943360.0,50192384.0,28659712.0,29208576.0,26849280.0,27750400.0
1716786792,16986112.0,264548352.0,406798336.0,365154304.0,381108224.0,364208128.0,373256192.0,41816064.0,70758400.0,48295936.0,53370880.0,52744192.0,52490240.0,30969856.0,16883712.0,8941568.0,9658368.0,8720384.0,9388032.0,130396160.0,60366848.0,33550336.0,23425024.0,15945728.0,3682304.0,46374912.0,15106048.0,600182784.0,88879104.0,12943360.0,50200576.0,27922432.0,28962816.0,26603520.0,27766784.0
1716786807,16986112.0,264286208.0,406564864.0,365178880.0,380850176.0,364244992.0,373288960.0,41816064.0,70811648.0,49377280.0,53215232.0,52629504.0,52547584.0,32174080.0,15859712.0,9543680.0,9162752.0,8552448.0,9093120.0,130392064.0,60366848.0,33550336.0,23744512.0,16310272.0,3674112.0,46280704.0,15106048.0,600424448.0,88977408.0,12943360.0,50208768.0,28000256.0,28966912.0,26681344.0,27443200.0
1716786822,16986112.0,264028160.0,406573056.0,365207552.0,380854272.0,366723072.0,363274240.0,41816064.0,71045120.0,49135616.0,53293056.0,53420032.0,52834304.0,29560832.0,16777216.0,10735616.0,8773632.0,8597504.0,9551872.0,130400256.0,60366848.0,33550336.0,23744512.0,16330752.0,3682304.0,46280704.0,15106048.0,600481792.0,89104384.0,12943360.0,50225152.0,28422144.0,27611136.0,26701824.0,27455488.0
1716786837,16986112.0,264314880.0,406630400.0,371924992.0,383000576.0,367513600.0,363307008.0,41816064.0,71995392.0,49770496.0,53448704.0,53424128.0,53673984.0,32141312.0,16760832.0,9220096.0,9363456.0,8589312.0,8777728.0,140656640.0,60366848.0,33550336.0,23744512.0,16662528.0,3780608.0,46280704.0,15106048.0,600973312.0,89202688.0,12943360.0,50241536.0,28467200.0,27615232.0,27156480.0,28286976.0
1716786852,16982016.0,264318976.0,406896640.0,371974144.0,391614464.0,366759936.0,363323392.0,41840640.0,72036352.0,51089408.0,55029760.0,54104064.0,53612544.0,30482432.0,15892480.0,9367552.0,9773056.0,9064448.0,9555968.0,140652544.0,60366848.0,33550336.0,23744512.0,16568320.0,3977216.0,46280704.0,15106048.0,601133056.0,89313280.0,12943360.0,50458624.0,29986816.0,27623424.0,27160576.0,28336128.0
1716786867,16982016.0,264052736.0,406671360.0,371998720.0,391700480.0,368955392.0,363360256.0,41861120.0,72126464.0,51183616.0,55373824.0,54931456.0,53628928.0,29073408.0,15966208.0,9203712.0,10764288.0,9633792.0,8851456.0,136986624.0,60366848.0,33550336.0,23973888.0,17285120.0,3612672.0,46280704.0,15106048.0,601821184.0,87900160.0,12943360.0,50470912.0,29749248.0,27623424.0,26652672.0,27885568.0
1716786882,16982016.0,264585216.0,406691840.0,372011008.0,391708672.0,368979968.0,363933696.0,41877504.0,73093120.0,51564544.0,55230464.0,55042048.0,54378496.0,29462528.0,16003072.0,9342976.0,9596928.0,8708096.0,9400320.0,136990720.0,60366848.0,33550336.0,23973888.0,17567744.0,3612672.0,46280704.0,15106048.0,601927680.0,88014848.0,12943360.0,50475008.0,28487680.0,27639808.0,26664960.0,27885568.0
1716786897,16982016.0,264060928.0,413151232.0,372215808.0,363499520.0,368996352.0,363708416.0,41930752.0,73150464.0,51687424.0,56119296.0,55209984.0,54902784.0,29589504.0,16494592.0,9334784.0,9760768.0,8441856.0,9371648.0,137117696.0,60366848.0,33550336.0,23973888.0,16916480.0,3624960.0,46280704.0,15106048.0,602128384.0,88125440.0,12943360.0,50475008.0,28495872.0,27643904.0,27127808.0,27889664.0
1716786912,16982016.0,264056832.0,413155328.0,372236288.0,334831616.0,369025024.0,363835392.0,31670272.0,73191424.0,52326400.0,56176640.0,55353344.0,55128064.0,30982144.0,15876096.0,8839168.0,9195520.0,8560640.0,10059776.0,137117696.0,60366848.0,33550336.0,23973888.0,17760256.0,3985408.0,46280704.0,14811136.0,596176896.0,88240128.0,12943360.0,50016256.0,28049408.0,27656192.0,27144192.0,27906048.0
1716786927,16982016.0,264052736.0,413184000.0,372273152.0,334680064.0,369303552.0,369217536.0,31678464.0,73494528.0,52719616.0,56098816.0,55402496.0,55185408.0,29069312.0,16646144.0,9822208.0,9641984.0,8400896.0,9060352.0,137117696.0,60366848.0,33550336.0,23572480.0,18784256.0,3612672.0,46321664.0,14811136.0,596934656.0,88350720.0,12943360.0,50036736.0,28057600.0,27643904.0,27885568.0,26714112.0
1716786942,16982016.0,264052736.0,417234944.0,372285440.0,336527360.0,363565056.0,369278976.0,31690752.0,73613312.0,52387840.0,56135680.0,55504896.0,55623680.0,30621696.0,16146432.0,8933376.0,10280960.0,8507392.0,9175040.0,137117696.0,60366848.0,33550336.0,23572480.0,18759680.0,3608576.0,46321664.0,14811136.0,597213184.0,88457216.0,12943360.0,50044928.0,28065792.0,27652096.0,27914240.0,26976256.0
1716786957,16982016.0,264380416.0,433766400.0,372371456.0,332636160.0,363589632.0,369577984.0,31711232.0,73584640.0,53256192.0,56762368.0,56451072.0,55721984.0,32403456.0,15941632.0,10092544.0,8933376.0,8454144.0,9101312.0,124092416.0,60366848.0,33550336.0,23572480.0,14835712.0,3317760.0,46321664.0,18022400.0,597708800.0,82853888.0,12943360.0,50339840.0,28082176.0,27697152.0,27918336.0,26656768.0
1716786972,14929920.0,264445952.0,433516544.0,372391936.0,333103104.0,363589632.0,369573888.0,30519296.0,74432512.0,53420032.0,56557568.0,56639488.0,55783424.0,29728768.0,17399808.0,9641984.0,9732096.0,8466432.0,9900032.0,101785600.0,57597952.0,33550336.0,22798336.0,14303232.0,3219456.0,44339200.0,18022400.0,598409216.0,66068480.0,12943360.0,48975872.0,28835840.0,28123136.0,27938816.0,26664960.0
1716786987,14929920.0,264445952.0,433831936.0,372436992.0,335474688.0,364007424.0,369643520.0,30523392.0,74665984.0,53702656.0,57090048.0,56799232.0,56000512.0,29704192.0,16814080.0,8970240.0,10489856.0,9224192.0,9412608.0,101785600.0,57597952.0,33550336.0,23134208.0,15314944.0,3211264.0,44339200.0,18022400.0,599347200.0,66203648.0,12943360.0,49025024.0,28844032.0,28545024.0,27959296.0,26677248.0
1716787002,14929920.0,264970240.0,419012608.0,372449280.0,325918720.0,364048384.0,369410048.0,30617600.0,75771904.0,54341632.0,57659392.0,58109952.0,57552896.0,27897856.0,16097280.0,9338880.0,9723904.0,9306112.0,9502720.0,101838848.0,57602048.0,33550336.0,23134208.0,16162816.0,3215360.0,44339200.0,18022400.0,599486464.0,66318336.0,12943360.0,49037312.0,28717056.0,28561408.0,26415104.0,27422720.0
