timestamp,beacon-metrics-gazer--a28a530620b146399e8f62b86bc114b5,cadvisor,cl-1-prysm-geth--0858d8dd0cf54c66959de4090cc24b9f,cl-2-prysm-geth--14d43d53ec4c4d36b5430d1404825305,cl-3-prysm-geth--ee0e757c36bf47908b95c02b578c7582,cl-4-prysm-geth--c316bb32e5f94ec6b69e8da3f1ef3aa0,cl-5-prysm-geth--a93000737dcd494f99013d568a16596b,dora--fd18d40a9f0e4d1398fa10b2b21f40a3,el-1-geth-prysm--4e25496f12b0437593447e80ee8428f7,el-2-geth-prysm--6ef568984fa84c32a5745755562943f1,el-3-geth-prysm--87368289ffd545468313530845cabd45,el-4-geth-prysm--788e29b08e63441592206e45dbc5470e,el-5-geth-prysm--661e42d9870b4020b2335659a27c66ed,el-forkmon--2b1494325a4949f889e8b0ff5e460b6a,ethereum-metrics-exporter-1-prysm-geth--831e6752235c4e5a83fe1accbe1183b5,ethereum-metrics-exporter-2-prysm-geth--ace9e09e064349388c3634efb95807b3,ethereum-metrics-exporter-3-prysm-geth--c361637384a947e59abaf76cfe24ecab,ethereum-metrics-exporter-4-prysm-geth--5c498ece934348f390ae970c0ea06c4b,ethereum-metrics-exporter-5-prysm-geth--e613fa8bdf4c419f87d75e16346a3349,grafana--8b664464774b4feca1955390264aff00,helpers-grafana-1,kurtosis-api--713915c32aa84d12babe4a1570c3cf49,kurtosis-engine--a51e00debbb148c4b2306dbb3fcddbfd,kurtosis-logs-aggregator,kurtosis-logs-collector--713915c32aa84d12babe4a1570c3cf49,kurtosis-reverse-proxy--a51e00debbb148c4b2306dbb3fcddbfd,portainer,prometheus,prometheus--208b69fdd46b463c87d2f802a85c8e1a,validator-key-generation-cl-validator-keystore--135dbbd4e46743f3bfb298f411df1cff,vc-1-geth-prysm--98e4dc6f1ffb4bc696b3899e0496bbb9,vc-2-geth-prysm--18c3bcd69bfc4c1c96e6067817406d5a,vc-3-geth-prysm--dc4791e74cca4a1e972352ea01731eef,vc-4-geth-prysm--90ea2273bad14ac4a078c676a1e9d6e3,vc-5-geth-prysm--ac378738c6e440fb9c4114771a582b4f
1716977986,3698688.0,218808320.0,264683520.0,247529472.0,255098880.0,236818432.0,219181056.0,41295872.0,55762944.0,42909696.0,44408832.0,38682624.0,42418176.0,19132416.0,14057472.0,8851456.0,8663040.0,9420800.0,9048064.0,89878528.0,70787072.0,68587520.0,37543936.0,12681216.0,4882432.0,30224384.0,12922880.0,728174592.0,131633152.0,16130048.0,25767936.0,26931200.0,26365952.0,25141248.0,25206784.0
1716978001,3694592.0,216293376.0,266981376.0,257355776.0,257327104.0,248811520.0,223580160.0,41328640.0,56762368.0,43155456.0,43782144.0,42991616.0,43540480.0,20770816.0,14581760.0,8159232.0,9687040.0,8491008.0,8908800.0,89894912.0,70787072.0,68587520.0,37543936.0,12443648.0,4878336.0,30224384.0,12922880.0,728276992.0,131670016.0,16130048.0,26513408.0,26935296.0,26488832.0,25239552.0,25272320.0
1716978016,3694592.0,221900800.0,248127488.0,257175552.0,259719168.0,251748352.0,231538688.0,41320448.0,44847104.0,43806720.0,44068864.0,43077632.0,43720704.0,21000192.0,9461760.0,9187328.0,9146368.0,8364032.0,8904704.0,89890816.0,70791168.0,33812480.0,15454208.0,12607488.0,5079040.0,30224384.0,12922880.0,735404032.0,88899584.0,16064512.0,26529792.0,25464832.0,27881472.0,25477120.0,25808896.0
1716978031,3694592.0,221794304.0,248303616.0,257232896.0,262934528.0,267370496.0,242073600.0,41353216.0,45256704.0,43794432.0,44339200.0,43134976.0,44142592.0,23240704.0,8294400.0,8208384.0,8818688.0,9146368.0,8384512.0,89890816.0,70791168.0,33812480.0,15454208.0,12976128.0,5042176.0,30224384.0,12922880.0,735399936.0,88907776.0,16064512.0,26681344.0,25468928.0,28135424.0,25509888.0,26136576.0
1716978046,3694592.0,221454336.0,256466944.0,257421312.0,265154560.0,267583488.0,242466816.0,41365504.0,45273088.0,43851776.0,45031424.0,43868160.0,44720128.0,21504000.0,9187328.0,7921664.0,9396224.0,9621504.0,9302016.0,89944064.0,70791168.0,32423936.0,15306752.0,12709888.0,4886528.0,30232576.0,12398592.0,735440896.0,72728576.0,16064512.0,26697728.0,25485312.0,28188672.0,25645056.0,26472448.0
1716978061,3694592.0,219815936.0,258924544.0,268275712.0,274456576.0,271769600.0,259989504.0,41402368.0,46669824.0,45277184.0,44994560.0,43909120.0,45015040.0,20221952.0,8601600.0,8486912.0,9461760.0,9064448.0,9449472.0,89944064.0,70791168.0,32677888.0,15306752.0,12541952.0,4886528.0,30232576.0,12398592.0,605921280.0,72736768.0,16064512.0,26718208.0,25583616.0,27672576.0,26681344.0,26120192.0
1716978076,3694592.0,220094464.0,261079040.0,269516800.0,274808832.0,300613632.0,302972928.0,34271232.0,46702592.0,45121536.0,45051904.0,44093440.0,45158400.0,21352448.0,9166848.0,8724480.0,8482816.0,9625600.0,8433664.0,92180480.0,70791168.0,32677888.0,15306752.0,13123584.0,5050368.0,30298112.0,12398592.0,606629888.0,72740864.0,16064512.0,26742784.0,26079232.0,27705344.0,26734592.0,25870336.0
1716978091,3694592.0,219832320.0,263249920.0,269254656.0,283099136.0,308350976.0,321826816.0,34279424.0,47161344.0,45142016.0,46219264.0,45326336.0,45989888.0,21491712.0,9166848.0,9052160.0,8642560.0,8704000.0,8642560.0,92655616.0,70791168.0,32677888.0,15306752.0,12976128.0,4886528.0,30298112.0,12398592.0,607293440.0,72744960.0,16064512.0,26787840.0,26091520.0,27095040.0,27299840.0,25870336.0
1716978106,3694592.0,219553792.0,263262208.0,280190976.0,300793856.0,308391936.0,321843200.0,34283520.0,47849472.0,45338624.0,46485504.0,45355008.0,45912064.0,21610496.0,8908800.0,8802304.0,8372224.0,8949760.0,8331264.0,92672000.0,70791168.0,32677888.0,15306752.0,12734464.0,4890624.0,30433280.0,15138816.0,607305728.0,72810496.0,16064512.0,26808320.0,25780224.0,27119616.0,27328512.0,25886720.0
1716978121,3694592.0,220737536.0,267571200.0,279736320.0,306966528.0,310571008.0,322035712.0,34299904.0,47849472.0,47570944.0,46391296.0,45404160.0,46993408.0,21229568.0,8998912.0,8712192.0,9060352.0,9146368.0,8609792.0,92672000.0,70885376.0,32673792.0,15306752.0,12484608.0,4886528.0,30433280.0,15138816.0,607305728.0,72773632.0,16064512.0,25468928.0,25800704.0,28073984.0,25624576.0,25374720.0
