timestamp,beacon-metrics-gazer--a28a530620b146399e8f62b86bc114b5,cadvisor,cl-1-prysm-geth--0858d8dd0cf54c66959de4090cc24b9f,cl-2-prysm-geth--14d43d53ec4c4d36b5430d1404825305,cl-3-prysm-geth--ee0e757c36bf47908b95c02b578c7582,cl-4-prysm-geth--c316bb32e5f94ec6b69e8da3f1ef3aa0,cl-5-prysm-geth--a93000737dcd494f99013d568a16596b,dora--fd18d40a9f0e4d1398fa10b2b21f40a3,el-1-geth-prysm--4e25496f12b0437593447e80ee8428f7,el-2-geth-prysm--6ef568984fa84c32a5745755562943f1,el-3-geth-prysm--87368289ffd545468313530845cabd45,el-4-geth-prysm--788e29b08e63441592206e45dbc5470e,el-5-geth-prysm--661e42d9870b4020b2335659a27c66ed,el-forkmon--2b1494325a4949f889e8b0ff5e460b6a,ethereum-metrics-exporter-1-prysm-geth--831e6752235c4e5a83fe1accbe1183b5,ethereum-metrics-exporter-2-prysm-geth--ace9e09e064349388c3634efb95807b3,ethereum-metrics-exporter-3-prysm-geth--c361637384a947e59abaf76cfe24ecab,ethereum-metrics-exporter-4-prysm-geth--5c498ece934348f390ae970c0ea06c4b,ethereum-metrics-exporter-5-prysm-geth--e613fa8bdf4c419f87d75e16346a3349,grafana--8b664464774b4feca1955390264aff00,helpers-grafana-1,kurtosis-api--713915c32aa84d12babe4a1570c3cf49,kurtosis-engine--a51e00debbb148c4b2306dbb3fcddbfd,kurtosis-logs-aggregator,kurtosis-logs-collector--713915c32aa84d12babe4a1570c3cf49,kurtosis-reverse-proxy--a51e00debbb148c4b2306dbb3fcddbfd,portainer,prometheus,prometheus--208b69fdd46b463c87d2f802a85c8e1a,validator-key-generation-cl-validator-keystore--135dbbd4e46743f3bfb298f411df1cff,vc-1-geth-prysm--98e4dc6f1ffb4bc696b3899e0496bbb9,vc-2-geth-prysm--18c3bcd69bfc4c1c96e6067817406d5a,vc-3-geth-prysm--dc4791e74cca4a1e972352ea01731eef,vc-4-geth-prysm--90ea2273bad14ac4a078c676a1e9d6e3,vc-5-geth-prysm--ac378738c6e440fb9c4114771a582b4f
1716977986,8851456.0,252887040.0,267960320.0,247566336.0,255197184.0,236859392.0,219197440.0,41832448.0,56610816.0,43139072.0,44613632.0,38682624.0,42647552.0,32571392.0,14065664.0,8855552.0,8667136.0,9424896.0,9052160.0,180027392.0,73297920.0,80031744.0,38739968.0,45404160.0,19783680.0,101941248.0,16912384.0,734113792.0,133898240.0,24387584.0,47378432.0,27213824.0,26583040.0,25141248.0,25206784.0
1716978001,8847360.0,253517824.0,270319616.0,257449984.0,257470464.0,248922112.0,223674368.0,41865216.0,57618432.0,43388928.0,43991040.0,42991616.0,43773952.0,34217984.0,14589952.0,8163328.0,9691136.0,8495104.0,8912896.0,180047872.0,73297920.0,80031744.0,38739968.0,45518848.0,19779584.0,101941248.0,16912384.0,734269440.0,134017024.0,24387584.0,48164864.0,27217920.0,26705920.0,25239552.0,25272320.0
1716978016,8847360.0,246038528.0,267169792.0,257564672.0,259837952.0,251748352.0,231538688.0,41320448.0,57081856.0,43806720.0,44068864.0,43147264.0,43810816.0,34451456.0,14741504.0,9191424.0,9150464.0,8368128.0,8908800.0,180043776.0,73302016.0,75317248.0,38727680.0,46247936.0,19984384.0,101941248.0,16912384.0,741949440.0,133148672.0,21962752.0,48189440.0,25649152.0,27881472.0,25718784.0,25907200.0
1716978031,8847360.0,246276096.0,267350016.0,257622016.0,263053312.0,267370496.0,242073600.0,41353216.0,57499648.0,43794432.0,44339200.0,43220992.0,44236800.0,36700160.0,13574144.0,8212480.0,8822784.0,9150464.0,8388608.0,180043776.0,73302016.0,75317248.0,38727680.0,46919680.0,19947520.0,101941248.0,16912384.0,741998592.0,133292032.0,21962752.0,48340992.0,25669632.0,28135424.0,25780224.0,26255360.0
1716978046,8847360.0,246030336.0,275521536.0,257818624.0,265277440.0,267583488.0,242466816.0,41365504.0,57520128.0,43851776.0,45031424.0,43958272.0,44830720.0,34967552.0,14467072.0,7925760.0,9400320.0,9625600.0,9306112.0,180101120.0,73302016.0,73928704.0,38580224.0,47017984.0,19791872.0,101949440.0,16388096.0,742092800.0,117215232.0,21962752.0,48361472.0,25694208.0,28188672.0,25915392.0,26595328.0
1716978061,8847360.0,246050816.0,277995520.0,268689408.0,274587648.0,271769600.0,259989504.0,41402368.0,58929152.0,45277184.0,44994560.0,44019712.0,45133824.0,33697792.0,13881344.0,8491008.0,9465856.0,9068544.0,9453568.0,180101120.0,73302016.0,74182656.0,38580224.0,47218688.0,19791872.0,101949440.0,16388096.0,612626432.0,117329920.0,21962752.0,48386048.0,25792512.0,27672576.0,26955776.0,26263552.0
1716978076,8847360.0,246562816.0,280150016.0,269930496.0,274939904.0,300613632.0,302972928.0,34271232.0,58966016.0,45121536.0,45051904.0,44208128.0,45289472.0,34832384.0,14446592.0,8728576.0,8486912.0,9629696.0,8437760.0,182337536.0,73302016.0,74182656.0,38580224.0,48185344.0,19955712.0,102014976.0,16388096.0,613388288.0,117448704.0,21962752.0,48422912.0,26288128.0,27705344.0,27025408.0,26025984.0
1716978091,8847360.0,246300672.0,282320896.0,269668352.0,283230208.0,308350976.0,321826816.0,34279424.0,59437056.0,45142016.0,46219264.0,45457408.0,46125056.0,34979840.0,14446592.0,9056256.0,8646656.0,8708096.0,8646656.0,182812672.0,73302016.0,74182656.0,38580224.0,48508928.0,19791872.0,102014976.0,16388096.0,614105088.0,117551104.0,21962752.0,48476160.0,26304512.0,27095040.0,27590656.0,26034176.0
1716978106,8847360.0,246054912.0,282337280.0,280608768.0,300929024.0,308391936.0,321843200.0,34283520.0,60129280.0,45338624.0,46485504.0,45494272.0,46063616.0,35110912.0,14188544.0,8806400.0,8376320.0,8953856.0,8335360.0,182829056.0,73302016.0,74182656.0,38580224.0,48660480.0,19795968.0,102150144.0,19329024.0,614170624.0,117698560.0,21962752.0,48541696.0,25993216.0,27119616.0,27627520.0,26054656.0
1716978121,8847360.0,249475072.0,286650368.0,280158208.0,307105792.0,310571008.0,322035712.0,34299904.0,60141568.0,47570944.0,46391296.0,45563904.0,47153152.0,34738176.0,14278656.0,8716288.0,9064448.0,9150464.0,8613888.0,182829056.0,73396224.0,74178560.0,38580224.0,48738304.0,19791872.0,102150144.0,19329024.0,614223872.0,117800960.0,21962752.0,47206400.0,26013696.0,28073984.0,25931776.0,25554944.0
