timestamp,beacon-metrics-gazer--a28a530620b146399e8f62b86bc114b5,cadvisor,cl-1-prysm-geth--0858d8dd0cf54c66959de4090cc24b9f,cl-2-prysm-geth--14d43d53ec4c4d36b5430d1404825305,cl-3-prysm-geth--ee0e757c36bf47908b95c02b578c7582,cl-4-prysm-geth--c316bb32e5f94ec6b69e8da3f1ef3aa0,cl-5-prysm-geth--a93000737dcd494f99013d568a16596b,dora--fd18d40a9f0e4d1398fa10b2b21f40a3,el-1-geth-prysm--4e25496f12b0437593447e80ee8428f7,el-2-geth-prysm--6ef568984fa84c32a5745755562943f1,el-3-geth-prysm--87368289ffd545468313530845cabd45,el-4-geth-prysm--788e29b08e63441592206e45dbc5470e,el-5-geth-prysm--661e42d9870b4020b2335659a27c66ed,el-forkmon--2b1494325a4949f889e8b0ff5e460b6a,ethereum-metrics-exporter-1-prysm-geth--831e6752235c4e5a83fe1accbe1183b5,ethereum-metrics-exporter-2-prysm-geth--ace9e09e064349388c3634efb95807b3,ethereum-metrics-exporter-3-prysm-geth--c361637384a947e59abaf76cfe24ecab,ethereum-metrics-exporter-4-prysm-geth--5c498ece934348f390ae970c0ea06c4b,ethereum-metrics-exporter-5-prysm-geth--e613fa8bdf4c419f87d75e16346a3349,grafana--8b664464774b4feca1955390264aff00,helpers-grafana-1,kurtosis-api--713915c32aa84d12babe4a1570c3cf49,kurtosis-engine--a51e00debbb148c4b2306dbb3fcddbfd,kurtosis-logs-aggregator,kurtosis-logs-collector--713915c32aa84d12babe4a1570c3cf49,kurtosis-reverse-proxy--a51e00debbb148c4b2306dbb3fcddbfd,portainer,prometheus,prometheus--208b69fdd46b463c87d2f802a85c8e1a,validator-key-generation-cl-validator-keystore--135dbbd4e46743f3bfb298f411df1cff,vc-1-geth-prysm--98e4dc6f1ffb4bc696b3899e0496bbb9,vc-2-geth-prysm--18c3bcd69bfc4c1c96e6067817406d5a,vc-3-geth-prysm--dc4791e74cca4a1e972352ea01731eef,vc-4-geth-prysm--90ea2273bad14ac4a078c676a1e9d6e3,vc-5-geth-prysm--ac378738c6e440fb9c4114771a582b4f
1716977986,53.873758834019505,659.9982276574062,76991.3259524017,77103.6971441222,75101.05768182315,75260.90397467464,79567.89601371052,386.4263422135782,4674.182251012888,4312.296858071506,5197.548473367507,5086.765464206443,4889.800413557493,11160.411808702538,6472.317669814541,6844.581098368382,6853.383204524459,6089.872687752296,6908.006814310052,94.85984376025733,4.664951824562933,34.775326707362765,178.6196662529306,22810.944399288237,26712.358067672427,1675.110991007021,3.393864598025388,53671.36046614285,33231.538291767814,17.721867682842845,2376.7190892939398,2391.8045885172924,2374.269643324322,2399.2901305243877,2356.978631322694
1716978001,44.62908273460572,649.3263060400909,67036.5464090249,66142.97632468997,65711.51312116136,70157.98416931945,70363.7353908998,450.78058217483243,4046.8058473780684,4320.647879905188,5281.242162384004,5013.162420601252,5006.154311256991,12641.445720136815,6009.454337094498,6485.696977855555,6362.255034769258,5283.851576352549,6492.715174183447,81.86794241875701,0.0,24.550025028837574,179.69714530474437,19268.922133060663,21880.06711409396,1586.3119865985834,3.5268521699301503,54817.556907820595,33532.563212250716,15.347969708545875,2559.4641352082685,2290.9821267376783,2436.8027271117408,2383.640683335219,2295.1269125320596
1716978016,37.98739841110402,641.19406867846,77346.61399044687,77121.23202206606,78177.23821930731,78174.51249409595,77897.51645378036,436.3665580092741,3996.1726276890586,4689.2409356469225,4856.913945248144,5029.74756935153,4702.051215050953,12339.984446172644,6654.298220276846,7076.626996416405,6833.984117930944,5470.320969882363,7004.020602873102,76.72448033893816,0.0,9.110492774436764,139.87150708259153,23578.153182878006,26529.622735733417,1628.8405508757567,1.880035810205909,54269.61353088182,32751.45309845301,10.622529644268775,2740.257108764662,2572.736452372938,2655.54180263306,2499.721671750796,2594.52804377565
1716978031,32.33122831984346,662.6175988503941,76362.16806273392,76332.71631413802,76487.04604848158,75327.36606846495,78479.79279239048,407.0441958715497,4224.897596497692,4621.8870417263015,4309.752117839022,5251.604366523321,4583.366885876617,12725.77782769853,5613.338591648043,5138.625753523999,5583.0718925367855,5232.7438031481815,5781.81939531469,77.8963582352294,0.0,4.086489884814873,2.42552868945653,23061.202970408096,25840.362821656192,13.031565347174265,0.0,53975.304533049326,33754.34276504299,10.231008825056238,2600.170790354839,2397.1001038834734,2589.087998577082,2229.8434062378674,2531.518624641834
1716978046,30.40050743022834,656.4948179054129,76724.53201970443,76403.33166168808,79602.96198256583,79153.6684129853,78659.89304812835,316.7827654507822,4620.2814884428635,4456.306805586344,4555.336832895889,5684.961180457256,5007.322106103974,13800.08520370412,6662.427953082599,6337.022088175286,6778.721673708231,6684.419874603923,6807.342547157071,56.6508553829553,1.5109652909687445,0.0,8.275363243772203,23712.516695719103,26176.69264761397,14.438060508406299,0.0,53848.083901230195,34360.92882382635,1.5551754015685055,2260.7296137339054,2198.683526762515,2160.688291654898,1992.121172439381,2445.0238041260486
1716978061,29.344237202895062,671.981364633512,67531.19344914949,66063.71995125734,66844.74215049992,65200.72176589102,70710.42979816836,395.9688623282687,5365.721292490747,4177.498829457538,4943.410423813212,5254.178303852463,5254.679159191088,13550.451773712557,5895.503287586604,5931.772077717171,5625.8471553415375,6049.252146207629,6075.751068110406,37.52303060261538,1.5891393675225318,152.3073918986353,10.461661381738285,19642.57816909358,21632.719656046742,5.898730593176349,0.9443082941745171,55232.15986934629,35094.363922116485,1.5460388276608432,2255.519537410198,2315.1822274506253,2303.542234332425,2131.4405888538377,2425.5014947359305
1716978076,31.258993602089838,651.4481974098704,77370.29750584737,73349.02287089302,79516.75808798836,76921.08815984879,78166.11120855989,403.31404642366664,5214.42637459896,4484.130463372934,5023.093817246046,4720.964255300565,5344.6748757831065,13927.91291791625,6194.2823672531495,6523.300657115157,5398.785959356031,5855.120841010078,5838.247739521625,12.240553485896752,1.5918859300025014,156.12957213010063,8.432110442534865,21046.70570024901,26187.021780837378,8.286803155189222,0.9450732431763462,54436.95112958371,33409.15438324283,3.126675004466679,2412.211388198006,2480.4948925678054,2404.798899049987,2536.241595747057,2564.025844499371
1716978091,31.831195473297413,663.3398084265523,76948.06236080178,77631.8412447852,75480.1107700234,72984.58144921143,75754.98034964087,398.8914714822099,5157.224308792253,4976.118799424875,5149.9704005788335,5101.984012113385,5317.109243697479,12192.494374089927,4865.672641235687,5651.088462741943,4227.794894366198,4834.734958622233,4818.630113179676,12.177365982792853,0.0,159.12280701754386,2.4494556765163296,22371.529984005607,25761.262573086315,5.307187190788882,0.8545095725417591,52878.94051237516,33535.30680781976,3.1383801475038666,2367.61425759895,2620.5147514840082,2604.2221766755483,2520.445501532269,2453.7166288605827
1716978106,37.51330258957077,669.1649786180509,78604.82480078594,81284.27626913134,79285.88248613155,78493.52157577137,77461.46886172044,315.82979468546165,4388.596758072226,5141.155111766709,5049.469181497817,6174.246938099967,5441.388209725619,14990.126286558087,7098.022841150183,7387.306269813314,6800.1999590992755,6460.82502143792,6645.630114566285,19.257039615740535,6.315138668079844,15.8776963730805,0.0,23272.8291685897,26683.797383428377,10.659590257944092,6.133653598696062,53686.694143836365,33801.689181620626,10.85920705626842,2348.3186477252293,2256.258163986381,2419.0980834272827,2308.0808080808083,2238.0486503313023
1716978121,39.22790925484783,660.0580377910197,67260.24397873007,72065.830444096,66095.31053641114,66587.06289800022,67853.22439451414,401.22431132487975,4264.007111901322,5347.598977716001,5576.80055247388,6302.044146308299,5359.764175940648,15801.401921989825,5933.009243111265,6517.681728880158,6718.314307629834,6363.54871978835,6040.512698171724,19.85847979913262,6.259575399430948,24.94412966432651,0.0,22070.798976400343,22409.33059254625,14.704599005148792,6.243859840628752,54049.97004460026,33219.88203706149,12.48662147698894,2575.3199644103756,2404.668919215411,2578.9379381397116,2216.7369716143776,2477.4174474665697
