timestamp,beacon-metrics-gazer--675f3dce361d4f7da9fb6dde5b71cf03,cadvisor,cl-1-prysm-geth--a605baf59c4045a38d9e4d5f59d119d6,cl-2-prysm-geth--19001ea77c3545afa6c69ee28ba6aeef,cl-3-prysm-geth--d90a7d68dc274ecd8867ffb91b6f0de5,cl-4-prysm-geth--5be24fc6314f4152b35f9988d9d5069f,cl-5-prysm-geth--f4c42ddc242b43d7be6229d237ac1440,dora--6ad1bbd68ba74d9ea474027c4cbfe50f,el-1-geth-prysm--ae5abeea1d954559abc6f3e3e6750d6e,el-2-geth-prysm--0a52dd5b5d314aa0bb8409a102987dfb,el-3-geth-prysm--2b6ea066b8b24382a1b415d682ffb160,el-4-geth-prysm--60458066b7af49f9a4a45a63eba6a4b7,el-5-geth-prysm--35ede4594838490089a6718f61d8908e,el-forkmon--c55ed8e688eb4ca88cb9ae5d8280656b,ethereum-metrics-exporter-1-prysm-geth--1f7daa0a4737425282cb1bb09957a640,ethereum-metrics-exporter-2-prysm-geth--ca527045f38147a7bfb90eb2cd9ad76f,ethereum-metrics-exporter-3-prysm-geth--f0aaab339a2d4cfaa261c0fad2cffa1c,ethereum-metrics-exporter-4-prysm-geth--95fc04cafe5b4c78b80aab2f04c361f9,ethereum-metrics-exporter-5-prysm-geth--ac14cd1efa804a04bdfa02792a93aec7,grafana--e9468133916047cd82ef18a42a107214,helpers-grafana-1,kurtosis-api--6fce6122dc6c43d09e200f491eb776fa,kurtosis-engine--73e0d765f58b4761a30feebea23dd3b9,kurtosis-logs-aggregator,kurtosis-logs-collector--6fce6122dc6c43d09e200f491eb776fa,kurtosis-reverse-proxy--73e0d765f58b4761a30feebea23dd3b9,portainer,prometheus,prometheus--00088d92694440d2a227ca9549927893,validator-key-generation-cl-validator-keystore--2da60df637644c159167fc278b5abb0d,vc-1-geth-prysm--b96868daa3ff4844be18567ef2e373cf,vc-2-geth-prysm--64ad8039224d446bb49d93690f987a3f,vc-3-geth-prysm--84b5aadb1b4c483cb966da5ab80a4004,vc-4-geth-prysm--23c34b62238a4fd8b3ed332c76dc5b95,vc-5-geth-prysm--a9e8745b53c64ddd9873209e050c85e4
1717045825,7581696.0,170582016.0,241029120.0,216399872.0,217899008.0,233869312.0,227213312.0,27971584.0,51879936.0,43896832.0,44093440.0,43556864.0,44306432.0,27361280.0,11468800.0,9691136.0,9019392.0,8658944.0,9261056.0,153292800.0,63115264.0,46604288.0,35504128.0,39841792.0,18632704.0,102752256.0,24551424.0,778641408.0,99663872.0,16162816.0,41865216.0,27615232.0,28086272.0,24444928.0,25772032.0
1717045840,7725056.0,170344448.0,247537664.0,220753920.0,225529856.0,249323520.0,231673856.0,27983872.0,52744192.0,44515328.0,43843584.0,43962368.0,44105728.0,29675520.0,10530816.0,8151040.0,8912896.0,9179136.0,8445952.0,153591808.0,63115264.0,46604288.0,35520512.0,39419904.0,18710528.0,102752256.0,18001920.0,778784768.0,99659776.0,16162816.0,41885696.0,26284032.0,25370624.0,24539136.0,25886720.0
1717045855,8663040.0,170586112.0,263446528.0,223006720.0,240967680.0,252030976.0,233889792.0,38871040.0,52568064.0,44531712.0,44367872.0,44138496.0,44240896.0,29102080.0,10903552.0,9129984.0,8155136.0,9428992.0,8982528.0,153595904.0,63115264.0,46604288.0,35520512.0,39673856.0,18800640.0,102752256.0,18001920.0,779448320.0,99676160.0,16162816.0,41918464.0,26308608.0,25452544.0,25399296.0,25980928.0
1717045870,8663040.0,170242048.0,263516160.0,225464320.0,249049088.0,252305408.0,252432384.0,38879232.0,53346304.0,45355008.0,44548096.0,44650496.0,44195840.0,27389952.0,11051008.0,8785920.0,8613888.0,10526720.0,9068544.0,153665536.0,63115264.0,46604288.0,35803136.0,39763968.0,18681856.0,94695424.0,18001920.0,780132352.0,99696640.0,16162816.0,40374272.0,26329088.0,25481216.0,25911296.0,26214400.0
1717045885,8663040.0,170102784.0,263663616.0,228462592.0,271519744.0,254578688.0,257708032.0,39174144.0,53424128.0,44691456.0,44756992.0,45109248.0,45137920.0,27758592.0,10768384.0,8937472.0,8904704.0,9220096.0,8425472.0,153677824.0,63115264.0,46604288.0,35803136.0,40120320.0,18632704.0,94695424.0,18001920.0,839856128.0,98058240.0,16207872.0,40390656.0,26333184.0,25821184.0,25481216.0,26222592.0
1717045900,8663040.0,170037248.0,266838016.0,239804416.0,271781888.0,279769088.0,262074368.0,39215104.0,53858304.0,45617152.0,45252608.0,45740032.0,46059520.0,27807744.0,10141696.0,8364032.0,8646656.0,8343552.0,9056256.0,153690112.0,63115264.0,46604288.0,35803136.0,40177664.0,18636800.0,94695424.0,20627456.0,898908160.0,98066432.0,16207872.0,40411136.0,26890240.0,25862144.0,25509888.0,26132480.0
1717045915,8658944.0,170008576.0,282726400.0,242552832.0,272183296.0,299462656.0,264544256.0,39247872.0,53837824.0,46174208.0,45830144.0,45948928.0,45944832.0,27279360.0,10706944.0,8540160.0,8572928.0,9515008.0,9383936.0,153829376.0,63115264.0,46604288.0,35803136.0,39817216.0,18817024.0,94695424.0,20627456.0,898916352.0,98070528.0,16207872.0,40415232.0,26923008.0,26710016.0,25419776.0,26148864.0
1717045930,8658944.0,170536960.0,285495296.0,243728384.0,312029184.0,299827200.0,273215488.0,39276544.0,53948416.0,46235648.0,46297088.0,46006272.0,46125056.0,27750400.0,11055104.0,8257536.0,8843264.0,8892416.0,8409088.0,153903104.0,63115264.0,44494848.0,36405248.0,40128512.0,18669568.0,102363136.0,20627456.0,898920448.0,98070528.0,16207872.0,40964096.0,26533888.0,26730496.0,25485312.0,26169344.0
1717045945,8658944.0,169988096.0,288313344.0,245985280.0,316796928.0,299696128.0,275447808.0,39301120.0,54026240.0,46264320.0,46669824.0,46178304.0,46227456.0,28176384.0,10829824.0,9543680.0,8323072.0,8536064.0,9105408.0,153907200.0,63115264.0,44494848.0,36405248.0,40083456.0,18636800.0,102363136.0,20627456.0,899616768.0,98074624.0,16207872.0,40980480.0,26550272.0,26763264.0,25489408.0,26513408.0
1717045960,8658944.0,170205184.0,301977600.0,265904128.0,323244032.0,302026752.0,286179328.0,39350272.0,54202368.0,46981120.0,46972928.0,46616576.0,46723072.0,27762688.0,10612736.0,8986624.0,8851456.0,8392704.0,8601600.0,153911296.0,63115264.0,44494848.0,36405248.0,39743488.0,18636800.0,102363136.0,20627456.0,899641344.0,98074624.0,16207872.0,41000960.0,27430912.0,26783744.0,25595904.0,26558464.0
