timestamp,beacon-metrics-gazer--675f3dce361d4f7da9fb6dde5b71cf03,cadvisor,cl-1-prysm-geth--a605baf59c4045a38d9e4d5f59d119d6,cl-2-prysm-geth--19001ea77c3545afa6c69ee28ba6aeef,cl-3-prysm-geth--d90a7d68dc274ecd8867ffb91b6f0de5,cl-4-prysm-geth--5be24fc6314f4152b35f9988d9d5069f,cl-5-prysm-geth--f4c42ddc242b43d7be6229d237ac1440,dora--6ad1bbd68ba74d9ea474027c4cbfe50f,el-1-geth-prysm--ae5abeea1d954559abc6f3e3e6750d6e,el-2-geth-prysm--0a52dd5b5d314aa0bb8409a102987dfb,el-3-geth-prysm--2b6ea066b8b24382a1b415d682ffb160,el-4-geth-prysm--60458066b7af49f9a4a45a63eba6a4b7,el-5-geth-prysm--35ede4594838490089a6718f61d8908e,el-forkmon--c55ed8e688eb4ca88cb9ae5d8280656b,ethereum-metrics-exporter-1-prysm-geth--1f7daa0a4737425282cb1bb09957a640,ethereum-metrics-exporter-2-prysm-geth--ca527045f38147a7bfb90eb2cd9ad76f,ethereum-metrics-exporter-3-prysm-geth--f0aaab339a2d4cfaa261c0fad2cffa1c,ethereum-metrics-exporter-4-prysm-geth--95fc04cafe5b4c78b80aab2f04c361f9,ethereum-metrics-exporter-5-prysm-geth--ac14cd1efa804a04bdfa02792a93aec7,grafana--e9468133916047cd82ef18a42a107214,helpers-grafana-1,kurtosis-api--6fce6122dc6c43d09e200f491eb776fa,kurtosis-engine--73e0d765f58b4761a30feebea23dd3b9,kurtosis-logs-aggregator,kurtosis-logs-collector--6fce6122dc6c43d09e200f491eb776fa,kurtosis-reverse-proxy--73e0d765f58b4761a30feebea23dd3b9,portainer,prometheus,prometheus--00088d92694440d2a227ca9549927893,validator-key-generation-cl-validator-keystore--2da60df637644c159167fc278b5abb0d,vc-1-geth-prysm--b96868daa3ff4844be18567ef2e373cf,vc-2-geth-prysm--64ad8039224d446bb49d93690f987a3f,vc-3-geth-prysm--84b5aadb1b4c483cb966da5ab80a4004,vc-4-geth-prysm--23c34b62238a4fd8b3ed332c76dc5b95,vc-5-geth-prysm--a9e8745b53c64ddd9873209e050c85e4
1717045825,8069120.0,301289472.0,247365632.0,221974528.0,223997952.0,239968256.0,233312256.0,29011968.0,52744192.0,44695552.0,44617728.0,44060672.0,45060096.0,27971584.0,11476992.0,9691136.0,9023488.0,8663040.0,9265152.0,160309248.0,70488064.0,62439424.0,35741696.0,49467392.0,19935232.0,103022592.0,24551424.0,927694848.0,101560320.0,24584192.0,42143744.0,27738112.0,28086272.0,24444928.0,25772032.0
1717045840,8069120.0,301051904.0,253874176.0,226410496.0,230924288.0,254717952.0,237772800.0,29024256.0,53628928.0,45060096.0,44118016.0,44486656.0,44867584.0,30289920.0,10539008.0,8151040.0,8916992.0,9183232.0,8450048.0,160608256.0,70488064.0,62439424.0,35741696.0,49369088.0,20013056.0,103022592.0,24551424.0,927895552.0,101654528.0,24584192.0,42168320.0,26415104.0,25370624.0,24539136.0,25886720.0
1717045855,9056256.0,301318144.0,269783040.0,228667392.0,245579776.0,256643072.0,239988736.0,39911424.0,53460992.0,44830720.0,44388352.0,44675072.0,45027328.0,29720576.0,10911744.0,9129984.0,8159232.0,9433088.0,8986624.0,160612352.0,70488064.0,62439424.0,35741696.0,50196480.0,20103168.0,103022592.0,24551424.0,928608256.0,101785600.0,24584192.0,42205184.0,26456064.0,25452544.0,25399296.0,25980928.0
1717045870,9056256.0,301060096.0,269852672.0,231137280.0,253673472.0,256929792.0,258531328.0,39919616.0,54259712.0,45662208.0,44593152.0,45207552.0,44990464.0,28016640.0,11059200.0,8785920.0,8617984.0,10530816.0,9072640.0,160681984.0,70488064.0,62439424.0,36134912.0,50704384.0,19984384.0,94965760.0,24551424.0,929345536.0,101912576.0,24584192.0,40660992.0,26497024.0,25481216.0,25911296.0,26214400.0
1717045885,9056256.0,301060096.0,270000128.0,234143744.0,275365888.0,258424832.0,263020544.0,40153088.0,54345728.0,44756992.0,44756992.0,45674496.0,45957120.0,28397568.0,10776576.0,8937472.0,8908800.0,9224192.0,8429568.0,160694272.0,70488064.0,62439424.0,36134912.0,51441664.0,19935232.0,94965760.0,24551424.0,989122560.0,100384768.0,24584192.0,40697856.0,26517504.0,25821184.0,25481216.0,26222592.0
1717045900,9056256.0,301064192.0,273174528.0,244703232.0,275107840.0,283095040.0,266686464.0,40194048.0,54808576.0,45641728.0,45305856.0,46333952.0,46886912.0,28450816.0,10149888.0,8364032.0,8650752.0,8347648.0,9060352.0,160706560.0,70488064.0,62439424.0,36134912.0,51834880.0,19939328.0,94965760.0,27377664.0,1048227840.0,100495360.0,24584192.0,40718336.0,27111424.0,25862144.0,25509888.0,26243072.0
1717045915,9052160.0,301068288.0,289005568.0,247451648.0,275509248.0,302788608.0,269164544.0,40226816.0,54792192.0,46227456.0,45887488.0,46284800.0,46796800.0,27930624.0,10715136.0,8540160.0,8577024.0,9519104.0,9388032.0,160845824.0,70488064.0,62439424.0,36134912.0,51904512.0,20119552.0,94965760.0,27377664.0,1048289280.0,100605952.0,24584192.0,40722432.0,27144192.0,26861568.0,25542656.0,26324992.0
1717045930,9052160.0,301596672.0,291774464.0,248627200.0,315355136.0,303153152.0,277839872.0,40255488.0,54927360.0,46297088.0,46383104.0,46366720.0,46977024.0,28405760.0,11063296.0,8257536.0,8847360.0,8896512.0,8413184.0,160919552.0,70488064.0,60329984.0,37146624.0,52649984.0,19972096.0,103886848.0,27377664.0,1048346624.0,100720640.0,24584192.0,41271296.0,26759168.0,26898432.0,25624576.0,26345472.0
1717045945,9052160.0,301068288.0,294592512.0,250888192.0,320126976.0,303026176.0,280072192.0,40280064.0,55013376.0,46354432.0,46764032.0,46551040.0,47112192.0,28844032.0,10838016.0,9543680.0,8327168.0,8540160.0,9109504.0,160923648.0,70488064.0,60329984.0,37146624.0,53002240.0,19939328.0,103886848.0,27377664.0,1049092096.0,100831232.0,24584192.0,41287680.0,26775552.0,26959872.0,25632768.0,26697728.0
1717045960,9052160.0,301342720.0,308256768.0,270815232.0,326582272.0,305364992.0,290811904.0,40329216.0,55209984.0,47075328.0,47095808.0,47013888.0,47611904.0,28438528.0,10620928.0,8986624.0,8855552.0,8396800.0,8605696.0,160927744.0,70488064.0,60329984.0,37146624.0,53010432.0,19951616.0,103886848.0,27377664.0,1049169920.0,100937728.0,24584192.0,41308160.0,27664384.0,26984448.0,25751552.0,26750976.0
