timestamp,beacon-metrics-gazer--675f3dce361d4f7da9fb6dde5b71cf03,cadvisor,cl-1-prysm-geth--a605baf59c4045a38d9e4d5f59d119d6,cl-2-prysm-geth--19001ea77c3545afa6c69ee28ba6aeef,cl-3-prysm-geth--d90a7d68dc274ecd8867ffb91b6f0de5,cl-4-prysm-geth--5be24fc6314f4152b35f9988d9d5069f,cl-5-prysm-geth--f4c42ddc242b43d7be6229d237ac1440,dora--6ad1bbd68ba74d9ea474027c4cbfe50f,el-1-geth-prysm--ae5abeea1d954559abc6f3e3e6750d6e,el-2-geth-prysm--0a52dd5b5d314aa0bb8409a102987dfb,el-3-geth-prysm--2b6ea066b8b24382a1b415d682ffb160,el-4-geth-prysm--60458066b7af49f9a4a45a63eba6a4b7,el-5-geth-prysm--35ede4594838490089a6718f61d8908e,el-forkmon--c55ed8e688eb4ca88cb9ae5d8280656b,ethereum-metrics-exporter-1-prysm-geth--1f7daa0a4737425282cb1bb09957a640,ethereum-metrics-exporter-2-prysm-geth--ca527045f38147a7bfb90eb2cd9ad76f,ethereum-metrics-exporter-3-prysm-geth--f0aaab339a2d4cfaa261c0fad2cffa1c,ethereum-metrics-exporter-4-prysm-geth--95fc04cafe5b4c78b80aab2f04c361f9,ethereum-metrics-exporter-5-prysm-geth--ac14cd1efa804a04bdfa02792a93aec7,grafana--e9468133916047cd82ef18a42a107214,helpers-grafana-1,kurtosis-api--6fce6122dc6c43d09e200f491eb776fa,kurtosis-engine--73e0d765f58b4761a30feebea23dd3b9,kurtosis-logs-aggregator,kurtosis-logs-collector--6fce6122dc6c43d09e200f491eb776fa,kurtosis-reverse-proxy--73e0d765f58b4761a30feebea23dd3b9,portainer,prometheus,prometheus--00088d92694440d2a227ca9549927893,validator-key-generation-cl-validator-keystore--2da60df637644c159167fc278b5abb0d,vc-1-geth-prysm--b96868daa3ff4844be18567ef2e373cf,vc-2-geth-prysm--64ad8039224d446bb49d93690f987a3f,vc-3-geth-prysm--84b5aadb1b4c483cb966da5ab80a4004,vc-4-geth-prysm--23c34b62238a4fd8b3ed332c76dc5b95,vc-5-geth-prysm--a9e8745b53c64ddd9873209e050c85e4
1717045825,41.3946200052233,657.418496340652,77051.62853650017,76061.66644061667,73937.57351339576,78311.24898107054,72846.66782367235,319.312257348863,9644.88269598896,8386.653881358148,8997.551598977683,9105.872509779978,9540.492522208478,9606.045408954136,6477.213658361714,5146.060417315478,6218.75278000178,5893.939067714501,7010.546785632579,14.25081433224756,0.0,15.53518719900575,0.0,22841.231498967893,25878.52054431971,20.231975747989985,1.5299877600979193,53482.06007074901,33550.07983428991,14.700735036751839,2280.645378755534,2275.191976179282,2338.1991361169567,2206.3234967827825,2177.1988094724584
1717045840,40.937588745439854,669.7946294595866,69449.44043880214,74220.43316560928,64835.19866954333,66156.75627159719,65813.6570630907,401.4470559513505,10836.74732073804,8686.799041883998,9682.676375686753,9188.063982349697,10649.895788978285,9816.23988324267,6453.239206428474,5213.4777210649745,5810.65511543786,5359.205937583833,6463.301820807293,13.675601999091324,0.0,14.978601997146933,4.664218479591406,22873.511475773368,22091.539245667685,18.93072161451709,1.544367471208578,52715.35264320041,32609.01591043017,17.861856577210734,2332.6188972114433,2355.1727256285044,2298.3589924566586,2359.285555802086,2352.4038675756365
1717045855,48354.738852102135,660.7123044491291,75753.86002479434,76490.5234959259,67295.03237805015,77189.61740169502,76084.30226095462,62168.51802874018,10644.958075420343,9104.01620574247,9677.668714437921,10202.626440357917,9923.292776498956,10292.529031391941,5917.276092452149,4960.60915055861,5673.700949843126,5003.429954939807,6062.366988507808,14.119091467157764,0.0,16.365261637901394,5.188222294579814,23911.17330944917,25610.408319452574,19.412464373078393,0.0,54270.26846385206,34041.55027932961,14.624398219638477,2843.0113466362864,2946.7964278555996,3160.8186489645595,3086.279767315034,2876.813700283932
1717045870,47396.01806514428,652.1567336187027,74174.13223877933,75039.35833709895,74210.06463527239,75908.30130501813,73887.81413642496,61658.26795743101,10665.351379948857,9219.991907930227,8806.880162951227,9993.410177859081,9366.123151938087,10527.899868365274,4019.0667225075495,5027.681509102874,4559.818206122176,4232.686217816329,4324.409965034965,15.489739420837545,0.0,20.091344253655965,6.166168711461444,24456.95291346556,28173.96441788915,18.76901890229004,1.5553827352516385,54204.65416360764,32970.07475613091,16.508637192856014,2908.2802265887767,2923.0939128898312,3240.6535144606005,3056.66577848832,2785.511712556665
1717045885,47489.60125207097,651.7080745341615,75600.36488230321,75353.27192771347,75532.29388868119,76323.38133450587,73697.18709114697,60960.456010556605,10211.824820719752,9511.38353765324,7430.734956568704,11337.547465835969,7587.049480757483,11383.306846923473,5050.436001928048,4668.378846987429,6006.304194451398,5613.592573130145,5880.337397841004,24.263317377365947,0.0,35.398620203222464,2.947616641401381,25230.92980391286,28018.78301702211,30.961482574385798,3.144442198414303,53898.17867970876,34198.632672167914,16.75977653631285,2823.053001319999,2662.733720180529,3124.9857660160787,2810.415551988586,2546.8461741193005
1717045900,51.71019560703748,653.9734358928491,65721.37326582048,65869.29724513073,74934.5521819567,65469.19694412366,65596.92860428944,425.1737767479896,10330.284956925116,9283.580104619203,8091.004002088046,10152.456072556997,7307.875062664835,11640.04093983624,5583.9018932496765,5458.170988400734,5959.070821529745,6347.812739831159,6229.98951415589,28.07861128879282,0.0,35.920772054782475,3.113048118829494,21151.543974517786,25341.35029483867,32.620650213365,3.1696438678711316,52418.035433664125,33996.86084577784,22.97545208351533,2393.146647015475,2318.8139368903694,2560.1023017902817,2357.3161051331804,2239.499748562433
1717045915,43.785763332570376,646.5164385370363,75241.2139496139,75905.97152734535,75981.98398083025,74675.02118360612,76330.80159672025,399.4607953268929,10527.261938773267,8988.702359346642,9282.159708003202,9783.83842775773,7562.531915365999,11932.341300550555,6186.845337800111,4451.563794300042,5920.979114008248,6190.480395619922,6654.35070671378,20.48036565803063,0.0,25.876385834193634,1.665833749791771,21700.063225398546,26535.437840748462,24.53537060163079,1.5815277558121146,52697.785666356416,34066.304176871054,19.50270368107876,2422.7332780974984,2399.6879381303424,2531.611193186756,2430.2874398836825,2559.3561368209253
1717045930,36.928260820071486,648.50009933117,72655.12786827816,76460.01041926205,75429.44400939702,75567.26512269462,74834.67974610503,397.3185307876536,10617.4077367719,8823.889739663093,10567.584084510116,8860.814559982246,6541.578544750934,12713.007950530035,5701.933511993089,4796.63632500615,5387.526431670046,5363.377930194255,5484.191893163639,9.097013147349955,0.0,9.651951517847213,162.37713252739803,22192.699361085066,25468.050871740616,1518.8441578634472,3.375934410417169,55934.49550977285,33930.603110663535,12.970787333605923,2386.414764660915,2284.9464814393077,2516.0847825125006,2262.3340290421424,2481.920104495483
1717045945,29.752799024498398,652.8086392320683,73805.31338104533,79561.15435386226,75715.68692133448,77512.80341424381,77530.10105597819,313.8889513066535,10754.252929796081,10170.048775998528,10125.214834916327,8986.361848144426,7923.676150739048,12900.019578411537,6541.13619582485,5817.042717288016,6952.867638995504,6534.088061775359,6804.489317173018,1.5552099533437014,0.0,3.4052715372368656,156.30913797228808,23587.63490525652,25557.90133327571,1652.802777777778,3.4589641076321818,54760.941398610834,33357.96466990783,6.522031467120892,2277.199663463667,2083.483909334187,2495.9573445216556,2173.2639827073767,2289.417044465815
1717045960,29.149832746861286,651.4289523978844,65546.60490340074,68270.89928217934,66606.10250946433,65221.29712746859,66535.4825490062,382.45184958728225,10410.369866122077,9124.991989062399,11435.76731301939,9222.335763108296,8230.228091754601,13478.9061123833,6279.108376128918,6462.08943234559,6716.641214616117,6288.399366792269,6308.54123470002,1.5793511123144264,0.0,3.4638655840212325,163.89187253848908,22130.62851257249,22504.841588576524,1465.509235743562,3.403239707409781,54610.85962710648,34038.63013107037,1.5191631581231824,2490.2148178718044,2217.2303024895155,2612.6586902913505,2303.3050791773444,2249.4450183528584
