timestamp,grafana--7cfae55ca3bc401e8bd611634a1d2f7d,prometheus--9379e5c5c0a24c65a2911623416f6838,dora--d22603b309a34a4ba1a3a6b2ac2556b4,beacon-metrics-gazer--889f401b7ac24b45ad5daf2e27ffaa06,el-forkmon--8074a951bb3741f6978b424a5b05bedf,vc-5-geth-prysm--061ad92585064d768ed7c18e1108b024,ethereum-metrics-exporter-5-prysm-geth--0f0a6050cd9c43ca93397acfdc1c5220,vc-4-geth-prysm--5f86c8a931a54473a245cd978251fe04,ethereum-metrics-exporter-4-prysm-geth--a2b6e36f9f574c8bbdd037d62bf994fa,vc-3-geth-prysm--092f67016720442ebec01ff1ddada5d1,ethereum-metrics-exporter-3-prysm-geth--949464493e7a4a55a4196e9d4fc40d4b,vc-2-geth-prysm--932f79eb055b422b9f90a5a40969ef3b,ethereum-metrics-exporter-2-prysm-geth--aa838ce8f2b54e1ea5d738e02f609313,vc-1-geth-prysm--fb05356dde5f4a3189f45670f09dfbdb,ethereum-metrics-exporter-1-prysm-geth--bbde63a5d8ab41b0a8d6516d98475e87,cl-5-prysm-geth--5ac35d02641d44d598ccf868dfdbdc8d,cl-4-prysm-geth--db5fcf5dd652488c858ddca728d81a51,cl-3-prysm-geth--6d7b63950dff472593c44297957e9329,cl-2-prysm-geth--b4b812a13e874086a0bc30c027faf4b5,cl-1-prysm-geth--7fc964e5142748bcb0dab76baea76b6b,el-5-geth-prysm--4e779ddb7bec422ca4c887c4aae8685a,el-4-geth-prysm--37430a8575e6418a817b0535dfd7982b,el-3-geth-prysm--61039548227e41ebbd20da4b9441c7a3,el-2-geth-prysm--81461ecf4fe34400a4f469d25647af08,el-1-geth-prysm--6df8fe6e0f84467bae8dcb950344f104,validator-key-generation-cl-validator-keystore--d1a3dc515e2347e2bcd84a6975bcb35d,kurtosis-api--c6aa81f473fd49ecb33f78f539638112,kurtosis-logs-collector--c6aa81f473fd49ecb33f78f539638112,kurtosis-engine--2f2b4f032bfd4da298afd2bca70adaa4,kurtosis-reverse-proxy--2f2b4f032bfd4da298afd2bca70adaa4,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1717052424,121000.0,45800.0,12000.0,10000.0,16600.0,1100.0,307.0,651.0,238.0,1040.0,225.0,1140.0,553.0,23600.0,6590.0,1470.0,1130.0,1180.0,1930.0,22600.0,713.0,590.0,483.0,958.0,18300.0,9160.0,40600.0,17300.0,32800.0,76300.0,29400.0,624000.0,657000.0,304000.0,168000.0
1717052439,121000.0,45900.0,12000.0,10000.0,16600.0,1100.0,307.0,659.0,238.0,1040.0,233.0,1140.0,553.0,23600.0,6590.0,1470.0,1130.0,1210.0,1930.0,22600.0,770.0,590.0,483.0,1030.0,18300.0,9160.0,40600.0,17300.0,32800.0,76300.0,29400.0,624000.0,657000.0,304000.0,168000.0
1717052454,121000.0,45900.0,12000.0,10000.0,16600.0,1110.0,307.0,721.0,238.0,1050.0,258.0,1220.0,553.0,23600.0,6590.0,1470.0,1200.0,1330.0,2040.0,22600.0,770.0,590.0,483.0,1070.0,18300.0,9160.0,40700.0,17300.0,32800.0,76300.0,29400.0,624000.0,657000.0,304000.0,168000.0
1717052469,121000.0,45900.0,12000.0,10000.0,16600.0,1110.0,307.0,725.0,238.0,1170.0,258.0,1250.0,553.0,23600.0,6590.0,1470.0,1200.0,1350.0,2040.0,22600.0,770.0,590.0,549.0,1070.0,18300.0,9160.0,40700.0,17300.0,32800.0,76300.0,29400.0,624000.0,658000.0,304000.0,168000.0
1717052484,121000.0,45900.0,12000.0,10000.0,16600.0,1250.0,307.0,750.0,238.0,1180.0,258.0,1290.0,553.0,23700.0,6590.0,1520.0,1430.0,1350.0,2040.0,22600.0,770.0,713.0,549.0,1070.0,18300.0,9160.0,40700.0,17300.0,32800.0,76300.0,29400.0,624000.0,658000.0,304000.0,168000.0
1717052499,121000.0,45900.0,12100.0,10000.0,16600.0,1250.0,319.0,758.0,238.0,1180.0,258.0,1400.0,553.0,23700.0,6590.0,1520.0,1430.0,1450.0,2040.0,22600.0,770.0,713.0,549.0,1330.0,18300.0,9160.0,40700.0,17300.0,32800.0,76300.0,29400.0,624000.0,658000.0,304000.0,168000.0
1717052514,121000.0,45900.0,12100.0,10000.0,16600.0,1270.0,319.0,766.0,238.0,1190.0,258.0,1410.0,553.0,23700.0,6590.0,1520.0,1570.0,1470.0,2040.0,22600.0,770.0,713.0,549.0,1360.0,18300.0,9160.0,40700.0,17300.0,32800.0,76300.0,29400.0,624000.0,658000.0,304000.0,168000.0
1717052529,121000.0,45900.0,12100.0,10000.0,16600.0,1310.0,319.0,770.0,238.0,1190.0,258.0,1430.0,553.0,23700.0,6590.0,1520.0,1660.0,1470.0,2040.0,22600.0,770.0,713.0,549.0,1360.0,18300.0,9160.0,40700.0,17300.0,32800.0,76300.0,29400.0,624000.0,658000.0,304000.0,168000.0
1717052544,121000.0,45900.0,12100.0,10000.0,16700.0,1310.0,319.0,831.0,238.0,1300.0,258.0,1440.0,553.0,23700.0,6590.0,1520.0,1660.0,1470.0,2040.0,22600.0,770.0,713.0,578.0,1370.0,18300.0,9160.0,40700.0,17300.0,32800.0,76300.0,29400.0,624000.0,658000.0,304000.0,168000.0
1717052559,121000.0,45900.0,12100.0,10000.0,16800.0,1310.0,319.0,918.0,238.0,1300.0,258.0,1450.0,553.0,23700.0,6590.0,1520.0,1660.0,1470.0,2040.0,22600.0,770.0,713.0,578.0,1370.0,18300.0,9160.0,40700.0,17300.0,32800.0,76300.0,29400.0,624000.0,658000.0,304000.0,168000.0
