timestamp,beacon-metrics-gazer--889f401b7ac24b45ad5daf2e27ffaa06,cadvisor,cl-1-prysm-geth--7fc964e5142748bcb0dab76baea76b6b,cl-2-prysm-geth--b4b812a13e874086a0bc30c027faf4b5,cl-3-prysm-geth--6d7b63950dff472593c44297957e9329,cl-4-prysm-geth--db5fcf5dd652488c858ddca728d81a51,cl-5-prysm-geth--5ac35d02641d44d598ccf868dfdbdc8d,dora--d22603b309a34a4ba1a3a6b2ac2556b4,el-1-geth-prysm--6df8fe6e0f84467bae8dcb950344f104,el-2-geth-prysm--81461ecf4fe34400a4f469d25647af08,el-3-geth-prysm--61039548227e41ebbd20da4b9441c7a3,el-4-geth-prysm--37430a8575e6418a817b0535dfd7982b,el-5-geth-prysm--4e779ddb7bec422ca4c887c4aae8685a,el-forkmon--8074a951bb3741f6978b424a5b05bedf,ethereum-metrics-exporter-1-prysm-geth--bbde63a5d8ab41b0a8d6516d98475e87,ethereum-metrics-exporter-2-prysm-geth--aa838ce8f2b54e1ea5d738e02f609313,ethereum-metrics-exporter-3-prysm-geth--949464493e7a4a55a4196e9d4fc40d4b,ethereum-metrics-exporter-4-prysm-geth--a2b6e36f9f574c8bbdd037d62bf994fa,ethereum-metrics-exporter-5-prysm-geth--0f0a6050cd9c43ca93397acfdc1c5220,grafana--7cfae55ca3bc401e8bd611634a1d2f7d,helpers-grafana-1,kurtosis-api--c6aa81f473fd49ecb33f78f539638112,kurtosis-engine--2f2b4f032bfd4da298afd2bca70adaa4,kurtosis-logs-aggregator,kurtosis-logs-collector--c6aa81f473fd49ecb33f78f539638112,kurtosis-reverse-proxy--2f2b4f032bfd4da298afd2bca70adaa4,portainer,prometheus,prometheus--9379e5c5c0a24c65a2911623416f6838,validator-key-generation-cl-validator-keystore--d1a3dc515e2347e2bcd84a6975bcb35d,vc-1-geth-prysm--fb05356dde5f4a3189f45670f09dfbdb,vc-2-geth-prysm--932f79eb055b422b9f90a5a40969ef3b,vc-3-geth-prysm--092f67016720442ebec01ff1ddada5d1,vc-4-geth-prysm--5f86c8a931a54473a245cd978251fe04,vc-5-geth-prysm--061ad92585064d768ed7c18e1108b024
1717052424,10780672.0,255643648.0,346009600.0,323342336.0,290586624.0,334258176.0,336510976.0,34111488.0,66736128.0,49709056.0,48467968.0,49000448.0,48771072.0,33816576.0,14966784.0,9203712.0,9400320.0,9760768.0,9658368.0,171663360.0,65515520.0,55119872.0,40562688.0,43450368.0,16789504.0,84217856.0,27656192.0,818483200.0,98103296.0,14139392.0,49913856.0,26574848.0,27828224.0,25862144.0,26918912.0
1717052439,10780672.0,258215936.0,346009600.0,325615616.0,290586624.0,334352384.0,336510976.0,34127872.0,66736128.0,50159616.0,49025024.0,49000448.0,49201152.0,33972224.0,15958016.0,9351168.0,9658368.0,9043968.0,8998912.0,171663360.0,65515520.0,55119872.0,40562688.0,43450368.0,16785408.0,84217856.0,27394048.0,821391360.0,100261888.0,14139392.0,49913856.0,26574848.0,27873280.0,26693632.0,26984448.0
1717052454,10256384.0,262184960.0,369463296.0,344649728.0,290914304.0,336670720.0,353267712.0,34131968.0,67420160.0,50880512.0,49405952.0,49733632.0,50638848.0,33972224.0,16035840.0,8990720.0,9203712.0,8773632.0,9605120.0,165945344.0,65519616.0,52518912.0,40562688.0,41508864.0,16785408.0,84217856.0,27394048.0,822546432.0,100261888.0,13877248.0,47288320.0,26599424.0,27881472.0,26693632.0,27004928.0
1717052469,9261056.0,262184960.0,369467392.0,344666112.0,304734208.0,336670720.0,353267712.0,30253056.0,67457024.0,50880512.0,49405952.0,50163712.0,50655232.0,32821248.0,15425536.0,8990720.0,9474048.0,8773632.0,9605120.0,165945344.0,65519616.0,47210496.0,34045952.0,37052416.0,15740928.0,69812224.0,27394048.0,822546432.0,98357248.0,13877248.0,47288320.0,26714112.0,28168192.0,25935872.0,27037696.0
1717052484,9261056.0,261242880.0,371638272.0,344821760.0,304734208.0,342077440.0,357634048.0,30257152.0,67457024.0,51646464.0,49803264.0,50630656.0,51032064.0,31920128.0,14974976.0,9191424.0,9474048.0,9404416.0,9408512.0,155725824.0,65572864.0,47210496.0,34045952.0,37052416.0,13656064.0,69812224.0,27394048.0,885800960.0,94642176.0,13615104.0,47157248.0,26734592.0,28073984.0,26009600.0,26349568.0
1717052499,9261056.0,261582848.0,373800960.0,344821760.0,304832512.0,354582528.0,379187200.0,30257152.0,67571712.0,51646464.0,49885184.0,50630656.0,51048448.0,31739904.0,14721024.0,9191424.0,9879552.0,9052160.0,9408512.0,155729920.0,65572864.0,47210496.0,34045952.0,37711872.0,13647872.0,69812224.0,27394048.0,885948416.0,94728192.0,13615104.0,46739456.0,26791936.0,28073984.0,26857472.0,26501120.0
1717052514,9261056.0,261599232.0,376455168.0,353439744.0,304832512.0,358080512.0,379187200.0,30257152.0,68050944.0,51445760.0,50991104.0,51183616.0,51638272.0,31379456.0,15171584.0,10149888.0,8912896.0,10235904.0,10608640.0,155729920.0,65572864.0,47210496.0,34045952.0,37982208.0,13647872.0,69812224.0,30294016.0,886026240.0,94846976.0,13615104.0,46739456.0,26791936.0,27586560.0,26857472.0,26501120.0
1717052529,9261056.0,261595136.0,376455168.0,359620608.0,307625984.0,358080512.0,379301888.0,30539776.0,68681728.0,52822016.0,50991104.0,51183616.0,51658752.0,34226176.0,15548416.0,10149888.0,8912896.0,10235904.0,10608640.0,155729920.0,65576960.0,47210496.0,33939456.0,38408192.0,13643776.0,69812224.0,30294016.0,726929408.0,95010816.0,13615104.0,46776320.0,26689536.0,27594752.0,26411008.0,26705920.0
1717052544,9261056.0,261857280.0,376528896.0,361594880.0,334872576.0,363798528.0,379408384.0,30306304.0,68780032.0,53145600.0,51351552.0,51437568.0,51658752.0,33562624.0,15265792.0,8798208.0,8937472.0,9093120.0,10182656.0,155734016.0,65576960.0,47210496.0,33939456.0,39026688.0,13651968.0,69812224.0,30298112.0,726982656.0,95010816.0,13615104.0,47357952.0,26710016.0,28651520.0,27394048.0,26730496.0
1717052559,9261056.0,261861376.0,376528896.0,361594880.0,347983872.0,363823104.0,379473920.0,30322688.0,68780032.0,53145600.0,52293632.0,52588544.0,52101120.0,33562624.0,15806464.0,9981952.0,9302016.0,9093120.0,10944512.0,155738112.0,65576960.0,47210496.0,33939456.0,39026688.0,13651968.0,69812224.0,30298112.0,731000832.0,95227904.0,13615104.0,47521792.0,27570176.0,26607616.0,27394048.0,27185152.0
