timestamp,beacon-metrics-gazer--889f401b7ac24b45ad5daf2e27ffaa06,cadvisor,cl-1-prysm-geth--7fc964e5142748bcb0dab76baea76b6b,cl-2-prysm-geth--b4b812a13e874086a0bc30c027faf4b5,cl-3-prysm-geth--6d7b63950dff472593c44297957e9329,cl-4-prysm-geth--db5fcf5dd652488c858ddca728d81a51,cl-5-prysm-geth--5ac35d02641d44d598ccf868dfdbdc8d,dora--d22603b309a34a4ba1a3a6b2ac2556b4,el-1-geth-prysm--6df8fe6e0f84467bae8dcb950344f104,el-2-geth-prysm--81461ecf4fe34400a4f469d25647af08,el-3-geth-prysm--61039548227e41ebbd20da4b9441c7a3,el-4-geth-prysm--37430a8575e6418a817b0535dfd7982b,el-5-geth-prysm--4e779ddb7bec422ca4c887c4aae8685a,el-forkmon--8074a951bb3741f6978b424a5b05bedf,ethereum-metrics-exporter-1-prysm-geth--bbde63a5d8ab41b0a8d6516d98475e87,ethereum-metrics-exporter-2-prysm-geth--aa838ce8f2b54e1ea5d738e02f609313,ethereum-metrics-exporter-3-prysm-geth--949464493e7a4a55a4196e9d4fc40d4b,ethereum-metrics-exporter-4-prysm-geth--a2b6e36f9f574c8bbdd037d62bf994fa,ethereum-metrics-exporter-5-prysm-geth--0f0a6050cd9c43ca93397acfdc1c5220,grafana--7cfae55ca3bc401e8bd611634a1d2f7d,helpers-grafana-1,kurtosis-api--c6aa81f473fd49ecb33f78f539638112,kurtosis-engine--2f2b4f032bfd4da298afd2bca70adaa4,kurtosis-logs-aggregator,kurtosis-logs-collector--c6aa81f473fd49ecb33f78f539638112,kurtosis-reverse-proxy--2f2b4f032bfd4da298afd2bca70adaa4,portainer,prometheus,prometheus--9379e5c5c0a24c65a2911623416f6838,validator-key-generation-cl-validator-keystore--d1a3dc515e2347e2bcd84a6975bcb35d,vc-1-geth-prysm--fb05356dde5f4a3189f45670f09dfbdb,vc-2-geth-prysm--932f79eb055b422b9f90a5a40969ef3b,vc-3-geth-prysm--092f67016720442ebec01ff1ddada5d1,vc-4-geth-prysm--5f86c8a931a54473a245cd978251fe04,vc-5-geth-prysm--061ad92585064d768ed7c18e1108b024
1717052424,163.6101049928935,46525.95172300447,62614.41127957159,64228.06163263885,57187.862440997975,59757.78960487756,68558.21774557866,141.3360461173279,21949.196641267805,17362.589490746996,18565.80427446569,19121.882416155466,14851.098454027666,5548.612362587853,866.5659286512055,847.0830976072415,865.2452310018231,831.101483523697,859.75937626025,0.0,0.0,5.607009897393988,0.0,449.4037705682499,21814.48572967151,0.0,0.0,729.6968450636643,875.5955653289353,0.0,5014.923095185605,5174.62504517528,4869.293796332422,5032.456541628545,5337.8240863640385
1717052439,163.6101049928935,54116.82317364316,43349.875,71516.47933366173,54523.18994816163,67821.8556794079,61101.7567416359,150.4943490929915,23064.950727034666,19863.18353263535,18920.54516210954,19121.882416155466,17134.99924833381,6297.760090960773,861.8677905944986,815.6485392084295,830.9653916211292,797.4491443332257,842.0568299142614,0.0,0.0,0.9636563876651983,0.0,467.37491432488014,25045.298386913295,0.0,0.0,732.6887844072137,897.8852376828769,0.0,5251.525263761081,5174.62504517528,5080.5787234042555,5386.982964282114,5754.820751116798
1717052454,160.04305487815134,53275.193473115214,71675.2070924899,70925.13543502383,64834.215365295786,67288.15004262574,69011.32562443755,151.35089353773188,22848.88604013792,20859.420069834523,17321.706472360904,19412.938886029497,20048.123708591615,6297.760090960773,848.1032407613784,881.6305721189015,854.4437623627311,892.888069809268,884.9962439390835,0.0,0.0,0.7167235494880545,0.0,475.64866552998967,25045.298386913295,0.0,0.0,750.2429762900347,897.8852376828769,0.0,5384.826056449605,5713.55052256909,5087.031263166765,5476.395433127945,5243.155019652256
1717052469,155.76167612396335,54457.41833653583,70251.91406118251,64058.28200321372,66334.92871347198,73692.98029832054,78996.21263357232,139.17698976277416,19437.798463942254,21276.345638275936,17321.706472360904,20212.971429845886,20037.524177949712,6909.600129512709,876.9033390728924,916.9859077849228,845.0766761159875,921.3583250522565,805.9054100620262,0.0,0.0,0.0,0.0,435.9980465131944,25278.588673060312,0.0,0.0,750.2429762900347,880.8384444294669,0.0,5384.826056449605,5665.619298601257,5364.795704337613,4936.364234922306,5273.9984045382025
1717052484,159.41300633229469,53270.20072053526,61049.25024386925,59430.03280240776,59948.23545395877,58563.59313422141,60032.772543741594,152.50725942026529,17758.615969061226,21929.565720509156,15328.917898508987,20291.9222559263,20423.899392417097,4834.789872766996,871.7733965393056,856.0770277763773,846.8386444107234,880.1978425316681,888.6421248625974,0.0,0.0,0.0,0.0,400.43231559038094,20828.174856413527,0.0,0.0,733.4772052872943,882.2836764903782,0.0,5530.3350736897755,5419.910873843509,5421.498299879347,5101.458871305921,5115.889322763915
1717052499,159.13707825472534,52095.87422457084,68608.37804096231,60547.40942559275,65603.58284272498,68835.4657030309,68013.45856576384,159.0332752651657,17872.127584065303,22570.1044826424,20356.43955609708,20291.9222559263,20039.677937371755,7655.382375326781,870.4471873735332,797.2584640792735,818.735352738901,864.9620253164558,827.7103308354331,0.0,0.0,0.0,0.0,468.11055009301094,24342.67021059088,0.0,0.0,739.2484059150726,868.4552045108744,0.0,5471.076072488994,5549.655850540807,5551.069669014319,5480.280695358958,5485.111092193751
1717052514,160.9316035102606,52904.75079179863,69297.95569164265,64119.39869570023,65930.81860507165,72998.16188984955,73987.3926673027,161.8537727957169,17883.376791246013,18042.047470791065,22615.05893122783,19590.595589984034,20565.720317551073,6914.060592609034,867.2234387465837,884.2813820988789,868.5611225971055,886.7571147960349,903.109067734887,0.0,0.0,0.0,0.0,505.7725454486325,24342.67021059088,0.0,0.0,744.0071433477574,874.4902429982137,0.0,4589.237782874618,5258.8856383873035,5125.642284405171,5480.280695358958,5536.982282426827
1717052529,164.0991446702842,52583.3112407211,77050.47735120861,69347.68468328947,62300.05376705424,72998.16188984955,71239.36099400933,149.74242556535407,20573.96381955576,18929.78859274695,22615.058931227828,18476.120055120493,19670.062937370716,7290.519740242231,871.6298951399248,884.2813820988789,851.9253807975356,756.3299224947848,903.109067734887,0.0,0.0,0.0,0.0,423.33006900635405,24702.26858005362,0.0,0.0,746.43230371246,883.1278215753655,0.0,5057.345150948896,5666.592343196058,5481.94108810659,5503.746616860894,5213.616126361948
1717052544,162.21468387228745,53474.086804151506,58460.631401960134,62658.65998176846,61057.10007598444,60045.970209816216,61582.68398268399,158.84590281997612,22135.832298242327,21311.006921187764,20336.94886913667,18174.530022214116,19236.399178318203,7256.9225317651835,867.6477165988282,876.1419651659547,853.3192222999846,882.1371556672668,904.0390100285216,0.0,0.0,0.0,0.0,450.6520200828924,21790.037149611617,0.0,0.0,719.5755643858347,890.4354742493538,0.0,4936.222858104697,5276.698491460471,4945.243651027388,5136.827176335516,5566.058312217339
1717052559,161.9138365207922,53694.30490012009,56460.429089966296,62658.65998176846,59233.8471849866,67916.974641075,68462.9100960667,159.45921747694513,22433.549432739062,21311.006921187764,22812.548608528046,19870.15281335571,19846.19024016582,7875.66119701983,848.0482754013672,876.6858372851713,839.0472349197812,839.1225465940952,884.7187740775618,1.5318292229249184,0.0,0.0,0.0,463.79634452925063,20250.630188552415,0.0,0.0,721.7589748090932,876.1321909424726,0.0,5615.100147004778,5604.893308010278,5158.125073925753,4976.641392676209,5710.261295590637
1717052574,150.64589665653497,54301.01249657941,71898.65612648222,68473.27030729422,67329.2957373577,72647.3962316624,68462.9100960667,159.45921747694513,19637.889474154093,21076.858884839403,23843.049019271064,21498.646527604014,20358.797554347824,7460.326779842984,840.2728531388241,899.6775512057768,873.2445992073492,888.483899821109,905.6895200331965,1.5598538194134952,0.0,0.0,0.0,487.26457399103134,23150.744975450638,0.0,0.0,712.1119902617164,867.6305761040126,0.0,5615.100147004778,5604.893308010278,5482.352941176469,5142.0671339485325,5542.51775078238
1717052589,153.37502417639095,53398.07278353289,67272.36231761827,71823.28927782037,68461.26086440879,66355.0006808279,69970.81803005008,134.2089472631509,19978.107672255723,19038.418156338656,21975.020704165454,21003.39707044717,20046.10989900807,7988.42535695931,849.8082095145717,899.6775512057768,847.5131221413984,874.3286606992062,870.6468513508886,1.172902598817044,0.0,0.0,0.0,455.24901309186606,23630.069882159492,0.0,0.0,714.2903912260599,873.4660485410417,0.0,5602.751561876911,5656.788864754643,5388.41486751165,5160.779868510543,5277.718898685368
1717052604,161.21162837975203,51953.60251292454,123762.41447056433,61972.92887510054,114606.7982309187,59649.220563847426,60269.0637445717,140.61433447098975,23259.941435500812,18194.47114587822,18512.857427628518,20788.337595907928,20046.10989900807,8194.854756880528,862.557148220951,872.6675456434781,886.4211226980254,905.457049406094,859.3101616704841,0.0,0.0,0.0,0.0,432.76534592486144,22930.341385150194,0.0,0.0,752.2253161090063,872.0431734503454,0.0,5552.52147104162,5688.33318421759,6095.152009524019,5777.161737083889,5604.5943884038315
1717052619,225.7982509660362,51928.91956429295,116089.96922239795,52939.858050480674,125701.54723127038,57650.2359371287,67507.01213335434,235.76003077689018,22997.653619886423,19288.843777187856,18520.90673402912,20701.821426936986,22073.171292041905,8033.816182981638,860.9396394980809,841.3350391668351,848.6227386185417,888.0327758295119,793.4489402697496,0.0,0.0,0.0,0.0,505.99115671515847,22930.341385150194,0.0,0.0,730.792257034524,883.2320831132242,0.0,6146.577296709766,6027.543100487672,5772.3267876152295,5777.161737083889,6204.630068367969
1717052634,230.25389664354404,52292.555994729904,168973.63103657306,72951.56167889047,116475.03053331525,66909.67028103562,68147.78682033395,208.3410471750509,24314.43098700991,22039.090046107947,20220.29878535331,20780.486213085333,21943.07715792866,9069.593712046564,891.1435072048538,894.8753120010795,899.5546205322173,871.3119899560578,845.4070442523545,0.0,0.0,0.0,0.0,509.0607884238285,27397.594856152205,0.0,0.0,742.1323928377644,870.8158644037396,0.0,5857.620174952566,5874.20166010192,4798.680901348781,5985.981615233093,5996.313919978555
1717052649,231.30446418117654,54208.31815698416,78494.77956338167,68599.45429740791,70819.27630109448,73982.02334378738,68137.31333232317,132.90278721957853,22789.269051321928,21475.536972721446,21691.38665299115,19519.964020885436,23234.6034028277,9069.593712046562,942.902988567226,894.8753120010795,849.2929739284135,865.3308162940388,886.0194431585213,0.0,0.0,0.0,0.0,442.75280320954636,27961.94460375831,0.0,0.0,732.0972726051323,870.8158644037396,0.0,5933.032444860766,5297.30699008868,5733.974734376307,5719.945925196523,5916.286606859452
1717052664,177.16766396808634,53609.856990899425,60746.76061253872,61105.290328372954,63895.63164916362,59787.72780471493,61872.76682708154,132.9027872195785,23670.09828936567,22162.335687493665,21766.945592633667,19656.375012821827,22297.777927185936,8731.85881935355,895.8837235104849,874.1470137144636,858.1067628254762,853.65485553301,874.4632089535635,0.0,0.0,0.0,0.0,452.0833686638289,20727.63711670786,0.0,0.0,740.0821103726722,863.3552631578949,0.0,5310.975812622684,5356.716452048216,5413.772820356412,5444.851817904064,5606.9684030742965
1717052679,171.4099641810485,54065.68236776676,69066.81504462581,67021.4856874076,67244.723957454,65051.713719829466,67385.3720841643,171.83889072301088,23071.568018457718,23084.422093761485,21347.67326223381,20412.840762057735,20742.63126425582,9149.39390630119,851.8641369245057,835.1187551187551,825.2243897592157,847.4723070611295,863.6363636363636,0.0,0.0,0.0,0.0,497.3095184264075,20727.63711670786,0.0,0.0,746.7452377689461,880.4262552301257,0.0,5635.575459418916,5356.716452048216,5095.0685863280805,5460.896162175438,5523.744819620899
1717052694,176.94117647058823,54183.57037205598,69112.7583485838,69925.52125424278,70508.5175184185,68167.84049538974,72422.43695392048,162.80279629328564,23476.824313707883,24213.82040262384,21472.241052060734,20610.86684479318,22268.171160609614,9678.416169945773,845.8855401286827,840.3027877817792,882.2031626909676,878.0088726953763,852.9505148092711,26.592932052524898,0.0,0.0,0.0,478.02722280062466,26000.471973749267,0.0,0.0,737.2440359532336,872.1014732113364,0.0,5635.83122587515,5682.738326765994,5032.555147370024,5339.20379115062,5441.437789263877
1717052709,178.8326954000861,52807.005479269734,72842.7127136083,72545.03806508119,58653.89550458095,72194.65432350872,61737.94403428854,135.65724885199177,22780.455726169726,21491.51073595019,21514.90823079897,22032.287678287543,21799.16120664971,9678.416169945773,870.1671935489323,876.6527281653658,893.23303197949,877.2737430167597,870.7851052781455,27.981898019535798,46.035521372841046,0.0,0.0,508.14897165091713,24254.723488735974,0.0,0.0,738.513666139598,881.959165457994,0.0,5330.330952134453,5625.457584621814,4829.533591513724,5404.842506445466,5296.173878205128
1717052724,131.6,52243.05707892774,61344.83910477675,62750.112887203104,58653.89550458095,60136.0338777163,61737.944034288535,135.65724885199177,19819.84426997512,17400.369045208037,19952.275809860264,20718.276110524643,21858.16762311491,7599.990954114746,883.7094751925487,874.1889859237142,887.2455902306648,886.2549800796812,887.3245751692598,21.95968720506943,46.29812222003111,0.0,1.5256860138183563,436.9907060740871,21795.52868712216,0.0,0.0,732.8597899938234,877.3000688078486,0.0,5355.80766911584,5627.018988789751,5783.1811287876335,5170.217767255997,5411.0001851883035
