timestamp,beacon-metrics-gazer--9494adc28d9a4f3a9ebe5d2f68d76987,cadvisor,cl-1-prysm-geth--4fdf5cfa38d14eb089f45267e1de31ac,cl-2-prysm-geth--a0b305c36eaa42ec929e54f3e183fdf8,cl-3-prysm-geth--316634be263d456891d1bef3c4f95a39,cl-4-prysm-geth--51e00612d88543aeb907bb80ad76aaa7,cl-5-prysm-geth--3806ae07666341aea18cc33d9671db8a,dora--50326b647ce047878a34128a60ffbdc3,el-1-geth-prysm--64bfd2e0b4bf45d690a9a09863350c2b,el-2-geth-prysm--db9cf52bdd334e918f89defbd18585a3,el-3-geth-prysm--da9eaf2b3f8b492ab526185206389baf,el-4-geth-prysm--c9e5d3239aeb45f18101437cca229111,el-5-geth-prysm--2c9145d33b7441c9a46872c52c5bdb14,el-forkmon--1fc4e8413cd24add876e8a06419b2cf2,ethereum-metrics-exporter-1-prysm-geth--280fa5f2d7474029adb08f4147e25040,ethereum-metrics-exporter-2-prysm-geth--b19fe24fc7fe491785296987e0c23fc8,ethereum-metrics-exporter-3-prysm-geth--e7f24c930aab4a1091f206957564d040,ethereum-metrics-exporter-4-prysm-geth--37675b0b6aef4b5aabe92019600fa700,ethereum-metrics-exporter-5-prysm-geth--5369079979234001bc12104e5dda672f,grafana--9c652fda54bf416696909af2f2ffed78,helpers-grafana-1,kurtosis-api--ca28a5d8df5d4e1c8bd52a8e36ce8cfa,kurtosis-engine--6fdc57d17383499788d1f083430c337f,kurtosis-logs-aggregator,kurtosis-logs-collector--ca28a5d8df5d4e1c8bd52a8e36ce8cfa,kurtosis-reverse-proxy--6fdc57d17383499788d1f083430c337f,portainer,prometheus,prometheus--62e5e457865142e4a9abd4c8da65381d,validator-key-generation-cl-validator-keystore--9a9533696e4e4b2aa79eedbefcaf4d3b,vc-1-geth-prysm--b7845805ee4c41faa1480aaa19ad47eb,vc-2-geth-prysm--4bb20b6f9f5845bd977fb8b9c32ed18f,vc-3-geth-prysm--4736ff2d86de4a889181350fc17b98c7,vc-4-geth-prysm--92e022d7728547b481f39a856e585cef,vc-5-geth-prysm--ceb1122f96e349d3a7b154544da0152b
1716641915,8732672.0,198254592.0,217755648.0,186494976.0,200093696.0,194928640.0,208322560.0,35975168.0,56250368.0,41136128.0,41623552.0,39489536.0,40304640.0,32223232.0,14331904.0,9076736.0,8884224.0,8605696.0,8757248.0,152055808.0,49029120.0,64008192.0,37572608.0,42532864.0,9707520.0,92749824.0,14454784.0,831614976.0,111738880.0,16113664.0,49573888.0,25264128.0,25190400.0,27848704.0,23654400.0
1716641930,8732672.0,197713920.0,220012544.0,205627392.0,209502208.0,224178176.0,210735104.0,35983360.0,56782848.0,41222144.0,41914368.0,39567360.0,40419328.0,33443840.0,15179776.0,8355840.0,10072064.0,8589312.0,8609792.0,153366528.0,49029120.0,64008192.0,37572608.0,42639360.0,9719808.0,92749824.0,14454784.0,831631360.0,112099328.0,16113664.0,49577984.0,25296896.0,25202688.0,27099136.0,23678976.0
1716641945,8732672.0,197685248.0,222625792.0,207269888.0,211496960.0,224342016.0,212979712.0,36024320.0,56733696.0,41213952.0,41816064.0,40591360.0,41279488.0,32624640.0,15204352.0,9428992.0,8155136.0,9277440.0,9162752.0,153567232.0,49037312.0,64008192.0,37572608.0,41693184.0,10076160.0,92749824.0,14454784.0,831635456.0,112148480.0,16113664.0,47456256.0,25538560.0,25489408.0,27136000.0,23707648.0
1716641960,8732672.0,197677056.0,262811648.0,236015616.0,217796608.0,224665600.0,215445504.0,36044800.0,57847808.0,42364928.0,41934848.0,40632320.0,41304064.0,33648640.0,14639104.0,9121792.0,8822784.0,8822784.0,9048064.0,156790784.0,49082368.0,62685184.0,37572608.0,42516480.0,9711616.0,92749824.0,14454784.0,890769408.0,112197632.0,16113664.0,47472640.0,25968640.0,25255936.0,26169344.0,23736320.0
1716641975,8732672.0,198402048.0,263540736.0,236167168.0,248860672.0,237596672.0,219267072.0,36065280.0,57851904.0,42418176.0,42663936.0,42205184.0,42549248.0,33865728.0,14417920.0,8544256.0,9297920.0,8769536.0,8605696.0,156831744.0,49082368.0,62685184.0,37572608.0,42618880.0,9707520.0,92749824.0,14454784.0,890773504.0,112250880.0,16113664.0,47480832.0,25763840.0,24223744.0,26193920.0,23760896.0
1716641990,8732672.0,198250496.0,267661312.0,244183040.0,253489152.0,247472128.0,229642240.0,36065280.0,57987072.0,42450944.0,42840064.0,42303488.0,42569728.0,31211520.0,14163968.0,9166848.0,8507392.0,8663040.0,7831552.0,156831744.0,49082368.0,62685184.0,37572608.0,42524672.0,9764864.0,92749824.0,14454784.0,890773504.0,112238592.0,16113664.0,47501312.0,25653248.0,24236032.0,26836992.0,24248320.0
1716642005,9662464.0,198111232.0,277528576.0,267935744.0,257712128.0,249700352.0,244477952.0,47575040.0,59101184.0,43704320.0,42889216.0,42344448.0,42770432.0,32423936.0,14921728.0,9084928.0,8658944.0,8577024.0,8404992.0,157286400.0,49078272.0,62685184.0,37199872.0,41816064.0,9707520.0,92749824.0,14520320.0,890777600.0,112254976.0,16113664.0,47521792.0,25677824.0,24256512.0,27049984.0,24518656.0
1716642020,9662464.0,197926912.0,277356544.0,267780096.0,257810432.0,251981824.0,253140992.0,47579136.0,59396096.0,43745280.0,44044288.0,42823680.0,43212800.0,32804864.0,14831616.0,8462336.0,8470528.0,8740864.0,9728000.0,157343744.0,49618944.0,62685184.0,37199872.0,42258432.0,9711616.0,92749824.0,14520320.0,908091392.0,104128512.0,16113664.0,47525888.0,25681920.0,24260608.0,25899008.0,24870912.0
1716642035,9662464.0,197926912.0,277491712.0,270258176.0,257953792.0,261718016.0,286150656.0,47579136.0,59158528.0,43925504.0,44269568.0,42831872.0,43347968.0,33091584.0,14450688.0,9166848.0,8417280.0,9203712.0,8441856.0,157360128.0,49479680.0,62685184.0,37199872.0,41738240.0,9723904.0,91115520.0,14639104.0,967159808.0,104132608.0,16113664.0,47562752.0,25702400.0,24813568.0,25907200.0,24940544.0
1716642050,9662464.0,198189056.0,299859968.0,272523264.0,260341760.0,266121216.0,286216192.0,47677440.0,59777024.0,44052480.0,44810240.0,43044864.0,44965888.0,32149504.0,14917632.0,8302592.0,8445952.0,10145792.0,8650752.0,157917184.0,49479680.0,62685184.0,37199872.0,41922560.0,9822208.0,91115520.0,14639104.0,967163904.0,104136704.0,16113664.0,48422912.0,25821184.0,25350144.0,26906624.0,24952832.0
