timestamp,beacon-metrics-gazer--9494adc28d9a4f3a9ebe5d2f68d76987,cadvisor,cl-1-prysm-geth--4fdf5cfa38d14eb089f45267e1de31ac,cl-2-prysm-geth--a0b305c36eaa42ec929e54f3e183fdf8,cl-3-prysm-geth--316634be263d456891d1bef3c4f95a39,cl-4-prysm-geth--51e00612d88543aeb907bb80ad76aaa7,cl-5-prysm-geth--3806ae07666341aea18cc33d9671db8a,dora--50326b647ce047878a34128a60ffbdc3,el-1-geth-prysm--64bfd2e0b4bf45d690a9a09863350c2b,el-2-geth-prysm--db9cf52bdd334e918f89defbd18585a3,el-3-geth-prysm--da9eaf2b3f8b492ab526185206389baf,el-4-geth-prysm--c9e5d3239aeb45f18101437cca229111,el-5-geth-prysm--2c9145d33b7441c9a46872c52c5bdb14,el-forkmon--1fc4e8413cd24add876e8a06419b2cf2,ethereum-metrics-exporter-1-prysm-geth--280fa5f2d7474029adb08f4147e25040,ethereum-metrics-exporter-2-prysm-geth--b19fe24fc7fe491785296987e0c23fc8,ethereum-metrics-exporter-3-prysm-geth--e7f24c930aab4a1091f206957564d040,ethereum-metrics-exporter-4-prysm-geth--37675b0b6aef4b5aabe92019600fa700,ethereum-metrics-exporter-5-prysm-geth--5369079979234001bc12104e5dda672f,grafana--9c652fda54bf416696909af2f2ffed78,helpers-grafana-1,kurtosis-api--ca28a5d8df5d4e1c8bd52a8e36ce8cfa,kurtosis-engine--6fdc57d17383499788d1f083430c337f,kurtosis-logs-aggregator,kurtosis-logs-collector--ca28a5d8df5d4e1c8bd52a8e36ce8cfa,kurtosis-reverse-proxy--6fdc57d17383499788d1f083430c337f,portainer,prometheus,prometheus--62e5e457865142e4a9abd4c8da65381d,validator-key-generation-cl-validator-keystore--9a9533696e4e4b2aa79eedbefcaf4d3b,vc-1-geth-prysm--b7845805ee4c41faa1480aaa19ad47eb,vc-2-geth-prysm--4bb20b6f9f5845bd977fb8b9c32ed18f,vc-3-geth-prysm--4736ff2d86de4a889181350fc17b98c7,vc-4-geth-prysm--92e022d7728547b481f39a856e585cef,vc-5-geth-prysm--ceb1122f96e349d3a7b154544da0152b
1716641915,9199616.0,273731584.0,224141312.0,192593920.0,206192640.0,201027584.0,214421504.0,37027840.0,57008128.0,41824256.0,42311680.0,40206336.0,41009152.0,32813056.0,14360576.0,9076736.0,8884224.0,8605696.0,8757248.0,169885696.0,71983104.0,79818752.0,37744640.0,50556928.0,9945088.0,93028352.0,18161664.0,845090816.0,113205248.0,24535040.0,49848320.0,25460736.0,25391104.0,28041216.0,23863296.0
1716641930,9199616.0,273215488.0,226398208.0,211726336.0,215601152.0,230277120.0,216834048.0,37036032.0,57548800.0,41914368.0,42610688.0,40288256.0,41132032.0,34041856.0,15208448.0,8355840.0,10072064.0,8589312.0,8609792.0,171196416.0,71983104.0,79818752.0,37744640.0,50991104.0,9957376.0,93028352.0,18161664.0,845160448.0,113668096.0,24535040.0,49852416.0,25505792.0,25427968.0,27295744.0,23887872.0
1716641945,9199616.0,273211392.0,229011456.0,213368832.0,217595904.0,230440960.0,219078656.0,37076992.0,57507840.0,41918464.0,42516480.0,41316352.0,41996288.0,33230848.0,15233024.0,9428992.0,8155136.0,9277440.0,9162752.0,171397120.0,71991296.0,79818752.0,37744640.0,50384896.0,10313728.0,93028352.0,18161664.0,845217792.0,113819648.0,24535040.0,47734784.0,25755648.0,25718784.0,27357184.0,23932928.0
1716641960,9199616.0,273285120.0,269197312.0,242114560.0,223895552.0,230764544.0,221544448.0,37097472.0,58634240.0,43077632.0,42651648.0,41373696.0,42029056.0,34271232.0,14667776.0,9121792.0,8822784.0,8822784.0,9048064.0,174620672.0,72036352.0,78495744.0,37744640.0,51765248.0,9949184.0,93028352.0,18161664.0,904404992.0,113975296.0,24535040.0,47767552.0,26198016.0,25497600.0,26406912.0,23969792.0
1716641975,9199616.0,274075648.0,269926400.0,242266112.0,254959616.0,243695616.0,225366016.0,37117952.0,58642432.0,43143168.0,43384832.0,42950656.0,43286528.0,34492416.0,14446592.0,8544256.0,9297920.0,8769536.0,8605696.0,174661632.0,72036352.0,78495744.0,37744640.0,52236288.0,9945088.0,93028352.0,18161664.0,904458240.0,114126848.0,24535040.0,47779840.0,25997312.0,24473600.0,26443776.0,24006656.0
1716641990,9199616.0,273940480.0,274046976.0,250281984.0,259588096.0,253571072.0,235741184.0,37117952.0,58789888.0,43180032.0,43573248.0,43057152.0,43311104.0,31842304.0,14192640.0,9166848.0,8507392.0,8663040.0,7831552.0,174661632.0,72036352.0,78495744.0,37744640.0,52469760.0,10002432.0,93028352.0,18161664.0,904511488.0,114225152.0,24535040.0,47804416.0,25886720.0,24498176.0,27099136.0,24506368.0
1716642005,10129408.0,274456576.0,283914240.0,274034688.0,263811072.0,255799296.0,250576896.0,48627712.0,59916288.0,44449792.0,43630592.0,43106304.0,43532288.0,33062912.0,14950400.0,9084928.0,8658944.0,8577024.0,8404992.0,175116288.0,72032256.0,78495744.0,37371904.0,52219904.0,9945088.0,93028352.0,18227200.0,904568832.0,114339840.0,24535040.0,47857664.0,25919488.0,24526848.0,27316224.0,24784896.0
1716642020,10129408.0,274272256.0,283742208.0,273879040.0,263909376.0,258080768.0,259239936.0,48631808.0,60219392.0,44494848.0,44797952.0,43601920.0,43974656.0,33447936.0,14860288.0,8462336.0,8470528.0,8740864.0,9728000.0,175173632.0,72572928.0,78495744.0,37371904.0,53219328.0,9949184.0,93028352.0,18227200.0,930967552.0,106332160.0,24535040.0,47861760.0,25935872.0,24530944.0,26169344.0,25137152.0
1716642035,10129408.0,274272256.0,283877376.0,276357120.0,264052736.0,267816960.0,292249600.0,48631808.0,59973632.0,44687360.0,45031424.0,43614208.0,44126208.0,33742848.0,14458880.0,9166848.0,8417280.0,9203712.0,8441856.0,175190016.0,72433664.0,78495744.0,37371904.0,53075968.0,9945088.0,91394048.0,17235968.0,990089216.0,106438656.0,24535040.0,47898624.0,25968640.0,25083904.0,26177536.0,25206784.0
1716642050,10129408.0,274534400.0,306245632.0,278622208.0,266440704.0,272220160.0,292315136.0,48730112.0,60612608.0,44822528.0,45592576.0,43843584.0,45752320.0,32808960.0,14925824.0,8302592.0,8445952.0,10145792.0,8650752.0,175747072.0,72433664.0,78495744.0,37371904.0,53600256.0,10043392.0,91394048.0,17235968.0,990146560.0,106557440.0,24535040.0,48758784.0,26087424.0,25620480.0,27176960.0,25227264.0
1716642065,10121216.0,274018304.0,306597888.0,281030656.0,273481728.0,274427904.0,292712448.0,48758784.0,60977152.0,44904448.0,45977600.0,44523520.0,45752320.0,32845824.0,14622720.0,8982528.0,9506816.0,8970240.0,8851456.0,175759360.0,72433664.0,78495744.0,38273024.0,53821440.0,9949184.0,101044224.0,20078592.0,990203904.0,106668032.0,24535040.0,49233920.0,26439680.0,25948160.0,26927104.0,25268224.0
1716642080,10121216.0,274186240.0,308551680.0,286830592.0,274460672.0,287436800.0,305840128.0,48766976.0,61415424.0,45842432.0,45756416.0,43749376.0,45387776.0,33435648.0,15597568.0,9097216.0,8941568.0,8699904.0,9527296.0,175763456.0,69468160.0,77660160.0,38273024.0,54767616.0,9945088.0,101044224.0,19931136.0,1055580160.0,106770432.0,24535040.0,49262592.0,26505216.0,25964544.0,26738688.0,26021888.0
1716642095,10121216.0,274448384.0,311209984.0,287191040.0,276799488.0,302469120.0,306274304.0,48771072.0,62418944.0,45694976.0,45953024.0,45015040.0,46354432.0,34955264.0,15417344.0,8679424.0,9461760.0,9379840.0,8687616.0,175771648.0,69480448.0,77660160.0,38273024.0,55140352.0,9949184.0,101044224.0,19931136.0,1055682560.0,106885120.0,24535040.0,49283072.0,26513408.0,25989120.0,26779648.0,26091520.0
1716642110,10121216.0,274001920.0,343408640.0,292114432.0,279035904.0,322486272.0,306352128.0,48877568.0,62660608.0,45731840.0,46542848.0,45043712.0,46354432.0,34058240.0,14921728.0,9576448.0,10625024.0,8531968.0,9531392.0,175804416.0,69480448.0,77660160.0,38273024.0,55590912.0,10047488.0,101040128.0,19931136.0,1055789056.0,106999808.0,24535040.0,49774592.0,27947008.0,28090368.0,27078656.0,26132480.0
1716642125,9895936.0,261636096.0,345538560.0,300089344.0,275640320.0,321888256.0,301965312.0,48803840.0,62050304.0,46837760.0,46280704.0,44789760.0,46407680.0,33939456.0,14573568.0,8650752.0,8495104.0,8953856.0,9023488.0,176619520.0,65597440.0,74637312.0,42602496.0,44392448.0,9957376.0,100438016.0,18202624.0,1040617472.0,104579072.0,22380544.0,49844224.0,27975680.0,28012544.0,26759168.0,26099712.0
1716642140,9895936.0,262242304.0,347746304.0,303386624.0,304205824.0,321982464.0,304336896.0,39849984.0,62234624.0,47370240.0,46505984.0,45682688.0,46858240.0,34152448.0,15187968.0,8974336.0,8241152.0,8900608.0,9191424.0,186748928.0,65597440.0,75390976.0,44892160.0,45256704.0,10129408.0,100438016.0,18202624.0,1040711680.0,104902656.0,22380544.0,49860608.0,27201536.0,28233728.0,25911296.0,26738688.0
1716642155,9895936.0,265756672.0,350003200.0,313819136.0,304259072.0,322080768.0,306667520.0,39907328.0,62410752.0,47271936.0,47181824.0,45740032.0,46923776.0,34136064.0,15388672.0,9924608.0,9707520.0,9744384.0,9396224.0,187392000.0,65605632.0,75390976.0,44892160.0,45334528.0,10137600.0,103030784.0,18202624.0,1040793600.0,105046016.0,22380544.0,49905664.0,27324416.0,28299264.0,25923584.0,26742784.0
1716642170,9895936.0,268673024.0,358785024.0,326119424.0,304345088.0,322150400.0,311021568.0,40005632.0,62664704.0,47472640.0,47288320.0,45772800.0,47181824.0,35110912.0,14688256.0,8896512.0,10186752.0,9080832.0,9785344.0,211886080.0,65605632.0,75390976.0,44892160.0,46440448.0,10133504.0,103030784.0,18202624.0,1040904192.0,122675200.0,22380544.0,49938432.0,27516928.0,28344320.0,26001408.0,27910144.0
