timestamp,beacon-metrics-gazer--9494adc28d9a4f3a9ebe5d2f68d76987,cadvisor,cl-1-prysm-geth--4fdf5cfa38d14eb089f45267e1de31ac,cl-2-prysm-geth--a0b305c36eaa42ec929e54f3e183fdf8,cl-3-prysm-geth--316634be263d456891d1bef3c4f95a39,cl-4-prysm-geth--51e00612d88543aeb907bb80ad76aaa7,cl-5-prysm-geth--3806ae07666341aea18cc33d9671db8a,dora--50326b647ce047878a34128a60ffbdc3,el-1-geth-prysm--64bfd2e0b4bf45d690a9a09863350c2b,el-2-geth-prysm--db9cf52bdd334e918f89defbd18585a3,el-3-geth-prysm--da9eaf2b3f8b492ab526185206389baf,el-4-geth-prysm--c9e5d3239aeb45f18101437cca229111,el-5-geth-prysm--2c9145d33b7441c9a46872c52c5bdb14,el-forkmon--1fc4e8413cd24add876e8a06419b2cf2,ethereum-metrics-exporter-1-prysm-geth--280fa5f2d7474029adb08f4147e25040,ethereum-metrics-exporter-2-prysm-geth--b19fe24fc7fe491785296987e0c23fc8,ethereum-metrics-exporter-3-prysm-geth--e7f24c930aab4a1091f206957564d040,ethereum-metrics-exporter-4-prysm-geth--37675b0b6aef4b5aabe92019600fa700,ethereum-metrics-exporter-5-prysm-geth--5369079979234001bc12104e5dda672f,grafana--9c652fda54bf416696909af2f2ffed78,helpers-grafana-1,kurtosis-api--ca28a5d8df5d4e1c8bd52a8e36ce8cfa,kurtosis-engine--6fdc57d17383499788d1f083430c337f,kurtosis-logs-aggregator,kurtosis-logs-collector--ca28a5d8df5d4e1c8bd52a8e36ce8cfa,kurtosis-reverse-proxy--6fdc57d17383499788d1f083430c337f,portainer,prometheus,prometheus--62e5e457865142e4a9abd4c8da65381d,validator-key-generation-cl-validator-keystore--9a9533696e4e4b2aa79eedbefcaf4d3b,vc-1-geth-prysm--b7845805ee4c41faa1480aaa19ad47eb,vc-2-geth-prysm--4bb20b6f9f5845bd977fb8b9c32ed18f,vc-3-geth-prysm--4736ff2d86de4a889181350fc17b98c7,vc-4-geth-prysm--92e022d7728547b481f39a856e585cef,vc-5-geth-prysm--ceb1122f96e349d3a7b154544da0152b
1716641915,46.43640722897016,662.43961352657,73981.27032203464,73135.0075656632,76520.19393392716,71042.52608996851,74453.37448007513,346.15980693869415,4983.687548681428,4960.678899897809,5024.835886214441,5474.225444957153,5487.391558412371,7635.3720986942735,5196.22279826606,5180.954847621514,4580.390407138872,4872.892754662841,5920.38579178853,117.98375602361938,255.2579297115846,10.945318084345962,0.0,23191.643577524108,26693.6013785181,9.335373872578774,0.0,56960.12707014552,32964.09824810081,12.361758018586784,2214.595678128511,2092.595845593079,2241.7416060373266,2213.1048926120666,2312.057987618145
1716641930,41.704684544341816,657.5678543011229,63000.6890113798,61996.973908365464,77018.45100480171,70628.85790721448,74837.45880062821,330.27936995080563,5095.862234962036,5143.21517272522,4993.144680946709,5460.550297547157,5818.495167870155,7990.1722664507715,5719.484906984906,5566.537705059763,4918.26342705384,4755.625592312609,6269.3966933099755,129.05151448153882,255.51102204408818,13.635025254241127,0.0,23046.086976004306,26026.47223780146,13.091794793728116,0.0,54130.50907638365,32862.33353911279,13.287130024058092,2389.376101669097,2370.9772951628825,2497.0722186076773,2415.7118768645423,2601.9527751687383
1716641945,36.872077821356555,638.7487386478305,64098.707322113296,62099.00481970724,66440.00906207522,70410.3241138029,65425.33505680658,398.44108207244386,5947.036432843937,5901.175994423583,4241.475326512122,5428.741466043838,5746.596996575042,8284.06137714402,5848.675459361966,6214.565788887404,5196.179247373787,5391.716792790461,6405.89514375453,92.74625267665952,256.3243879259628,10.010617321401487,0.0,19399.509859028265,25555.557953809624,6.959107768390687,1.5422918456826844,52702.24027306703,32741.543932044166,8.591969139049622,2357.9315502375507,2399.7383417965716,2308.6520445277197,2442.183783783784,2557.329399070751
1716641960,39.14675693856737,672.4818511796733,72494.43405467983,73118.66307761328,75979.04231330415,72564.21786912935,71641.60963709764,400.17787659811006,5873.220159385417,5711.149143153108,3766.891510817334,5533.008408527081,6783.498689838973,10581.722398321353,5704.6558253508565,4927.507602157459,5198.753044760777,5203.192808431493,5318.31297056039,88.10891492152517,4.192139737991267,15.189186745626328,0.0,22932.281173046784,24856.29925486912,13.422519509476032,3.030171854032293,53354.70608817355,32765.268725173923,11.674090978912028,2396.5243791915896,2488.6875818734875,2328.797229498735,2466.2470635166883,2539.5909455485253
1716641975,38.391981697352655,655.300764373546,73548.19960949916,74511.97077722031,75808.31155138709,76047.66103687625,74670.94178576986,390.57787036434263,5747.72069781713,5312.780440825618,4192.661569917326,5825.354337619026,6440.262963708325,9200.338997974819,6259.579423554968,6319.138110302413,6536.649273790969,5490.035610802681,5489.731611652197,78.96867955087657,6.510275384648771,15.373803039620485,0.0,23859.21366606454,26186.83204448692,16.836370948576864,4.611431959419399,54866.25250410786,33628.01279452178,11.187214611872147,2209.125900729535,2331.2123019818387,2289.4701691896703,2211.1838588989845,2379.5592705167173
1716641990,42.48077378772538,669.8511137964842,73290.01825258943,74420.12751648545,77590.87162809346,68430.20408163265,75408.22496387684,322.5105826555262,5399.358351596214,5147.537407843652,4205.515018577376,6464.832703662646,6593.797055848972,9443.981872980767,6374.449532239336,6442.465877248485,6536.415977776283,5802.221500788424,5744.043182690787,72.35253535701966,4.226561296145464,19.08483664288635,0.0,23422.82013619976,22549.232362342984,19.10957138126578,3.1049013084941226,54003.1042816914,33141.5897799858,15.424617689832973,2325.4677525863967,2465.0024583202967,2515.414773233538,2426.9799149014043,2385.241257394103
1716642005,58623.52608519634,640.9865685612904,62752.93334812022,72732.34541997247,66479.31497649428,76471.41213435412,66516.54937570942,62534.33100543177,6425.689739161241,5222.017493229144,4115.96561050155,6251.211262455434,6325.210194429847,10753.958114705478,5926.019778889063,6680.820141311154,6641.022268981237,5527.499723787427,5498.301396629438,53.37777873979957,5.86270366078124,16.40540361272635,0.0,22152.172441033745,25137.689720985185,23.198886094143013,3.132832080200501,53799.602078036914,33724.92373537313,13.199149290710167,2999.674937696392,2997.7456660429675,2929.6375266524524,2845.814878423574,3139.778256715622
1716642020,57686.154570895524,677.0210613446152,74601.80904522614,76386.76125088388,76519.8152363101,74181.7680411234,74257.39211507724,63717.11239609686,6245.327950648644,5452.042231467812,4195.932068638061,6310.665088968766,6338.073068366856,10601.046593098616,5267.853109896563,5297.615255085787,5476.957356217874,5390.046348377808,5098.55673743214,20.578948530548256,3.419271011420365,10.132912225292802,0.0,24373.8613084601,28054.10040536326,11.426853104796272,1.5993419850118809,51492.161218660745,33229.33062162879,8.624862486248626,3112.2509191593663,2835.4759208685805,2724.3168453822204,3066.005857175039,3078.1642963655386
1716642035,57682.33595984935,645.2385135728719,75384.17081043357,76236.94070972007,75412.52129099883,75142.08960525732,73043.05008441194,60914.12658665055,5722.512174349791,5271.832884097035,5718.9271121655465,5865.40569586244,6774.433279831137,11950.435203094778,6640.843642263233,6180.841838436395,5886.23670212766,5121.337537774274,5724.427431106858,29.066554673857784,3.3087018859600748,19.691704535329233,180.66242890598863,25566.795062593013,28789.601750156267,18.410889867400847,1.5886344552118559,55017.556544727384,33983.469192586184,15.195238524664083,2974.8417721518986,2632.9350261389095,2645.9288800265867,2757.407487744567,3088.061260006961
1716642050,42.80309695583318,675.4391961173012,76467.14977954337,66947.4895443783,75382.6650430547,65224.99043503701,73571.74518882623,336.31135056491394,4473.995485327313,5046.026102415123,6034.774651109587,6134.104550911274,6874.770205320162,11610.203037783263,5946.421830939006,6195.213451151439,5076.253883710608,5537.350597609561,5721.398281809593,28.19821225563407,0.9246417013407305,23.952362898369724,196.39401990236576,23053.74528550127,26226.144475735153,18.688517406831277,0.0,53410.49815821785,33170.794712049836,11.154186220499218,2447.76756623149,2359.0294704187904,2271.169131033258,2512.850414891231,2654.5212525945312
