timestamp,beacon-metrics-gazer--9494adc28d9a4f3a9ebe5d2f68d76987,cadvisor,cl-1-prysm-geth--4fdf5cfa38d14eb089f45267e1de31ac,cl-2-prysm-geth--a0b305c36eaa42ec929e54f3e183fdf8,cl-3-prysm-geth--316634be263d456891d1bef3c4f95a39,cl-4-prysm-geth--51e00612d88543aeb907bb80ad76aaa7,cl-5-prysm-geth--3806ae07666341aea18cc33d9671db8a,dora--50326b647ce047878a34128a60ffbdc3,el-1-geth-prysm--64bfd2e0b4bf45d690a9a09863350c2b,el-2-geth-prysm--db9cf52bdd334e918f89defbd18585a3,el-3-geth-prysm--da9eaf2b3f8b492ab526185206389baf,el-4-geth-prysm--c9e5d3239aeb45f18101437cca229111,el-5-geth-prysm--2c9145d33b7441c9a46872c52c5bdb14,el-forkmon--1fc4e8413cd24add876e8a06419b2cf2,ethereum-metrics-exporter-1-prysm-geth--280fa5f2d7474029adb08f4147e25040,ethereum-metrics-exporter-2-prysm-geth--b19fe24fc7fe491785296987e0c23fc8,ethereum-metrics-exporter-3-prysm-geth--e7f24c930aab4a1091f206957564d040,ethereum-metrics-exporter-4-prysm-geth--37675b0b6aef4b5aabe92019600fa700,ethereum-metrics-exporter-5-prysm-geth--5369079979234001bc12104e5dda672f,grafana--9c652fda54bf416696909af2f2ffed78,helpers-grafana-1,kurtosis-api--ca28a5d8df5d4e1c8bd52a8e36ce8cfa,kurtosis-engine--6fdc57d17383499788d1f083430c337f,kurtosis-logs-aggregator,kurtosis-logs-collector--ca28a5d8df5d4e1c8bd52a8e36ce8cfa,kurtosis-reverse-proxy--6fdc57d17383499788d1f083430c337f,portainer,prometheus,prometheus--62e5e457865142e4a9abd4c8da65381d,validator-key-generation-cl-validator-keystore--9a9533696e4e4b2aa79eedbefcaf4d3b,vc-1-geth-prysm--b7845805ee4c41faa1480aaa19ad47eb,vc-2-geth-prysm--4bb20b6f9f5845bd977fb8b9c32ed18f,vc-3-geth-prysm--4736ff2d86de4a889181350fc17b98c7,vc-4-geth-prysm--92e022d7728547b481f39a856e585cef,vc-5-geth-prysm--ceb1122f96e349d3a7b154544da0152b
1716641915,13.93318404921852,53079.06154947218,67895.9957240212,68747.82628333975,66698.43274326305,67207.53536391875,70489.55677803121,143.09119489893064,12236.58618003783,12397.987292842225,12415.601750547046,13612.480773456384,13295.725266328045,2423.5518410960117,848.3673513843205,835.7075023741689,854.1885108756273,849.6682209469154,892.1435109731866,104.79400918531255,46.0596926309059,0.0,0.0,459.7583952122354,25720.827110855837,0.0,0.0,743.6406531031744,892.0954131691434,0.0,5121.021212855475,4975.758640375917,5094.852907948845,5200.5168879778985,5367.357729846438
1716641930,13.708690330477353,52454.40279374061,57882.89029160739,58797.67775486416,67514.82749422017,65616.69965417492,71391.75348950384,137.36065351807557,12721.078313384829,12809.370060961843,12046.031781708662,13141.153736357846,13472.15253386854,2617.5055098277335,861.7277992277991,851.7085611775132,849.6960119400366,819.3639389063982,891.5580860615352,123.90006632765864,46.8892330114775,0.0,0.0,409.0695225505792,24649.669097027483,0.0,0.0,727.8194487594869,916.3726960049387,0.0,5380.562748895611,5401.052977953274,5232.270657124268,5424.748151671062,5775.0813656320315
1716641945,12.09865053513262,50956.69536466496,59990.12697173559,59761.58068546947,58245.310376076115,65549.87127863226,62222.985690636546,150.80238422741863,14032.126155519305,14519.641130573606,11170.360876002742,12984.975745598276,13835.118995345569,2688.210435922352,871.24337729681,874.0364478902108,831.7007224857055,819.1147618739624,879.4394781348152,104.70199857244825,49.033805493958454,0.0,0.0,448.5464397328957,20261.25620548241,1.9330854912196351,0.0,711.3785132536887,912.201760354705,0.0,5311.367235614992,5272.058008293235,5119.166758514273,5481.275675675676,5545.614691828332
1716641960,11.848186966994337,53845.122504537205,68774.62374209634,67872.90264692687,67148.03024273776,66503.47686840546,66701.71196649468,155.99777654252364,14359.102849952536,14009.728196005137,10694.384912130303,13231.574787591384,15279.299455779266,3557.2570204026965,861.7955001113833,839.4113599538322,837.6053096158573,818.1516251882028,866.3044948379244,95.3005563345244,4.192139737991267,0.0,0.0,456.01074546675613,23538.448323992357,1.560758082497213,0.0,721.5491602519245,907.6963592073212,0.0,5496.986586913177,5543.173693909723,5425.498379434356,5591.064225876513,5548.257731040015
1716641975,11.896720775683626,52550.34895314058,72015.41570176634,70543.65812868586,70104.72906187538,69078.70401772592,69397.16375113917,153.15843152572535,14068.79547646182,12684.768095957274,11664.303493643878,13964.237131949623,15321.929294962098,3159.8133309852956,879.537769018879,855.14235780811,874.9745883309615,870.0095109597222,865.5414040809133,70.9579986429994,6.510275384648771,0.0,0.0,492.0050846323677,24955.817186549655,1.279637314224083,0.0,725.5047606185427,890.8636302203,0.0,5255.449133956944,5419.168820839133,5362.266251113089,5228.932834491359,5311.527802610406
1716641990,11.761918097412808,54033.402494356924,70890.85831152552,70853.79274204114,71239.90377118926,61743.71882086168,69709.34756029787,132.37738525298641,13497.819751022345,12060.048859224362,11526.94838623036,15395.470895640565,15212.360939431399,3253.062729027082,866.0473676138729,849.8598933381542,873.8266460559624,875.7768296076431,879.418208099013,51.397033459813734,4.226561296145464,0.0,0.0,415.1422085725731,25545.765611633877,0.0,0.0,710.3039978713498,872.2276437189496,0.0,5268.853180717588,5637.040182362669,5756.860910629956,5368.920711900078,5314.824467964554
1716642005,124.60078269083711,51548.27263425996,121375.88998558279,130891.26396083318,62729.7962838594,70278.82019737133,60049.807037457445,233.98736282008647,14406.935033878037,12232.739865914842,11010.53233360452,14940.693847700884,15036.477491679803,3746.0875119770035,877.76108357814,851.06430551829,860.3147466245834,869.7160534747541,866.6429824366633,34.45962033810256,11.861749267162043,0.0,0.0,484.6405597562352,24045.578478596744,0.0,0.0,709.627500829004,881.1410098802531,0.0,5929.829884061112,5868.820307040285,6304.774827162887,5634.796167404863,6156.686737618593
1716642020,172.77452025586354,54448.289340568386,131171.03294249024,134473.14157979973,69705.82853572545,68805.23749641495,68829.75936778546,243.40440910733648,14034.81357162297,13045.564353778016,11506.260904131976,15217.610680717109,14594.477444212554,3643.939393939394,787.524278422693,843.0573886132981,845.5514130027135,859.1549295774648,854.9896279295582,10.289474265274128,9.437187991520208,0.0,0.0,474.2187159482195,26676.9343846051,0.0,0.0,679.1494763567122,870.3024140065435,0.0,6118.4921247333305,5750.0388552143695,5992.260463507436,6139.626041901329,5987.580957468118
1716642035,221.45758874064867,52033.163489414044,132260.40303585448,132638.5276614503,69301.52421714636,68605.41272590027,68787.08713908489,242.98419825576377,13474.876072762212,13330.727762803233,14162.492860594877,14325.846319183234,15162.287548646686,4312.071390891507,899.7949480610199,869.3660640828941,878.5904255319149,863.0490956072351,913.0217282554321,8.929952918812582,9.132017205249806,0.0,79.57382196258074,511.8182614024337,27532.145727297084,0.0,0.0,723.8177011546196,881.9390682635822,1.5781404995941926,6040.641952983725,5522.778192681105,5873.424171928658,5663.723916532906,6022.689697180647
1716642050,157.90515572760864,54006.7901656527,70060.87658794255,62506.826580513814,66914.34722101418,58528.66113024103,69673.7618222115,137.82991202346042,11954.53724604966,12785.41386636604,15141.386410432397,14781.337989741352,15553.500631243218,4137.389641292503,879.7433221573374,861.7821871680716,867.2880603639591,851.457805143064,912.7062597499615,11.948017208711352,0.9246417013407305,0.0,87.15645119994538,424.4364529427243,24577.75012552667,0.0,0.0,708.1652341694439,868.1919812447087,1.5869777142986692,5428.600319079613,5526.013738089963,5063.1854713378625,5646.041713388652,5575.82799386337
