timestamp,grafana--81a33a5722f54249b30578caa32ebc80,prometheus--2942dd1bdfdc41f88a2aeb846aae16e9,dora--4d7cc77d952444a697ee79af58dc0be6,beacon-metrics-gazer--f105b4c4adae460f9731fbe7cf85e3a4,el-forkmon--0894038d70ca4cc987ecd3bfe49abece,vc-5-geth-prysm--c6053b18ff8b4e99a7ee7a2e71ebc9ca,ethereum-metrics-exporter-5-prysm-geth--0222d23491444fe3ad6a89953e159583,vc-4-geth-prysm--1665a1c3348f41a98721f8d3e150174a,ethereum-metrics-exporter-4-prysm-geth--dd985dcaf6a54a67a3d2808bc6cc0fe7,vc-3-geth-prysm--8fffa10211104fe486ec56cbce78551d,ethereum-metrics-exporter-3-prysm-geth--6b0ea84c6dee453eb4d0a713318789fa,vc-2-geth-prysm--7b1511e0db77424fa5fa550f277db570,ethereum-metrics-exporter-2-prysm-geth--aecff8d5e6a945849df594a87319e59e,vc-1-geth-prysm--036595ad51ce4b73a4c1a5db702642f3,ethereum-metrics-exporter-1-prysm-geth--2575e3f1401e49aeaffe147615364717,cl-5-prysm-geth--abf364eeeeac41bda1c8666d04e07f26,cl-4-prysm-geth--ce53e88d97064dfaa56214362322b229,cl-3-prysm-geth--2c16e59f143141d199b6fc7e497b2076,cl-2-prysm-geth--42391a0bf59e4441afed489ad53725d7,cl-1-prysm-geth--2f369daf7f1949e3a3c487306c38ae4a,el-5-geth-prysm--e5611fafa05946cea0ebe682535f8eb4,el-4-geth-prysm--10c4716602ac467aa673b17e3779219f,el-3-geth-prysm--9c8a2d7b327943f591ba90b6ceabeaa8,el-2-geth-prysm--8cae18233a19461dbb9a2f9fcc6f4518,el-1-geth-prysm--4f4dbf40862046afb5be0a2f6c81d4ef,validator-key-generation-cl-validator-keystore--837012a7e7ee4e47b74de6cd7895f8cc,kurtosis-api--8981c0ee694f43b69626ddc6c0967968,kurtosis-logs-collector--8981c0ee694f43b69626ddc6c0967968,kurtosis-engine--6f0478e09b654df8ba6a18eff8df0f95,kurtosis-reverse-proxy--6f0478e09b654df8ba6a18eff8df0f95,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1716907419,81600.0,39600.0,10800.0,5140.0,12800.0,94.2,229.0,274.0,0.0,102.0,0.0,311.0,0.0,6940.0,1430.0,131.0,53.2,111.0,77.8,2640.0,147.0,106.0,20.5,303.0,2530.0,8780.0,31900.0,15100.0,22000.0,58800.0,26800.0,141000.0,253000.0,50100.0,47300.0
1716907434,81600.0,39600.0,10800.0,5140.0,12800.0,102.0,229.0,307.0,0.0,123.0,0.0,315.0,0.0,6940.0,1430.0,168.0,86.0,197.0,123.0,2650.0,147.0,106.0,24.6,303.0,2530.0,8780.0,31900.0,15100.0,22000.0,58800.0,26800.0,141000.0,253000.0,50100.0,47300.0
1716907449,81900.0,39600.0,10800.0,5140.0,12800.0,119.0,307.0,307.0,0.0,135.0,0.0,324.0,0.0,6940.0,1430.0,184.0,102.0,201.0,127.0,2650.0,152.0,111.0,24.6,303.0,2530.0,8780.0,31900.0,15100.0,22000.0,58800.0,26800.0,141000.0,253000.0,50100.0,47300.0
1716907464,81900.0,39600.0,10800.0,5140.0,12800.0,127.0,307.0,311.0,0.0,139.0,0.0,324.0,0.0,7040.0,1430.0,193.0,111.0,209.0,131.0,2650.0,152.0,111.0,24.6,303.0,2530.0,8780.0,31900.0,15100.0,22000.0,58800.0,26800.0,141000.0,253000.0,50100.0,47300.0
1716907479,81900.0,39600.0,10800.0,5140.0,12800.0,147.0,307.0,324.0,0.0,156.0,0.0,324.0,0.0,7040.0,1430.0,193.0,111.0,209.0,131.0,2650.0,152.0,111.0,24.6,303.0,2530.0,8780.0,31900.0,15100.0,22000.0,58800.0,26800.0,141000.0,253000.0,50100.0,47300.0
1716907494,81900.0,39600.0,10800.0,5140.0,12800.0,160.0,307.0,324.0,0.0,164.0,0.0,332.0,0.0,7040.0,1430.0,209.0,123.0,213.0,176.0,2690.0,152.0,111.0,24.6,303.0,2530.0,8780.0,31900.0,15100.0,22900.0,60900.0,26800.0,141000.0,253000.0,50100.0,47300.0
1716907509,81900.0,39600.0,10800.0,5140.0,12800.0,160.0,307.0,344.0,0.0,176.0,0.0,340.0,0.0,7040.0,1430.0,217.0,152.0,246.0,188.0,2700.0,152.0,111.0,24.6,303.0,2530.0,8780.0,31900.0,15100.0,22900.0,60900.0,26800.0,141000.0,253000.0,50100.0,47300.0
1716907524,81900.0,39600.0,10800.0,5140.0,12800.0,164.0,307.0,352.0,0.0,180.0,0.0,344.0,0.0,7040.0,1430.0,270.0,184.0,279.0,242.0,2700.0,152.0,111.0,24.6,303.0,2660.0,8780.0,31900.0,15100.0,22900.0,60900.0,26800.0,141000.0,253000.0,50100.0,47300.0
1716907539,81900.0,39600.0,10800.0,5140.0,12800.0,172.0,307.0,369.0,0.0,188.0,0.0,360.0,0.0,7040.0,1430.0,279.0,193.0,287.0,250.0,2700.0,152.0,111.0,24.6,303.0,2660.0,8780.0,31900.0,15100.0,22900.0,60900.0,26800.0,141000.0,253000.0,50100.0,47300.0
1716907554,81900.0,39600.0,10800.0,5140.0,12800.0,176.0,311.0,381.0,0.0,193.0,0.0,414.0,0.0,7090.0,1430.0,279.0,193.0,336.0,250.0,2700.0,152.0,111.0,28.7,303.0,2660.0,8780.0,31900.0,15100.0,22900.0,60900.0,26800.0,141000.0,253000.0,50100.0,47300.0
1716907569,81900.0,39700.0,10800.0,5140.0,12800.0,176.0,311.0,393.0,0.0,201.0,0.0,434.0,0.0,7110.0,1430.0,279.0,193.0,340.0,311.0,2700.0,152.0,111.0,28.7,303.0,2660.0,8780.0,31900.0,15100.0,22900.0,60900.0,26800.0,141000.0,253000.0,50100.0,47300.0
1716907584,81900.0,39700.0,10800.0,5140.0,12800.0,176.0,311.0,401.0,0.0,205.0,0.0,442.0,0.0,7110.0,1430.0,283.0,197.0,344.0,315.0,2700.0,152.0,111.0,28.7,303.0,2660.0,8780.0,31900.0,15100.0,22900.0,60900.0,26800.0,141000.0,253000.0,50100.0,47300.0
1716907599,81900.0,39700.0,10800.0,5140.0,12800.0,180.0,311.0,410.0,0.0,238.0,0.0,451.0,0.0,7130.0,1430.0,287.0,201.0,348.0,319.0,2710.0,152.0,111.0,28.7,303.0,2660.0,8780.0,31900.0,15100.0,22900.0,60900.0,26800.0,142000.0,253000.0,50100.0,47300.0
1716907614,82000.0,39700.0,10800.0,5140.0,12800.0,184.0,311.0,422.0,41.0,238.0,0.0,459.0,0.0,7130.0,1430.0,287.0,201.0,348.0,319.0,2710.0,152.0,111.0,28.7,303.0,2660.0,8780.0,31900.0,15100.0,22900.0,60900.0,26800.0,142000.0,253000.0,50100.0,47300.0
1716907629,82100.0,39800.0,10800.0,5140.0,12800.0,197.0,311.0,451.0,41.0,238.0,0.0,467.0,0.0,7140.0,1430.0,332.0,209.0,418.0,385.0,2710.0,152.0,111.0,28.7,303.0,2660.0,8780.0,31900.0,15100.0,22900.0,60900.0,26800.0,142000.0,253000.0,50100.0,47300.0
1716907644,82100.0,39800.0,10800.0,5140.0,12800.0,201.0,311.0,455.0,41.0,250.0,0.0,471.0,0.0,7150.0,1430.0,332.0,209.0,418.0,385.0,2710.0,152.0,111.0,28.7,303.0,2660.0,8780.0,31900.0,15100.0,22900.0,60900.0,26800.0,142000.0,253000.0,50100.0,47300.0
