timestamp,beacon-metrics-gazer--f105b4c4adae460f9731fbe7cf85e3a4,cadvisor,cl-1-prysm-geth--2f369daf7f1949e3a3c487306c38ae4a,cl-2-prysm-geth--42391a0bf59e4441afed489ad53725d7,cl-3-prysm-geth--2c16e59f143141d199b6fc7e497b2076,cl-4-prysm-geth--ce53e88d97064dfaa56214362322b229,cl-5-prysm-geth--abf364eeeeac41bda1c8666d04e07f26,dora--4d7cc77d952444a697ee79af58dc0be6,el-1-geth-prysm--4f4dbf40862046afb5be0a2f6c81d4ef,el-2-geth-prysm--8cae18233a19461dbb9a2f9fcc6f4518,el-3-geth-prysm--9c8a2d7b327943f591ba90b6ceabeaa8,el-4-geth-prysm--10c4716602ac467aa673b17e3779219f,el-5-geth-prysm--e5611fafa05946cea0ebe682535f8eb4,el-forkmon--0894038d70ca4cc987ecd3bfe49abece,ethereum-metrics-exporter-1-prysm-geth--2575e3f1401e49aeaffe147615364717,ethereum-metrics-exporter-2-prysm-geth--aecff8d5e6a945849df594a87319e59e,ethereum-metrics-exporter-3-prysm-geth--6b0ea84c6dee453eb4d0a713318789fa,ethereum-metrics-exporter-4-prysm-geth--dd985dcaf6a54a67a3d2808bc6cc0fe7,ethereum-metrics-exporter-5-prysm-geth--0222d23491444fe3ad6a89953e159583,grafana--81a33a5722f54249b30578caa32ebc80,helpers-grafana-1,kurtosis-api--8981c0ee694f43b69626ddc6c0967968,kurtosis-engine--6f0478e09b654df8ba6a18eff8df0f95,kurtosis-logs-aggregator,kurtosis-logs-collector--8981c0ee694f43b69626ddc6c0967968,kurtosis-reverse-proxy--6f0478e09b654df8ba6a18eff8df0f95,portainer,prometheus,prometheus--2942dd1bdfdc41f88a2aeb846aae16e9,validator-key-generation-cl-validator-keystore--837012a7e7ee4e47b74de6cd7895f8cc,vc-1-geth-prysm--036595ad51ce4b73a4c1a5db702642f3,vc-2-geth-prysm--7b1511e0db77424fa5fa550f277db570,vc-3-geth-prysm--8fffa10211104fe486ec56cbce78551d,vc-4-geth-prysm--1665a1c3348f41a98721f8d3e150174a,vc-5-geth-prysm--c6053b18ff8b4e99a7ee7a2e71ebc9ca
1716907419,8609792.0,250183680.0,239845376.0,261410816.0,247578624.0,221622272.0,253853696.0,44179456.0,46268416.0,43941888.0,42659840.0,42512384.0,42471424.0,32358400.0,9781248.0,8785920.0,8912896.0,9383936.0,8904704.0,154275840.0,61464576.0,70868992.0,35336192.0,49967104.0,19935232.0,81575936.0,17408000.0,1029718016.0,106373120.0,24174592.0,31432704.0,25706496.0,25436160.0,26013696.0,26079232.0
1716907434,8609792.0,250183680.0,239845376.0,263942144.0,248725504.0,242569216.0,256126976.0,44265472.0,46542848.0,44310528.0,42659840.0,43315200.0,42741760.0,33193984.0,9895936.0,8941568.0,8732672.0,8638464.0,8904704.0,155009024.0,61464576.0,70868992.0,35336192.0,49967104.0,19935232.0,81575936.0,17408000.0,1029787648.0,106373120.0,24174592.0,32092160.0,25853952.0,25468928.0,25784320.0,26087424.0
1716907449,8609792.0,250470400.0,240013312.0,263942144.0,248967168.0,248999936.0,256962560.0,44265472.0,47300608.0,44310528.0,43646976.0,42942464.0,43978752.0,34095104.0,9895936.0,9072640.0,8732672.0,8896512.0,9220096.0,155283456.0,59703296.0,70868992.0,35336192.0,50397184.0,19939328.0,81575936.0,15052800.0,1088897024.0,105242624.0,24174592.0,32108544.0,25886720.0,25468928.0,25907200.0,26087424.0
1716907464,8609792.0,250769408.0,268308480.0,262615040.0,247504896.0,248999936.0,278913024.0,44269568.0,47280128.0,44716032.0,43966464.0,42942464.0,43978752.0,34095104.0,10063872.0,8110080.0,8876032.0,8839168.0,8949760.0,155283456.0,59703296.0,70868992.0,35336192.0,50769920.0,19939328.0,81575936.0,15052800.0,917868544.0,105500672.0,24174592.0,32108544.0,25886720.0,26034176.0,26198016.0,26116096.0
1716907479,8605696.0,250855424.0,268308480.0,280408064.0,249757696.0,253415424.0,278913024.0,44298240.0,47280128.0,44736512.0,44060672.0,44331008.0,44163072.0,32747520.0,10063872.0,8110080.0,8876032.0,8839168.0,8949760.0,155312128.0,59703296.0,70868992.0,36028416.0,50806784.0,19931136.0,81575936.0,15052800.0,917925888.0,105500672.0,24174592.0,32239616.0,25903104.0,26570752.0,25989120.0,26243072.0
1716907494,8605696.0,251170816.0,268431360.0,280408064.0,258510848.0,269099008.0,283500544.0,44318720.0,47304704.0,44703744.0,44744704.0,44331008.0,44941312.0,34508800.0,10383360.0,8949760.0,8876032.0,9162752.0,9539584.0,155328512.0,59703296.0,70901760.0,36028416.0,51625984.0,19939328.0,81575936.0,15052800.0,917925888.0,105713664.0,24174592.0,33071104.0,26316800.0,27693056.0,26030080.0,26337280.0
1716907509,8605696.0,253968384.0,298254336.0,282406912.0,258510848.0,270430208.0,283500544.0,47312896.0,48353280.0,45375488.0,45150208.0,44728320.0,44941312.0,33370112.0,10719232.0,9433088.0,9584640.0,9564160.0,8716288.0,155328512.0,59703296.0,70901760.0,36028416.0,52314112.0,19939328.0,90472448.0,15052800.0,917975040.0,105713664.0,24174592.0,33071104.0,26316800.0,27693056.0,25645056.0,26365952.0
1716907524,8605696.0,253964288.0,298360832.0,299270144.0,260284416.0,273231872.0,296726528.0,47411200.0,48619520.0,45547520.0,45150208.0,45088768.0,45350912.0,33280000.0,10719232.0,9027584.0,9834496.0,9564160.0,8716288.0,155992064.0,59863040.0,70901760.0,36028416.0,52207616.0,19939328.0,90472448.0,15052800.0,918028288.0,105824256.0,24174592.0,33353728.0,26746880.0,27430912.0,25673728.0,26865664.0
1716907539,8605696.0,253964288.0,298360832.0,299270144.0,261246976.0,273231872.0,296726528.0,43573248.0,49606656.0,45547520.0,45023232.0,45789184.0,45686784.0,33460224.0,9920512.0,9027584.0,9392128.0,10571776.0,9564160.0,156000256.0,59863040.0,70942720.0,37564416.0,53010432.0,19947520.0,90472448.0,15052800.0,918134784.0,106053632.0,24174592.0,35340288.0,26746880.0,27430912.0,25673728.0,26918912.0
1716907554,8605696.0,253968384.0,300601344.0,298004480.0,261246976.0,310915072.0,299757568.0,43786240.0,49606656.0,46518272.0,45178880.0,45719552.0,45760512.0,33042432.0,9920512.0,8060928.0,8810496.0,8192000.0,9285632.0,156008448.0,59863040.0,70942720.0,37564416.0,53481472.0,20062208.0,90562560.0,14725120.0,918134784.0,104583168.0,24174592.0,35340288.0,26775552.0,27475968.0,25722880.0,26918912.0
