timestamp,beacon-metrics-gazer--f105b4c4adae460f9731fbe7cf85e3a4,cadvisor,cl-1-prysm-geth--2f369daf7f1949e3a3c487306c38ae4a,cl-2-prysm-geth--42391a0bf59e4441afed489ad53725d7,cl-3-prysm-geth--2c16e59f143141d199b6fc7e497b2076,cl-4-prysm-geth--ce53e88d97064dfaa56214362322b229,cl-5-prysm-geth--abf364eeeeac41bda1c8666d04e07f26,dora--4d7cc77d952444a697ee79af58dc0be6,el-1-geth-prysm--4f4dbf40862046afb5be0a2f6c81d4ef,el-2-geth-prysm--8cae18233a19461dbb9a2f9fcc6f4518,el-3-geth-prysm--9c8a2d7b327943f591ba90b6ceabeaa8,el-4-geth-prysm--10c4716602ac467aa673b17e3779219f,el-5-geth-prysm--e5611fafa05946cea0ebe682535f8eb4,el-forkmon--0894038d70ca4cc987ecd3bfe49abece,ethereum-metrics-exporter-1-prysm-geth--2575e3f1401e49aeaffe147615364717,ethereum-metrics-exporter-2-prysm-geth--aecff8d5e6a945849df594a87319e59e,ethereum-metrics-exporter-3-prysm-geth--6b0ea84c6dee453eb4d0a713318789fa,ethereum-metrics-exporter-4-prysm-geth--dd985dcaf6a54a67a3d2808bc6cc0fe7,ethereum-metrics-exporter-5-prysm-geth--0222d23491444fe3ad6a89953e159583,grafana--81a33a5722f54249b30578caa32ebc80,helpers-grafana-1,kurtosis-api--8981c0ee694f43b69626ddc6c0967968,kurtosis-engine--6f0478e09b654df8ba6a18eff8df0f95,kurtosis-logs-aggregator,kurtosis-logs-collector--8981c0ee694f43b69626ddc6c0967968,kurtosis-reverse-proxy--6f0478e09b654df8ba6a18eff8df0f95,portainer,prometheus,prometheus--2942dd1bdfdc41f88a2aeb846aae16e9,validator-key-generation-cl-validator-keystore--837012a7e7ee4e47b74de6cd7895f8cc,vc-1-geth-prysm--036595ad51ce4b73a4c1a5db702642f3,vc-2-geth-prysm--7b1511e0db77424fa5fa550f277db570,vc-3-geth-prysm--8fffa10211104fe486ec56cbce78551d,vc-4-geth-prysm--1665a1c3348f41a98721f8d3e150174a,vc-5-geth-prysm--c6053b18ff8b4e99a7ee7a2e71ebc9ca
1716907419,109.81888155562682,53141.18163254974,129620.3070513111,114912.73078029547,59253.59581096308,66418.23648664041,67264.61166244764,310.4184457728437,13813.746029600596,12321.244229426095,13326.453991080369,12872.121728982449,11987.676525446308,3768.299763297753,824.231631710856,847.3190826818903,817.755757900375,847.1229827490262,887.7575757575758,0.0,0.0,2.416376126203873,0.0,524.1418789493384,23255.667054923397,0.0,0.0,714.0862201000044,865.8125652121855,0.0,5820.020957274203,5824.561995746548,6160.553942372124,5974.41642699485,5872.882933184441
1716907434,143.78936358882245,52161.70818976941,129620.3070513111,131665.0003392974,69203.12499999999,63725.364145421336,67403.21461350763,260.3631068844701,12782.254175617027,12277.481123733081,13326.453991080369,12910.761242219485,11947.417883420818,3910.865742080541,851.5631978561858,837.4644851572451,904.5563128712004,806.0532420192201,899.8218445936686,0.0,0.0,1.5689438766361843,1.6812096689638079,590.6956014947376,29347.425333029347,0.0,0.0,730.5112139393805,872.5258393568871,1.189505165851006,6091.943589630056,5944.337769045281,5870.911440414856,6408.199111818122,5775.515008828723
1716907449,164.07250185297485,52899.596909640575,131913.05983359888,131665.0003392974,78700.66872941412,69885.12653280025,72680.21906199995,260.3631068844701,13387.335104127142,12614.964996817893,13006.762553620994,12856.266447930551,11902.996470747932,5024.237756535133,851.6707137727009,845.1614350781933,950.4214508528573,864.9914821124361,888.7835114400392,0.0,0.0,1.5348184529029993,1.3234814638096064,518.6866530327887,25331.497245868803,0.0,0.0,743.6289615151038,904.5849230364427,1.591523997908283,5276.00185058712,5436.059986366736,5690.009647692871,6048.264352469961,5666.387846452954
1716907464,161.22503447355544,52757.97913921336,68851.18803768946,57396.50872817955,72806.81537944176,61592.0849357394,69421.07316742158,148.84454014695763,12642.948073701842,12786.505824353215,13228.647090372753,13045.615468409585,12216.086788770113,4695.445436945963,864.1917293233083,855.4208662489785,886.6443731659047,848.9924412046937,881.0660034950934,1.5729630128982968,0.0,1.578603161716618,0.0,448.0685539952443,25331.497245868803,0.0,0.0,730.6769654796943,902.3669962861873,1.1872657270306486,4988.153567353514,5436.059986366736,5410.28932556532,5490.526245313337,5872.094819785021
1716907479,158.436282508075,51679.531357684355,59500.00000000001,68603.03555745717,60432.46842607595,61056.628956400156,62602.8909591221,179.62166039089115,12977.1543759449,13650.773082667134,13242.355605889015,12497.49269758725,13609.04156693524,4799.1880480675545,882.9363725289475,865.8941534797444,886.6443731659047,879.628578563807,849.9576342992714,1.182033096926714,0.0,1.1864808976575476,0.0,476.3319469201822,21090.29370755184,1.548980991790401,0.0,690.8871938980328,761.5604290026704,0.0,5589.664575343073,5067.5203467799,5488.441295996091,5209.601743345712,5584.487350199734
1716907494,158.09059696533393,51941.70423309511,68672.27471254123,64982.34494000632,67084.45290918137,73400.16906720422,69046.93361052108,175.47711535213645,12202.030823830963,13679.273552780933,13667.764152528136,12764.859379530299,15617.599083013709,3552.2108140754635,892.1355856359771,846.6963937539208,873.6230952818065,853.20125552668,845.671054417153,1.5465853604648594,0.0,1.1995750077115537,0.0,488.39847834308466,24245.500456072437,2.8371668862093427,0.0,683.8593447654633,868.0778491171749,0.0,5695.131755247878,5216.251748723222,5292.691833660474,5449.194916187581,5348.1237264464135
1716907509,120.20412975376428,52997.526668237035,68668.25982685013,66355.85752245132,59040.54419552232,69950.61076414402,73735.86495046839,53069.245576117784,13565.934673477965,13988.433864568622,13751.228418158047,13758.876237957285,14421.165061711648,4916.829240946294,878.0574025755409,871.361879872233,894.2477950724295,853.3030379533789,860.6412691319406,0.0,0.0,1.17426021606388,0.0,492.8226499966925,24796.12432589675,114.51820498449352,0.0,680.9279514729133,864.6579179183701,0.0,5553.615363586659,5416.996596513161,5292.691833660474,5049.521551359133,5135.345997286296
1716907524,106.62662752392265,53613.15247544972,59366.28104412397,58651.33124080862,67361.1279767928,64771.19986518369,60739.66400845724,52785.861843099716,14733.718523236506,13550.472368154045,13094.553757303067,13321.888219889428,13572.118296211564,4774.829584185412,894.2278117630977,876.3374485596709,870.7178827089402,864.0740106218949,892.1369230238892,0.0,0.0,0.0,0.0,481.47647376960526,24796.12432589675,113.54358103667352,0.0,688.4552845528455,874.8958298609955,0.0,5534.685183321592,5381.710483884655,5537.052976220613,5387.591277804947,5446.084691219287
1716907539,120.42927290214807,54003.748314401295,59366.28104412397,58799.08206603645,68578.8835573163,55410.83455997145,60739.664008457235,87328.94228994311,15420.559342421815,14185.012489592009,11210.725947425706,13486.060825488777,12741.808916048436,5930.656499463839,876.377543318181,876.3374485596709,880.8043325644368,835.4427588639973,872.0145206631693,0.0,0.0,66.91194397038942,66.3270504330107,483.587191474388,21108.476173382394,159.6121501865672,0.0,730.9623906374276,889.090256287507,0.0,5630.614838511768,5223.009408632477,5373.806320349162,5167.74369090538,5490.958989000288
1716907554,159.87186953989516,52858.427720446336,67284.03338957463,68398.07930607187,73629.89104365106,64803.79105135552,73895.79003821143,74378.57142857143,15890.47810007575,12874.042457598563,13651.39318885449,13447.04324801412,12245.851707050962,5193.735949833512,859.1711687969428,865.3946680606377,884.621365262012,813.4017938385546,877.5352221706147,0.0,0.0,103.60684992621572,49.740245385210564,473.0668104901234,23315.610992663722,4.10666285423815,0.0,730.9623906374276,877.588899703479,0.0,5767.703574307981,5529.747323915305,5524.541710945803,5513.161131611316,5983.545150501672
