timestamp,beacon-metrics-gazer--2b532c65542b49af8a577a2e4cc703dc,cadvisor,cl-1-lighthouse-geth--f1b6a7e23fde416abcf8ae7b2fd8bfcf,cl-2-lighthouse-geth--d4e8bc4b810c45d8ba27af41e7f3a254,cl-3-lighthouse-geth--7bf1d58c403c42aab8058786c63bd915,cl-4-lighthouse-geth--bc5dc8b2680d45128dae60b6cf9d1170,cl-5-lighthouse-geth--55326f7a353246b0a8b010691ef29506,dora--8975b56d1fa64122a26798324a883fdb,el-1-geth-lighthouse--3a206e2f8d344038a2c57690b25e2253,el-2-geth-lighthouse--57b91914600844d2a4d3df60120f29e2,el-3-geth-lighthouse--560a46ec7aed44e3981b7cb4a4c7567d,el-4-geth-lighthouse--ef00419e71df4b5697918ace32a8fcab,el-5-geth-lighthouse--8e9fe02e04754795baa98a36c53fa90a,el-forkmon--9b3c8a98abac4b0f9d5447b68cd35a38,ethereum-metrics-exporter-1-lighthouse-geth--54f86d1694044be68d52c0a40cef2cb6,ethereum-metrics-exporter-2-lighthouse-geth--41334489f20a41f7af3c173f5da99706,ethereum-metrics-exporter-3-lighthouse-geth--1ffc74243e5c4d84aea1fa28cc1d8e3c,ethereum-metrics-exporter-4-lighthouse-geth--3e01a429001e47edadc902db280bef71,ethereum-metrics-exporter-5-lighthouse-geth--79bfddb14d0043b99dcf3b938647b58e,grafana,grafana--68034e5f1f434158b0ed30861e348183,kurtosis-api--06caa2bc713a4c3996fcf6b19c5fef43,kurtosis-engine--1cfa7bb487cd419db0f48556625aa3bb,kurtosis-logs-aggregator,kurtosis-logs-collector--06caa2bc713a4c3996fcf6b19c5fef43,kurtosis-reverse-proxy--1cfa7bb487cd419db0f48556625aa3bb,portainer,prometheus,prometheus--c2ea8c1670de45899ee65fdb189a6e04,validator-key-generation-cl-validator-keystore--753b76e9cb714564a051955f20862c0c,vc-1-lighthouse-geth--5eab6e70605248e094481e2a4f743494,vc-2-lighthouse-geth--b97784b9fd4847b0a3e0dddb896b0eff,vc-3-lighthouse-geth--13275fdcf9184bf08ad30c2fd1d44bef,vc-4-lighthouse-geth--a3101570a8094675a9a33d3c43ba229a,vc-5-lighthouse-geth--1ffcaca25cac48599e1b27e8b6b82ead
1714021729,13258752.0,253194240.0,155516928.0,122114048.0,127799296.0,125894656.0,125288448.0,25825280.0,105172992.0,87408640.0,92823552.0,94269440.0,92815360.0,32698368.0,18157568.0,10149888.0,10006528.0,10678272.0,9801728.0,48144384.0,97882112.0,18419712.0,21417984.0,8323072.0,3739648.0,27742208.0,12623872.0,765276160.0,121442304.0,5042176.0,32333824.0,30597120.0,30842880.0,31420416.0,31735808.0
1714021744,13258752.0,253128704.0,142483456.0,121331712.0,126988288.0,131600384.0,124895232.0,25829376.0,105193472.0,87310336.0,92397568.0,93958144.0,92270592.0,32526336.0,18173952.0,9007104.0,9052160.0,10866688.0,9969664.0,48148480.0,97882112.0,18419712.0,21417984.0,8286208.0,3342336.0,27766784.0,12623872.0,765280256.0,121446400.0,5042176.0,32321536.0,30588928.0,30650368.0,31576064.0,31543296.0
1714021759,13258752.0,253116416.0,144019456.0,123539456.0,126357504.0,124809216.0,128532480.0,25829376.0,105320448.0,87261184.0,92413952.0,94142464.0,92286976.0,31539200.0,18546688.0,9408512.0,9584640.0,10993664.0,9330688.0,48148480.0,97882112.0,18419712.0,21417984.0,8323072.0,3231744.0,27766784.0,12623872.0,765280256.0,121454592.0,5042176.0,32190464.0,30703616.0,30765056.0,31277056.0,31367168.0
1714021774,13258752.0,253104128.0,153210880.0,126038016.0,124608512.0,121593856.0,126279680.0,25907200.0,105312256.0,87433216.0,92520448.0,93966336.0,92360704.0,33927168.0,18661376.0,9965568.0,9613312.0,9261056.0,9666560.0,48148480.0,97882112.0,18419712.0,21417984.0,8318976.0,3231744.0,27766784.0,12623872.0,765280256.0,121520128.0,5042176.0,32497664.0,30441472.0,30785536.0,31416320.0,31653888.0
1714021789,13258752.0,253100032.0,144465920.0,125472768.0,127676416.0,125829120.0,126717952.0,25915392.0,105283584.0,87699456.0,93941760.0,93962240.0,92332032.0,31965184.0,17592320.0,10559488.0,9449472.0,10104832.0,9875456.0,48148480.0,97882112.0,18419712.0,21549056.0,8339456.0,3252224.0,27766784.0,14913536.0,765280256.0,119033856.0,5042176.0,32276480.0,30756864.0,30756864.0,31358976.0,31711232.0
1714021804,13258752.0,253034496.0,143388672.0,122216448.0,126377984.0,120582144.0,123330560.0,23842816.0,105431040.0,87334912.0,93958144.0,93990912.0,92729344.0,31633408.0,18325504.0,8642560.0,9719808.0,11001856.0,10653696.0,48750592.0,97927168.0,18419712.0,21549056.0,8323072.0,3235840.0,27766784.0,14913536.0,752545792.0,119054336.0,5042176.0,32276480.0,30875648.0,30785536.0,31404032.0,31866880.0
1714021819,13258752.0,252956672.0,143867904.0,118996992.0,126701568.0,131244032.0,123568128.0,23851008.0,105467904.0,87293952.0,93945856.0,94507008.0,92643328.0,31780864.0,17289216.0,9850880.0,9674752.0,8966144.0,10969088.0,48750592.0,97927168.0,18419712.0,21245952.0,8327168.0,3231744.0,27766784.0,14913536.0,744251392.0,119058432.0,5042176.0,32284672.0,30904320.0,30744576.0,31449088.0,31903744.0
1714021834,13258752.0,252923904.0,149741568.0,118022144.0,121413632.0,125812736.0,125992960.0,23973888.0,105492480.0,87310336.0,94236672.0,94253056.0,92508160.0,32444416.0,14245888.0,10792960.0,9457664.0,9428992.0,11333632.0,48750592.0,97992704.0,18419712.0,21245952.0,8216576.0,3231744.0,27766784.0,14946304.0,744513536.0,119537664.0,5058560.0,32288768.0,30588928.0,30838784.0,31277056.0,31723520.0
1714021849,13262848.0,252608512.0,141742080.0,118972416.0,126562304.0,135188480.0,124260352.0,24219648.0,97206272.0,87793664.0,94179328.0,94146560.0,92962816.0,32403456.0,14000128.0,10469376.0,9940992.0,9728000.0,9637888.0,48750592.0,98344960.0,18419712.0,18960384.0,8253440.0,3293184.0,26386432.0,14946304.0,744259584.0,119439360.0,5185536.0,32272384.0,30744576.0,30748672.0,31776768.0,31657984.0
1714021864,13262848.0,230912000.0,143626240.0,118513664.0,123158528.0,123641856.0,124555264.0,23326720.0,97239040.0,87420928.0,94044160.0,94216192.0,92442624.0,33087488.0,13864960.0,8982528.0,10178560.0,9830400.0,9629696.0,48750592.0,96768000.0,18419712.0,18960384.0,8171520.0,3235840.0,22564864.0,14946304.0,744259584.0,120254464.0,5185536.0,32182272.0,30941184.0,30830592.0,31305728.0,31813632.0
