timestamp,beacon-metrics-gazer--2b532c65542b49af8a577a2e4cc703dc,cadvisor,cl-1-lighthouse-geth--f1b6a7e23fde416abcf8ae7b2fd8bfcf,cl-2-lighthouse-geth--d4e8bc4b810c45d8ba27af41e7f3a254,cl-3-lighthouse-geth--7bf1d58c403c42aab8058786c63bd915,cl-4-lighthouse-geth--bc5dc8b2680d45128dae60b6cf9d1170,cl-5-lighthouse-geth--55326f7a353246b0a8b010691ef29506,dora--8975b56d1fa64122a26798324a883fdb,el-1-geth-lighthouse--3a206e2f8d344038a2c57690b25e2253,el-2-geth-lighthouse--57b91914600844d2a4d3df60120f29e2,el-3-geth-lighthouse--560a46ec7aed44e3981b7cb4a4c7567d,el-4-geth-lighthouse--ef00419e71df4b5697918ace32a8fcab,el-5-geth-lighthouse--8e9fe02e04754795baa98a36c53fa90a,el-forkmon--9b3c8a98abac4b0f9d5447b68cd35a38,ethereum-metrics-exporter-1-lighthouse-geth--54f86d1694044be68d52c0a40cef2cb6,ethereum-metrics-exporter-2-lighthouse-geth--41334489f20a41f7af3c173f5da99706,ethereum-metrics-exporter-3-lighthouse-geth--1ffc74243e5c4d84aea1fa28cc1d8e3c,ethereum-metrics-exporter-4-lighthouse-geth--3e01a429001e47edadc902db280bef71,ethereum-metrics-exporter-5-lighthouse-geth--79bfddb14d0043b99dcf3b938647b58e,grafana,grafana--68034e5f1f434158b0ed30861e348183,kurtosis-api--06caa2bc713a4c3996fcf6b19c5fef43,kurtosis-engine--1cfa7bb487cd419db0f48556625aa3bb,kurtosis-logs-aggregator,kurtosis-logs-collector--06caa2bc713a4c3996fcf6b19c5fef43,kurtosis-reverse-proxy--1cfa7bb487cd419db0f48556625aa3bb,portainer,prometheus,prometheus--c2ea8c1670de45899ee65fdb189a6e04,validator-key-generation-cl-validator-keystore--753b76e9cb714564a051955f20862c0c,vc-1-lighthouse-geth--5eab6e70605248e094481e2a4f743494,vc-2-lighthouse-geth--b97784b9fd4847b0a3e0dddb896b0eff,vc-3-lighthouse-geth--13275fdcf9184bf08ad30c2fd1d44bef,vc-4-lighthouse-geth--a3101570a8094675a9a33d3c43ba229a,vc-5-lighthouse-geth--1ffcaca25cac48599e1b27e8b6b82ead
1714021729,28.646067921808843,829.4117647058823,720197.7542666696,780819.3256725459,782557.0897503983,810492.6582505149,807338.3983756165,338.2882487265062,9428.384926869205,9255.115901044333,9655.001703190643,10329.296463253268,9956.637129320934,33923.50230414746,1363.1256720282636,1464.2330801496428,1362.1045312318925,1405.4955315459517,1406.0054515079576,6.611133148221605,0.0,1.5449469200379617,0.0,4728.7763076103365,5302.548619127963,1.5875535799333227,1.5895724050230489,69968.91816456402,255198.0977956809,0.0,2590.13295538908,2572.7675716207573,2530.8008677573894,2703.4720190814783,2450.8620111357086
1714021744,28.50420168067227,839.5527445222499,706951.3894976769,767055.4870801602,768674.7179827472,790626.6237395756,789993.645447401,344.13064447385534,9912.720070422536,9376.4049995504,9474.145157732186,9716.491429581198,10786.398701674041,33958.90838554325,1499.9556482015346,1577.3623400527797,1474.7476935071686,1485.7833284401183,1429.3101877164208,3.3356312126131336,0.0,0.0,0.0,5118.745861021672,6070.575340014317,0.0,0.0,70742.76686978109,244324.2156997841,0.0,2472.6157888974053,2489.908093553197,2345.143555284056,2526.9333929369686,2313.0711525346665
1714021759,27.868457375720265,807.5845195729538,706314.7120972002,770563.1555456371,775347.7265791884,794986.4112422112,792032.9818263407,260.63087991145545,10485.967073580468,10161.9143016138,8898.957225904229,9961.900732592576,10693.53625624917,34708.330546824494,1471.4664370992953,1518.7624750499003,1425.0253739905565,1514.7678358824069,1493.3231247325875,3.3436615322886247,0.0,0.0,0.0,5264.873675631622,5501.134231994067,0.0,0.0,72190.1724654033,250773.32377351928,0.0,2365.442571715593,2307.692307692308,2360.855380765105,2276.4920557212163,2642.7751921203594
1714021774,28.334669874365144,820.1931168888692,718126.0056042664,785256.7259255913,789240.1014643146,808945.3681185055,815521.0870770937,344.5760156111407,9962.940268700073,10566.448753462604,9634.491432164754,11838.165404643338,10667.16850798149,35114.32076734329,1391.6468423178778,1585.0228190275582,1443.525397373877,1456.6993644959148,1510.5577689243028,0.0,0.0,0.0,0.0,5198.961821082672,5861.349720276639,0.0,0.0,69698.52172946537,250512.4333537278,0.0,2510.7936988136657,2694.5175586600976,2517.139866544551,2576.400217509516,2627.4457783378657
1714021789,28.683534027871733,815.04958367383,718575.2293169472,794603.354194971,795154.3102499174,818220.4124755134,831195.9485001446,339.97223997003675,9784.502584420612,10279.377312635474,9166.026235590301,13264.483006008431,10326.27012786446,34505.13520540822,1292.336632776459,1535.586681572083,1426.1333214349456,1452.4027559741846,1394.5073257298677,0.0,0.0,0.0,0.0,4959.2683139788705,5232.267621827186,0.0,0.0,71714.25956434193,260310.40900145465,0.0,2583.7051801852817,2628.409731558177,2464.6767289930162,2508.0102210865457,2692.8296232876714
1714021804,28.508673629476892,841.0022271714922,705031.5280128455,768165.4384830855,773661.0240196724,796423.7344879922,803950.1997624447,335.8337644421452,9060.091559624872,9566.95820331385,9287.096065069245,12681.712364200725,9409.704831010937,35701.753231079805,1558.0921591638805,1920.4019744560285,1780.2926532298393,1694.4892587246325,1731.5595420341106,0.0,0.0,0.0,0.0,5237.675940361433,5933.691128148959,0.0,0.0,68925.9088210068,255401.4871553674,0.0,2390.507891720307,2513.4516937152816,2224.1390959663067,2404.9658994032397,2224.984280966496
1714021819,28.271064387793654,850.8123071337811,703141.5715157326,763920.3733730664,767573.1029825059,787364.4024458032,785260.1989595692,261.8097884546432,10277.893866179094,9374.13085726625,10134.058375577839,11499.738048461035,10019.983742040373,35499.59021696933,1746.5390607611841,1889.1586306111901,1726.0406370126304,1724.256243213898,1707.9377052089806,0.0,0.0,0.0,0.0,5054.783122769372,5671.228538466758,0.0,0.0,70555.55055167754,244570.60094717,0.0,2348.89208503753,2399.9366687777074,2268.6137575581783,2651.7738653454835,2441.943101812002
1714021834,28.16651904340124,837.8217033695939,711410.7696516505,763965.9924625917,772047.9529820344,797818.7343344497,790272.6288202041,259.82067557370505,10647.88173867066,10108.667962727091,10627.908509656581,10594.74638482289,9804.283506292779,36901.61021654637,1647.351209941138,1776.3240999729314,1607.266474620933,1608.1352112676057,1718.8517778127175,1.5583259127337488,0.0,0.0,0.0,5173.175595438148,5594.832120627685,0.0,0.0,68218.44734150218,243786.361763494,0.0,2672.1652191034586,2703.014638711259,2516.947459545848,2629.3409085904295,2580.8594791574087
1714021849,28.150935044815757,824.315252416756,705950.8714148485,767289.7839569276,763366.0563505468,799788.6706258565,788476.5373426015,378.89666454603287,10955.921390171541,9292.588619194494,10293.025986047456,10400.658591627134,10007.715417178753,28676.733806103723,1878.6189573877407,1934.932834629507,1826.7864509327587,1856.88629475811,1790.2615785301778,1.5746260263187495,0.0,0.0,0.0,4794.5674452127305,5478.82911109122,0.0,0.0,69644.61230837592,255095.0907078146,0.0,2681.0383544417496,2557.911285794498,2533.9981275446885,2665.7894736842104,2539.42173843591
1714021864,28.945281522601107,774.0626207962891,685822.8467654419,741169.4376305988,750550.2681405274,775740.8967601067,776332.0814176865,384.18685358113197,11151.636444051304,10203.663020086084,10474.108070661587,10658.42372918349,9943.5198646039,38567.17994829718,1798.536175482045,1928.8878221213645,1886.9415574123136,1883.726066120448,1908.242850588775,1.5797075284347355,249.1140020691629,0.9391981037143048,0.0,5455.240077958894,6055.309783206778,0.8815010703941568,0.0,68601.73737992604,265775.2212779075,0.9735067102426813,2417.8563437010516,2498.2480878519846,2361.266539398328,2222.7321572490373,2398.3077546244203
