timestamp,beacon-metrics-gazer--2b532c65542b49af8a577a2e4cc703dc,cadvisor,cl-1-lighthouse-geth--f1b6a7e23fde416abcf8ae7b2fd8bfcf,cl-2-lighthouse-geth--d4e8bc4b810c45d8ba27af41e7f3a254,cl-3-lighthouse-geth--7bf1d58c403c42aab8058786c63bd915,cl-4-lighthouse-geth--bc5dc8b2680d45128dae60b6cf9d1170,cl-5-lighthouse-geth--55326f7a353246b0a8b010691ef29506,dora--8975b56d1fa64122a26798324a883fdb,el-1-geth-lighthouse--3a206e2f8d344038a2c57690b25e2253,el-2-geth-lighthouse--57b91914600844d2a4d3df60120f29e2,el-3-geth-lighthouse--560a46ec7aed44e3981b7cb4a4c7567d,el-4-geth-lighthouse--ef00419e71df4b5697918ace32a8fcab,el-5-geth-lighthouse--8e9fe02e04754795baa98a36c53fa90a,el-forkmon--9b3c8a98abac4b0f9d5447b68cd35a38,ethereum-metrics-exporter-1-lighthouse-geth--54f86d1694044be68d52c0a40cef2cb6,ethereum-metrics-exporter-2-lighthouse-geth--41334489f20a41f7af3c173f5da99706,ethereum-metrics-exporter-3-lighthouse-geth--1ffc74243e5c4d84aea1fa28cc1d8e3c,ethereum-metrics-exporter-4-lighthouse-geth--3e01a429001e47edadc902db280bef71,ethereum-metrics-exporter-5-lighthouse-geth--79bfddb14d0043b99dcf3b938647b58e,grafana,grafana--68034e5f1f434158b0ed30861e348183,kurtosis-api--06caa2bc713a4c3996fcf6b19c5fef43,kurtosis-engine--1cfa7bb487cd419db0f48556625aa3bb,kurtosis-logs-aggregator,kurtosis-logs-collector--06caa2bc713a4c3996fcf6b19c5fef43,kurtosis-reverse-proxy--1cfa7bb487cd419db0f48556625aa3bb,portainer,prometheus,prometheus--c2ea8c1670de45899ee65fdb189a6e04,validator-key-generation-cl-validator-keystore--753b76e9cb714564a051955f20862c0c,vc-1-lighthouse-geth--5eab6e70605248e094481e2a4f743494,vc-2-lighthouse-geth--b97784b9fd4847b0a3e0dddb896b0eff,vc-3-lighthouse-geth--13275fdcf9184bf08ad30c2fd1d44bef,vc-4-lighthouse-geth--a3101570a8094675a9a33d3c43ba229a,vc-5-lighthouse-geth--1ffcaca25cac48599e1b27e8b6b82ead
1714022141,167.08185053380785,67204.47473375115,678001.1525423729,867631.6868302029,882945.2630160371,846080.5031167506,843764.9887003147,106.42525943916979,25846.715328467155,26719.5852836957,27141.660580609823,27438.010492064546,26051.72186594044,17663.219512195123,743.5560291083856,721.5008171017182,726.0232462500811,719.5896323413102,718.9591078066913,0.0,0.0,0.0,0.0,504.70125750017235,5251.280093424362,0.0,0.0,865.4776901146987,1208.249090173878,0.0,9130.707333196562,8978.25155104343,9309.827524254402,9436.151538717919,7413.350803392869
1714022156,162.83001690727014,68680.52011995882,652869.2281841604,868441.4866790923,850203.6558303402,821085.8184600843,823235.2410698573,104.32900432900432,27551.62267796759,26396.836555360278,27319.780170680486,26654.201036085113,28048.198636806235,18298.111530770937,736.222326895902,722.3069611159008,721.8973801105974,713.1574183036117,718.1269275878547,0.0,0.0,0.0,0.0,535.3776715783885,5899.8374912157415,0.0,0.0,910.1614304659989,1235.1227726827935,0.0,9356.087108623402,9749.149149149147,10101.236203090508,9619.56714171904,9529.211199265623
1714022171,167.14133143467424,67624.46838985478,653688.1818596795,840321.190411823,857594.1219015056,820840.28558966,822405.8693494541,83.60644920044871,24350.121852152715,23429.929374139385,24714.473944265104,25850.003314111487,24960.668526104764,14223.794168407665,718.9955322754582,715.8766867997396,718.6300240765243,714.2244298938813,731.0416619520695,0.0,0.0,0.0,0.0,480.2191927292168,5523.983145208829,0.0,0.0,943.7946794796673,1246.2494217170047,0.0,9390.206254753703,9457.266553853591,9943.79457917261,9455.530963458152,9637.639950239914
1714022186,166.62230503060954,68628.87427881389,659347.3666159352,879864.2066742181,862188.6771548858,836855.309403415,837719.8758602078,102.62934690415608,26106.828266772634,24602.027344536687,27356.618129345403,25029.823818963407,28179.943937064836,18731.163244489777,711.5489634985473,698.7039593818199,704.7322058589216,686.2115127175367,719.2994243992026,0.0,0.0,0.0,0.0,472.6994200678411,5544.5093195598465,0.0,0.0,891.1738574555226,1241.9160069770562,0.0,9602.182368193606,9634.586532521402,9785.137353617161,9118.85632209704,9611.556839648849
1714022201,170.88650788234492,67605.73998148393,668655.309156162,879437.0432889856,876617.2976260291,845359.8459845985,848637.4595905172,107.91151623967038,25808.299513891987,27003.01177329561,28543.676372527225,27279.70411465557,28530.43556475006,19601.7674675504,723.6882750099289,727.4256615440574,726.0689963157307,696.6884531590413,718.9988368971997,0.0,0.0,0.0,0.0,480.79846652125053,5269.026144537049,0.0,0.0,870.7540085692831,1227.710736860717,0.0,9488.483220294196,9370.38286009757,9522.424269402836,9530.306770494377,7864.483856298317
1714022216,171.55385036996435,69098.90283191025,663918.8845529881,869113.4860050891,864655.5264109987,836053.1169791621,832275.4659292733,102.82536151279197,27533.647144848383,27256.929948600548,28058.85018921797,23885.894103160488,29009.9979409275,19086.509188684697,717.6067998675351,725.2104719407381,718.262882036621,695.0023250149466,707.4937382945596,1.5633025883824283,0.0,0.0,0.0,521.1543110837601,5955.111831730448,0.0,1.5542085747907368,875.5505883899808,1200.7766816944159,0.0,9530.11778404765,9756.574121412854,9530.439374271193,9597.589781724335,7627.696029026405
1714022231,170.28607698236388,67535.97692544806,659418.2200841852,865624.1686648872,869424.2018944044,833588.4697603991,836714.4508922726,81.99960482118158,26146.525613449805,27725.359331719344,25501.117053686274,23615.12217816079,24768.881911739056,14597.561522255592,730.0421596627227,732.3362208987547,707.0213182084882,683.7333681189668,707.2779879813041,48.571555713777144,0.0,0.0,0.0,516.002435888761,5622.96432830966,0.0,1.6233766233766236,932.6145552560647,1210.9842545767726,0.0,9397.84398795821,9647.646629673027,9497.577355599124,9546.28978371725,10998.611412453894
1714022246,165.75829122443125,68228.7607864069,674997.4328638079,883176.8944989033,883933.698005698,852091.9598656296,846967.7140960388,97.3116894271236,27564.92637215529,27939.271706186486,25744.677481390983,25422.12977252902,26974.067611777537,16022.056041485832,726.8071876000183,707.4817959830169,700.5169142184127,696.848605939515,711.1613876319759,48.862924165099834,0.0,0.0,0.0,503.78737541528244,5776.100105189341,0.0,1.586797841954935,931.8567473430384,1171.8301649928264,0.0,9284.233066606559,9597.415259040925,9100.28109941103,9137.017377706321,10920.039058261906
1714022261,165.18966465090708,66876.2508993394,667854.4552914229,886166.2802539491,878739.888194673,838674.0696543799,850043.6838249983,105.11234421904848,26757.06403239443,30829.169113010197,27588.499316984322,28419.936349676183,27250.38242401401,19434.456267384874,721.715841829271,698.5292481587788,694.8880383617087,689.8731398972828,702.1464592043446,50.127367371801974,0.0,0.0,0.0,512.2590179351112,5179.575251436781,0.0,0.0,901.9581545064377,1214.4391355805901,0.0,9518.330440744789,9029.41708497264,9486.87442258726,9305.420685068177,11524.331193444492
1714022276,167.5364646059146,68632.51879699249,657641.4696317131,860939.2924702661,857308.8990112208,829154.8115328371,824934.4620303038,100.496888849098,27657.74588056431,30150.521207764203,28928.966147419713,29276.683844543964,29373.041110933176,19827.412749287752,718.1304684904197,704.1197663750085,716.8238889988345,708.1964301571795,712.685375313712,3.4029038112522687,0.0,0.0,0.0,535.296949538273,6073.35150600374,0.0,0.0,872.5623384022089,1214.3889049407687,0.0,9813.370286761583,9714.945049923459,9707.12824686036,9379.411164751478,9854.96183206107
