timestamp,grafana--1ff3f43a3c5348d1a32767d7ef644730,prometheus--291616b49c7c4dd9975fa8c327850266,dora--50338aa5c86f4e1088b54d531458cb5c,beacon-metrics-gazer--2e73ea7fb1874fd8b436af91913745ba,el-forkmon--859f24661976422b88d3ea4e7dc0a5b1,vc-5-geth-prysm--0238c08c9e1640198876ec491e0ba143,ethereum-metrics-exporter-5-prysm-geth--007c8e624aed4ce28bf9c5ab5cfb9bcd,vc-4-geth-prysm--67a52ac5076f45759cf64d4b32736d10,ethereum-metrics-exporter-4-prysm-geth--f5e454b870f84fb3bb90d571b0e5fddb,vc-3-geth-prysm--4f92e7bb2774425d97385751e7ac7fd5,ethereum-metrics-exporter-3-prysm-geth--14553e8704fe4f588c6ebe6c60c3bb3c,vc-2-geth-prysm--54eed6dc08414c9094e7d83c0b4848b3,ethereum-metrics-exporter-2-prysm-geth--eebf0494ed2b4ffe809e8e18f2b6ff5c,vc-1-geth-prysm--e2d8cc641b774641ae660e47d66e2d95,ethereum-metrics-exporter-1-prysm-geth--68c760dc3a2b407eac3ad660140b2fb5,cl-5-prysm-geth--35bff00d19094189b4dbdae477ab6f99,cl-4-prysm-geth--64071cb6e4054ffca85d81f074644614,cl-3-prysm-geth--c5da3216a2444ecdad99225fc6af6f9a,cl-2-prysm-geth--3508a78ec3024129abece8254db0f89f,cl-1-prysm-geth--913e0bc7a60d440abdf9d9adaf488ba6,el-5-geth-prysm--544096fccb4c4445b21b436f761030ed,el-4-geth-prysm--17f6a66db4264f1d95ad120eb10637b9,el-3-geth-prysm--a47af41839d74b6ea9dacee9e9bfbc09,el-2-geth-prysm--d57c1c890acc4d029b174f70e79f513d,el-1-geth-prysm--d9774c61647d428abe16ff93a7d1794c,validator-key-generation-cl-validator-keystore--62e032cb716e4c63a63448512b3df6d3,kurtosis-api--370b2d3d7fb440e4802a4d67666a056f,kurtosis-logs-collector--370b2d3d7fb440e4802a4d67666a056f,kurtosis-engine--0d03c887a3884be3a71cebaef692f0cc,kurtosis-reverse-proxy--0d03c887a3884be3a71cebaef692f0cc,kurtosis-logs-aggregator,grafana,prometheus,cadvisor,portainer
1716571600,124000.0,39600.0,21200.0,13500.0,17500.0,1160.0,479.0,434.0,762.0,1180.0,549.0,881.0,106.0,12500.0,2940.0,1350.0,1850.0,1580.0,1540.0,20900.0,2640.0,1590.0,918.0,553.0,9550.0,8790.0,40400.0,16100.000000000002,43600.0,107000.0,36600.0,889000.0,1740000.0,441000.0,389000.0
1716571615,124000.0,39600.0,21200.0,13500.0,17500.0,1160.0,479.0,434.0,762.0,1220.0,549.0,954.0,106.0,12600.0,2940.0,1360.0,1850.0,1580.0,1550.0,20900.0,2640.0,1590.0,958.0,553.0,9550.0,8790.0,40400.0,16200.0,43600.0,107000.0,36600.0,889000.0,1740000.0,441000.0,389000.0
1716571630,124000.0,39700.0,21200.0,13500.0,17500.0,1160.0,479.0,438.0,762.0,1230.0,549.0,958.0,369.0,12600.0,2940.0,1370.0,1850.0,1590.0,1560.0,20900.0,2640.0,1590.0,967.0,553.0,9550.0,8790.0,40400.0,16200.0,44000.0,107000.0,36600.0,889000.0,1740000.0,441000.0,389000.0
1716571645,124000.0,39700.0,21200.0,13500.0,17700.0,1180.0,479.0,463.0,762.0,1230.0,549.0,967.0,369.0,12600.0,2940.0,1370.0,1860.0,1610.0,1560.0,21000.0,2640.0,1590.0,967.0,553.0,9550.0,8790.0,40400.0,16200.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571660,124000.0,39700.0,21200.0,13500.0,17800.0,1180.0,504.0,471.0,762.0,1240.0,680.0,971.0,369.0,12600.0,2940.0,1370.0,1860.0,1670.0,1560.0,21000.0,2640.0,1590.0,967.0,553.0,9550.0,8790.0,40400.0,16200.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571675,124000.0,39700.0,21200.0,13500.0,17800.0,1180.0,504.0,479.0,762.0,1780.0,680.0,1040.0,369.0,12700.0,3030.0,1370.0,1860.0,1670.0,1560.0,21000.0,2640.0,1590.0,967.0,553.0,9550.0,8790.0,40400.0,16200.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571690,124000.0,39700.0,21200.0,13500.0,17900.0,1230.0,504.0,492.0,762.0,1780.0,680.0,1050.0,369.0,12700.0,3030.0,1370.0,1860.0,1670.0,1560.0,21000.0,2640.0,1590.0,967.0,553.0,9550.0,8790.0,40400.0,16200.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571705,124000.0,39700.0,21200.0,13500.0,17900.0,1230.0,504.0,508.0,762.0,1830.0,721.0,1050.0,369.0,12800.0,3030.0,1370.0,1860.0,1670.0,1560.0,21000.0,2640.0,1590.0,967.0,553.0,9550.0,8790.0,40400.0,16200.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571720,124000.0,39700.0,21200.0,13500.0,17900.0,1230.0,557.0,512.0,762.0,1840.0,721.0,1110.0,369.0,12800.0,3030.0,1370.0,1860.0,1670.0,1560.0,21000.0,2640.0,1590.0,967.0,766.0,9550.0,8790.0,40400.0,16200.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571735,124000.0,39700.0,21200.0,13500.0,17900.0,1240.0,557.0,520.0,762.0,1840.0,721.0,1120.0,369.0,12900.0,3030.0,1370.0,1860.0,1750.0,1560.0,21000.0,2640.0,1590.0,967.0,766.0,9550.0,8790.0,40400.0,16200.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571750,124000.0,39700.0,21200.0,13500.0,18200.0,1240.0,557.0,528.0,762.0,1860.0,721.0,1130.0,369.0,12900.0,3030.0,1370.0,1860.0,1750.0,1560.0,21000.0,2780.0,1590.0,995.0,766.0,9550.0,8790.0,40400.0,16200.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571765,124000.0,39700.0,21500.0,13500.0,18200.0,1240.0,557.0,541.0,762.0,1940.0,721.0,1140.0,369.0,12900.0,3030.0,1370.0,1860.0,1750.0,1560.0,21000.0,2780.0,1610.0,995.0,774.0,9550.0,8790.0,40400.0,16200.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571780,124000.0,39700.0,22000.0,13700.0,18300.0,1320.0,557.0,541.0,762.0,1950.0,721.0,1170.0,369.0,13400.0,3030.0,1400.0,1860.0,1750.0,1600.0,21200.0,2780.0,1610.0,999.0,795.0,9560.0,8790.0,40400.0,16200.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571795,124000.0,39700.0,22000.0,13700.0,18300.0,1440.0,557.0,541.0,762.0,1950.0,721.0,1170.0,369.0,13400.0,3030.0,1400.0,1860.0,1790.0,1600.0,21200.0,2780.0,1610.0,999.0,795.0,9560.0,8790.0,40400.0,16200.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571810,124000.0,39700.0,22000.0,13700.0,18400.0,1440.0,557.0,541.0,762.0,1950.0,721.0,1170.0,369.0,13400.0,3030.0,1400.0,1860.0,1790.0,1600.0,21200.0,2780.0,1610.0,999.0,795.0,9560.0,8790.0,40400.0,16200.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571825,124000.0,39700.0,22000.0,13700.0,18400.0,1440.0,557.0,541.0,762.0,1950.0,721.0,1170.0,369.0,13400.0,3030.0,1460.0,1860.0,1790.0,1670.0,21200.0,2780.0,1610.0,999.0,795.0,9560.0,8790.0,40400.0,16200.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571840,124000.0,39700.0,22000.0,13700.0,18400.0,1440.0,557.0,541.0,762.0,2020.0,721.0,1170.0,369.0,13400.0,3030.0,1460.0,1860.0,1790.0,1670.0,21200.0,2780.0,1640.0,999.0,926.0,9560.0,8790.0,40400.0,16300.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571855,124000.0,39700.0,22000.0,13700.0,18400.0,1440.0,557.0,541.0,762.0,2029.9999999999998,721.0,1170.0,369.0,13400.0,3030.0,1460.0,1860.0,1790.0,1670.0,21200.0,2780.0,1640.0,999.0,926.0,9560.0,8790.0,40400.0,16300.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571870,125000.0,39700.0,22000.0,13700.0,18400.0,1440.0,557.0,541.0,762.0,2029.9999999999998,721.0,1240.0,369.0,13400.0,3030.0,1470.0,1880.0,1790.0,1670.0,21200.0,2780.0,1640.0,1010.0,926.0,9560.0,8790.0,40400.0,16300.0,44000.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571885,125000.0,39700.0,22000.0,13700.0,18500.0,1460.0,557.0,541.0,762.0,2029.9999999999998,721.0,1240.0,369.0,13400.0,3030.0,1470.0,1880.0,1790.0,1670.0,21200.0,2780.0,1640.0,1010.0,926.0,9560.0,8790.0,40400.0,16300.0,44100.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571900,125000.0,39700.0,22000.0,13700.0,18600.0,1460.0,557.0,541.0,762.0,2029.9999999999998,721.0,1240.0,369.0,13400.0,3030.0,1470.0,1880.0,1790.0,1720.0,21300.0,2780.0,1640.0,1010.0,926.0,9560.0,8790.0,40400.0,16300.0,44100.0,107000.0,36600.0,889000.0,1740000.0,442000.0,389000.0
1716571915,125000.0,39700.0,22000.0,13700.0,18600.0,1460.0,557.0,541.0,762.0,2029.9999999999998,721.0,1240.0,463.0,13400.0,3030.0,1580.0,1880.0,1790.0,1720.0,21300.0,2780.0,1640.0,1010.0,926.0,9560.0,8790.0,40400.0,16300.0,44100.0,107000.0,36600.0,889000.0,1740000.0,443000.0,389000.0
1716571930,125000.0,39700.0,22100.0,13700.0,18600.0,1460.0,557.0,541.0,762.0,2029.9999999999998,721.0,1240.0,463.0,13400.0,3030.0,1590.0,1890.0,1790.0,1780.0,21300.0,2780.0,1640.0,1010.0,930.0,9560.0,8790.0,40400.0,16300.0,44100.0,107000.0,36600.0,889000.0,1740000.0,443000.0,389000.0
1716571945,125000.0,39700.0,22100.0,13700.0,18700.0,1460.0,557.0,541.0,762.0,2029.9999999999998,721.0,1240.0,463.0,13400.0,3030.0,1590.0,1890.0,1790.0,1780.0,21500.0,2780.0,1690.0,1010.0,930.0,9560.0,8790.0,40400.0,16300.0,44100.0,107000.0,36600.0,889000.0,1740000.0,443000.0,389000.0
1716571960,125000.0,39700.0,22100.0,13700.0,18700.0,1460.0,557.0,635.0,762.0,2240.0,721.0,1240.0,463.0,13400.0,3160.0,1590.0,1890.0,1790.0,1820.0,21500.0,2780.0,1690.0,1010.0,930.0,9570.0,8790.0,40400.0,16300.0,44100.0,107000.0,36600.0,889000.0,1740000.0,443000.0,389000.0
1716571975,125000.0,39700.0,22100.0,13700.0,18700.0,1460.0,557.0,635.0,762.0,2240.0,721.0,1240.0,463.0,13500.0,3160.0,1600.0,1890.0,1790.0,1830.0,21500.0,2780.0,1690.0,1010.0,930.0,9570.0,8790.0,40400.0,16300.0,44100.0,107000.0,36600.0,889000.0,1740000.0,443000.0,389000.0
1716571990,125000.0,39700.0,22100.0,13700.0,18700.0,1460.0,557.0,635.0,762.0,2240.0,721.0,1240.0,463.0,13500.0,3160.0,1600.0,1890.0,1790.0,1830.0,21500.0,2780.0,1690.0,1010.0,930.0,9820.0,8790.0,40400.0,16300.0,44100.0,107000.0,36600.0,889000.0,1740000.0,443000.0,389000.0
