timestamp,beacon-metrics-gazer--2e73ea7fb1874fd8b436af91913745ba,cadvisor,cl-1-prysm-geth--913e0bc7a60d440abdf9d9adaf488ba6,cl-2-prysm-geth--3508a78ec3024129abece8254db0f89f,cl-3-prysm-geth--c5da3216a2444ecdad99225fc6af6f9a,cl-4-prysm-geth--64071cb6e4054ffca85d81f074644614,cl-5-prysm-geth--35bff00d19094189b4dbdae477ab6f99,dora--50338aa5c86f4e1088b54d531458cb5c,el-1-geth-prysm--d9774c61647d428abe16ff93a7d1794c,el-2-geth-prysm--d57c1c890acc4d029b174f70e79f513d,el-3-geth-prysm--a47af41839d74b6ea9dacee9e9bfbc09,el-4-geth-prysm--17f6a66db4264f1d95ad120eb10637b9,el-5-geth-prysm--544096fccb4c4445b21b436f761030ed,el-forkmon--859f24661976422b88d3ea4e7dc0a5b1,ethereum-metrics-exporter-1-prysm-geth--68c760dc3a2b407eac3ad660140b2fb5,ethereum-metrics-exporter-2-prysm-geth--eebf0494ed2b4ffe809e8e18f2b6ff5c,ethereum-metrics-exporter-3-prysm-geth--14553e8704fe4f588c6ebe6c60c3bb3c,ethereum-metrics-exporter-4-prysm-geth--f5e454b870f84fb3bb90d571b0e5fddb,ethereum-metrics-exporter-5-prysm-geth--007c8e624aed4ce28bf9c5ab5cfb9bcd,grafana,grafana--1ff3f43a3c5348d1a32767d7ef644730,kurtosis-api--370b2d3d7fb440e4802a4d67666a056f,kurtosis-engine--0d03c887a3884be3a71cebaef692f0cc,kurtosis-logs-aggregator,kurtosis-logs-collector--370b2d3d7fb440e4802a4d67666a056f,kurtosis-reverse-proxy--0d03c887a3884be3a71cebaef692f0cc,portainer,prometheus,prometheus--291616b49c7c4dd9975fa8c327850266,validator-key-generation-cl-validator-keystore--62e032cb716e4c63a63448512b3df6d3,vc-1-geth-prysm--e2d8cc641b774641ae660e47d66e2d95,vc-2-geth-prysm--54eed6dc08414c9094e7d83c0b4848b3,vc-3-geth-prysm--4f92e7bb2774425d97385751e7ac7fd5,vc-4-geth-prysm--67a52ac5076f45759cf64d4b32736d10,vc-5-geth-prysm--0238c08c9e1640198876ec491e0ba143
1716571600,7188480.0,216956928.0,337739776.0,317407232.0,269246464.0,311308288.0,334823424.0,27074560.0,48873472.0,46563328.0,48443392.0,48214016.0,49414144.0,23044096.0,8957952.0,8781824.0,10739712.0,9240576.0,10780672.0,47554560.0,85815296.0,32243712.0,16240640.0,9293824.0,5361664.0,30060544.0,18231296.0,847003648.0,64823296.0,15917056.0,28557312.0,26927104.0,26279936.0,25788416.0,27611136.0
1716571615,7188480.0,216629248.0,337747968.0,321986560.0,278949888.0,313319424.0,345567232.0,27078656.0,49598464.0,47292416.0,48889856.0,49131520.0,50008064.0,23367680.0,9568256.0,8695808.0,9318400.0,9285632.0,8777728.0,47554560.0,85823488.0,32243712.0,16240640.0,9846784.0,5328896.0,30060544.0,18231296.0,651173888.0,65503232.0,15917056.0,29827072.0,27000832.0,26550272.0,25800704.0,27631616.0
1716571630,7188480.0,216842240.0,337756160.0,326979584.0,318287872.0,336203776.0,348823552.0,27164672.0,50077696.0,47763456.0,48766976.0,49229824.0,50057216.0,23187456.0,9703424.0,8749056.0,9555968.0,9043968.0,9654272.0,47554560.0,85876736.0,32243712.0,16240640.0,9900032.0,5324800.0,30064640.0,18231296.0,651841536.0,65810432.0,15917056.0,29839360.0,27000832.0,26910720.0,26832896.0,28606464.0
1716571645,7192576.0,216436736.0,338149376.0,326332416.0,328052736.0,354398208.0,358420480.0,27262976.0,51154944.0,47828992.0,49770496.0,49430528.0,50257920.0,21295104.0,8953856.0,9351168.0,9793536.0,9637888.0,9572352.0,48214016.0,85876736.0,32243712.0,16666624.0,10211328.0,5332992.0,33296384.0,17842176.0,710090752.0,65871872.0,7249920.0,30883840.0,27013120.0,27983872.0,26845184.0,28647424.0
1716571660,7270400.0,216260608.0,338264064.0,326369280.0,330493952.0,354447360.0,358711296.0,27394048.0,52785152.0,49242112.0,49831936.0,50110464.0,51392512.0,22245376.0,10108928.0,9068544.0,9277440.0,9695232.0,10059776.0,48246784.0,85909504.0,31526912.0,16154624.0,9777152.0,5341184.0,34430976.0,17842176.0,757878784.0,65589248.0,7249920.0,32100352.0,27021312.0,28012544.0,26857472.0,26116096.0
1716571675,7270400.0,214949888.0,338276352.0,326643712.0,341700608.0,354476032.0,358461440.0,27422720.0,52457472.0,48656384.0,49868800.0,50409472.0,51441664.0,28364800.0,9805824.0,9154560.0,9551872.0,8974336.0,9510912.0,48246784.0,85917696.0,31526912.0,16154624.0,9572352.0,5361664.0,34430976.0,17842176.0,759336960.0,65585152.0,7249920.0,32137216.0,27025408.0,26644480.0,26877952.0,26128384.0
1716571690,7270400.0,196804608.0,325111808.0,333082624.0,357003264.0,356646912.0,358772736.0,24600576.0,52858880.0,48693248.0,50561024.0,50651136.0,51998720.0,25866240.0,10125312.0,9830400.0,9654272.0,9662464.0,9326592.0,48246784.0,86188032.0,31526912.0,16154624.0,10018816.0,5324800.0,34430976.0,17842176.0,759341056.0,65589248.0,7249920.0,32501760.0,27111424.0,27181056.0,25923584.0,27086848.0
1716571705,7270400.0,193765376.0,325128192.0,333099008.0,357052416.0,359403520.0,376037376.0,24621056.0,53673984.0,49467392.0,50647040.0,50827264.0,52875264.0,26710016.0,9854976.0,9633792.0,9506816.0,9621504.0,9207808.0,48250880.0,85929984.0,31526912.0,16154624.0,10420224.0,5337088.0,34430976.0,17842176.0,759349248.0,65622016.0,7249920.0,32509952.0,28045312.0,27181056.0,25939968.0,27181056.0
1716571720,7368704.0,196108288.0,325132288.0,333148160.0,357232640.0,359165952.0,376389632.0,24670208.0,54583296.0,49315840.0,51363840.0,51097600.0,52908032.0,27516928.0,10158080.0,9388032.0,9707520.0,9609216.0,9334784.0,48263168.0,85942272.0,31248384.0,15577088.0,10166272.0,5332992.0,36216832.0,17842176.0,760090624.0,65581056.0,7249920.0,33824768.0,28160000.0,27189248.0,26255360.0,26275840.0
1716571735,7368704.0,195997696.0,325140480.0,333185024.0,398024704.0,359202816.0,376168448.0,24686592.0,54603776.0,49545216.0,51474432.0,51171328.0,53186560.0,25645056.0,10878976.0,9084928.0,9846784.0,10203136.0,9101312.0,48263168.0,85942272.0,31248384.0,15577088.0,9547776.0,5337088.0,36216832.0,15613952.0,751046656.0,65622016.0,7249920.0,33931264.0,28164096.0,27238400.0,26406912.0,26284032.0
1716571750,7385088.0,209854464.0,325140480.0,340729856.0,398221312.0,363495424.0,376201216.0,24731648.0,55848960.0,50089984.0,51671040.0,51425280.0,53604352.0,26517504.0,11157504.0,9187328.0,9695232.0,9728000.0,10014720.0,47738880.0,85950464.0,30875648.0,15577088.0,9744384.0,5332992.0,36216832.0,15613952.0,751046656.0,65601536.0,7249920.0,34856960.0,28721152.0,27312128.0,26550272.0,27770880.0
1716571765,7385088.0,208449536.0,332492800.0,340750336.0,398245888.0,365850624.0,372781056.0,24772608.0,56610816.0,49909760.0,51691520.0,52584448.0,53878784.0,25772032.0,10178560.0,9093120.0,9211904.0,9953280.0,9609216.0,47738880.0,85950464.0,30875648.0,15826944.0,10240000.0,5349376.0,36446208.0,15613952.0,751046656.0,65593344.0,7249920.0,33857536.0,28753920.0,26689536.0,28520448.0,27815936.0
1716571780,7385088.0,201588736.0,332509184.0,340783104.0,398368768.0,365871104.0,373075968.0,24784896.0,56565760.0,50196480.0,52187136.0,53174272.0,54038528.0,26714112.0,10424320.0,9764864.0,9854976.0,9371648.0,9183232.0,47738880.0,85962752.0,30486528.0,15826944.0,10178560.0,5537792.0,36446208.0,15613952.0,751046656.0,65847296.0,7249920.0,33873920.0,28418048.0,26710016.0,28528640.0,27283456.0
1716571795,7385088.0,198631424.0,334655488.0,341872640.0,398417920.0,365907968.0,372834304.0,25059328.0,56242176.0,50933760.0,52805632.0,52629504.0,54484992.0,26972160.0,10444800.0,8941568.0,9310208.0,9842688.0,9539584.0,47738880.0,85966848.0,30486528.0,15826944.0,10133504.0,5337088.0,36446208.0,15613952.0,751050752.0,65609728.0,7249920.0,33746944.0,28426240.0,26779648.0,25399296.0,27303936.0
1716571810,7385088.0,196022272.0,341069824.0,351469568.0,398700544.0,369127424.0,373288960.0,24932352.0,57262080.0,50647040.0,52858880.0,52973568.0,55021568.0,24915968.0,10342400.0,8867840.0,10305536.0,10342400.0,8908800.0,47738880.0,85970944.0,30486528.0,15826944.0,10113024.0,5337088.0,36446208.0,15613952.0,751054848.0,65617920.0,7249920.0,33751040.0,27406336.0,26800128.0,25411584.0,26996736.0
1716571825,7503872.0,196116480.0,363577344.0,351305728.0,398745600.0,377298944.0,372142080.0,39727104.0,57143296.0,51052544.0,52994048.0,53702656.0,55033856.0,26193920.0,10551296.0,9424896.0,9678848.0,9822208.0,9629696.0,45961216.0,85966848.0,30461952.0,16056320.0,10756096.0,5345280.0,36446208.0,15613952.0,751075328.0,65699840.0,7249920.0,33796096.0,27435008.0,26804224.0,26087424.0,27209728.0
1716571840,7503872.0,196276224.0,363335680.0,351318016.0,398831616.0,377593856.0,372183040.0,39768064.0,57274368.0,52871168.0,53993472.0,53383168.0,55144448.0,25714688.0,10514432.0,9621504.0,8925184.0,9297920.0,9478144.0,45957120.0,85979136.0,30461952.0,16056320.0,10612736.0,5533696.0,36446208.0,15613952.0,751083520.0,65703936.0,7249920.0,33800192.0,27451392.0,28110848.0,26554368.0,26308608.0
1716571855,7503872.0,197820416.0,363601920.0,351612928.0,398835712.0,377348096.0,372183040.0,39841792.0,58241024.0,53202944.0,53964800.0,53383168.0,56721408.0,27217920.0,10043392.0,9875456.0,9543680.0,9875456.0,9682944.0,45961216.0,85975040.0,30461952.0,16056320.0,10338304.0,5341184.0,36446208.0,15646720.0,751083520.0,65794048.0,7249920.0,34246656.0,27463680.0,28291072.0,26562560.0,26324992.0
1716571870,7503872.0,197451776.0,379920384.0,360284160.0,379400192.0,379498496.0,372539392.0,39854080.0,58810368.0,53161984.0,54075392.0,54788096.0,56733696.0,26808320.0,10498048.0,8712192.0,9846784.0,9510912.0,9236480.0,45961216.0,85991424.0,30461952.0,16089088.0,11108352.0,5337088.0,36446208.0,17793024.0,751083520.0,65847296.0,7249920.0,34525184.0,27463680.0,27549696.0,25362432.0,26333184.0
1716571885,7503872.0,196931584.0,379985920.0,360140800.0,379441152.0,376598528.0,374444032.0,39878656.0,58687488.0,53710848.0,55566336.0,54603776.0,57307136.0,28610560.0,10551296.0,9019392.0,10297344.0,10190848.0,9441280.0,45961216.0,85983232.0,30461952.0,16089088.0,10735616.0,5337088.0,36446208.0,17793024.0,751091712.0,65884160.0,7249920.0,35233792.0,27480064.0,27836416.0,25378816.0,26587136.0
1716571900,7233536.0,198340608.0,379994112.0,360243200.0,379445248.0,376635392.0,374497280.0,39964672.0,59363328.0,53735424.0,55480320.0,54710272.0,57507840.0,28569600.0,9490432.0,9072640.0,10059776.0,9523200.0,9814016.0,41877504.0,86884352.0,30072832.0,16486400.0,10178560.0,5255168.0,36446208.0,17793024.0,810143744.0,65998848.0,7249920.0,35246080.0,27492352.0,27246592.0,26025984.0,26624000.0
1716571915,7233536.0,222965760.0,379998208.0,360194048.0,379486208.0,375787520.0,374185984.0,39976960.0,62128128.0,53698560.0,55238656.0,55984128.0,57516032.0,26976256.0,9469952.0,9117696.0,10326016.0,9797632.0,9101312.0,42844160.0,129691648.0,18653184.0,16486400.0,9621504.0,5201920.0,37384192.0,17334272.0,810147840.0,63098880.0,7249920.0,35790848.0,27762688.0,27529216.0,26095616.0,26636288.0
1716571930,7233536.0,230621184.0,387719168.0,362868736.0,379768832.0,375545856.0,383827968.0,40017920.0,62402560.0,54530048.0,55881728.0,56127488.0,57602048.0,25821184.0,9854976.0,9588736.0,10190848.0,9375744.0,9785344.0,42844160.0,129691648.0,18653184.0,14086144.0,9093120.0,5185536.0,37384192.0,17334272.0,810151936.0,63107072.0,7249920.0,35274752.0,27574272.0,27901952.0,24895488.0,26255360.0
