timestamp,beacon-metrics-gazer--2e73ea7fb1874fd8b436af91913745ba,cadvisor,cl-1-prysm-geth--913e0bc7a60d440abdf9d9adaf488ba6,cl-2-prysm-geth--3508a78ec3024129abece8254db0f89f,cl-3-prysm-geth--c5da3216a2444ecdad99225fc6af6f9a,cl-4-prysm-geth--64071cb6e4054ffca85d81f074644614,cl-5-prysm-geth--35bff00d19094189b4dbdae477ab6f99,dora--50338aa5c86f4e1088b54d531458cb5c,el-1-geth-prysm--d9774c61647d428abe16ff93a7d1794c,el-2-geth-prysm--d57c1c890acc4d029b174f70e79f513d,el-3-geth-prysm--a47af41839d74b6ea9dacee9e9bfbc09,el-4-geth-prysm--17f6a66db4264f1d95ad120eb10637b9,el-5-geth-prysm--544096fccb4c4445b21b436f761030ed,el-forkmon--859f24661976422b88d3ea4e7dc0a5b1,ethereum-metrics-exporter-1-prysm-geth--68c760dc3a2b407eac3ad660140b2fb5,ethereum-metrics-exporter-2-prysm-geth--eebf0494ed2b4ffe809e8e18f2b6ff5c,ethereum-metrics-exporter-3-prysm-geth--14553e8704fe4f588c6ebe6c60c3bb3c,ethereum-metrics-exporter-4-prysm-geth--f5e454b870f84fb3bb90d571b0e5fddb,ethereum-metrics-exporter-5-prysm-geth--007c8e624aed4ce28bf9c5ab5cfb9bcd,grafana,grafana--1ff3f43a3c5348d1a32767d7ef644730,kurtosis-api--370b2d3d7fb440e4802a4d67666a056f,kurtosis-engine--0d03c887a3884be3a71cebaef692f0cc,kurtosis-logs-aggregator,kurtosis-logs-collector--370b2d3d7fb440e4802a4d67666a056f,kurtosis-reverse-proxy--0d03c887a3884be3a71cebaef692f0cc,portainer,prometheus,prometheus--291616b49c7c4dd9975fa8c327850266,validator-key-generation-cl-validator-keystore--62e032cb716e4c63a63448512b3df6d3,vc-1-geth-prysm--e2d8cc641b774641ae660e47d66e2d95,vc-2-geth-prysm--54eed6dc08414c9094e7d83c0b4848b3,vc-3-geth-prysm--4f92e7bb2774425d97385751e7ac7fd5,vc-4-geth-prysm--67a52ac5076f45759cf64d4b32736d10,vc-5-geth-prysm--0238c08c9e1640198876ec491e0ba143
1716571600,14016512.0,261419008.0,349331456.0,317612032.0,269402112.0,311672832.0,335089664.0,38723584.0,56266752.0,46911488.0,48754688.0,48578560.0,49594368.0,34271232.0,10903552.0,8785920.0,10743808.0,9244672.0,10780672.0,60715008.0,195981312.0,54624256.0,28123136.0,16674816.0,18616320.0,49836032.0,19062784.0,847609856.0,95756288.0,16642048.0,38555648.0,27164672.0,26628096.0,26062848.0,27971584.0
1716571615,14016512.0,261148672.0,349343744.0,322199552.0,279105536.0,313688064.0,345841664.0,38727680.0,56995840.0,47648768.0,49205248.0,49504256.0,50200576.0,34598912.0,11513856.0,8699904.0,9322496.0,9289728.0,8777728.0,60715008.0,195989504.0,54624256.0,28123136.0,17555456.0,18583552.0,49836032.0,19062784.0,651833344.0,96546816.0,16642048.0,39829504.0,27250688.0,26906624.0,26075136.0,27996160.0
1716571630,14016512.0,261410816.0,349364224.0,327196672.0,318447616.0,336584704.0,349102080.0,38813696.0,57487360.0,48123904.0,49094656.0,49606656.0,50253824.0,34426880.0,11649024.0,8753152.0,9560064.0,9048064.0,9654272.0,60715008.0,196042752.0,54624256.0,28123136.0,17956864.0,18579456.0,49840128.0,19062784.0,652554240.0,96952320.0,16642048.0,39845888.0,27258880.0,27291648.0,27111424.0,28971008.0
1716571645,13234176.0,261599232.0,348073984.0,326955008.0,328216576.0,354779136.0,358703104.0,37851136.0,57581568.0,48205824.0,50106368.0,49823744.0,50470912.0,31490048.0,10633216.0,9355264.0,9797632.0,9641984.0,9572352.0,58384384.0,196042752.0,54624256.0,28549120.0,18817024.0,17543168.0,48824320.0,19062784.0,710148096.0,94994432.0,16482304.0,39931904.0,27308032.0,28368896.0,27164672.0,29024256.0
1716571660,12484608.0,258985984.0,347828224.0,327004160.0,330661888.0,354836480.0,359002112.0,36876288.0,58490880.0,49623040.0,50184192.0,50507776.0,51609600.0,31670272.0,11526144.0,9072640.0,9281536.0,9699328.0,10059776.0,55005184.0,196075520.0,53907456.0,27512832.0,17625088.0,16502784.0,47558656.0,19062784.0,769679360.0,93003776.0,16482304.0,39981056.0,27316224.0,28401664.0,27222016.0,26505216.0
1716571675,12484608.0,260993024.0,347844608.0,327278592.0,341868544.0,354865152.0,358752256.0,36904960.0,58167296.0,49045504.0,50225152.0,50819072.0,51671040.0,37797888.0,11223040.0,9158656.0,9555968.0,8978432.0,9510912.0,55005184.0,196083712.0,53907456.0,27512832.0,17743872.0,16523264.0,47558656.0,19062784.0,771190784.0,93106176.0,16482304.0,40030208.0,27324416.0,27041792.0,27250688.0,26517504.0
1716571690,12484608.0,261009408.0,334680064.0,333717504.0,357171200.0,357036032.0,359063552.0,34082816.0,58585088.0,49090560.0,50933760.0,51068928.0,52236288.0,35307520.0,11542528.0,9834496.0,9658368.0,9666560.0,9326592.0,55005184.0,196354048.0,53907456.0,27512832.0,18546688.0,16486400.0,47558656.0,19062784.0,771248128.0,93253632.0,16482304.0,40394752.0,27410432.0,27602944.0,26300416.0,27500544.0
1716571705,12484608.0,261259264.0,334704640.0,333733888.0,357224448.0,359796736.0,376332288.0,34103296.0,59404288.0,49876992.0,51023872.0,51257344.0,53129216.0,36155392.0,11272192.0,9637888.0,9510912.0,9625600.0,9207808.0,55009280.0,196096000.0,53907456.0,27512832.0,19492864.0,16498688.0,47558656.0,19062784.0,771309568.0,93380608.0,16482304.0,40411136.0,28385280.0,27611136.0,26333184.0,27635712.0
1716571720,12009472.0,260825088.0,334708736.0,333783040.0,357404672.0,359559168.0,376684544.0,33103872.0,59457536.0,49729536.0,51757056.0,51531776.0,53166080.0,36179968.0,11313152.0,9392128.0,9711616.0,9613312.0,9334784.0,53710848.0,196108288.0,53628928.0,25624576.0,18374656.0,15446016.0,46534656.0,19062784.0,772104192.0,91340800.0,16482304.0,40312832.0,28499968.0,27627520.0,26673152.0,26734592.0
1716571735,12009472.0,260890624.0,334729216.0,333824000.0,398204928.0,359604224.0,376471552.0,33120256.0,59486208.0,49979392.0,51875840.0,51621888.0,53460992.0,34324480.0,12034048.0,9089024.0,9850880.0,10207232.0,9101312.0,53710848.0,196108288.0,53628928.0,25624576.0,18132992.0,15450112.0,46534656.0,16834560.0,763113472.0,91500544.0,16482304.0,40448000.0,28504064.0,27688960.0,26828800.0,26742784.0
