timestamp,beacon-metrics-gazer--2e73ea7fb1874fd8b436af91913745ba,cadvisor,cl-1-prysm-geth--913e0bc7a60d440abdf9d9adaf488ba6,cl-2-prysm-geth--3508a78ec3024129abece8254db0f89f,cl-3-prysm-geth--c5da3216a2444ecdad99225fc6af6f9a,cl-4-prysm-geth--64071cb6e4054ffca85d81f074644614,cl-5-prysm-geth--35bff00d19094189b4dbdae477ab6f99,dora--50338aa5c86f4e1088b54d531458cb5c,el-1-geth-prysm--d9774c61647d428abe16ff93a7d1794c,el-2-geth-prysm--d57c1c890acc4d029b174f70e79f513d,el-3-geth-prysm--a47af41839d74b6ea9dacee9e9bfbc09,el-4-geth-prysm--17f6a66db4264f1d95ad120eb10637b9,el-5-geth-prysm--544096fccb4c4445b21b436f761030ed,el-forkmon--859f24661976422b88d3ea4e7dc0a5b1,ethereum-metrics-exporter-1-prysm-geth--68c760dc3a2b407eac3ad660140b2fb5,ethereum-metrics-exporter-2-prysm-geth--eebf0494ed2b4ffe809e8e18f2b6ff5c,ethereum-metrics-exporter-3-prysm-geth--14553e8704fe4f588c6ebe6c60c3bb3c,ethereum-metrics-exporter-4-prysm-geth--f5e454b870f84fb3bb90d571b0e5fddb,ethereum-metrics-exporter-5-prysm-geth--007c8e624aed4ce28bf9c5ab5cfb9bcd,grafana,grafana--1ff3f43a3c5348d1a32767d7ef644730,kurtosis-api--370b2d3d7fb440e4802a4d67666a056f,kurtosis-engine--0d03c887a3884be3a71cebaef692f0cc,kurtosis-logs-aggregator,kurtosis-logs-collector--370b2d3d7fb440e4802a4d67666a056f,kurtosis-reverse-proxy--0d03c887a3884be3a71cebaef692f0cc,portainer,prometheus,prometheus--291616b49c7c4dd9975fa8c327850266,validator-key-generation-cl-validator-keystore--62e032cb716e4c63a63448512b3df6d3,vc-1-geth-prysm--e2d8cc641b774641ae660e47d66e2d95,vc-2-geth-prysm--54eed6dc08414c9094e7d83c0b4848b3,vc-3-geth-prysm--4f92e7bb2774425d97385751e7ac7fd5,vc-4-geth-prysm--67a52ac5076f45759cf64d4b32736d10,vc-5-geth-prysm--0238c08c9e1640198876ec491e0ba143
1716571600,158.84002492655566,53154.0446365561,72000.5300938708,71836.62469626684,68275.16853680933,69896.74129904677,68186.1466242672,150.60038155089217,14079.157752505349,16690.8400397866,12781.055589002608,13150.966615949163,14850.487210718637,5684.434968017058,878.4490333919157,880.6169328374534,873.6319957291574,871.8810829941602,860.7031008777733,0.0,0.0,3.0708976812497224,0.0,469.43212067435667,24338.30444713153,0.0,0.0,931.53780958659,872.6950513706312,0.0,5322.891511882462,5373.855102177256,5625.918651100174,5899.204128987487,5675.752413401477
1716571615,158.0030994022581,52439.32371564723,71401.31127206681,69935.85422601058,69676.21215570225,70210.93434002966,68595.05392503535,129.10097997443546,13405.061918497475,15826.754533431958,12410.274156099304,12375.646419493381,14570.356472795494,4527.0702050235195,856.159452893008,885.1866720192693,861.5778851169014,862.6689416730278,876.1638097839697,0.0,0.0,6.197006644443946,0.0,433.5588633288227,24608.60076164176,0.0,0.0,877.3452260644141,874.0720622849901,0.0,5092.218767789114,5635.85310309757,5376.659805008257,5875.1159529716315,5648.4398932213035
1716571630,158.49433710859427,53076.23367758131,61544.46359424312,60270.28481722359,57532.662202314954,59718.51317214003,58367.58308088286,155.7388069735132,15522.150213068182,16839.27473878304,15106.503277543758,13322.996629335652,15283.593503981285,6210.165389269867,861.4630250049921,871.8212981426299,860.295103957076,871.741560473955,829.2774990008438,0.0,0.0,5.968871770615132,0.0,436.31675374906695,20559.335861704003,0.0,0.0,753.5260533026425,917.8518827900024,0.0,5390.3835788717215,5203.941040953723,5154.337413517829,5330.7860016632585,5370.227457351746
1716571645,157.59141494435616,54344.24603174603,67026.81311935456,67028.48874016461,68559.85684191453,66408.58655768682,66593.93445959699,155.4019514146645,14550.556937385098,16124.177865180814,15306.01664367407,13897.229119514821,14830.803996721095,6285.0258950686775,828.5726745453753,844.6885304340077,832.2772277227723,838.7218128305561,826.9932372308241,0.0,0.0,4.073548938851753,0.0,447.0561696368148,24816.491476018018,0.0,0.0,708.3969789545146,907.6040686472196,0.0,5356.376509425768,5368.207822273668,5673.440411749047,5556.707384175195,5774.726157944289
1716571660,163.26950792670374,54304.519239434085,71737.53803216435,70557.36092796638,73233.12535450935,69839.05812166682,70508.52968687363,155.74582352034867,15844.141273616657,15026.459993450495,15775.987630806461,15018.943418405404,14623.002773009375,6472.770144651522,900.5942370220877,873.7039704887259,873.2994518298232,881.6638670320928,852.608203431159,0.0,0.0,0.9238891333040036,0.0,442.2929824944817,25446.74450733098,0.0,0.0,735.1611657542649,873.8646710044192,0.0,5921.325834204033,5255.8433069623825,6022.727272727273,5118.808475509081,5320.2723079652305
1716571675,160.70194215889578,52924.92202258051,72578.48227107036,70274.31062718542,73616.13740323715,69509.75819049924,70131.68943685437,136.33371368384093,15942.674729672013,15035.382455827634,15163.755410542044,14427.942044783575,14735.439097159166,6608.885555457513,864.0519411686764,860.927873206627,885.9943601450248,858.096641657735,887.8196439866269,0.0,0.0,0.0,0.0,386.84433623894097,24732.185970274884,0.0,0.0,749.2457022570459,847.1349143311019,0.0,5239.634481999339,5139.629123904329,5597.749586321015,5714.726427359467,5354.722486240357
1716571690,163.37587559222905,54084.1396340779,65521.41802067947,59607.69197073897,62056.50688657281,60714.69508372884,60791.54017857143,159.281120606114,16333.500891102682,14561.899466192172,15465.247338760175,14770.275843108502,15368.022415831181,6778.731343283582,894.1298607506377,879.2031270821302,903.1290184312044,866.3851871399042,859.0667428270136,0.0,0.0,0.0,0.0,445.71660393518,20888.338821887337,0.0,0.0,703.4999671261698,895.4877095457308,0.0,5493.499202838344,5109.605883799432,5611.153043555477,4979.992313431148,5244.372497976506
1716571705,156.09027116001036,52766.19280222549,72875.33934670287,69128.23497806035,69999.68215769518,68834.91473546131,68433.73092556806,153.4114373899624,15920.044272274487,15726.065190788742,15261.243386243388,14598.102913544473,15416.85065795284,7016.326082179741,844.5020200245917,855.1440698901789,853.4625076027457,844.7125652260067,870.0424770847305,0.0,0.0,0.0,0.0,451.6627294203162,24260.632860761747,0.0,0.0,720.6759663791001,902.5547924231155,0.0,5581.700361731874,5300.480194685266,5941.967949548616,5724.6024159207445,5811.678832116789
1716571720,163.7377259796274,53885.81523805264,75292.08874943972,69976.66493647176,73642.40987565972,72588.95012949067,72877.40374133344,152.8108035353762,13637.345336822029,15122.885901444779,13507.286333202048,13976.257697352334,14837.845272206303,5653.335125809414,902.9930518439337,904.5541985415828,871.4120164022107,886.1270914760001,888.147812385331,0.0,0.0,0.0,0.0,467.23988535626205,25726.5208890487,0.0,0.0,720.0691351459151,877.8953827274121,0.0,5967.177485529262,5555.054052268874,5919.943385377505,5087.556979735524,5891.228696350496
1716571735,155.35819238555476,52084.24465096174,72372.96155285108,72936.93394450718,74419.06450293196,73986.18651639063,73875.38877620012,135.67301041922312,14399.144079885877,16716.27284886313,14862.526832938676,14573.68158448489,14779.968295786912,7719.497851164895,866.9293998423601,890.8383809034219,847.0087336244543,864.709281650071,885.3765440297517,0.0,0.0,0.0,0.0,381.38658132959256,24928.12176806511,0.0,0.0,730.3784950103388,878.2690121062135,0.0,5471.234531987738,5192.942079018028,6105.190629306386,5479.283922153658,5429.931395114975
