timestamp,beacon-metrics-gazer--7b1c0d7a4c6c42769a4616ec14f7e0bf,cadvisor,cl-1-prysm-geth--abca67d1ee6a4e7fb261820a377d0e02,cl-2-prysm-geth--88ff2bdd3fd74ddab386856c2fafe412,dora--63267cc0bfe34136b43e54e3e027e2da,el-1-geth-prysm--cec91d692939414cbf440582a04a3f84,el-2-geth-prysm--1bf91a17ec80479eaa038c1be3f239ec,el-forkmon--7d8d78deeeda49e9a4c8ee2db9b532f4,ethereum-metrics-exporter-1-prysm-geth--a3ceedc115a04e77a18ec8f2c78e35c8,ethereum-metrics-exporter-2-prysm-geth--f67e34040cf240b5a2b6a8c4353d6e3d,grafana--f007a2d4c20d41fc9166ce3ae9a608c9,helpers-grafana-1,kurtosis-api--19096d4a65984f2ba0791de40f5bc0b6,kurtosis-engine--229920ee62bc4cf39f51c74beed4423d,kurtosis-logs-aggregator,kurtosis-logs-collector--19096d4a65984f2ba0791de40f5bc0b6,kurtosis-reverse-proxy--229920ee62bc4cf39f51c74beed4423d,portainer,prometheus,prometheus--66f832a0bccc478f82d5968272eff43c,validator-key-generation-cl-validator-keystore--94f5bf856715425ba784293f58b92222,vc-1-geth-prysm--0567dd7483864d8f8c8946b2e839f136,vc-2-geth-prysm--d1e87affcb63441197384b464cd23d19
1716635565,9715712.0,199229440.0,508772352.0,488701952.0,30998528.0,104271872.0,103972864.0,28811264.0,13545472.0,11304960.0,91721728.0,58671104.0,34390016.0,25272320.0,47960064.0,3338240.0,19333120.0,16486400.0,668700672.0,74256384.0,3067904.0,36839424.0,31748096.0
1716635580,9715712.0,198615040.0,509038592.0,494153728.0,31035392.0,104374272.0,104050688.0,29478912.0,12906496.0,11255808.0,91721728.0,58671104.0,34390016.0,25272320.0,48123904.0,3338240.0,19333120.0,16486400.0,728862720.0,75026432.0,3067904.0,36024320.0,31756288.0
1716635595,9715712.0,198094848.0,509038592.0,516218880.0,31035392.0,104325120.0,104058880.0,29691904.0,13406208.0,11694080.0,91721728.0,58671104.0,34390016.0,25272320.0,48459776.0,3338240.0,19333120.0,14741504.0,730099712.0,75132928.0,3067904.0,36495360.0,31772672.0
1716635610,9715712.0,198090752.0,508825600.0,516243456.0,31039488.0,104419328.0,104038400.0,29765632.0,13070336.0,11456512.0,91729920.0,58671104.0,34390016.0,24985600.0,48631808.0,3342336.0,19333120.0,14741504.0,730406912.0,75177984.0,3067904.0,36573184.0,31772672.0
1716635625,9715712.0,198098944.0,508919808.0,516231168.0,31039488.0,104411136.0,105541632.0,29773824.0,13107200.0,10932224.0,91725824.0,58671104.0,34390016.0,24985600.0,48766976.0,3338240.0,19333120.0,14741504.0,730935296.0,75227136.0,3067904.0,37728256.0,31780864.0
1716635640,9715712.0,198352896.0,508923904.0,516247552.0,31039488.0,104464384.0,105541632.0,29405184.0,12935168.0,11251712.0,91725824.0,58671104.0,34390016.0,24985600.0,48906240.0,3338240.0,19333120.0,14741504.0,731136000.0,75280384.0,3067904.0,37851136.0,31780864.0
1716635655,9715712.0,198352896.0,508919808.0,516247552.0,31043584.0,104886272.0,105590784.0,29196288.0,12419072.0,10825728.0,91729920.0,58671104.0,34390016.0,24985600.0,49238016.0,3338240.0,19333120.0,14741504.0,731811840.0,75329536.0,3067904.0,37888000.0,31817728.0
1716635670,9715712.0,198107136.0,509186048.0,516272128.0,27938816.0,104542208.0,105582592.0,29249536.0,13389824.0,10596352.0,91729920.0,58671104.0,34390016.0,24985600.0,49504256.0,3383296.0,19333120.0,14741504.0,732262400.0,74989568.0,3067904.0,37892096.0,31825920.0
1716635685,9715712.0,198094848.0,509464576.0,516280320.0,27967488.0,104521728.0,105644032.0,28491776.0,13131776.0,10686464.0,91725824.0,58671104.0,34390016.0,25473024.0,49672192.0,3338240.0,19333120.0,14741504.0,792444928.0,75046912.0,3067904.0,37896192.0,31838208.0
1716635700,9715712.0,198356992.0,516268032.0,516538368.0,27996160.0,104845312.0,105644032.0,28499968.0,13676544.0,10723328.0,91729920.0,58671104.0,34390016.0,25473024.0,49881088.0,3338240.0,19333120.0,14741504.0,792674304.0,75104256.0,3067904.0,38928384.0,31854592.0
