timestamp,grafana--d0d53c19779146e38b8fdd465197be4a,prometheus--02b4ba062c6449aaa83af2289d4581a8,dora--83efb46d635b48fbab0a776f1d432787,beacon-metrics-gazer--e279876f5d7b447a809644c7d8e1d31a,el-forkmon--296a44d8d71144319de7afa6c1f7f44f,vc-5-geth-prysm--6e1c04a42d4042aba438013b75ab88d8,ethereum-metrics-exporter-5-prysm-geth--15cf2cb52a214a1cba25b24323711da5,vc-4-geth-prysm--3a4427e12a1c45f7853e297364915401,ethereum-metrics-exporter-4-prysm-geth--6d071479aad7453daa385c7b0aa6e86f,vc-3-geth-prysm--689af2249dd64389a53d3e93b2314937,ethereum-metrics-exporter-3-prysm-geth--ad3a07c7c1194f4dbc76b4f7b31afb8f,vc-2-geth-prysm--ab9a770aaf694ae68bd6a4b720544624,ethereum-metrics-exporter-2-prysm-geth--45869df02b50441c9678be27708ece24,vc-1-geth-prysm--d2131392290f47afbf2f1bf22856ddb3,ethereum-metrics-exporter-1-prysm-geth--74ba6663bd464dc18ff3328ee650fe0b,cl-5-prysm-geth--84bb1b5e9a6c480b8ad71034b4a29874,cl-4-prysm-geth--f8f5f6e9c5c54cdd92b101a71f6ee5f1,cl-3-prysm-geth--0aa0aaec98f644f49188614afeeed982,cl-2-prysm-geth--5b43dbb1138f405187bb1f285c9d0ffb,cl-1-prysm-geth--10fb289d593f43fd8a6b29394d684cbf,el-5-geth-prysm--8810fc63c683432ebffe4d828c42c0af,el-4-geth-prysm--44e3bac3c9734c17b63a5e87048a0579,el-3-geth-prysm--cba74686a05a471aa73f369be9289b6c,el-2-geth-prysm--aac25400748348689c07778cc82cdb4c,el-1-geth-prysm--5643f7789bc645de97a0a757e4bed33a,validator-key-generation-cl-validator-keystore--a6311fa7ad014983bcebb6cc6a1fd313,kurtosis-api--a393fd3081894d068684cb7ac205bbfe,kurtosis-logs-collector--a393fd3081894d068684cb7ac205bbfe,kurtosis-engine--c7df69c45c1149ada0b9cda29031c282,kurtosis-reverse-proxy--c7df69c45c1149ada0b9cda29031c282,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1716637291,128000.0,39800.0,14800.0,9100.0,15200.0,348.0,0.0,938.0,90.1,479.0,61.4,623.0,528.0,20500.0,4770.0,528.0,1550.0,684.0,496.0,24500.0,32.8,270.0,250.0,492.0,15700.0,8740.0,23900.0,15800.0,22500.0,68600.0,28200.0,140000.0,113000.0,45400.0,47300.0
1716637306,128000.0,39900.0,14800.0,9100.0,15600.0,401.0,193.0,938.0,90.1,479.0,61.4,778.0,573.0,20500.0,4770.0,745.0,1830.0,926.0,840.0,25300.0,65.5,303.0,332.0,594.0,15700.0,8740.0,23900.0,15800.0,22500.0,68700.0,28200.0,140000.0,113000.0,45400.0,47300.0
1716637321,128000.0,39900.0,14800.0,9100.0,15700.0,430.0,193.0,1040.0,90.1,487.0,61.4,799.0,573.0,20500.0,4770.0,815.0,1830.0,926.0,840.0,25300.0,365.0,303.0,389.0,598.0,15700.0,8740.0,23900.0,15800.0,22500.0,68700.0,28200.0,140000.0,113000.0,45500.0,47300.0
1716637336,128000.0,39900.0,14900.0,9100.0,15900.0,434.0,193.0,1040.0,90.1,487.0,115.0,885.0,573.0,20600.0,4770.0,901.0,1880.0,930.0,840.0,25300.0,446.0,578.0,528.0,598.0,15800.0,8740.0,23900.0,15800.0,22500.0,68700.0,28200.0,140000.0,113000.0,45500.0,47300.0
1716637351,129000.0,39900.0,14900.0,9100.0,15900.0,500.0,193.0,1050.0,90.1,496.0,115.0,889.0,573.0,20600.0,4770.0,926.0,1910.0,930.0,840.0,25400.0,446.0,1020.0,537.0,598.0,16000.0,8740.0,23900.0,15800.0,33800.0,90400.0,28200.0,140000.0,113000.0,45500.0,47300.0
1716637366,129000.0,39900.0,14900.0,9100.0,15900.0,504.0,193.0,1050.0,152.0,504.0,115.0,897.0,573.0,20700.0,4770.0,987.0,1910.0,930.0,840.0,25400.0,479.0,1020.0,651.0,598.0,16000.0,8740.0,23900.0,15800.0,33800.0,90400.0,28200.0,140000.0,113000.0,45500.0,47300.0
1716637381,129000.0,39900.0,14900.0,9100.0,16100.000000000002,578.0,193.0,1060.0,152.0,516.0,115.0,975.0,700.0,20700.0,4770.0,1050.0,1910.0,958.0,872.0,25400.0,512.0,1020.0,651.0,598.0,16000.0,8740.0,36800.0,15800.0,33800.0,90400.0,28200.0,140000.0,113000.0,45500.0,47300.0
1716637396,129000.0,40000.0,14900.0,9100.0,16200.0,586.0,246.0,1070.0,152.0,520.0,287.0,975.0,700.0,20700.0,4770.0,1050.0,1910.0,999.0,934.0,25500.0,512.0,1050.0,651.0,598.0,16000.0,8740.0,36800.0,15800.0,34100.0,90400.0,28200.0,140000.0,113000.0,45600.0,47300.0
1716637411,129000.0,40000.0,14900.0,9100.0,16200.0,590.0,246.0,1370.0,152.0,520.0,287.0,987.0,774.0,20700.0,4770.0,1050.0,2020.0,1040.0,934.0,25500.0,664.0,1050.0,651.0,729.0,16000.0,8740.0,36800.0,15800.0,34100.0,90400.0,28200.0,140000.0,113000.0,45700.0,47300.0
1716637426,129000.0,40000.0,14900.0,9100.0,16200.0,594.0,246.0,1380.0,229.0,520.0,287.0,991.0,774.0,20700.0,4770.0,1070.0,2020.0,1130.0,995.0,25500.0,664.0,1050.0,651.0,729.0,16000.0,8740.0,36800.0,15800.0,34100.0,90600.0,28200.0,140000.0,113000.0,45900.0,47300.0
1716637441,129000.0,40000.0,14900.0,9100.0,16300.0,672.0,246.0,1490.0,229.0,655.0,287.0,1000.0,782.0,20700.0,4770.0,1080.0,2020.0,1130.0,995.0,25500.0,729.0,1290.0,741.0,729.0,16000.0,8740.0,36800.0,15800.0,34200.0,90600.0,30000.0,140000.0,113000.0,47500.0,47300.0
1716637456,130000.0,40900.0,14900.0,9100.0,16300.0,676.0,246.0,1500.0,238.0,659.0,287.0,1010.0,782.0,20700.0,4770.0,1090.0,2020.0,1170.0,995.0,25500.0,729.0,1290.0,795.0,729.0,16000.0,8740.0,36800.0,15800.0,34200.0,90600.0,30100.0,140000.0,113000.0,47600.0,47300.0
1716637471,130000.0,40900.0,15000.0,9100.0,16300.0,684.0,246.0,1510.0,238.0,709.0,287.0,1030.0,782.0,20800.0,4770.0,1090.0,2020.0,1220.0,1030.0,25500.0,729.0,1290.0,795.0,729.0,16000.0,8740.0,36800.0,15800.0,34200.0,90600.0,30100.0,140000.0,113000.0,47600.0,47300.0
