timestamp,beacon-metrics-gazer--e279876f5d7b447a809644c7d8e1d31a,cadvisor,cl-1-prysm-geth--10fb289d593f43fd8a6b29394d684cbf,cl-2-prysm-geth--5b43dbb1138f405187bb1f285c9d0ffb,cl-3-prysm-geth--0aa0aaec98f644f49188614afeeed982,cl-4-prysm-geth--f8f5f6e9c5c54cdd92b101a71f6ee5f1,cl-5-prysm-geth--84bb1b5e9a6c480b8ad71034b4a29874,dora--83efb46d635b48fbab0a776f1d432787,el-1-geth-prysm--5643f7789bc645de97a0a757e4bed33a,el-2-geth-prysm--aac25400748348689c07778cc82cdb4c,el-3-geth-prysm--cba74686a05a471aa73f369be9289b6c,el-4-geth-prysm--44e3bac3c9734c17b63a5e87048a0579,el-5-geth-prysm--8810fc63c683432ebffe4d828c42c0af,el-forkmon--296a44d8d71144319de7afa6c1f7f44f,ethereum-metrics-exporter-1-prysm-geth--74ba6663bd464dc18ff3328ee650fe0b,ethereum-metrics-exporter-2-prysm-geth--45869df02b50441c9678be27708ece24,ethereum-metrics-exporter-3-prysm-geth--ad3a07c7c1194f4dbc76b4f7b31afb8f,ethereum-metrics-exporter-4-prysm-geth--6d071479aad7453daa385c7b0aa6e86f,ethereum-metrics-exporter-5-prysm-geth--15cf2cb52a214a1cba25b24323711da5,grafana--d0d53c19779146e38b8fdd465197be4a,helpers-grafana-1,kurtosis-api--a393fd3081894d068684cb7ac205bbfe,kurtosis-engine--c7df69c45c1149ada0b9cda29031c282,kurtosis-logs-aggregator,kurtosis-logs-collector--a393fd3081894d068684cb7ac205bbfe,kurtosis-reverse-proxy--c7df69c45c1149ada0b9cda29031c282,portainer,prometheus,prometheus--02b4ba062c6449aaa83af2289d4581a8,validator-key-generation-cl-validator-keystore--a6311fa7ad014983bcebb6cc6a1fd313,vc-1-geth-prysm--d2131392290f47afbf2f1bf22856ddb3,vc-2-geth-prysm--ab9a770aaf694ae68bd6a4b720544624,vc-3-geth-prysm--689af2249dd64389a53d3e93b2314937,vc-4-geth-prysm--3a4427e12a1c45f7853e297364915401,vc-5-geth-prysm--6e1c04a42d4042aba438013b75ab88d8
1716638050,9801728.0,189005824.0,394887168.0,338526208.0,387055616.0,385052672.0,383586304.0,37687296.0,64860160.0,58494976.0,60571648.0,61476864.0,61161472.0,24211456.0,9699328.0,9277440.0,9035776.0,9150464.0,8663040.0,87306240.0,42708992.0,23015424.0,19279872.0,14270464.0,4837376.0,30830592.0,13565952.0,765493248.0,124010496.0,2093056.0,27627520.0,26984448.0,26873856.0,26955776.0,27754496.0
1716638065,9801728.0,196583424.0,393109504.0,339107840.0,387067904.0,385097728.0,383422464.0,34545664.0,62242816.0,58896384.0,60588032.0,61284352.0,61538304.0,26038272.0,9404416.0,9326592.0,9850880.0,9109504.0,9007104.0,80732160.0,42856448.0,23191552.0,15192064.0,15089664.0,4841472.0,31166464.0,13565952.0,766173184.0,106889216.0,2093056.0,27938816.0,26693632.0,27074560.0,27643904.0,27484160.0
1716638080,9801728.0,195547136.0,399323136.0,343445504.0,387108864.0,373596160.0,390324224.0,34545664.0,62521344.0,59715584.0,61911040.0,61411328.0,60940288.0,22970368.0,9101312.0,9543680.0,9789440.0,9592832.0,9326592.0,80732160.0,42856448.0,17653760.0,15347712.0,15110144.0,4919296.0,24690688.0,13565952.0,766275584.0,104878080.0,2093056.0,28205056.0,26808320.0,27111424.0,27967488.0,26923008.0
1716638095,9797632.0,195956736.0,399130624.0,343457792.0,387117056.0,373641216.0,392540160.0,34545664.0,64167936.0,60190720.0,61886464.0,61763584.0,62607360.0,23674880.0,9310208.0,9265152.0,10752000.0,9994240.0,8773632.0,80867328.0,42856448.0,17653760.0,15347712.0,14688256.0,4837376.0,24690688.0,13565952.0,766013440.0,104886272.0,2093056.0,27230208.0,26808320.0,28180480.0,27197440.0,26939392.0
1716638110,9797632.0,195223552.0,399405056.0,346939392.0,389287936.0,373649408.0,392544256.0,34545664.0,64188416.0,59539456.0,62005248.0,61890560.0,62558208.0,26533888.0,9281536.0,9314304.0,10895360.0,9121792.0,9609216.0,80871424.0,42856448.0,17653760.0,15347712.0,15220736.0,4833280.0,24690688.0,13631488.0,766058496.0,104882176.0,2093056.0,27234304.0,27414528.0,28217344.0,27205632.0,26951680.0
1716638125,9797632.0,191918080.0,365637632.0,349093888.0,389304320.0,347910144.0,396128256.0,34549760.0,64135168.0,60403712.0,62160896.0,62017536.0,62578688.0,24387584.0,9670656.0,9535488.0,9736192.0,9060352.0,8728576.0,80871424.0,42856448.0,17653760.0,15347712.0,14987264.0,4833280.0,24690688.0,13631488.0,628322304.0,104886272.0,2093056.0,28205056.0,27418624.0,28229632.0,27213824.0,26959872.0
1716638140,9797632.0,190038016.0,365654016.0,349147136.0,389341184.0,348315648.0,396144640.0,34553856.0,64487424.0,61259776.0,62304256.0,62251008.0,62832640.0,24399872.0,9519104.0,9670656.0,9216000.0,9052160.0,9601024.0,80871424.0,42856448.0,17653760.0,15138816.0,15036416.0,4935680.0,24690688.0,13631488.0,628322304.0,104894464.0,2093056.0,28528640.0,25522176.0,28237824.0,27230208.0,27447296.0
1716638155,9797632.0,189558784.0,365699072.0,349384704.0,389607424.0,350199808.0,395927552.0,34562048.0,64212992.0,61050880.0,62332928.0,63553536.0,62984192.0,23875584.0,9375744.0,9670656.0,9834496.0,9035776.0,9080832.0,80867328.0,42856448.0,17653760.0,15138816.0,14389248.0,5206016.0,24690688.0,16433152.0,647983104.0,104894464.0,2093056.0,28532736.0,25722880.0,28254208.0,26648576.0,27467776.0
1716638170,9797632.0,188833792.0,346550272.0,349478912.0,389390336.0,348180480.0,395939840.0,25952256.0,64274432.0,61460480.0,62476288.0,64081920.0,62959616.0,23891968.0,9453568.0,10010624.0,10145792.0,9539584.0,9461760.0,80871424.0,42856448.0,17653760.0,15138816.0,15073280.0,4845568.0,24690688.0,16433152.0,648110080.0,104910848.0,2093056.0,30617600.0,25722880.0,28250112.0,26652672.0,28311552.0
1716638185,9797632.0,189136896.0,349749248.0,374091776.0,386752512.0,348237824.0,396251136.0,25956352.0,64602112.0,61779968.0,62902272.0,64208896.0,63299584.0,23896064.0,9351168.0,9793536.0,10493952.0,9142272.0,9166848.0,80863232.0,42975232.0,17653760.0,15138816.0,15007744.0,4833280.0,24690688.0,16433152.0,707219456.0,100163584.0,2093056.0,30629888.0,25731072.0,29290496.0,27025408.0,28454912.0
