timestamp,beacon-metrics-gazer--e279876f5d7b447a809644c7d8e1d31a,cadvisor,cl-1-prysm-geth--10fb289d593f43fd8a6b29394d684cbf,cl-2-prysm-geth--5b43dbb1138f405187bb1f285c9d0ffb,cl-3-prysm-geth--0aa0aaec98f644f49188614afeeed982,cl-4-prysm-geth--f8f5f6e9c5c54cdd92b101a71f6ee5f1,cl-5-prysm-geth--84bb1b5e9a6c480b8ad71034b4a29874,dora--83efb46d635b48fbab0a776f1d432787,el-1-geth-prysm--5643f7789bc645de97a0a757e4bed33a,el-2-geth-prysm--aac25400748348689c07778cc82cdb4c,el-3-geth-prysm--cba74686a05a471aa73f369be9289b6c,el-4-geth-prysm--44e3bac3c9734c17b63a5e87048a0579,el-5-geth-prysm--8810fc63c683432ebffe4d828c42c0af,el-forkmon--296a44d8d71144319de7afa6c1f7f44f,ethereum-metrics-exporter-1-prysm-geth--74ba6663bd464dc18ff3328ee650fe0b,ethereum-metrics-exporter-2-prysm-geth--45869df02b50441c9678be27708ece24,ethereum-metrics-exporter-3-prysm-geth--ad3a07c7c1194f4dbc76b4f7b31afb8f,ethereum-metrics-exporter-4-prysm-geth--6d071479aad7453daa385c7b0aa6e86f,ethereum-metrics-exporter-5-prysm-geth--15cf2cb52a214a1cba25b24323711da5,grafana--d0d53c19779146e38b8fdd465197be4a,helpers-grafana-1,kurtosis-api--a393fd3081894d068684cb7ac205bbfe,kurtosis-engine--c7df69c45c1149ada0b9cda29031c282,kurtosis-logs-aggregator,kurtosis-logs-collector--a393fd3081894d068684cb7ac205bbfe,kurtosis-reverse-proxy--c7df69c45c1149ada0b9cda29031c282,portainer,prometheus,prometheus--02b4ba062c6449aaa83af2289d4581a8,validator-key-generation-cl-validator-keystore--a6311fa7ad014983bcebb6cc6a1fd313,vc-1-geth-prysm--d2131392290f47afbf2f1bf22856ddb3,vc-2-geth-prysm--ab9a770aaf694ae68bd6a4b720544624,vc-3-geth-prysm--689af2249dd64389a53d3e93b2314937,vc-4-geth-prysm--3a4427e12a1c45f7853e297364915401,vc-5-geth-prysm--6e1c04a42d4042aba438013b75ab88d8
1716638050,14618624.0,252764160.0,406671360.0,339288064.0,388575232.0,386158592.0,383586304.0,39653376.0,68739072.0,58994688.0,61599744.0,61923328.0,61353984.0,26472448.0,10473472.0,9543680.0,9318400.0,9289728.0,8892416.0,97075200.0,54464512.0,29356032.0,23515136.0,23265280.0,5074944.0,38985728.0,15605760.0,770416640.0,128315392.0,2093056.0,37208064.0,27750400.0,28033024.0,28012544.0,27926528.0
1716638065,14618624.0,252452864.0,400179200.0,339324928.0,388591616.0,386207744.0,383963136.0,38830080.0,66793472.0,59400192.0,61640704.0,61714432.0,62038016.0,28311552.0,9654272.0,9592832.0,9850880.0,9232384.0,9236480.0,94179328.0,54611968.0,26304512.0,21164032.0,20525056.0,5079040.0,35524608.0,15605760.0,768614400.0,108240896.0,2093056.0,33968128.0,27590656.0,28246016.0,28700672.0,27987968.0
1716638080,14618624.0,252305408.0,402968576.0,344166400.0,388632576.0,374706176.0,390864896.0,38830080.0,67080192.0,60252160.0,62967808.0,61874176.0,61468672.0,25247744.0,9101312.0,9809920.0,10092544.0,9715712.0,9555968.0,94179328.0,54611968.0,25001984.0,21319680.0,18251776.0,5156864.0,33689600.0,15605760.0,767193088.0,108380160.0,2093056.0,31625216.0,27709440.0,28282880.0,29032448.0,27426816.0
1716638095,14614528.0,252944384.0,400424960.0,344186880.0,388648960.0,374759424.0,393089024.0,38830080.0,68747264.0,60731392.0,62971904.0,62230528.0,63139840.0,25960448.0,9465856.0,9531392.0,11055104.0,10117120.0,9003008.0,94322688.0,54611968.0,25001984.0,21319680.0,16367616.0,5074944.0,33689600.0,15605760.0,767328256.0,108515328.0,2093056.0,29179904.0,27709440.0,29356032.0,28270592.0,27443200.0
1716638110,14614528.0,252682240.0,400703488.0,347672576.0,390823936.0,374771712.0,393097216.0,38830080.0,68771840.0,60100608.0,63094784.0,62386176.0,63094784.0,28827648.0,9437184.0,9580544.0,11198464.0,9244672.0,9838592.0,94326784.0,54611968.0,25001984.0,21319680.0,17440768.0,5070848.0,33689600.0,15671296.0,767430656.0,108617728.0,2093056.0,29196288.0,28332032.0,29405184.0,28286976.0,27467776.0
1716638125,14614528.0,253026304.0,366944256.0,349827072.0,390840320.0,349032448.0,396681216.0,38834176.0,68739072.0,60968960.0,63279104.0,62517248.0,63135744.0,26685440.0,9826304.0,9801728.0,10039296.0,9183232.0,8957952.0,94326784.0,54611968.0,25001984.0,21319680.0,17575936.0,5070848.0,33689600.0,15671296.0,629747712.0,108736512.0,2093056.0,30183424.0,28336128.0,29417472.0,28315648.0,27480064.0
1716638140,14614528.0,252764160.0,366964736.0,349884416.0,390877184.0,349437952.0,396697600.0,38838272.0,69099520.0,61853696.0,63430656.0,62783488.0,63418368.0,26701824.0,9674752.0,9936896.0,9519104.0,9175040.0,9830400.0,94326784.0,54611968.0,25001984.0,21110784.0,17936384.0,5173248.0,33689600.0,15671296.0,629800960.0,108863488.0,2093056.0,30515200.0,26439680.0,29429760.0,28340224.0,27975680.0
1716638155,14614528.0,253026304.0,367017984.0,350130176.0,391151616.0,351330304.0,396488704.0,38846464.0,68845568.0,61648896.0,63483904.0,64090112.0,63578112.0,26185728.0,9531392.0,9936896.0,10137600.0,9158656.0,9310208.0,94322688.0,54611968.0,25001984.0,21110784.0,17633280.0,5443584.0,33689600.0,18710528.0,649515008.0,108998656.0,2093056.0,30531584.0,26644480.0,29446144.0,27758592.0,28012544.0
1716638170,14614528.0,252768256.0,347881472.0,350236672.0,390946816.0,349323264.0,396513280.0,30236672.0,68915200.0,62078976.0,63631360.0,64643072.0,63553536.0,26214400.0,9609216.0,10276864.0,10448896.0,9662464.0,9691136.0,94326784.0,54611968.0,25001984.0,21110784.0,18870272.0,5083136.0,33689600.0,18710528.0,649691136.0,109105152.0,2093056.0,32636928.0,26648576.0,29458432.0,27779072.0,28864512.0
1716638185,14614528.0,253288448.0,351080448.0,374857728.0,388308992.0,349380608.0,396824576.0,30240768.0,69267456.0,62406656.0,64086016.0,64778240.0,63926272.0,26222592.0,9506816.0,10059776.0,10797056.0,9265152.0,9396224.0,94318592.0,54730752.0,25001984.0,21110784.0,19173376.0,5070848.0,33689600.0,18710528.0,708853760.0,104484864.0,2093056.0,32681984.0,26656768.0,30498816.0,28155904.0,29007872.0
1716638200,14614528.0,253374464.0,351096832.0,374923264.0,388349952.0,349401088.0,396840960.0,30240768.0,69455872.0,62504960.0,65552384.0,65003520.0,63811584.0,26243072.0,9494528.0,8908800.0,10895360.0,10567680.0,8896512.0,94322688.0,54730752.0,25001984.0,20500480.0,18972672.0,5074944.0,33689600.0,18710528.0,708923392.0,104615936.0,2093056.0,30552064.0,26681344.0,30507008.0,28176384.0,29048832.0
