timestamp,grafana--d652ea8a10184dc5a28851407774d8ea,prometheus--1b7bc418fadc4c16b1db60d937c88ca8,dora--9943d72ad251431eb6fb33c0b6739f33,beacon-metrics-gazer--1d085c0e3a0442b4a9ea5b7fded4a940,el-forkmon--e2566cf8b7e949579d43ad368c58c1c2,vc-5-geth-prysm--6d15c14d845f4d9eb3ebc4c289a7b93c,ethereum-metrics-exporter-5-prysm-geth--a4c2019fb8124f8a999874562440f62f,vc-4-geth-prysm--28b952348d4d4b318471cd51df362b1f,ethereum-metrics-exporter-4-prysm-geth--00e2cf241b1149c882b474a9d7aaeb0a,vc-3-geth-prysm--a2b90fcb984f4e57aba5ca78b13b9edf,ethereum-metrics-exporter-3-prysm-geth--0d8c2ceef0754942a6e8138fafc98326,vc-2-geth-prysm--9db0a1514fb04d2bbedcc729f6df68cf,ethereum-metrics-exporter-2-prysm-geth--13f33f0edb4345d182f6f94bd23910d7,vc-1-geth-prysm--24176288ee1e42a0a3ce22426afc0d7f,ethereum-metrics-exporter-1-prysm-geth--d04ba5caaa464ff887d751f2497a2544,cl-5-prysm-geth--e5d9a4f47c5943fea91694bde5f20eb1,cl-4-prysm-geth--e5f6c84f95864b62bf703d1fc1eb2317,cl-3-prysm-geth--e2fa3dfa54724de2a216210c9a6aaaaf,cl-2-prysm-geth--9e5fff65ac404cf188ee4aecafd6938d,cl-1-prysm-geth--281cae6a1de54b17a7e93fc69e1fb584,el-5-geth-prysm--001ce20020f74de4aa542f837decc2ae,el-4-geth-prysm--8d6843a6c1354af6b2d7632683f9756f,el-3-geth-prysm--e24e56fb1c8340c5a97a3c0655352dc2,el-2-geth-prysm--8633305d09784723aa04f4b66c467264,el-1-geth-prysm--ffecab9c8fa543d6adaa51f5d35a213c,validator-key-generation-cl-validator-keystore--bb5e8255cc9640f79496fa26f5b29c7a,kurtosis-api--6315bc785aa84b48824e307dcb7e4b74,kurtosis-logs-collector--6315bc785aa84b48824e307dcb7e4b74,kurtosis-engine--f91740d5a8a541d88661bee106dac019,kurtosis-reverse-proxy--f91740d5a8a541d88661bee106dac019,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1716892073,2070.0,2170.0,455.0,1130.0,168.0,242.0,0.0,274.0,0.0,225.0,0.0,238.0,0.0,250.0,4.1,348.0,168.0,352.0,242.0,176.0,12.3,16.4,12.3,12.3,221.0,4800.0,774.0,1930.0,0.0,1060.0,180.0,126000.0,117000.0,30000.0,46100.0
1716892088,2070.0,2190.0,455.0,1130.0,168.0,254.0,0.0,356.0,0.0,238.0,0.0,279.0,0.0,254.0,4.1,356.0,172.0,397.0,246.0,180.0,12.3,16.4,12.3,12.3,221.0,4800.0,774.0,1930.0,0.0,1060.0,180.0,127000.0,117000.0,30000.0,46100.0
1716892103,2070.0,2190.0,455.0,1130.0,168.0,254.0,0.0,369.0,0.0,246.0,0.0,287.0,0.0,262.0,4.1,365.0,172.0,406.0,250.0,188.0,12.3,16.4,12.3,12.3,221.0,4800.0,774.0,1930.0,0.0,1060.0,180.0,127000.0,117000.0,30000.0,46100.0
1716892118,2070.0,2190.0,524.0,1130.0,168.0,274.0,0.0,373.0,73.7,250.0,0.0,307.0,0.0,270.0,4.1,369.0,172.0,410.0,324.0,193.0,12.3,16.4,12.3,12.3,221.0,4800.0,1430.0,1930.0,131.0,1060.0,180.0,127000.0,117000.0,30100.0,46100.0
1716892133,2080.0,2200.0,524.0,1130.0,168.0,279.0,0.0,381.0,73.7,250.0,0.0,319.0,0.0,279.0,4.1,377.0,180.0,418.0,332.0,201.0,12.3,16.4,12.3,12.3,221.0,4800.0,1430.0,1930.0,131.0,1060.0,180.0,127000.0,117000.0,30100.0,46100.0
1716892148,2360.0,2200.0,524.0,1130.0,168.0,295.0,0.0,393.0,73.7,254.0,0.0,340.0,0.0,295.0,4.1,385.0,180.0,426.0,332.0,201.0,12.3,16.4,12.3,12.3,221.0,4800.0,1430.0,1930.0,131.0,1060.0,180.0,127000.0,117000.0,30100.0,46100.0
1716892163,2360.0,2200.0,524.0,1130.0,373.0,352.0,0.0,455.0,73.7,279.0,0.0,524.0,0.0,393.0,4.1,385.0,180.0,475.0,332.0,250.0,16.4,16.4,106.0,16.4,467.0,4800.0,1430.0,1930.0,438.0,1060.0,180.0,127000.0,117000.0,33800.0,46100.0
1716892178,2360.0,2200.0,524.0,1130.0,467.0,356.0,0.0,492.0,73.7,319.0,0.0,532.0,0.0,401.0,4.1,389.0,180.0,479.0,336.0,254.0,16.4,16.4,106.0,16.4,664.0,4800.0,1430.0,1930.0,438.0,1060.0,180.0,127000.0,117000.0,33800.0,46100.0
1716892193,2370.0,2370.0,631.0,1130.0,467.0,360.0,0.0,500.0,73.7,328.0,0.0,541.0,0.0,406.0,4.1,397.0,188.0,487.0,360.0,262.0,90.1,20.5,111.0,16.4,774.0,4800.0,1430.0,1930.0,438.0,1060.0,180.0,127000.0,117000.0,33800.0,46100.0
1716892208,2380.0,2370.0,631.0,1130.0,840.0,442.0,0.0,516.0,73.7,348.0,0.0,565.0,0.0,410.0,4.1,508.0,274.0,487.0,475.0,561.0,90.1,20.5,111.0,659.0,774.0,4800.0,1430.0,1930.0,700.0,1060.0,180.0,127000.0,117000.0,33800.0,46100.0
