timestamp,beacon-metrics-gazer--1d085c0e3a0442b4a9ea5b7fded4a940,cadvisor,cl-1-prysm-geth--281cae6a1de54b17a7e93fc69e1fb584,cl-2-prysm-geth--9e5fff65ac404cf188ee4aecafd6938d,cl-3-prysm-geth--e2fa3dfa54724de2a216210c9a6aaaaf,cl-4-prysm-geth--e5f6c84f95864b62bf703d1fc1eb2317,cl-5-prysm-geth--e5d9a4f47c5943fea91694bde5f20eb1,dora--9943d72ad251431eb6fb33c0b6739f33,el-1-geth-prysm--ffecab9c8fa543d6adaa51f5d35a213c,el-2-geth-prysm--8633305d09784723aa04f4b66c467264,el-3-geth-prysm--e24e56fb1c8340c5a97a3c0655352dc2,el-4-geth-prysm--8d6843a6c1354af6b2d7632683f9756f,el-5-geth-prysm--001ce20020f74de4aa542f837decc2ae,el-forkmon--e2566cf8b7e949579d43ad368c58c1c2,ethereum-metrics-exporter-1-prysm-geth--d04ba5caaa464ff887d751f2497a2544,ethereum-metrics-exporter-2-prysm-geth--13f33f0edb4345d182f6f94bd23910d7,ethereum-metrics-exporter-3-prysm-geth--0d8c2ceef0754942a6e8138fafc98326,ethereum-metrics-exporter-4-prysm-geth--00e2cf241b1149c882b474a9d7aaeb0a,ethereum-metrics-exporter-5-prysm-geth--a4c2019fb8124f8a999874562440f62f,grafana--d652ea8a10184dc5a28851407774d8ea,helpers-grafana-1,kurtosis-api--6315bc785aa84b48824e307dcb7e4b74,kurtosis-engine--f91740d5a8a541d88661bee106dac019,kurtosis-logs-aggregator,kurtosis-logs-collector--6315bc785aa84b48824e307dcb7e4b74,kurtosis-reverse-proxy--f91740d5a8a541d88661bee106dac019,portainer,prometheus,prometheus--1b7bc418fadc4c16b1db60d937c88ca8,validator-key-generation-cl-validator-keystore--bb5e8255cc9640f79496fa26f5b29c7a,vc-1-geth-prysm--24176288ee1e42a0a3ce22426afc0d7f,vc-2-geth-prysm--9db0a1514fb04d2bbedcc729f6df68cf,vc-3-geth-prysm--a2b90fcb984f4e57aba5ca78b13b9edf,vc-4-geth-prysm--28b952348d4d4b318471cd51df362b1f,vc-5-geth-prysm--6d15c14d845f4d9eb3ebc4c289a7b93c
1716892073,3452928.0,131772416.0,280621056.0,279810048.0,297037824.0,294899712.0,268275712.0,34775040.0,46538752.0,46075904.0,46592000.0,46092288.0,46850048.0,26292224.0,8601600.0,8437760.0,9146368.0,8953856.0,9252864.0,73019392.0,164761600.0,18071552.0,14565376.0,12353536.0,4870144.0,30711808.0,13029376.0,342933504.0,97726464.0,12017664.0,26005504.0,25899008.0,25767936.0,26185728.0,25899008.0
1716892088,3452928.0,126988288.0,282800128.0,289787904.0,301416448.0,295002112.0,276742144.0,34877440.0,46723072.0,46874624.0,46776320.0,46309376.0,47480832.0,26726400.0,9052160.0,9142272.0,9510912.0,8822784.0,8531968.0,73019392.0,165060608.0,18071552.0,14565376.0,12673024.0,4874240.0,30711808.0,13029376.0,393240576.0,98271232.0,12005376.0,26025984.0,26165248.0,26091520.0,26206208.0,27471872.0
1716892103,3452928.0,126980096.0,287952896.0,293351424.0,308555776.0,319827968.0,279048192.0,34889728.0,46956544.0,46907392.0,46768128.0,47140864.0,47550464.0,19140608.0,8593408.0,8437760.0,9068544.0,8572928.0,8871936.0,73838592.0,166305792.0,18071552.0,14565376.0,12771328.0,5025792.0,30789632.0,13029376.0,393306112.0,97759232.0,11988992.0,26075136.0,26017792.0,26116096.0,26296320.0,27512832.0
1716892118,3452928.0,138829824.0,303661056.0,323538944.0,319520768.0,336396288.0,280444928.0,34992128.0,47882240.0,47706112.0,47165440.0,47235072.0,47722496.0,21086208.0,9170944.0,8495104.0,8785920.0,8552448.0,9744384.0,73846784.0,166354944.0,18071552.0,14565376.0,12341248.0,4870144.0,30789632.0,13029376.0,393314304.0,102539264.0,11976704.0,26083328.0,26046464.0,26648576.0,26046464.0,25513984.0
1716892133,3452928.0,135917568.0,305844224.0,323645440.0,319565824.0,342024192.0,282337280.0,20856832.0,47804416.0,47280128.0,47796224.0,47509504.0,47714304.0,20910080.0,9662464.0,8572928.0,8593408.0,8548352.0,8826880.0,73842688.0,166354944.0,18718720.0,14393344.0,12591104.0,4866048.0,30789632.0,13029376.0,443432960.0,102555648.0,11960320.0,26099712.0,26021888.0,26673152.0,26083328.0,25518080.0
1716892148,3452928.0,128946176.0,312561664.0,332324864.0,323887104.0,344203264.0,286650368.0,20865024.0,48328704.0,48439296.0,48025600.0,47816704.0,47833088.0,20217856.0,8536064.0,9781248.0,9539584.0,8802304.0,8429568.0,73842688.0,166576128.0,18718720.0,14393344.0,12296192.0,4976640.0,30789632.0,10559488.0,443437056.0,102555648.0,11960320.0,26116096.0,26046464.0,26050560.0,26095616.0,25522176.0
1716892163,3452928.0,129347584.0,319262720.0,342671360.0,333004800.0,354074624.0,309403648.0,20873216.0,48902144.0,48779264.0,48164864.0,48062464.0,48017408.0,20602880.0,9412608.0,9084928.0,10715136.0,8503296.0,9408512.0,72454144.0,166649856.0,18718720.0,14393344.0,12607488.0,5095424.0,30789632.0,10559488.0,493694976.0,102567936.0,11931648.0,26136576.0,26128384.0,26058752.0,26501120.0,25542656.0
1716892178,3452928.0,129347584.0,319262720.0,348110848.0,362094592.0,353837056.0,309510144.0,20877312.0,49524736.0,48914432.0,48635904.0,48095232.0,48136192.0,21950464.0,8404992.0,9142272.0,8515584.0,9420800.0,8908800.0,72695808.0,166649856.0,18718720.0,15196160.0,12492800.0,4870144.0,30679040.0,10559488.0,543846400.0,103788544.0,7155712.0,26136576.0,26161152.0,26501120.0,26550272.0,25587712.0
1716892193,3452928.0,149565440.0,333819904.0,348135424.0,362201088.0,353869824.0,309788672.0,20885504.0,49319936.0,49135616.0,49319936.0,48762880.0,48144384.0,19017728.0,8716288.0,9314304.0,8753152.0,9420800.0,9342976.0,72691712.0,60227584.0,18681856.0,15196160.0,12374016.0,4866048.0,30679040.0,10555392.0,594153472.0,103792640.0,7155712.0,26165248.0,26333184.0,26808320.0,26558464.0,25616384.0
1716892208,3452928.0,148611072.0,338186240.0,350605312.0,362254336.0,353869824.0,311705600.0,20885504.0,50176000.0,49168384.0,49352704.0,49360896.0,49274880.0,20340736.0,8863744.0,9580544.0,9322496.0,8867840.0,10170368.0,72687616.0,60305408.0,18681856.0,15196160.0,12349440.0,4870144.0,30679040.0,10555392.0,594227200.0,103792640.0,7155712.0,26185728.0,26349568.0,26890240.0,26562560.0,25624576.0
