timestamp,beacon-metrics-gazer--1d085c0e3a0442b4a9ea5b7fded4a940,cadvisor,cl-1-prysm-geth--281cae6a1de54b17a7e93fc69e1fb584,cl-2-prysm-geth--9e5fff65ac404cf188ee4aecafd6938d,cl-3-prysm-geth--e2fa3dfa54724de2a216210c9a6aaaaf,cl-4-prysm-geth--e5f6c84f95864b62bf703d1fc1eb2317,cl-5-prysm-geth--e5d9a4f47c5943fea91694bde5f20eb1,dora--9943d72ad251431eb6fb33c0b6739f33,el-1-geth-prysm--ffecab9c8fa543d6adaa51f5d35a213c,el-2-geth-prysm--8633305d09784723aa04f4b66c467264,el-3-geth-prysm--e24e56fb1c8340c5a97a3c0655352dc2,el-4-geth-prysm--8d6843a6c1354af6b2d7632683f9756f,el-5-geth-prysm--001ce20020f74de4aa542f837decc2ae,el-forkmon--e2566cf8b7e949579d43ad368c58c1c2,ethereum-metrics-exporter-1-prysm-geth--d04ba5caaa464ff887d751f2497a2544,ethereum-metrics-exporter-2-prysm-geth--13f33f0edb4345d182f6f94bd23910d7,ethereum-metrics-exporter-3-prysm-geth--0d8c2ceef0754942a6e8138fafc98326,ethereum-metrics-exporter-4-prysm-geth--00e2cf241b1149c882b474a9d7aaeb0a,ethereum-metrics-exporter-5-prysm-geth--a4c2019fb8124f8a999874562440f62f,grafana--d652ea8a10184dc5a28851407774d8ea,helpers-grafana-1,kurtosis-api--6315bc785aa84b48824e307dcb7e4b74,kurtosis-engine--f91740d5a8a541d88661bee106dac019,kurtosis-logs-aggregator,kurtosis-logs-collector--6315bc785aa84b48824e307dcb7e4b74,kurtosis-reverse-proxy--f91740d5a8a541d88661bee106dac019,portainer,prometheus,prometheus--1b7bc418fadc4c16b1db60d937c88ca8,validator-key-generation-cl-validator-keystore--bb5e8255cc9640f79496fa26f5b29c7a,vc-1-geth-prysm--24176288ee1e42a0a3ce22426afc0d7f,vc-2-geth-prysm--9db0a1514fb04d2bbedcc729f6df68cf,vc-3-geth-prysm--a2b90fcb984f4e57aba5ca78b13b9edf,vc-4-geth-prysm--28b952348d4d4b318471cd51df362b1f,vc-5-geth-prysm--6d15c14d845f4d9eb3ebc4c289a7b93c
1716892073,4587520.0,211365888.0,280637440.0,279900160.0,297136128.0,294998016.0,268386304.0,35258368.0,46841856.0,46075904.0,46669824.0,46092288.0,46891008.0,26292224.0,8605696.0,8437760.0,9146368.0,8953856.0,9252864.0,74305536.0,175128576.0,23347200.0,14766080.0,14499840.0,6762496.0,31776768.0,18518016.0,377704448.0,99766272.0,15609856.0,26247168.0,25899008.0,25960448.0,26267648.0,26120192.0
1716892088,4587520.0,211599360.0,282898432.0,289886208.0,301522944.0,295108608.0,276742144.0,35360768.0,47030272.0,46948352.0,46858240.0,46391296.0,47546368.0,26894336.0,9056256.0,9142272.0,9510912.0,8822784.0,8531968.0,74305536.0,175427584.0,23347200.0,14766080.0,15122432.0,6766592.0,31776768.0,18518016.0,428060672.0,100409344.0,15073280.0,26275840.0,26165248.0,26292224.0,26345472.0,27701248.0
1716892103,4587520.0,211623936.0,288059392.0,293457920.0,308555776.0,319942656.0,279261184.0,35373056.0,47292416.0,46989312.0,46878720.0,47226880.0,47624192.0,19320832.0,8597504.0,8437760.0,9068544.0,8572928.0,8871936.0,74862592.0,176705536.0,23347200.0,14766080.0,15745024.0,6918144.0,31854592.0,18518016.0,428175360.0,99995648.0,14532608.0,26329088.0,26181632.0,26329088.0,26296320.0,27787264.0
1716892118,4587520.0,232300544.0,303771648.0,323645440.0,319737856.0,336510976.0,280662016.0,35475456.0,48230400.0,47816704.0,47292416.0,47353856.0,47833088.0,21278720.0,9175040.0,8495104.0,8785920.0,8552448.0,9744384.0,74608640.0,176754688.0,23347200.0,14766080.0,15814656.0,6762496.0,31854592.0,18518016.0,428236800.0,104898560.0,13996032.0,26345472.0,26243072.0,26890240.0,26382336.0,25788416.0
1716892133,4587520.0,232792064.0,305958912.0,323756032.0,319787008.0,342138880.0,282558464.0,21340160.0,48181248.0,47394816.0,47951872.0,47636480.0,47828992.0,21106688.0,9666560.0,8572928.0,8593408.0,8548352.0,8826880.0,74432512.0,176754688.0,24002560.0,14802944.0,16371712.0,6758400.0,31854592.0,18518016.0,478404608.0,105021440.0,13455360.0,26365952.0,26226688.0,26918912.0,26419200.0,25804800.0
1716892148,4587520.0,234205184.0,312692736.0,332443648.0,324116480.0,344326144.0,286883840.0,21348352.0,48713728.0,48582656.0,48185344.0,47972352.0,47976448.0,20426752.0,8540160.0,9781248.0,9539584.0,8802304.0,8429568.0,74432512.0,176975872.0,24002560.0,14802944.0,16474112.0,6868992.0,31854592.0,16048128.0,478457856.0,105127936.0,13455360.0,26386432.0,26288128.0,26296320.0,26435584.0,25817088.0
1716892163,4587520.0,234938368.0,319397888.0,342794240.0,333242368.0,354201600.0,309641216.0,21356544.0,49319936.0,48934912.0,48357376.0,48230400.0,48168960.0,20819968.0,9416704.0,9084928.0,10715136.0,8503296.0,9408512.0,74174464.0,177049600.0,24002560.0,14802944.0,17121280.0,6987776.0,31854592.0,16048128.0,528769024.0,105242624.0,12378112.0,26464256.0,26390528.0,26304512.0,26857472.0,25845760.0
1716892178,4587520.0,234938368.0,319397888.0,348237824.0,362344448.0,353968128.0,309760000.0,21360640.0,49946624.0,49098752.0,48836608.0,48291840.0,48316416.0,22175744.0,8409088.0,9142272.0,8515584.0,9420800.0,8908800.0,74489856.0,177049600.0,24002560.0,15646720.0,17543168.0,6762496.0,30679040.0,16048128.0,578969600.0,106569728.0,11964416.0,26464256.0,26435584.0,26750976.0,26910720.0,25903104.0
1716892193,4431872.0,258097152.0,333819904.0,348266496.0,362278912.0,354013184.0,310038528.0,21106688.0,49745920.0,49135616.0,49549312.0,48963584.0,48144384.0,19017728.0,8720384.0,9314304.0,8753152.0,9420800.0,9342976.0,74465280.0,174309376.0,22654976.0,15646720.0,16732160.0,6234112.0,30679040.0,16044032.0,621355008.0,106418176.0,11964416.0,26316800.0,26447872.0,26808320.0,26738688.0,25767936.0
1716892208,4431872.0,257847296.0,338186240.0,350748672.0,362348544.0,354013184.0,311967744.0,21106688.0,50614272.0,49168384.0,49594368.0,49598464.0,49274880.0,20340736.0,8867840.0,9580544.0,9322496.0,8867840.0,10170368.0,74461184.0,174387200.0,22654976.0,15646720.0,17027072.0,6238208.0,30679040.0,16044032.0,621481984.0,106528768.0,11964416.0,26349568.0,26464256.0,26890240.0,26771456.0,25792512.0
